EpisodesSoFar,TimestepsSoFar,ReturnMeanIW,EmpiricalD2,MeanIW,InitialReturnStd,Weights,EpRewMean,Bound,InitialBound,TimeElapsed,InitialReturnMin,J_sample_variance,InitialReturnMax,EpThisIter,MaxIW,EpLenMean,StdIW,InitialReturnMean,Iteration,MinIW
100,3540,633.06604,2359.0063,3.7066855,12.600159,[-0.563 -1.093 -0.809 -1.04   0.   ],-107.5568281044892,633.06604,222.61734,7.545700550079346,-16.716774,11196311.0,33.927227,100,332.80783,35.4,24.026999,-1.2207031e-06,1,2.595642e-07
200,7263,1289.844,39213.098,9.24,13.899027,[-0.63  -1.06  -0.844 -0.897 -0.082],-107.56501596128832,1289.844,209.00163,20.578243017196655,-16.729736,125788620.0,54.914,100,962.8566,37.23,91.04739,7.6293944e-08,2,3.951709e-06
300,10847,240.72058,16.810139,1.1159571,11.777127,[-0.668 -0.966 -0.756 -0.75  -0.108],-108.72382784487198,240.72058,221.70845,33.52341985702515,-15.941742,164611.53,37.800926,100,18.18379,35.84,2.277977,-2.5177003e-06,3,0.0055746697
400,14347,502.25623,695864.25,2.6260169,11.678579,[-0.633 -0.967 -0.815 -0.75  -0.085],-108.8763226877525,502.25623,228.7258,43.07874608039856,-15.170502,8395086.0,43.096977,100,137.11713,35.0,16.703608,-1.2588501e-06,4,3.4107764e-08
500,18472,385.60764,53308044.0,2.8020182,15.272611,[-0.717 -1.089 -0.84  -0.695 -0.144],-108.40630020219663,385.60764,184.79474,56.18315768241882,-17.384903,9048461.0,52.7091,100,356.14386,41.25,25.27119,-1.5258789e-07,5,2.0528469e-06
600,22920,714.3489,73100.67,6.4101114,12.252526,[-0.746 -1.134 -0.802 -0.628 -0.082],-109.92978811174639,714.3489,170.78217,68.4905002117157,-17.374435,22384788.0,39.796143,100,558.2784,44.48,48.865807,-2.0217894e-06,6,2.708323e-05
700,27598,508.59592,2162.327,4.53701,13.07482,[-0.698 -1.143 -0.705 -0.72   0.013],-109.09774249834565,508.59592,158.89275,81.78033685684204,-20.615875,16582219.0,41.115612,100,445.22186,46.78,42.04851,-5.302429e-06,7,1.9140186e-06
800,32136,6567.496,4.425176e+26,52.628204,11.2437,[-0.8   -1.123 -0.782 -0.591 -0.077],-111.57723402753143,6567.496,168.80716,95.29805135726929,-17.304611,4216525600.0,40.00888,100,5440.49,45.38,530.641,-1.0681152e-06,8,6.046033e-26
900,35715,392.81433,917.6602,1.7920839,8.384034,[-0.693 -1.086 -0.992 -0.458 -0.192],-112.9643515408087,392.81433,230.95738,108.05786657333374,-14.00074,2018070.8,29.872654,100,115.32339,35.79,8.312507,-1.1825561e-05,9,4.1801864e-06
1000,39653,214.58688,1.4739897,1.0454972,7.848105,[-0.673 -1.145 -0.947 -0.419 -0.236],-113.97906475361313,214.58688,206.79945,120.37995743751526,-15.571266,16458.574,35.05473,100,5.2434015,39.38,0.7383646,1.9073487e-07,10,0.17187437
1100,43756,272.7201,7.9042726,1.503479,8.402222,[-0.689 -1.141 -0.966 -0.411 -0.186],-114.41339068739276,272.7201,196.95766,132.211323261261,-14.931343,755223.94,27.31108,100,69.74714,41.03,6.615218,-4.997253e-06,11,0.00079888414
1200,47410,1710.4425,33591153000.0,9.876019,6.5108523,[-0.684 -1.216 -1.013 -0.465 -0.274],-113.09540589677296,1710.4425,225.54639,143.16505193710327,-11.5538025,257318830.0,19.692616,100,1012.49,36.54,97.43146,-7.133484e-06,12,2.119677e-09
