EpRewMean,ESSRenyi,InitialReturnMean,ReturnMeanIW,InitialReturnMin,MaxIW,TimestepsSoFar,InitialReturnMax,Bound,InitialReturnStd,InitialBound,StdIWNorm,Iteration,ESSClassic,StdIW,EpisodesSoFar,TimeElapsed,EpThisIter,MeanIW,EpLenMean,MaxIWNorm,EmpiricalD2,Weights,MeanIWNorm,J_sample_variance,MinIW,MinIWNorm
-107.5568281044892,1.4579115,-1.2207031e-06,97.827255,-16.716774,285.6543,3540,33.927227,88.4611,12.600159,-1.130909,0.28445297,1,1.5699711,28.445301,100,7.019219398498535,100,3.592465,35.4,2.8565428,68.59127,[-0.563 -1.093 -0.809 -1.04   0.   ],0.03592465,939843.9,6.915886e-05,6.915886e-07
-107.39031930927739,0.00026771938,4.615784e-06,5910.4907,-18.672752,25334.664,7333,38.733185,5121.4087,13.707122,-1.2911015,25.207277,2,1.0031114,2520.7283,200,19.846712827682495,100,253.7405,37.93,253.34663,373525.44,[-0.452 -1.032 -0.722 -0.967 -0.164],2.537405,3491500500.0,1.2877292e-07,1.2877293e-09
-103.61170679886203,0.95086455,3.7002565e-06,45.647614,-23.5028,182.68018,11580,35.52781,33.502884,15.141967,-1.1842568,0.18181443,3,1.6227379,18.181444,300,33.90062117576599,100,2.3350985,42.47,1.8268017,105.16745,[-0.598 -1.129 -0.712 -1.01  -0.241],0.023350982,234567.75,4.4380948e-05,4.4380945e-07
-104.20592651711512,14.4220915,3.2424928e-06,5.837587,-21.552856,22.661257,15693,47.499382,1.6683884,15.837622,-1.5833094,0.026753556,4,15.527384,2.6753557,400,44.99342441558838,100,1.1470244,41.13,0.22661257,6.933807,[-0.59  -1.152 -0.776 -1.065 -0.346],0.011470242,1931.0562,0.018732212,0.00018732212
-105.1154729844639,15.63433,6.8664554e-07,4.452034,-18.151466,20.269005,19627,36.64406,1.3628578,14.667732,-1.221468,0.022919446,5,16.826591,2.2919443,500,55.640482664108276,100,1.0308843,39.34,0.20269005,6.3961806,[-0.624 -1.106 -0.748 -1.004 -0.344],0.010308843,2574.4863,0.0027425133,2.7425132e-05
-105.04834656485316,0.12061464,3.0517577e-07,165.97998,-18.68509,690.78424,23544,50.43012,117.57738,15.430576,-1.6810036,0.87234926,6,2.5520556,87.23492,600,66.54475903511047,100,14.117219,39.17,6.907842,829.08673,[-0.569 -1.175 -0.797 -1.047 -0.38 ],0.1411722,5945352.0,0.0004971637,4.971637e-06
-105.3004049979925,28.581234,-2.0980835e-06,2.7953007,-20.902763,17.791882,27616,36.54161,0.51692176,14.349609,-1.2180556,0.021133581,7,24.289268,2.113358,700,77.55135464668274,100,1.1970204,40.72,0.1779188,3.4987993,[-0.572 -1.174 -0.72  -1.061 -0.318],0.011970204,1786.7952,0.040124685,0.00040124683
-105.37964097166473,0.18875098,5.1879883e-06,91.881386,-20.513985,560.03864,31648,31.983025,67.34256,14.369331,-1.0660957,0.5566829,8,1.2406349,55.66829,800,88.62045097351074,100,6.2393703,40.32,5.600386,529.7986,[-0.576 -1.198 -0.693 -1.089 -0.35 ],0.062393695,889068.4,1.5428337e-05,1.5428337e-07
-104.33163070454682,33.355816,4.3869018e-06,3.3856738,-23.838005,8.973228,35896,37.416283,1.2261717,14.397865,-1.2472053,0.013952878,9,42.822906,1.3952879,900,100.77051520347595,100,1.2075104,42.48,0.08973228,2.997978,[-0.469 -1.137 -0.597 -1.114 -0.394],0.012075104,875.5275,0.05114547,0.0005114547
-103.52225687926831,0.011866923,-1.8692017e-06,1259.5104,-20.739777,4135.778,40075,41.86848,1131.3962,16.1133,-1.3956178,4.1143413,10,1.0473593,411.43414,1000,111.65225434303284,100,42.32865,41.79,41.357777,8426.784,[-0.47  -1.176 -0.625 -1.11  -0.368],0.4232866,159298430.0,3.5194317e-10,3.5194317e-12
