EpLenMean,EpRewMean,InitialReturnMax,Iteration,ReturnMeanIW,InitialBound,EmpiricalD2,J_sample_variance,InitialReturnMin,EpisodesSoFar,TimeElapsed,Bound,InitialReturnMean,MinIW,EpThisIter,MeanIW,TimestepsSoFar,StdIW,InitialReturnStd,MaxIW,Weights
101.53,-106.89068540052087,3.4234805,23,4.594983,-36.634308,1.0000004,2.7341807,-3.4939055,2300,375.04838037490845,-36.634277,-3.528595e-07,0.99920356,100,1.0000076,175941,0.00015727544,1.6452146,1.0005708,[-0.669 -1.355 -0.395 -0.927 -0.019]
116.8,-108.07761093525795,3.7680953,24,3.31737,-6.754514,1.0,3.147705,-3.599638,2400,397.8972249031067,-6.754514,3.3140182e-07,1.0,100,1.0,187621,,1.7652843,1.0,[-0.669 -1.355 -0.395 -0.927 -0.019]
114.04,-110.1685464890692,3.2057123,25,4.087785,-5.962636,1.0,2.4516544,-3.2267213,2500,420.24190521240234,-5.962636,-3.1471254e-07,1.0,100,1.0,199025,,1.5579276,1.0,[-0.669 -1.355 -0.395 -0.927 -0.019]
108.22,-109.2433545227974,4.160261,26,4.4145913,-7.132711,1.6675564,3.3962927,-3.428028,2600,441.7793357372284,-7.061169,-2.5272368e-07,0.013557317,100,1.0131221,209847,0.7300752,1.574105,5.7380695,[-0.669 -1.355 -0.395 -0.927 -0.019]
117.44,-109.89355999760217,4.079043,27,3.1858246,-6.865162,1.0,3.7688074,-7.6659966,2700,466.25981163978577,-6.865162,-1.0967255e-07,1.0,100,1.0,221591,,1.9316107,1.0,[-0.667 -1.347 -0.387 -0.941 -0.028]
107.32,-108.61969882101899,3.9644253,28,4.032046,-6.0184054,1.0,2.8547533,-3.2568479,2800,488.17376017570496,-6.0184054,1.6927719e-07,1.0,100,1.0,232323,,1.6811324,1.0,[-0.667 -1.347 -0.387 -0.941 -0.028]
114.26,-109.4455515173246,3.6845737,29,3.298735,-6.85264,1.3340135,3.2609987,-3.8574462,2900,510.9910879135132,-6.798361,3.0517577e-07,0.29466647,100,1.0399978,243749,0.58416384,1.6984079,7.3063774,[-0.667 -1.347 -0.387 -0.941 -0.028]
114.06,-106.90244382569256,4.5697746,30,3.2041924,-7.173218,1.0,2.9005342,-3.1915364,3000,533.7502555847168,-7.173218,9.536743e-09,1.0,100,1.0,255155,,1.6945585,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
126.58,-108.62633443462143,3.9248922,31,2.4968698,-7.5536175,1.0,2.6998513,-3.2514157,3100,558.0274710655212,-7.5536175,-2.8610229e-08,1.0,100,1.0,267813,,1.6348863,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
122.3,-111.17041119156467,4.226113,32,2.8536258,-7.196769,1.0,2.9439445,-3.3574514,3200,583.8519175052643,-7.1967683,3.7670137e-07,0.9999602,100,0.9999992,280043,1.5569474e-05,1.7071902,1.0000722,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
123.32,-109.32997394993365,4.923174,33,2.909215,-7.141321,1.0,3.2220447,-3.3793082,3300,607.6881670951843,-7.141321,1.9550323e-07,1.0,100,1.0,292375,,1.7860078,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
126.64,-109.8457271791033,3.8580728,34,2.4357436,-7.615533,1.0,2.466199,-3.460898,3400,630.5885572433472,-7.615533,-3.0994414e-08,1.0,100,1.0,305039,,1.562542,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
114.68,-108.97320970000088,4.044744,35,3.1756947,-7.9887276,1.0,2.9370892,-3.2045803,3500,652.9179012775421,-7.9887276,9.059906e-08,1.0,100,1.0,316507,,1.7052035,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
124.22,-108.40696371402478,3.8176177,36,2.740504,-7.309905,1.0,2.5681515,-3.2420535,3600,678.3405501842499,-7.309905,4.005432e-07,1.0,100,1.0,328929,,1.5945126,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
123.59,-107.64350316423945,3.0052695,37,2.3488362,-7.7023277,1.0,2.2288363,-4.9702406,3700,701.8813762664795,-7.7023277,-2.3841858e-08,1.0,100,1.0,341288,,1.4854453,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
114.75,-110.66007696138486,3.7745495,38,3.3869503,-6.663599,1.0,2.3504062,-3.1574469,3800,724.7742202281952,-6.663599,5.76973e-07,1.0,100,1.0,352763,,1.5254186,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
116.96,-108.5225230123653,3.5933614,39,3.1697142,-7.62453,1.0,2.6278715,-3.5697994,3900,747.4972810745239,-7.62453,4.816055e-07,1.0,100,1.0,364459,,1.6129453,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
106.46,-107.79912671886507,3.881593,40,3.983006,-153.64539,1.0,2.838629,-4.166443,4000,768.7191166877747,-153.64539,-1.2874604e-07,1.0,100,1.0,375105,,1.6763779,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
126.82,-108.87436031697607,3.339272,41,2.4869978,-7.563447,1.0,2.6395257,-3.4207978,4100,793.6555354595184,-7.563447,3.33786e-07,1.0,100,1.0,387787,,1.616518,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
121.6,-110.83467974692557,4.595221,42,2.7216306,-7.3287616,1.0,2.776548,-2.9458547,4200,816.3034398555756,-7.3287616,,1.0,100,1.0,399947,,1.6579453,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
110.98,-107.96649594839363,3.7527955,43,3.3427348,-8.067295,1.0,2.9684098,-3.303009,4300,838.8876986503601,-8.067295,2.7179718e-07,1.0,100,1.0,411045,,1.7142714,1.0,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
123.24,-111.1739199178675,3.7901447,44,2.9407687,-7.2383013,1.7312433,2.67027,-2.640163,4400,862.923219203949,-7.1639924,-2.3126603e-07,0.045852657,100,1.0932865,423369,0.6233956,1.5386717,4.662831,[-0.669 -1.353 -0.379 -0.935 -0.03 ]
115.97,-110.92033965279975,3.76121,45,3.4148173,-6.6356072,1.0,2.343271,-3.0696912,4500,887.292076587677,-6.6356072,-1.2874604e-07,1.0,100,1.0,434966,,1.5231016,1.0,[-0.666 -1.358 -0.386 -0.92  -0.028]
121.01,-111.30858958444814,3.3361802,46,3.1349192,-6.9154863,1.0,2.710499,-3.096301,4600,911.2361037731171,-6.9154863,3.8146972e-08,1.0,100,1.0,447067,,1.6381071,1.0,[-0.666 -1.358 -0.386 -0.92  -0.028]
125.77,-113.02969618241596,3.6055899,47,2.6914115,-7.359037,1.0,2.7071419,-3.0469217,4700,935.1196072101593,-7.359037,-1.66893e-08,1.0,100,1.0,459644,,1.6370921,1.0,[-0.666 -1.358 -0.386 -0.92  -0.028]
126.92,-111.65912329500328,4.0438404,48,2.7667687,-7.4122114,1.6228833,3.1696048,-3.1476493,4800,960.7480916976929,-7.337022,-3.2424927e-07,0.19276235,100,1.0801878,472336,0.80410665,1.6456375,9.351021,[-0.666 -1.358 -0.386 -0.92  -0.028]
143.33,-113.63664032147545,4.011141,49,1.6837388,-8.366652,1.0,2.8961065,-3.0458884,4900,988.0456409454346,-8.366652,-2.6226044e-08,1.0,100,1.0,486669,,1.6932647,1.0,[-0.665 -1.365 -0.383 -0.908 -0.029]
146.58,-114.02630878055041,3.6425314,50,1.8361497,-8.214233,1.0,2.9085724,-3.2944975,5000,1015.4791350364685,-8.214233,-2.193451e-07,1.0,100,1.0,501327,,1.6969053,1.0,[-0.665 -1.365 -0.383 -0.908 -0.029]
136.38,-111.59680334584958,3.7210107,51,2.125268,-7.9251556,1.0,2.6852605,-3.6330557,5100,1043.2827112674713,-7.9251556,9.536743e-09,1.0,100,1.0,514965,,1.6304624,1.0,[-0.665 -1.365 -0.383 -0.908 -0.029]
130.65,-114.90866263813659,4.716036,52,2.4009507,-7.6494904,1.0,3.6084251,-3.1946883,5200,1068.17750954628,-7.6494904,4.720688e-07,1.0,100,1.0,528030,,1.8900638,1.0,[-0.665 -1.365 -0.383 -0.908 -0.029]
134.77,-112.66512850034472,3.882447,53,2.6666548,-7.9409266,147.50739,16.703455,-2.9213357,5300,1093.3658504486084,-7.7513514,-2.9325486e-07,6.986319e-05,100,1.4865271,541507,3.3910902,1.6396416,30.51009,[-0.665 -1.365 -0.383 -0.908 -0.029]
103.16,-107.69036043428629,3.5916831,54,4.4642205,-3335.3252,1.0,2.6131632,-3.256207,5400,1115.2821986675262,-3335.3252,1.1920929e-07,1.0,100,1.0,551823,,1.6084253,1.0,[-0.666 -1.351 -0.395 -0.937 -0.027]
106.85,-110.59701385769256,3.540441,55,4.2595773,-5.9663343,1.9725436,4.2615213,-3.2488446,5500,1135.8488552570343,-5.8827033,-5.2452087e-08,0.05253257,100,1.0680628,562508,0.8474345,1.7555676,5.122923,[-0.666 -1.351 -0.395 -0.937 -0.027]
92.68,-105.45604717800072,4.7531133,56,5.027237,-5.06347,1.0,2.5773516,-2.9875169,5600,1154.5886931419373,-5.06347,-1.66893e-07,1.0,100,1.0,571776,,1.5973661,1.0,[-0.67  -1.347 -0.387 -0.955 -0.028]
105.56,-105.73135840272715,3.9068604,57,4.3823977,-5.93384,1.7493483,3.7520025,-3.5473852,5700,1175.7735633850098,-5.754857,6.198883e-08,0.18380956,100,1.1299775,582332,0.991818,1.6269345,8.205422,[-0.67  -1.347 -0.387 -0.955 -0.028]
109.47,-108.54158364810354,3.8682606,58,4.98541,-447.61255,196373140.0,55.898926,-3.2523994,5800,1196.5367331504822,-446.4238,1.66893e-07,5.7370086e-09,100,1.2323006,593279,8.028908,1.6773778,89.386444,[-0.673 -1.359 -0.389 -0.943 -0.039]
69.24,-107.22719686070712,3.9622006,59,10.122268,-28764780.0,5040819.0,167.64041,-6.102048,5900,1211.7040083408356,-28764780.0,-1.9073487e-07,1.7163551e-06,100,1.3211684,600203,8.862477,1.7367299,176.08472,[-0.675 -1.326 -0.462 -0.956 -0.066]
115.71,-107.17512793578413,4.2273645,60,3.060507,-7.483882,1.0,2.9093618,-3.1107302,6000,1235.7807455062866,-7.483882,6.8664554e-07,1.0,100,1.0,611774,,1.6971353,1.0,[-0.701 -1.325 -0.38  -0.927 -0.129]
