EpLenMean,EpisodesSoFar,EmpiricalD2,MinIW,J_sample_variance,EpRewMean,InitialReturnMax,InitialReturnMean,TimestepsSoFar,EpThisIter,TimeElapsed,StdIW,Bound,Iteration,InitialBound,MaxIW,ReturnMeanIW,InitialReturnMin,InitialReturnStd,Weights,MeanIW
45.73,100,6995.5786,3.621393e-09,502682340.0,-121.62483749719935,25.629276,1.2969971e-06,4573,100,10.298027753829956,169.2144,2336.5051,1,181.81766,4810.1807,2336.5051,-16.882248,8.854463,[-0.365 -0.68  -0.484 -0.253  0.   ],16.619808
50.62,200,14265.626,1.8636055e-07,2180460.5,-118.89629399313898,30.190628,-2.4414062e-06,9635,100,28.22395396232605,8.934508,248.67825,2,155.96506,1147.4684,248.67825,-17.576828,10.0898485,[-0.347 -0.701 -0.42  -0.341 -0.259],0.8242193
40.64,300,479.76837,0.000101440004,3762023.0,-114.37052914666438,22.15384,4.7683716e-06,13699,100,41.51700949668884,14.903683,492.6931,3,199.1509,166.4116,492.6931,-14.613716,8.0279665,[-0.301 -0.557 -0.412 -0.339 -0.343],3.1117246
43.88,400,1733.093,2.196484e-05,2676516.2,-115.89286484965817,21.288116,1.411438e-06,18087,100,55.31325435638428,12.392979,297.9326,4,182.88799,141.96854,297.9326,-16.007072,8.595331,[-0.396 -0.617 -0.438 -0.299 -0.392],1.9482303
45.15,500,15237349000.0,1.9667766e-14,5046229500.0,-118.76677149386822,23.777336,-4.8065185e-06,22602,100,69.11288666725159,535.10443,7154.621,5,180.80367,7025.4336,7154.621,-16.079453,7.6197705,[-0.386 -0.643 -0.474 -0.234 -0.425],52.506367
37.11,600,65310336.0,7.040435e-07,174911140.0,-118.69641292996086,17.045967,-7.5531007e-06,26313,100,82.63847827911377,67.92891,1604.1681,6,231.76514,782.739,1604.1681,-12.38636,6.5430837,[-0.278 -0.639 -0.524 -0.153 -0.536],7.953985
30.14,700,225323360000000.0,3.081803e-08,106452210.0,-114.30951668533486,15.207184,-4.5013426e-06,29327,100,94.9688503742218,41.149323,1190.097,7,289.07324,420.4135,1190.097,-9.610924,5.3807826,[-0.252 -0.587 -0.528 -0.227 -0.473],4.54181
32.19,800,243138500000.0,1.0859164e-15,1961021800.0,-112.59017607821079,15.419754,9.155273e-07,32546,100,107.22072982788086,240.83113,4511.5073,8,262.60944,2509.8723,4511.5073,-12.977142,6.8043995,[-0.355 -0.622 -0.569 -0.348 -0.411],23.596775
42.19,900,2028848100.0,7.123533e-11,9845214000.0,-116.88725388308805,27.22332,-3.7002565e-06,36765,100,122.31716918945312,727.46063,9991.398,9,194.14052,11641.953,9991.398,-11.688438,8.253339,[-0.278 -0.727 -0.483 -0.3   -0.514],70.9987
49.0,1000,1.9801351e+18,1.2722605e-11,1469455100.0,-124.4688325338823,22.643318,7.3242186e-06,41665,100,138.1986243724823,383.9168,3893.7617,10,170.00906,4084.7266,3893.7617,-13.257843,8.122061,[-0.16  -0.639 -0.326 -0.226 -0.625],37.064903
70.42,1100,3389.7798,3.5103493e-09,994514.2,-140.84827499878057,20.103539,7.6293946e-07,48707,100,159.26416397094727,16.709677,214.94249,11,117.697914,155.39532,214.94249,-17.378975,7.859792,[-0.09  -0.707 -0.239 -0.208 -0.519],2.4921305
82.6,1200,4.090126e+20,2.8404449e-11,411864100.0,-151.6427803276376,18.697823,1.6784668e-06,56967,100,182.8287079334259,242.70932,2067.9968,12,101.184326,17747.102,2067.9968,-18.14814,8.73682,[-0.099 -0.77  -0.224 -0.18  -0.616],6.04543
98.02,1300,61.45102,0.0012209988,25555.129,-150.88277184858217,16.623222,-7.133484e-06,66769,100,210.38166165351868,3.5652103,106.68984,13,79.59847,50.219135,106.68984,-15.875458,7.75944,[-0.065 -0.854 -0.189 -0.278 -0.544],1.3530203
113.26,1400,7449170000000000.0,1.6124511e-17,105836390.0,-154.76475061347986,26.14497,6.1035155e-07,78095,100,239.63589525222778,179.45825,1054.5732,14,66.351585,13216.352,1054.5732,-27.028748,9.775868,[-0.089 -0.859 -0.176 -0.304 -0.563],4.157935
179.71,1500,5.8855658e+20,7.438764e-18,207002940.0,-191.89431581199534,18.752052,-1.4877319e-06,96066,100,285.3581597805023,588.90594,1454.7734,15,40.516956,52181.387,1454.7734,-23.159134,8.711465,[-0.241 -0.876 -0.223 -0.239 -0.594],13.754925
498.52,1600,inf,,6.2809286e-33,-259.74440293681033,15.51395,1.1444092e-06,145918,100,403.3498101234436,2.3113926e-17,-8.001078e-18,16,-9.879093,5.168497e-15,-8.001078e-18,-23.918087,8.815823,[-0.239 -0.814 -0.162 -0.194 -0.745],1.03885923e-19
16.52,1700,14.086198,0.0006470372,2870145.2,-108.120829052012,6.6655884,-6.5612794e-06,147570,100,411.15365719795227,3.5321035,723.7909,17,556.86487,33.482944,723.7909,-4.111824,2.4197528,[-0.31  -0.557 -2.112 -0.198 -0.867],1.3355246
16.28,1800,2.7015405e+19,0.0003849463,7456681500.0,-107.75239942548531,7.028839,-7.5531007e-06,149198,100,418.9756848812103,165.54024,9332.75,18,564.32794,3210.909,9332.75,-4.191742,2.4770734,[-0.322 -0.546 -2.145 -0.203 -0.876],17.74227
16.21,1900,17.705025,0.0010229476,6088668.0,-107.86837953296808,7.831398,-5.569458e-06,150819,100,428.63217878341675,4.8921747,795.31366,19,567.73303,48.08217,795.31366,-4.1934433,2.7626178,[-0.283 -0.617 -2.138 -0.342 -0.647],1.4394239
16.43,2000,938872.94,3.0292158e-10,36638930.0,-107.66758160629362,8.420029,-6.790161e-06,152462,100,437.08538818359375,12.148732,868.54047,20,558.00916,169.34265,868.54047,-4.3383713,2.5094826,[-0.313 -0.497 -2.074 -0.346 -0.684],1.6396545
16.11,2100,89.08212,0.002171058,3859508.0,-107.73338917398641,5.934288,-2.1362305e-06,154073,100,445.33436012268066,3.721302,752.1652,21,571.03827,32.529068,752.1652,-4.5674667,2.47479,[-0.342 -0.518 -2.061 -0.251 -0.79 ],1.3481209
15.94,2200,635195060000000.0,1.5187741e-12,356008430000.0,-107.98133997542804,6.6046677,-1.7547608e-06,155667,100,453.89455103874207,1135.344,59953.31,22,579.2862,16072.853,59953.31,-3.4713745,2.4192755,[-0.359 -0.57  -2.118 -0.193 -0.765],113.3537
16.14,2300,5.870928,0.010763975,751664.8,-108.05620814860983,9.666016,-7.858276e-06,157281,100,464.84283208847046,1.6030875,739.02527,23,571.53107,14.345584,739.02527,-3.5448837,2.6006603,[-0.371 -0.663 -2.225 -0.024 -0.797],1.3073652
15.76,2400,30.816189,0.011898436,9561156.0,-107.93261190897634,7.669159,3.3569336e-06,158857,100,472.77497601509094,6.120534,819.46075,24,586.57904,62.42474,819.46075,-3.8229294,2.5464873,[-0.395 -0.737 -2.288 -0.027 -0.777],1.4637653
16.28,2500,10889.96,4.805392e-07,16885136.0,-108.1597887029344,8.080742,6.027222e-06,160485,100,482.14765429496765,7.7390113,1098.1504,25,566.45215,81.44925,1098.1504,-4.058876,2.6108181,[-0.38  -0.743 -2.289  0.028 -0.72 ],2.0201106
