Weights,EpRewMean,InitialReturnMax,Iteration,StdIW,InitialReturnMin,MinIW,TimestepsSoFar,MeanIW,MaxIW,EpThisIter,TimeElapsed,InitialBound,J_sample_variance,InitialReturnStd,EmpiricalD2,Bound,EpisodesSoFar,EpLenMean,ReturnMeanIW,InitialReturnMean
[-0.365 -0.68  -0.484 -0.253  0.   ],-121.62483749719935,25.629276,1,169.2144,-16.882248,3.621393e-09,4573,16.619808,4810.1807,100,9.622967720031738,181.81766,502682340.0,8.854463,6995.5786,2336.5051,100,45.73,2336.5051,1.2969971e-06
[-0.347 -0.701 -0.42  -0.341 -0.259],-118.89629399313898,30.190628,2,8.934508,-17.576828,1.8636055e-07,9635,0.8242193,1147.4684,100,27.376173496246338,155.96506,2180460.5,10.0898485,14265.626,248.67825,200,50.62,248.67825,-2.4414062e-06
[-0.301 -0.557 -0.412 -0.339 -0.343],-114.37052914666438,22.15384,3,14.903683,-14.613716,0.000101440004,13699,3.1117246,166.4116,100,40.921109199523926,199.1509,3762023.0,8.0279665,479.76837,492.6931,300,40.64,492.6931,4.7683716e-06
[-0.396 -0.617 -0.438 -0.299 -0.392],-115.89286484965817,21.288116,4,12.392979,-16.007072,2.196484e-05,18087,1.9482303,141.96854,100,55.82748222351074,182.88799,2676516.2,8.595331,1733.093,297.9326,400,43.88,297.9326,1.411438e-06
[-0.386 -0.643 -0.474 -0.234 -0.425],-118.76677149386822,23.777336,5,535.10443,-16.079453,1.9667766e-14,22602,52.506367,7025.4336,100,69.33778619766235,180.80367,5046229500.0,7.6197705,15237349000.0,7154.621,500,45.15,7154.621,-4.8065185e-06
[-0.278 -0.639 -0.524 -0.153 -0.536],-118.69641292996086,17.045967,6,67.92891,-12.38636,7.040435e-07,26313,7.953985,782.739,100,84.41775488853455,231.76514,174911140.0,6.5430837,65310336.0,1604.1681,600,37.11,1604.1681,-7.5531007e-06
[-0.252 -0.587 -0.528 -0.227 -0.473],-114.30951668533486,15.207184,7,41.149323,-9.610924,3.081803e-08,29327,4.54181,420.4135,100,97.94651985168457,289.07324,106452210.0,5.3807826,225323360000000.0,1190.097,700,30.14,1190.097,-4.5013426e-06
[-0.355 -0.622 -0.569 -0.348 -0.411],-112.59017607821079,15.419754,8,240.83113,-12.977142,1.0859164e-15,32546,23.596775,2509.8723,100,110.94388794898987,262.60944,1961021800.0,6.8043995,243138500000.0,4511.5073,800,32.19,4511.5073,9.155273e-07
[-0.278 -0.727 -0.483 -0.3   -0.514],-116.88725388308805,27.22332,9,727.46063,-11.688438,7.123533e-11,36765,70.9987,11641.953,100,126.21322393417358,194.14052,9845214000.0,8.253339,2028848100.0,9991.398,900,42.19,9991.398,-3.7002565e-06
[-0.16  -0.639 -0.326 -0.226 -0.625],-124.4688325338823,22.643318,10,383.9168,-13.257843,1.2722605e-11,41665,37.064903,4084.7266,100,144.28792786598206,170.00906,1469455100.0,8.122061,1.9801351e+18,3893.7617,1000,49.0,3893.7617,7.3242186e-06
