TimestepsSoFar,Weights,InitialReturnMean,EmpiricalD2,InitialReturnMin,MeanIW,StdIWNorm,InitialReturnMax,InitialReturnStd,ReturnMeanIW,MaxIW,StdIW,EpisodesSoFar,InitialBound,MeanIWNorm,MaxIWNorm,MinIW,EpRewMean,ESSClassic,ESSRenyi,TimeElapsed,EpThisIter,EpLenMean,MinIWNorm,Itaration,Bound
833,[ 0.098 -0.237  0.047 ...  0.096  0.329  0.   ],-6.1035157e-06,14.368574,-73.2523,1.3171619,0.05375099,286.55508,57.06931,166.88951,53.809063,5.375099,100,-2.8799937,0.013171621,0.53809065,0.041569583,73.25229043186765,5.6647315,6.959633,0.787883996963501,100,8.33,0.00041569583,1,155.97266
2120,[ 0.098 -0.237  0.047 ...  0.119  0.371 -0.049],9.765625e-06,8.169041,-118.63181,0.8343036,0.017974686,311.09128,95.190926,71.999855,13.921738,1.7974687,200,-3.126578,0.008343035,0.13921738,0.04162308,118.63182039330462,17.725245,12.24134,10.692343950271606,100,12.87,0.00041623076,2,63.063595
5127,[ 0.105 -0.245  0.081 ...  0.136  0.416 -0.16 ],-1.8310546e-06,82828.72,-280.58026,23.137077,2.285122,539.1906,184.32812,8943.218,2296.7913,228.51219,300,-5.4190702,0.23137078,22.967913,1.3010118e-10,290.5622537579892,1.0147725,0.0012073107,20.778038501739502,100,30.07,1.3010118e-12,3,7383.611
12329,[ 0.102 -0.242  0.072 ...  0.144  0.445 -0.35 ],1.0986329e-05,5.608429,-709.9291,1.0425757,0.020335535,1759.4386,310.89432,107.44855,11.118157,2.0335534,400,-17.683014,0.010425756,0.11118157,0.015281508,709.9290879169816,20.81388,17.830305,37.21986198425293,100,72.02,0.00015281508,4,65.571396
20706,[ 0.102 -0.237  0.072 ...  0.144  0.447 -0.42 ],-1.0986329e-05,11.202265,-807.44446,1.39845,0.046708096,1831.8623,322.5761,767.78595,40.597298,4.6708093,500,-18.41092,0.013984499,0.40597296,0.0043207826,827.40765381857,8.226705,8.926766,48.485636949539185,100,83.77,4.3207827e-05,5,706.16504
29660,[ 0.102 -0.237  0.079 ...  0.148  0.459 -0.494],-5.0048828e-05,154.00417,-885.1125,2.4059417,0.103486754,904.52545,310.20096,626.985,75.53488,10.348675,600,-9.090868,0.024059415,0.7553488,2.9804398e-05,885.1124432672949,5.1278963,0.64933306,61.531529664993286,100,89.54,2.9804397e-07,6,514.1693
39478,[ 0.102 -0.237  0.08  ...  0.152  0.465 -0.536],4.272461e-05,216.65718,-961.51514,2.6699576,0.09987215,1217.8494,336.15063,713.4805,89.612625,9.987215,700,-12.239804,0.026699578,0.8961262,0.00065106276,971.4952211748622,6.670219,0.46155867,74.17588925361633,100,98.18,6.5106274e-06,7,533.31885
49738,[ 0.102 -0.236  0.077 ...  0.149  0.462 -0.526],-3.0517579e-06,107.809944,-1015.7109,1.7049155,0.08673285,1043.8752,305.97397,549.5714,85.34208,8.673285,800,-10.491344,0.017049154,0.8534208,0.00024593133,1015.7108783159077,3.7202606,0.92755824,86.96980619430542,100,102.6,2.4593132e-06,8,440.63818
59771,[ 0.103 -0.238  0.084 ...  0.153  0.469 -0.547],4.8828126e-05,2.9152756,-993.0011,1.2140474,0.016006026,1026.5795,362.72522,31.529028,10.855648,1.6006026,900,-10.31746,0.012140474,0.10855648,0.050433837,993.0011515331354,36.52056,34.302074,99.90965247154236,100,100.33,0.00050433836,9,13.912725
70698,[ 0.103 -0.238  0.083 ...  0.154  0.474 -0.547],2.0751953e-05,1028.9006,-1082.4012,3.5977662,0.22518453,1317.2091,340.80295,2841.5146,209.15323,22.518454,1000,-13.23843,0.035977665,2.0915322,4.648048e-06,1082.4012650743744,2.489097,0.09719112,109.3521797657013,100,109.27,4.648048e-08,10,2416.8718
82365,[ 0.103 -0.237  0.086 ...  0.158  0.485 -0.61 ],3.0517578e-05,269.96387,-1156.3927,1.5775968,0.07652919,1283.1044,377.45285,787.3561,64.9936,7.6529193,1100,-12.895647,0.015775967,0.64993596,0.0017228387,1156.3927379348356,4.0762777,0.37041995,124.25020170211792,100,116.67,1.7228387e-05,11,575.47253
93359,[ 0.104 -0.238  0.09  ...  0.158  0.486 -0.618],7.8125e-05,7.7256618,-559.35333,1.1376988,0.018465152,910.5231,273.78146,98.30278,12.897009,1.8465154,1200,-9.151021,0.011376988,0.12897009,0.012863074,1089.0973600208204,27.51625,12.943875,136.70544910430908,100,109.94,0.00012863074,12,72.867226
105215,[ 0.104 -0.238  0.089 ...  0.159  0.489 -0.615],0.00015625,25.129223,-695.546,2.0263703,0.15382506,1714.2755,355.34848,2690.6626,154.8129,15.382506,1300,-17.228968,0.020263705,1.548129,3.0387513e-05,1175.279331199756,1.705735,3.9794307,148.64272499084473,100,118.56,3.038751e-07,13,2604.2947
