Weights,EpLenMean,EpRewMean,J_sample_variance,MeanIWNorm,MaxIWNorm,StdIWNorm,InitialReturnMax,EpisodesSoFar,MaxIW,MinIWNorm,EpThisIter,TimeElapsed,ESSClassic,Iteration,EmpiricalD2,InitialReturnMin,MeanIW,MinIW,TimestepsSoFar,StdIW,ReturnMeanIW,ESSRenyi,InitialReturnStd,InitialReturnMean,Bound,InitialBound
[-0.822 -0.493 -0.474 -0.749  0.   ],35.09,-108.1894935537418,21767.275,0.0137613835,0.6517207,0.06749228,33.495453,100,65.17207,3.1473219e-06,100,7.534422397613525,3.991406,1,25.738585,-16.371025,1.3761383,0.0003147322,3509,6.749229,15.707541,3.8852174,10.794412,-4.119873e-06,10.043102,-1.1165193
[-0.838 -0.527 -0.481 -0.832 -0.108],34.18,-106.8623521450013,1673.2064,0.008914819,0.13693117,0.01636389,50.513954,200,13.693117,0.00022947896,100,18.986141443252563,22.88662,2,5.515043,-15.953056,0.89148194,0.022947896,6927,1.6363891,6.5797844,18.132225,13.606525,8.392334e-07,2.6255302,-1.6837976
[-0.796 -0.589 -0.458 -0.845 -0.127],40.19,-106.36013242416384,329551.22,0.020398108,1.1987522,0.121628955,47.854977,300,119.87521,3.6036096e-07,100,30.868674278259277,2.7356439,3,73.0801,-18.805008,2.039811,3.6036097e-05,10946,12.162895,54.675503,1.3683616,13.84145,-2.1743774e-06,41.038925,-1.5951682
[-0.895 -0.634 -0.48  -0.837 -0.299],36.92,-107.43642943578593,1148854100.0,1.7750949,176.88756,17.599485,46.543655,400,17688.756,4.084244e-10,100,41.24553990364075,1.0070413,4,17419.682,-14.600143,177.50948,4.084244e-08,14638,1759.9486,3388.1384,0.0057406332,11.796202,-3.5095215e-06,3183.3718,-1.551459
[-1.001 -0.658 -0.479 -0.781 -0.501],45.42,-105.19611185256367,350985.28,0.0231674,1.5945672,0.15872838,37.115356,500,159.45673,2.1278854e-06,100,56.71246552467346,2.0858874,5,374.34225,-22.38034,2.3167403,0.00021278854,19180,15.872836,57.98572,0.26713523,14.18603,4.310608e-06,34.04888,-1.2371743
[-1.036 -0.718 -0.496 -0.855 -0.492],45.65,-105.87262075797818,298.07837,0.010422919,0.03516477,0.006492291,33.117527,600,3.516477,0.0023900287,100,70.67231702804565,72.04677,6,1.4835825,-20.747711,1.0422919,0.23900288,23745,0.6492291,1.6946907,67.40441,12.565872,1.5258789e-07,0.35009265,-1.1039176
[-1.033 -0.703 -0.473 -0.845 -0.521],42.88,-105.04221389224489,10322.209,0.015246757,0.6270332,0.0632949,38.75061,700,62.70332,2.128873e-05,100,83.19431447982788,5.484302,7,12.685256,-20.305397,1.5246757,0.002128873,28033,6.32949,9.17882,7.8831677,14.536414,-3.2806397e-06,4.5782995,-1.2916903
[-1.061 -0.716 -0.448 -0.869 -0.535],44.46,-103.41069135377823,1446.3782,0.010100778,0.0790557,0.0113922125,41.471703,800,7.90557,0.00038106288,100,95.41523551940918,44.012974,8,3.4580936,-21.977486,1.0100777,0.03810629,32479,1.1392214,4.9119987,28.917667,14.16423,4.4631956e-06,2.341313,-1.3823856
[-1.045 -0.752 -0.439 -0.909 -0.512],46.31,-103.88044209081721,11255.866,0.011314349,0.23045073,0.024898106,45.505753,900,23.045074,0.00010601972,100,107.66185712814331,17.115835,9,11.397224,-23.670692,1.131435,0.010601972,37110,2.4898107,9.182138,8.774066,14.739718,5.722046e-07,4.0612583,-1.5168579
[-1.042 -0.776 -0.416 -0.954 -0.52 ],45.9,-103.64700179711078,260.6386,0.009501887,0.02915815,0.005330958,46.593994,1000,2.915815,0.0017497196,100,120.76902723312378,76.05902,10,1.3433284,-22.41729,0.9501887,0.17497197,41700,0.53309584,1.2032331,74.44196,13.298738,-2.9373168e-06,-0.5968801,-1.5531362
[-1.031 -0.763 -0.404 -0.935 -0.528],45.52,-101.92473190776842,551.3002,0.009653642,0.03195345,0.004526312,54.4171,1100,3.195345,0.0022648359,100,133.09806108474731,81.97797,11,1.253786,-24.46151,0.96536416,0.2264836,46252,0.4526312,1.8340596,79.75843,15.678798,4.653931e-06,-0.19701493,-1.8138986
[-1.051 -0.784 -0.419 -0.949 -0.536],47.46,-102.37749234660515,76742.59,0.07304974,6.6126895,0.65739185,60.14605,1200,661.269,2.2722026e-05,100,146.13876914978027,1.2197165,12,75.50988,-22.647156,7.304973,0.0022722026,50998,65.73918,26.605572,1.32433,14.085099,-2.632141e-06,9.183983,-2.0048711
[-1.033 -0.811 -0.422 -0.921 -0.538],47.53,-104.59843882230535,470.01593,0.012183198,0.08818777,0.014490531,54.70765,1300,8.818777,0.0004505748,100,159.16605138778687,41.41404,13,2.0527787,-22.596031,1.2183199,0.04505748,55751,1.449053,2.6814232,48.71446,13.068074,2.3269654e-06,0.068673134,-1.8235861
[-1.005 -0.782 -0.412 -0.899 -0.588],45.5,-104.24744648946339,61631.81,0.03209682,2.1210723,0.21110363,47.557056,1400,212.10722,4.7141424e-05,100,171.67400527000427,2.259474,14,25.731281,-22.474525,3.2096822,0.0047141425,60301,21.110363,25.057457,3.8863204,14.61525,1.5640259e-06,17.016191,-1.5852338
[-1.076 -0.802 -0.416 -0.934 -0.62 ],47.46,-103.18927100030693,274.76328,0.009488398,0.032946225,0.00686885,47.976425,1500,3.2946227,0.0007387317,100,185.20713639259338,65.614136,15,1.9279248,-22.921448,0.9488397,0.07387317,65047,0.68688506,2.2811055,51.869244,13.609551,3.7384034e-06,0.060600996,-1.5992105
[-1.08  -0.809 -0.403 -0.933 -0.622],47.65,-102.19997206105347,3605.3782,0.012651971,0.09654557,0.015557637,53.751877,1600,9.654557,0.0010755416,100,196.8989543914795,39.80786,16,2.1907003,-22.57557,1.265197,0.10755417,69812,1.5557637,6.196878,45.647503,14.802287,-4.9209593e-06,3.544937,-1.7917342
[-1.099 -0.776 -0.397 -0.926 -0.633],47.25,-102.6560820579186,209.05074,0.009640846,0.021644486,0.0029291227,42.58915,1700,2.1644487,0.0043616826,100,209.60389184951782,91.54918,17,1.0981132,-24.867462,0.9640847,0.43616825,74537,0.2929123,0.33204862,91.06529,13.480769,1.1444092e-06,-1.1556032,-1.4196372
[-1.102 -0.779 -0.392 -0.933 -0.632],44.66,-102.52942533529675,4370.0386,0.011924902,0.16199714,0.023233972,39.091476,1800,16.199715,0.00019132282,100,221.01233506202698,20.850285,18,5.4806504,-21.291687,1.1924903,0.019132283,79003,2.3233974,5.182511,18.24601,14.690581,7.05719e-06,2.1319697,-1.3030423
[-1.091 -0.758 -0.382 -0.946 -0.655],48.07,-102.58436526613268,102482.414,0.017381132,0.72980314,0.07373764,43.786552,1900,72.980316,5.838491e-05,100,233.98640513420105,5.2637334,19,56.533768,-25.466698,1.7381133,0.005838491,83810,7.3737645,30.528753,1.7688544,12.593723,1.2588501e-06,19.554539,-1.4595506
[-1.046 -0.697 -0.354 -0.894 -0.602],48.29,-104.32444359159938,4239.008,0.014343181,0.21119502,0.027501779,32.90794,2000,21.119503,0.00025482866,100,247.7128918170929,21.383667,20,5.0389495,-24.627136,1.4343181,0.025482865,88639,2.750178,6.2090087,19.845406,13.0737295,-2.861023e-06,3.7466605,-1.0969342
[-1.053 -0.656 -0.359 -0.876 -0.56 ],45.69,-103.31197675711245,4645.719,0.012232352,0.25251076,0.03383094,32.51851,2100,25.251076,0.00011001405,100,259.16368293762207,11.56195,21,8.103979,-22.384247,1.2232354,0.011001405,93208,3.383094,8.135906,12.339617,12.898321,-1.6403199e-06,5.050172,-1.0839521
[-1.066 -0.681 -0.363 -0.863 -0.545],49.32,-102.931613069081,4196.953,0.012111067,0.1484121,0.023484891,39.36267,2200,14.841209,3.168231e-05,100,272.4097571372986,21.00747,22,7.579784,-24.891113,1.2111068,0.0031682309,98140,2.3484893,6.210068,13.192988,13.036296,-1.9454956e-06,2.5977025,-1.3120912
[-1.038 -0.665 -0.383 -0.852 -0.59 ],46.79,-102.45852208766057,6566.617,0.010146602,0.12423619,0.014561729,64.08604,2300,12.423619,0.00033706,100,283.9451835155487,32.683918,23,3.6997814,-23.29586,1.0146602,0.033706,102819,1.456173,9.060979,27.028624,15.059287,-2.670288e-07,4.952035,-2.1362016
[-1.003 -0.695 -0.36  -0.868 -0.576],47.54,-103.82337111565563,1954.6246,0.009941123,0.12868014,0.017735014,30.751156,2400,12.868014,5.7873902e-05,100,297.337602853775,23.908157,24,5.940019,-21.863113,0.9941124,0.0057873903,107573,1.7735015,5.41937,16.834963,12.327799,4.3869018e-06,2.9211304,-1.0250342
[-0.985 -0.706 -0.353 -0.902 -0.66 ],44.33,-102.48828094812252,1215.2766,0.013938905,0.18785167,0.025506247,34.42004,2500,18.785168,6.7748835e-05,100,309.2264835834503,22.997026,25,5.5208244,-23.813423,1.3938904,0.0067748837,112006,2.5506246,5.2287273,18.113237,13.55733,4.272461e-06,2.5328999,-1.1473303
[-0.975 -0.75  -0.364 -0.951 -0.695],45.71,-102.76699767357492,72624.234,0.01927047,1.0310317,0.104192935,42.01423,2600,103.10318,2.2448066e-05,100,321.6270694732666,3.3075073,26,73.71172,-22.15493,1.927047,0.0022448066,116577,10.419294,26.787424,1.3566363,13.777109,-3.6621093e-06,14.763577,-1.400478
[-0.991 -0.737 -0.344 -0.917 -0.681],48.74,-101.60985122721537,352.75723,0.01039296,0.029205551,0.0036405656,65.062805,2700,2.920555,0.005244458,100,335.41087222099304,89.070656,27,1.094809,-24.838371,1.0392959,0.52444583,121451,0.36405656,0.8637471,91.340126,15.10435,-2.708435e-06,-1.4054945,-2.168763
[-0.991 -0.738 -0.345 -0.913 -0.661],50.66,-101.94284162980111,4898.704,0.011022341,0.2693765,0.02770419,58.51334,2800,26.93765,0.00012532299,100,349.3658263683319,13.665926,28,5.397965,-26.512367,1.1022342,0.012532299,126517,2.7704194,7.84098,18.5255,15.847817,-1.5258789e-06,3.30941,-1.9504464
[-0.948 -0.728 -0.333 -0.923 -0.632],45.36,-103.07318965050676,346059.06,0.031250417,2.0660262,0.2059231,38.676365,2900,206.60262,5.5673558e-05,100,361.68534207344055,2.2511942,29,44.021927,-21.7266,3.1250422,0.005567356,131053,20.592312,63.26139,2.2715952,13.002324,2.2506713e-06,54.707596,-1.2892103
[-0.876 -0.77  -0.298 -0.948 -0.602],47.39,-101.66567210334415,287.7773,0.0108171245,0.030356053,0.005956084,34.53167,3000,3.0356054,0.002162834,100,375.2165620326996,76.73549,30,1.3163393,-23.919266,1.0817126,0.2162834,135792,0.59560835,1.3250834,75.96826,14.415469,4.5776366e-07,0.0044561625,-1.1510552
[-0.862 -0.765 -0.283 -0.945 -0.627],46.77,-101.3954182694377,3191.1943,0.0095619,0.11642235,0.016924206,39.530487,3100,11.642235,7.1283935e-06,100,387.5209949016571,24.196857,31,7.2495055,-24.773026,0.95619005,0.00071283936,140469,1.6924207,7.2729917,13.7940445,13.638112,-5.340576e-07,3.725143,-1.3176833
[-0.875 -0.735 -0.255 -0.949 -0.657],42.38,-100.47962269650498,276.4742,0.01103606,0.023191309,0.0033804707,64.902054,3200,2.319131,0.0056963805,100,399.9207487106323,91.42215,32,1.0970687,-21.899734,1.103606,0.5696381,144707,0.33804706,0.6221224,91.152,13.604442,-5.607605e-06,-1.6438471,-2.1634073
[-0.868 -0.753 -0.256 -0.96  -0.654],47.07,-100.89318019475033,385.31982,0.010069263,0.037126444,0.0042057545,40.76082,3300,3.7126446,0.0043816334,100,412.76161003112793,85.145615,33,1.1714981,-25.016464,1.0069263,0.43816334,149414,0.4205755,0.8556824,85.36079,13.192852,-4.196167e-06,-0.6149105,-1.3586984
[-0.869 -0.757 -0.251 -0.964 -0.624],47.42,-100.81516882144557,985.2645,0.011923755,0.16616394,0.02054763,22.811626,3400,16.616394,0.00021500901,100,425.92111802101135,25.191475,34,5.2581553,-23.725258,1.1923755,0.021500902,154156,2.054763,4.2500954,19.018076,12.237873,2.708435e-06,2.4366422,-0.7908393
[-0.852 -0.769 -0.227 -0.994 -0.608],47.92,-99.95212396586781,318.80054,0.0111085735,0.051247552,0.007629594,38.60458,3500,5.1247554,0.0009437297,100,439.01756858825684,67.9476,35,1.5165243,-26.692795,1.1108574,0.09437297,158948,0.76295936,1.3461901,65.940254,12.65897,-9.536743e-07,-0.23849249,-1.2868203
[-0.816 -0.772 -0.226 -0.991 -0.616],47.94,-99.83900994480759,5396.653,0.012865349,0.34252882,0.036479495,37.043953,3600,34.252884,0.00017097681,100,451.94244289398193,11.061984,36,9.223155,-25.321457,1.2865349,0.017097682,163742,3.64795,7.640718,10.842277,13.070318,-2.2506713e-06,3.8906784,-1.2348008
