Bound,TimeElapsed,EpThisIter,InitialReturnMean,InitialReturnStd,TimestepsSoFar,InitialReturnMin,Iteration,EpLenMean,J_sample_variance,StdIW,InitialReturnMax,ReturnMeanIW,MinIW,InitialBound,MeanIW,MaxIW,EpRewMean,Weights,EpisodesSoFar,EmpiricalD2
-69970590000.0,8.041929006576538,100,1.3446808e-06,7.9532566,3509,-20.043964,1,35.09,141.74605,0.7225866,10.9685335,18.63558,0.17511468,-69970590000.0,1.1346197,5.129184,-108.1894935537418,[-0.822 -0.493 -0.474 -0.749  0.   ],100,1.5729611
-3661894400.0,17.093492031097412,100,3.0517577e-07,6.6713605,7349,-14.809541,2,38.4,63.605675,0.8085949,9.000944,17.099043,0.0117692845,-3661894400.0,0.8620628,8.256432,-107.30313720117405,[-0.825 -0.502 -0.446 -0.756 -0.003],200,5.1370378
-6201450000.0,25.33604073524475,100,6.198883e-07,7.9892473,11195,-20.515373,3,38.46,85.71605,0.6439059,9.283865,16.414291,0.104594216,-6201450000.0,0.9606541,6.421751,-106.88423964394303,[-0.82  -0.47  -0.432 -0.796 -0.038],300,1.78724
-8506791400.0,34.0773868560791,100,6.1035155e-07,8.599233,14875,-23.040207,4,36.8,136.43532,0.85750914,10.7706175,16.866581,0.102175,-8506791400.0,1.1278797,5.3738933,-106.11723178277693,[-0.824 -0.475 -0.402 -0.796 -0.036],400,1.481569
-6890500600.0,43.18656325340271,100,-4.5776366e-07,8.049364,18506,-22.815584,5,36.31,76.55023,1.2353127,9.846075,17.552582,0.0857032,-6890500600.0,1.1016227,8.576875,-106.51798500502255,[-0.829 -0.495 -0.427 -0.779 -0.045],500,1.906973
-9451990000.0,50.81245398521423,100,7.2479247e-07,8.458211,22025,-18.995758,6,35.19,71.3423,0.4558263,11.273869,17.382856,0.25447798,-9451990000.0,0.96272475,3.321321,-105.95081769335157,[-0.838 -0.522 -0.435 -0.76  -0.044],600,1.2985252
-24397236000.0,57.77344512939453,100,-1.0681152e-06,7.142758,25462,-13.995716,7,34.37,89.4214,0.76644206,10.95771,18.467333,0.13899529,-24397236000.0,0.9834539,7.8147364,-107.52336257057453,[-0.841 -0.533 -0.427 -0.751 -0.045],700,1.9204673
-5581305300.0,67.08819723129272,100,5.722046e-07,6.658279,29841,-17.376457,8,43.79,83.99614,0.85100657,7.6963444,15.305499,0.01771911,-5581305300.0,0.7681202,10.330845,-105.98479979740699,[-0.849 -0.551 -0.405 -0.751 -0.052],800,7.0977407
-837724000.0,76.90483713150024,100,-1.8119812e-07,5.6468034,34532,-20.421524,9,46.91,101.43402,3.839771,6.5129023,13.9028,3.417378e-05,-837724000.0,1.3202947,33.09987,-106.11760522365621,[-0.868 -0.585 -0.375 -0.754 -0.05 ],900,249.94992
-16007027000.0,86.60704827308655,100,-3.1471254e-07,5.5181017,39175,-20.188404,10,46.43,146.01103,2.3340676,7.137985,14.5018425,6.107294e-05,-16007027000.0,1.1045196,15.395079,-106.22747339333766,[-0.867 -0.639 -0.397 -0.703 -0.057],1000,87.92244
-753951600.0,96.59028911590576,100,4.7683715e-09,4.732433,44194,-14.368291,11,50.19,39.58384,1.1339098,6.3926516,13.731768,0.061564572,-753951600.0,0.9381603,11.811474,-105.09395788703404,[-0.917 -0.665 -0.347 -0.703 -0.114],1100,3.203198
-66822252.0,108.49395394325256,100,-7.9154967e-07,3.9199886,49558,-19.310465,12,53.64,23.594019,1.4579705,4.4915733,12.234655,0.0053582243,-66822252.0,0.6916277,12.690507,-104.33978918053742,[-0.92  -0.683 -0.337 -0.683 -0.109],1200,11.632993
-5330163.5,120.56786751747131,100,-5.2928925e-07,2.4930816,55896,-10.874393,13,63.38,54.07741,2.8866513,4.123732,10.534594,0.00015020354,-5330164.0,1.0118182,22.147549,-103.83938386286391,[-0.93  -0.709 -0.313 -0.666 -0.114],1300,184.81073
-8124017.0,134.25736093521118,100,-2.1457672e-07,2.6554747,62874,-14.124233,14,69.78,20.160484,1.6346532,4.22345,9.402686,0.0043013194,-8124018.0,0.8069497,34.29348,-103.26497874207776,[-0.898 -0.699 -0.329 -0.614 -0.24 ],1400,25.281675
-6.39694,152.61360692977905,100,-6.723404e-07,1.7198251,72160,-3.2721539,15,92.86,5.256539,0.7207847,4.3797646,4.8698006,0.13659826,-6.4905176,1.0638305,4.15083,-102.27792988416489,[-0.901 -0.715 -0.307 -0.593 -0.256],1500,1.6188312
-6.2309084,167.81717777252197,100,-3.6239624e-07,2.1665592,80126,-9.404213,16,79.66,6.825138,0.69949764,4.3032036,6.8833027,0.097080514,-6.4388523,0.88619924,5.5122476,-102.95722685729835,[-0.9   -0.712 -0.321 -0.595 -0.258],1600,2.0042567
-5.3536606,185.25804471969604,100,-6.6280364e-07,2.0095234,89345,-10.735718,17,92.19,3.666482,0.4782823,3.7048624,4.7335463,0.42463833,-5.409074,1.0016237,4.862568,-102.22685159172202,[-0.903 -0.72  -0.311 -0.588 -0.257],1700,1.197229
-5.8766556,204.92738699913025,100,-1.2874604e-07,1.6369224,99282,-2.8939776,18,99.37,3.459536,0.92546904,4.7823377,4.253522,0.11161779,-5.9721036,1.1050668,12.491632,-101.90467581305634,[-0.904 -0.724 -0.304 -0.585 -0.258],1800,1.7830428
-7.5040264,227.77475214004517,100,-2.861023e-07,1.6296251,111057,-3.1559987,19,117.75,2.6825032,,3.9066174,2.5464897,1.0,-7.5040264,1.0,1.0,-102.12690362819039,[-0.901 -0.729 -0.306 -0.571 -0.259],1900,1.0
-7.522377,249.6800036430359,100,-5.245209e-07,1.6105965,122441,-3.3648534,20,113.84,2.6202226,,4.0305996,2.5283244,1.0,-7.522377,1.0,1.0,-100.1699676111051,[-0.901 -0.729 -0.306 -0.571 -0.259],2000,1.0
-7.928852,273.56196880340576,100,5.00679e-08,1.6819986,134575,-3.1104093,21,121.34,3.1622574,0.5435885,4.2073975,2.1712973,0.1182186,-7.987239,1.0397345,4.349376,-100.85623836074396,[-0.901 -0.729 -0.306 -0.571 -0.259],2100,1.438433
-5.8139615,294.5238399505615,100,2.861023e-07,1.5592018,144772,-3.3181963,22,101.97,11.425508,1.7149746,4.1714516,4.5582395,8.975159e-06,-6.2029934,1.0870024,15.868642,-103.28212269984144,[-0.9   -0.725 -0.311 -0.578 -0.258],2200,30.138134
-5.5723825,312.5480592250824,100,2.9563904e-07,1.5775952,154353,-3.2126288,23,95.81,3.1655803,0.66343945,4.1456647,4.554053,0.23651631,-5.677198,1.0080364,6.3959723,-101.7026025118277,[-0.909 -0.72  -0.29  -0.598 -0.26 ],2300,1.6214621
-7.305604,333.50611186027527,100,2.4080276e-07,1.7003722,165653,-3.5315747,24,113.0,2.92047,,3.9585896,2.8600378,1.0,-7.305604,1.0,1.0,-103.05090793587968,[-0.907 -0.722 -0.301 -0.586 -0.258],2400,1.0
-6.2586036,352.73810338974,100,-3.528595e-07,1.591861,175743,-3.9011774,25,100.9,2.5596173,,3.3612735,3.8037744,1.0,-6.2586036,1.0,1.0,-102.34839434965687,[-0.907 -0.722 -0.301 -0.586 -0.258],2500,1.0
-6.0284677,372.19741916656494,100,2.5272368e-07,1.5994586,185739,-2.8704224,26,99.96,2.5841084,,3.9828153,4.022083,1.0,-6.0284677,1.0,1.0,-101.87298222571938,[-0.907 -0.722 -0.301 -0.586 -0.258],2600,1.0
-6.5030613,391.1739113330841,100,2.1457672e-07,1.7054774,196236,-2.7489524,27,104.97,2.9380322,,3.7810092,3.5476205,1.0,-6.5030613,1.0,1.0,-102.24538714767759,[-0.907 -0.722 -0.301 -0.586 -0.258],2700,1.0
-7.170884,411.1153357028961,100,-5.4836274e-08,1.6967276,206562,-3.1525192,28,103.26,2.9079635,,4.17031,3.6234887,1.0,-7.170884,1.0,1.0,-101.80141695225944,[-0.907 -0.722 -0.301 -0.586 -0.258],2800,1.0
-7.4878035,432.8479971885681,100,-6.198883e-07,1.741156,218290,-2.938486,29,117.28,3.0622466,,3.721495,2.5626595,1.0,-7.4878035,1.0,1.0,-100.92052414998165,[-0.907 -0.722 -0.301 -0.586 -0.258],2900,1.0
-5.665226,451.72297286987305,100,8.5830686e-07,1.9924625,228063,-6.581362,30,97.73,4.010007,,4.2204485,4.38571,1.0,-5.665226,1.0,1.0,-102.77739588528085,[-0.907 -0.722 -0.301 -0.586 -0.258],3000,1.0
-447.10486,470.11019349098206,100,3.4809113e-07,2.1790433,237943,-13.532503,31,98.8,4.796191,,3.7957325,4.161044,1.0,-447.10486,1.0,1.0,-101.76513659223589,[-0.907 -0.722 -0.301 -0.586 -0.258],3100,1.0
-6.0702553,489.7548942565918,100,4.529953e-07,1.7509768,248281,-3.0757375,32,103.38,4.8873234,0.6080087,3.7151208,4.085513,0.09002511,-6.163642,1.0154616,6.02845,-100.66437887191655,[-0.907 -0.722 -0.301 -0.586 -0.258],3200,1.7496296
-5.832598,507.4191493988037,100,-4.863739e-07,1.7231495,258168,-3.9946766,33,98.87,2.999236,1.5780993e-06,4.49723,4.2180905,0.9999949,-5.832599,1.0,1.0000064,-103.19590776349568,[-0.91  -0.72  -0.289 -0.596 -0.26 ],3300,1.0
-6.084195,524.9614851474762,100,-1.6212464e-07,1.8077165,268180,-6.6088123,34,100.12,3.3008473,,3.9568598,3.96676,1.0,-6.084195,1.0,1.0,-101.91643761530666,[-0.91  -0.72  -0.289 -0.596 -0.26 ],3400,1.0
-7.169502,541.3863484859467,100,2.5749208e-07,1.694038,277536,-3.6410666,35,93.56,2.898752,,4.5303583,4.892073,1.0,-7.169502,1.0,1.0,-103.05022907201716,[-0.91  -0.72  -0.289 -0.596 -0.26 ],3500,1.0
-7.7097125,560.3560936450958,100,7.6293946e-07,1.7457404,287980,-3.0295372,36,104.44,6.7143426,1.7379556,3.843707,4.20974,0.0065011503,-7.8926287,1.0187703,33.765873,-102.62553603608802,[-0.91  -0.72  -0.289 -0.596 -0.26 ],3600,20.110289
-8.870723,586.1664819717407,100,2.670288e-07,1.8007804,301891,-6.9915643,37,139.11,3.1309185,0.59935826,3.401732,1.2131542,0.21371306,-8.987408,1.049344,5.517054,-98.19839725886743,[-0.912 -0.733 -0.292 -0.574 -0.263],3700,1.4085839
-9.185843,613.2884614467621,100,3.9100647e-07,1.7291061,316298,-3.523841,38,144.07,3.0200078,,3.7649026,0.86459404,1.0,-9.185843,1.0,1.0,-101.36750748843258,[-0.916 -0.744 -0.295 -0.572 -0.278],3800,1.0
-8.480454,637.7802889347076,100,-3.576279e-08,1.7072159,329427,-3.2195363,39,131.29,2.9440262,,3.9263344,1.5700065,1.0,-8.480454,1.0,1.0,-100.04193987741928,[-0.916 -0.744 -0.295 -0.572 -0.278],3900,1.0
-9.13464,664.6072325706482,100,5.7220458e-08,1.6668044,343759,-3.2202868,40,143.32,2.8063,,4.0771456,0.91583806,1.0,-9.13464,1.0,1.0,-99.24397688588057,[-0.916 -0.744 -0.295 -0.572 -0.278],4000,1.0
-8.402684,687.8201189041138,100,3.9577483e-07,1.7236295,356541,-3.326312,41,127.82,3.0009074,,4.043518,1.647783,1.0,-8.402684,1.0,1.0,-100.904099516366,[-0.916 -0.744 -0.295 -0.572 -0.278],4100,1.0
-9.914715,716.1992065906525,100,2.9563904e-07,1.6439489,372067,-3.0765195,42,155.26,2.7298667,,3.7754273,0.13575871,1.0,-9.914715,1.0,1.0,-97.5959818191991,[-0.916 -0.744 -0.295 -0.572 -0.278],4200,1.0
-10.050052,745.4228637218475,100,2.813339e-07,1.694353,387828,-3.2824602,43,157.61,2.8998306,,3.6816099,0.00051908015,1.0,-10.050052,1.0,1.0,-96.92931750157886,[-0.916 -0.744 -0.295 -0.572 -0.278],4300,1.0
-8.844802,770.7228989601135,100,-3.3855437e-07,1.6416806,401271,-3.2653713,44,134.43,2.7223384,,3.8984294,1.2058269,1.0,-8.844802,1.0,1.0,-97.46099470599566,[-0.916 -0.744 -0.295 -0.572 -0.278],4400,1.0
-8.688601,795.9352951049805,100,-2.1457672e-07,1.5840194,415031,-3.1840267,45,137.6,2.5344622,,3.8401775,1.3617975,1.0,-8.688601,1.0,1.0,-101.72467071326226,[-0.916 -0.744 -0.295 -0.572 -0.278],4500,1.0
-9.221588,819.5058019161224,100,-4.529953e-07,1.738992,429103,-2.8991466,46,140.72,3.0546393,,4.035591,0.8289491,1.0,-9.221588,1.0,1.0,-102.8475175562175,[-0.916 -0.744 -0.295 -0.572 -0.278],4600,1.0
-9.489742,847.4830369949341,100,-1.335144e-07,1.7855107,443898,-3.4127078,47,147.95,3.2202506,,4.1358495,0.5607845,1.0,-9.489742,1.0,1.0,-95.9078352813953,[-0.916 -0.744 -0.295 -0.572 -0.278],4700,1.0
-8.967187,872.881325006485,100,9.536743e-08,1.5773722,457606,-3.017695,48,137.08,2.5132353,,3.8721728,1.0833355,1.0,-8.967187,1.0,1.0,-101.53384942587974,[-0.916 -0.744 -0.295 -0.572 -0.278],4800,1.0
-9.091005,899.4021730422974,100,2.193451e-07,1.6388766,471639,-3.3036222,49,140.33,4.1806,1.1537694,3.6183014,1.0669115,0.0318178,-9.172781,1.1774114,8.015425,-99.15650308275906,[-0.916 -0.744 -0.295 -0.572 -0.278],4900,2.216622
-7.4266763,921.425128698349,100,2.5749208e-07,1.7810211,483223,-3.416998,50,115.84,3.204077,,4.4421635,2.6237826,1.0,-7.4266763,1.0,1.0,-101.15165151529222,[-0.914 -0.738 -0.306 -0.576 -0.279],5000,1.0
-8.089034,943.4353313446045,100,4.7683715e-09,1.5787116,495555,-3.5168476,51,123.32,2.5175052,,3.5716395,1.9614221,1.0,-8.089034,1.0,1.0,-101.03871458638983,[-0.914 -0.738 -0.306 -0.576 -0.279],5100,1.0
-8.135683,966.6559076309204,100,3.6478042e-07,1.6014197,507537,-3.0074892,52,119.82,2.5904496,,3.7860441,1.9148678,1.0,-8.135683,1.0,1.0,-101.99751482387495,[-0.914 -0.738 -0.306 -0.576 -0.279],5200,1.0
