VarJ,MaxNormIw,BatchSize,VarNormIw,Delta,AvgRet,ESSRenyi,AvgEpLen,MinVanillaIw,MaxVanillaIw,AvgNormIw,EpsThisIter,AvgDiscRet,VarDiscRet,VarVanillaIw,MinNormIw,VarRet,VanillaAvgRet,eRenyi2,IterType,AvgVanillaIw,Bound,J,ESSClassic
163.143,0.0639445,100,0.000309879,0.4,-317.008742276,21.8091641976,388.34,5.73594e-09,8.53998,0.01,100,-317.008742276,22510.512621,5.52712,4.29488e-11,22510.512621,-317.008742276,4.58523,1,1.33553,-219.621,-110.223,24.5833224534
38.268,0.021033,100,5.62172e-05,0.4,-112.075231587,68.1887446003,152.95,5.55287e-06,2.05795,0.01,100,-112.075231587,9114.01745046,0.538192,5.67523e-08,9114.01745046,-112.075231587,1.46652,1,0.978439,-140.137,-78.2691,64.2446303222
76.2835,0.0164873,100,3.12042e-06,0.4,-91.3252759108,96.5487142043,125.99,0.530827,1.63261,0.01,100,-91.3252759108,6008.41438344,0.030597,0.00536068,6008.41438344,-91.3252759108,1.03575,1,0.990223,-141.446,-89.4519,97.003387879
62.8258,0.0146184,100,1.0088e-05,0.4,-86.7779438649,91.6204692904,120.05,0.0498379,1.47878,0.01,100,-86.7779438649,5157.13799958,0.103231,0.00049267,5157.13799958,-86.7779438649,1.09146,1,1.01159,-136.647,-83.2722,90.9197948492
72.4835,0.0140626,100,9.80099e-06,0.4,-90.1182465042,92.4000314146,124.85,0.105034,1.38614,0.01,100,-90.1182465042,5901.42878759,0.0952251,0.00106559,5901.42878759,-90.1182465042,1.08225,1,0.985691,-139.812,-86.6633,91.155205904
58.2681,0.0130985,100,2.34328e-06,0.4,-83.9711726256,98.1462261077,118.2,0.457993,1.28042,0.01,100,-83.9711726256,3711.66976328,0.0223917,0.00468519,3711.66976328,-83.9711726256,1.01889,1,0.977532,-134.537,-82.9673,97.7327357928
31.492,0.0139457,100,1.06712e-05,0.4,-78.5031430641,90.7487254936,111.25,0.108613,1.38266,0.01,100,-78.5031430641,2643.33095594,0.104897,0.00109549,2643.33095594,-78.5031430641,1.10194,1,0.991459,-126.801,-73.1707,90.4448774319
63.8627,0.0216041,100,4.83594e-05,0.4,-96.6450809069,73.3747378976,131.36,0.00269516,1.99482,0.01,100,-96.6450809069,8035.96928429,0.412304,2.91888e-05,8035.96928429,-96.6450809069,1.36287,1,0.923354,-140.971,-81.3295,67.6243478697
85.2706,0.0170652,100,1.43284e-06,0.4,-93.6535299487,97.7704293394,127.37,0.898734,1.67477,0.01,100,-93.6535299487,8136.71287557,0.0138003,0.00915768,8136.71287557,-93.6535299487,1.0228,1,0.981399,-143.98,-92.3122,98.6013189286
46.9021,0.0127974,100,1.33234e-06,0.4,-75.6647478178,98.8903463587,107.15,0.567156,1.26753,0.01,100,-75.6647478178,2594.14778239,0.0130703,0.00572622,2594.14778239,-75.6647478178,1.01122,1,0.990455,-126.499,-75.1243,98.6981619903
