MaxNormIw,VanillaAvgRet,VarRet,AvgEpLen,MinVanillaIw,ESSRenyi,VarNormIw,J,eRenyi2,MinNormIw,MaxVanillaIw,IterType,ESSClassic,AvgDiscRet,BatchSize,Delta,AvgVanillaIw,VarVanillaIw,AvgRet,EpsThisIter,AvgNormIw,VarDiscRet,VarJ,Bound
0.8003544,108.8423725164873,27085.56038992746,11.89,8.318692e-27,4.8066143754705415,0.0064316466,567.31055,20.804665,5.7074814e-29,116.65219,1,1.5462336639622893,108.8423725164873,100,0.7,1.4575067,136.62906,108.8423725164873,100,0.01,27085.56038992746,895.99963,310.56317
0.8379082,367.28934027174796,570538.049290996,37.72,,2.614261238638698,0.0070739477,4668.818,38.251724,,92.166855,1,1.4078147484668035,367.28934027174796,100,0.7,1.0999637,85.5891,367.28934027174796,100,0.01,570538.049290996,2992.8174,2644.3691
nan,367.28934027174796,570538.049290996,37.72,0.0108498875,1643073.0562419677,nan,nan,0.00012172313,nan,inf,,nan,1676.0133713905077,200,0.7,inf,nan,367.28934027174796,100,nan,3251336.728237094,nan,nan
0.6103301,283.290033903963,299067.7406858753,29.33,2.0349901e-23,4.463269169639268,0.0020744714,4007.0208,44.810204,9.6148395e-26,129.17696,1,2.393376162250632,283.290033903963,200,0.7,1.0582548,92.92829,283.290033903963,100,0.005,299067.7406858753,11576.517,2457.652
0.01,2041.1034187996586,3711732.7481590426,204.87,1.0,200.0,3.5044917e-18,2041.1034,1.0,0.01,1.0,2,100.0,2041.1034187996586,200,0.7,1.0,,2041.1034187996586,100,0.009999998,3711732.7481590426,1916.9285,1713.7766
0.8822263,283.290033903963,299067.7406858753,29.33,0.007741319,18124853.74619209,0.0039206855,547.6861,1.6551858e-05,1.3898159e-25,4.914029e+22,,,2399.735193361399,300,0.7,2.7850162e+20,inf,283.290033903963,100,0.005,3953403.767836564,488.25647,-inf
0.49613932,421.5809536605282,700679.9999939455,43.15,1.493838e-29,4.929961228285216,0.00094027515,4383.3804,60.852406,3.1138178e-32,238.02026,1,3.515240321205264,421.5809536605282,300,0.7,1.5991493,216.40909,421.5809536605282,100,0.0033333336,700679.9999939455,6709.881,2909.17
0.01,3273.923529784222,3901945.7447333033,327.92,1.0,300.0,3.5044917e-18,3273.9236,1.0,0.01,1.0,2,100.0,3273.923529784222,300,0.7,1.0,,3273.923529784222,100,0.009999998,3901945.7447333033,1965.4329,2946.5967
0.005,3005.485482831195,4170951.214965612,301.11,1.0,300.0,2.179301e-19,3139.7046,1.0,0.005,1.0,2,200.00000010221265,3005.485482831195,300,0.7,1.0,,3005.485482831195,100,0.0049999994,4170951.214965612,2003.5215,2908.2495
0.048800673,2934.60402499585,3988889.8295074715,294.04,2.0849338e-23,52.00245784932233,6.616318e-05,4908.079,5.768958,7.563253e-26,13.452699,1,43.25984397184484,2934.60402499585,300,0.7,0.91888756,5.027865,2934.60402499585,100,0.0033333334,3988889.8295074715,369.44406,4454.1694
0.01,4854.387434399623,529903.9344547543,485.5,1.0,300.0,3.5044917e-18,4854.387,1.0,0.01,1.0,2,100.0,4854.387434399623,300,0.7,1.0,,4854.387434399623,100,0.009999998,529903.9344547543,724.29614,4527.0605
0.005,4905.32102861079,304704.36028625345,490.57,1.0,300.0,2.179301e-19,4879.854,1.0,0.005,1.0,2,200.00000010221265,4905.32102861079,300,0.7,1.0,,4905.32102861079,100,0.0049999994,304704.36028625345,643.257,4648.399
0.0062021906,4959.2303728624065,165692.14545404917,495.94,0.027282935,255.84795494051488,2.3534346e-06,4987.873,1.1725714,9.329645e-05,1.8137236,1,247.7080669757472,4959.2303728624065,300,0.7,0.9747758,0.20125844,4959.2303728624065,100,0.0033333334,165692.14545404917,93.14579,4783.233
0.01,4975.345613388432,60513.79711697973,497.55,1.0,300.0,3.5044917e-18,4975.345,1.0,0.01,1.0,2,100.0,4975.345613388432,300,0.7,1.0,,4975.345613388432,100,0.009999998,60513.79711697973,244.76244,4648.0186
0.005,4970.3456589730595,76983.27335357915,497.06,1.0,300.0,2.179301e-19,4972.8457,1.0,0.005,1.0,2,200.00000010221265,4970.3456589730595,300,0.7,1.0,,4970.3456589730595,100,0.0049999994,76983.27335357915,260.8971,4741.3906
0.0048007425,4947.232187432461,176259.06058965827,494.75,0.12218324,277.21835443770027,1.1103571e-06,4992.6875,1.0821794,0.00042085836,1.3937474,1,272.8266966026841,4947.232187432461,300,0.7,0.9677305,0.093586676,4947.232187432461,100,0.0033333336,176259.06058965827,70.22398,4796.0933
0.01,4951.342579163358,236203.4978237618,495.15,1.0,300.0,3.5044917e-18,4951.3423,1.0,0.01,1.0,2,100.0,4951.342579163358,300,0.7,1.0,,4951.342579163358,100,0.009999998,236203.4978237618,483.57156,4624.0156
0.005,4999.946577916249,0.002285428627098198,500.0,1.0,300.0,2.179301e-19,4975.6445,1.0,0.005,1.0,2,200.00000010221265,4999.946577916249,300,0.7,1.0,,4999.946577916249,100,0.0049999994,0.002285428627098198,342.79926,4744.1895
0.004325422,4996.228933956707,1382.5259369339747,499.64,0.29141647,288.0149751438569,4.881884e-07,4994.284,1.0416125,0.00097309734,1.2953475,1,287.4139618098855,4996.228933956707,300,0.7,0.99824363,0.043782752,4996.228933956707,100,0.0033333334,1382.5259369339747,85.36246,4801.41
0.01,4999.92588321988,0.05584991994206232,500.0,1.0,300.0,3.5044917e-18,4999.9263,1.0,0.01,1.0,2,100.0,4999.92588321988,300,0.7,1.0,,4999.92588321988,100,0.009999998,0.05584991994206232,0.23515977,4672.5996
0.005,4999.938595024198,0.003526078501664981,500.0,1.0,300.0,2.179301e-19,4999.932,1.0,0.005,1.0,2,200.00000010221265,4999.938595024198,300,0.7,1.0,,4999.938595024198,100,0.0049999994,0.003526078501664981,0.17156719,4768.477
0.0033351963,4999.938756901469,0.007960765954978223,500.0,0.9976722,299.9993920338554,2.4362008e-12,4999.935,1.000002,0.003325555,1.0005646,1,299.9998195287702,4999.938756901469,300,0.7,1.0000057,2.1925993e-07,4999.938756901469,100,0.0033333334,0.007960765954978223,0.14890784,4810.9526
0.01,4999.94396220635,0.0030262304184676702,500.0,1.0,300.0,3.5044917e-18,4999.944,1.0,0.01,1.0,2,100.0,4999.94396220635,300,0.7,1.0,,4999.94396220635,100,0.009999998,0.0030262304184676702,0.05472934,4672.617
0.005,4999.93978558985,0.0032883830483619084,500.0,1.0,300.0,2.179301e-19,4999.9424,1.0,0.005,1.0,2,200.00000010221265,4999.93978558985,300,0.7,1.0,,4999.93978558985,100,0.0049999994,0.0032883830483619084,0.055951405,4768.4873
0.0033333334,4999.937579207399,0.006200908391865635,500.0,1.0,300.0,5.4391416e-20,4999.9404,1.0,0.0033333334,1.0,1,299.999969473632,4999.937579207399,300,0.7,1.0,,4999.937579207399,100,0.0033333336,0.006200908391865635,0.06431841,4810.958
0.01,4955.932208742723,193635.47543752694,495.61,1.0,300.0,3.5044917e-18,4955.932,1.0,0.01,1.0,2,100.0,4955.932208742723,300,0.7,1.0,,4955.932208742723,100,0.009999998,193635.47543752694,437.83456,4628.6055
0.005,4999.949732662356,0.0035920431719028705,500.0,1.0,300.0,2.179301e-19,4977.941,1.0,0.005,1.0,2,200.00000010221265,4999.949732662356,300,0.7,1.0,,4999.949732662356,100,0.0049999994,0.0035920431719028705,310.37714,4746.486
0.0042894296,4999.937353160823,0.005283637186180809,500.0,0.22325282,291.0145198365608,4.051418e-07,4996.609,1.0308764,0.0007585344,1.2624705,1,289.4799002114115,4999.937353160823,300,0.7,0.98107094,0.03509542,4999.937353160823,100,0.0033333334,0.005283637186180809,57.86962,4804.7314
0.01,4959.933926641601,105925.65921101121,496.02,1.0,300.0,3.5044917e-18,4959.934,1.0,0.01,1.0,2,100.0,4959.933926641601,300,0.7,1.0,,4959.933926641601,100,0.009999998,105925.65921101121,323.83084,4632.6074
0.005,4999.94514470437,0.003556334908434796,500.0,1.0,300.0,2.179301e-19,4979.9395,1.0,0.005,1.0,2,200.00000010221265,4999.94514470437,300,0.7,1.0,,4999.94514470437,100,0.0049999994,0.003556334908434796,229.85522,4748.4844
0.0038856375,4999.955536238262,0.0018738893387824735,500.0,0.09164709,294.16217372474966,2.4567123e-07,4997.9697,1.0198456,0.00030536795,1.1661582,1,293.53152378518206,4999.955536238262,300,0.7,1.0004005,0.022128131,4999.955536238262,100,0.0033333334,0.0018738893387824735,24.308636,4807.1216
0.01,4999.949795584538,0.003508339686886223,500.0,1.0,300.0,3.5044917e-18,4999.9497,1.0,0.01,1.0,2,100.0,4999.949795584538,300,0.7,1.0,,4999.949795584538,100,0.009999998,0.003508339686886223,0.05895401,4672.623
0.005,4999.949218160301,0.0030260364575595017,500.0,1.0,300.0,2.179301e-19,4999.949,1.0,0.005,1.0,2,200.00000010221265,4999.949218160301,300,0.7,1.0,,4999.949218160301,100,0.0049999994,0.0030260364575595017,0.056877397,4768.494
0.0033706063,4999.943346255987,0.004150887079401778,500.0,0.9964234,299.99889135770417,7.5382554e-11,4999.948,1.0000037,0.0033214448,1.0111717,1,299.9979574052033,4999.943346255987,300,0.7,0.9999899,6.784291e-06,4999.943346255987,100,0.0033333334,0.004150887079401778,0.05965935,4810.966
0.01,4999.953239173261,0.004212701626286527,500.0,1.0,300.0,3.5044917e-18,4999.9526,1.0,0.01,1.0,2,100.0,4999.953239173261,300,0.7,1.0,,4999.953239173261,100,0.009999998,0.004212701626286527,0.064585984,4672.626
0.005,4999.943980336442,0.0030781185670489125,500.0,1.0,300.0,2.179301e-19,4999.9487,1.0,0.005,1.0,2,200.00000010221265,4999.943980336442,300,0.7,1.0,,4999.943980336442,100,0.0049999994,0.0030781185670489125,0.060261652,4768.4937
0.003337433,4999.943655885568,0.0027867470369142755,500.0,0.99554473,299.99985694892075,7.56279e-12,4999.9478,1.0000005,0.0033186155,1.0011898,1,299.99983985882886,4999.943655885568,300,0.7,0.99995995,6.805973e-07,4999.943655885568,100,0.003333333,0.0027867470369142755,0.057786316,4810.9653
0.01,4999.950684436697,0.0029001280739931012,500.0,1.0,300.0,3.5044917e-18,4999.95,1.0,0.01,1.0,2,100.0,4999.950684436697,300,0.7,1.0,,4999.950684436697,100,0.009999998,0.0029001280739931012,0.053590775,4672.6235
0.005,4999.944752440944,0.0027833010046893316,500.0,1.0,300.0,2.179301e-19,4999.9473,1.0,0.005,1.0,2,200.00000010221265,4999.944752440944,300,0.7,1.0,,4999.944752440944,100,0.0049999994,0.0027833010046893316,0.053126793,4768.492
0.0033333334,4999.939563655547,0.00594172794737967,500.0,1.0,300.0,5.4391416e-20,4999.9453,1.0,0.0033333334,1.0,1,299.999969473632,4999.939563655547,300,0.7,1.0,,4999.939563655547,100,0.0033333336,0.00594172794737967,0.06209988,4810.963
