BatchSize,eRenyi2,MinVanillaIw,AvgVanillaIw,AvgNormIw,AvgDiscRet,MinNormIw,VarDiscRet,VarVanillaIw,VarJ,VarRet,VanillaAvgRet,ESSClassic,EpsThisIter,J,MaxNormIw,Bound,ESSRenyi,VarNormIw,AvgRet,IterType,AvgEpLen,MaxVanillaIw
100,11.246246,8.2484135e-09,1.3239143,0.01,113.94176401086446,6.2303225e-11,20669.342025623653,34.291676,1445.0051,20669.342025623653,113.94176401086446,4.909454605773887,100,527.8018,0.41352084,285.17017,8.89185573528494,0.001956451,113.94176401086446,1,12.4,54.746616
100,19.011536,6.023499e-25,1.471979,0.009999997,417.6800201448241,4.092109e-27,719683.1322812043,82.729,3341.737,719683.1322812043,417.6800201448241,2.5773315125153973,100,4524.545,0.5168881,2689.7192,5.259964364255101,0.003818163,417.6800201448241,1,42.75,76.08485
100,6.445237,4.4227367e-16,1.2853448,0.010000002,1643.2475098264085,3.4408952e-18,3108018.2995407456,9.0378065,1227.0344,3108018.2995407456,1643.2475098264085,15.586633187214455,100,4665.358,0.11961288,3597.0264,15.515332876316469,0.0005470458,1643.2475098264085,1,165.15,15.37438
100,2.3732967,3.1571657e-05,0.9405258,0.010000002,3547.8104069455226,3.356809e-07,3732448.475730665,1.333887,288.9148,3732448.475730665,3547.8104069455226,40.11491365827696,100,4898.019,0.053435363,4249.7393,42.13548116959779,0.00015079176,3547.8104069455226,1,355.21,5.025734
100,1.1532642,0.21867114,1.0158587,0.01,4873.293268024117,0.0021525745,361860.3994789096,0.15384531,179.07098,361860.3994789096,4873.293268024117,87.13923889894878,100,4959.7314,0.016642207,4507.8223,86.71040256118258,1.4907942e-05,4873.293268024117,1,487.4,1.6906132
100,1.04592,0.12026539,0.995419,0.01,4950.031309830832,0.0012081886,136990.12256237149,0.051827297,62.85011,136990.12256237149,4950.031309830832,95.07670533113799,100,4991.1294,0.012762033,4560.7656,95.60960553866374,5.230542e-06,4950.031309830832,1,495.03,1.270357
100,1.043185,0.17367548,1.0137082,0.01,4953.317414085765,0.0017132689,217167.991655448,0.047852222,80.12163,217167.991655448,4953.317414085765,95.59305570806983,100,4991.9443,0.012532674,4562.1436,95.860274464139,4.6566784e-06,4953.317414085765,1,495.35,1.2704474
100,1.0000004,0.99447864,0.9999048,0.010000002,4999.896600018266,0.0099457335,0.1548502320231001,1.3251994e-06,0.3898713,0.1548502320231001,4999.896600018266,99.99985884291034,100,4999.897,0.010013808,4579.0864,99.99996423722592,1.3254493e-10,4999.896600018266,1,500.0,1.0012854
200,1.0000004,0.99871624,1.0000966,0.01,4953.408117340486,0.009986198,137905.81831238267,1.332299e-06,369.16125,0.1548502320231001,4999.896600018266,99.99990082752375,100,4953.449,0.010054549,4532.6387,199.99992847445185,1.3320348e-10,4999.896600018266,,500.0,1.005552
200,1.0339159,0.26306182,1.0170162,0.005,4976.767674914687,0.001293302,107191.30350791488,0.030832851,84.7943,107191.30350791488,4976.767674914687,194.23876387558556,100,4993.9287,0.0064036287,4691.3667,193.4393352330737,7.452431e-07,4976.767674914687,1,497.69,1.3025187
200,1.0,1.0,1.0,0.009999998,4972.7270500214445,0.01,39233.47466104564,,197.08154,39233.47466104564,4972.7270500214445,100.0,100,4972.727,0.01,4551.9165,200.0,3.5044917e-18,4972.7270500214445,2,497.3,1.0
200,1.0201966,0.25418043,0.9909058,0.005,4986.3379947476715,0.001282566,19704.35151358191,0.028557753,46.741302,19704.35151358191,4986.3379947476715,194.37500169902137,100,4995.466,0.005990092,4694.918,196.04065375333502,7.271086e-07,4986.3379947476715,1,498.65,1.1871234
200,1.0,1.0,1.0,0.009999998,4959.7458535234555,0.01,161624.06570182194,,400.0098,161624.06570182194,4959.7458535234555,100.0,100,4959.7456,0.01,4538.935,200.0,3.5044917e-18,4959.7458535234555,2,495.99,1.0
300,1.0298282,0.84237236,1.0648392,0.005,4979.835471161738,0.003955397,80811.56807959142,0.13304473,846.2149,19704.35151358191,4986.3379947476715,179.091308575726,100,4939.3516,0.018473273,4637.388,291.3107280214613,2.9333892e-06,4986.3379947476715,,498.65,3.9342132
300,1.0645921,0.16088802,0.9909269,0.0033333334,4963.234038084224,0.0005412038,127064.67326700473,0.07069619,84.090195,127064.67326700473,4963.234038084224,279.9142490640538,100,4991.376,0.004763391,4740.6973,281.7980647327132,7.9996363e-07,4963.234038084224,1,496.3433333333333,1.4160516
300,1.0,1.0,1.0,0.009999998,4999.903951533926,0.01,0.12840752154807303,,0.3565436,0.12840752154807303,4999.903951533926,100.0,100,4999.9043,0.01,4579.0938,300.0,3.5044917e-18,4999.903951533926,2,500.0,1.0
300,1.0,1.0,1.0,0.0049999994,4999.922901228669,0.005,0.06600032379379382,,0.25626662,0.06600032379379382,4999.922901228669,200.00000010221265,100,4999.9233,0.005,4702.365,300.0,2.179301e-19,4999.922901228669,2,500.0,1.0
300,1.0000002,0.9972811,0.9999876,0.0033333334,4999.928381665245,0.0033243115,0.045193978087077674,3.5783728e-07,0.21171936,0.045193978087077674,4999.928381665245,299.99985722976857,100,4999.929,0.0033358142,4756.974,299.9999284744433,3.976068e-12,4999.928381665245,1,500.0,1.0007318
300,1.0,1.0,1.0,0.009999998,4997.527096981263,0.01,585.7109723351239,,24.080175,585.7109723351239,4997.527096981263,100.0,100,4997.5273,0.01,4576.717,300.0,3.5044917e-18,4997.527096981263,2,499.77,1.0
