MinNormIw,eRenyi2,Bound,MaxVanillaIw,MaxNormIw,AvgNormIw,AvgVanillaIw,J,ESSClassic,BatchSize,VanillaAvgRet,VarNormIw,ESSRenyi,AvgEpLen,AvgDiscRet,Delta,VarRet,IterType,MinVanillaIw,VarDiscRet,VarJ,VarVanillaIw,EpsThisIter,AvgRet
0.000242272,2.56769,65.2567,100.112,0.484037,0.01,2.06826,328.816,4.13260844809,100,142.343569244,0.00234321,38.9454731397,15.55,142.343569244,0.1,9329.5350167,1,0.0501084,9329.5350167,561.468,100.236,100,142.343569244
1.25586e-06,1.68758,75.0374,3.88409,0.0420393,0.01,0.923918,233.747,50.7526760125,100,165.809153552,9.80141e-05,59.2565508957,18.06,165.809153552,0.1,7601.9108493,1,0.000116031,7601.9108493,108.698,0.836672,100,165.809153552
0.000642473,1.24581,61.578,2.37297,0.0251801,0.01,0.9424,288.194,76.1437863785,100,244.256884307,3.16469e-05,80.2688831827,26.48,244.256884307,0.1,14814.0046692,1,0.0605466,14814.0046692,174.234,0.281062,100,244.256884307
0.000661278,1.77731,91.2371,22.4686,0.192112,0.01,1.16956,362.539,21.2730733469,100,267.749780427,0.000373816,56.2648872654,29.0,267.749780427,0.1,11201.6357847,1,0.0773401,11201.6357847,618.573,5.11328,100,267.749780427
0.00376067,1.08771,123.796,1.85859,0.018063,0.01,1.02895,309.535,90.3649730331,100,294.348423728,1.07701e-05,91.9364693584,31.82,294.348423728,0.1,10470.0650892,1,0.386953,10470.0650892,103.697,0.114027,100,294.348423728
0.000928922,1.79353,47.7525,124.135,0.543576,0.01,2.28367,566.095,3.35117012461,100,329.962182347,0.00291316,55.7558416761,35.67,329.962182347,0.1,29478.8099712,1,0.212135,29478.8099712,1085.44,151.926,100,329.962182347
0.00269781,1.09258,109.722,1.93393,0.0185815,0.01,1.04078,355.97,88.889038108,100,336.373525876,1.26261e-05,91.5265617824,36.33,336.373525876,0.1,17712.9766753,1,0.280782,17712.9766753,166.366,0.136768,100,336.373525876
0.00308498,1.11659,89.1277,2.17648,0.0222243,0.01,0.979325,355.77,87.0698692119,100,328.488720811,1.50003e-05,89.5587108324,35.48,328.488720811,0.1,16055.7527699,1,0.302119,16055.7527699,145.863,0.143864,100,328.488720811
0.00329052,1.08999,-31.3282,2.10286,0.0213988,0.01,0.982702,383.057,89.0814946265,100,352.856620714,1.23806e-05,91.7438087807,38.11,352.856620714,0.1,26510.606889,1,0.32336,26510.606889,239.706,0.11956,100,352.856620714
5.04128e-05,2.76485,138.749,51.5255,0.396967,0.01,1.29798,605.274,6.07481509737,100,345.203082971,0.00156176,36.1683879467,37.28,345.203082971,0.1,20965.3225388,1,0.00654348,20965.3225388,1327.16,26.3117,100,345.203082971
0.000105057,2.88346,154.188,37.939,0.287006,0.01,1.32189,760.427,8.30606802072,100,390.585743485,0.00111509,34.6805568464,42.14,390.585743485,0.1,32845.716259,1,0.0138874,32845.716259,1445.75,19.4851,100,390.585743485
0.000222826,2.62566,245.906,124.861,0.591904,0.01,2.10948,839.446,2.82659027887,100,420.027928335,0.00347256,38.0857253534,45.32,420.027928335,0.1,33658.7233749,1,0.0470047,33658.7233749,1710.36,154.525,100,420.027928335
1.24902e-05,4.16786,171.641,78.2273,0.555468,0.01,1.40831,1511.13,3.15991975903,100,493.283000211,0.00309559,23.9931281888,53.26,493.283000211,0.1,88568.7075196,1,0.00175901,88568.7075196,3799.67,61.3963,100,493.283000211
0.000616003,1.29439,83.9005,2.70452,0.0259309,0.01,1.04297,734.548,70.9720209897,100,587.124438226,4.13137e-05,77.2567337561,63.52,587.124438226,0.1,115310.371513,1,0.0642473,115310.371513,438.645,0.449406,100,587.124438226
0.000217642,1.94731,229.669,14.8876,0.127178,0.01,1.17061,1218.74,31.4699821845,100,803.932154969,0.000219963,51.3528612698,87.07,803.932154969,0.1,258554.98947,1,0.0254775,258554.98947,1559.55,3.01422,100,803.932154969
8.75717e-05,2.17721,-184.772,8.16447,0.0745929,0.01,1.09454,1853.96,34.6623205155,100,943.338289934,0.000190402,45.9303099129,102.47,943.338289934,0.1,716002.242878,1,0.00958506,716002.242878,3232.08,2.28104,100,943.338289934
0.001042,1.40564,-39.2325,7.54598,0.0742381,0.01,1.01646,1597.38,55.5356496713,100,1179.36247757,8.08732e-05,71.1422119469,128.19,1179.36247757,0.1,731247.372377,1,0.105915,731247.372377,1737.08,0.83557,100,1179.36247757
