AvgDiscRet,Bound,VarVanillaIw,AvgRet,BatchSize,eRenyi2,AvgNormIw,VarJ,IterType,VarDiscRet,ESSRenyi,VarRet,MinVanillaIw,VarNormIw,MaxVanillaIw,MaxNormIw,MinNormIw,AvgVanillaIw,ESSClassic,VanillaAvgRet,J,EpsThisIter,Delta,AvgEpLen
144.054315723,287.963,246.079,144.054315723,100,10.9241,0.01,142.815,1,10506.6411826,9.15407624998,10506.6411826,6.24049e-15,0.00463202,156.15,0.677468,2.70749e-17,2.3049,2.13415096815,144.054315723,361.47,100,0.8,15.74
257.773988344,-inf,2.56781e+26,144.054315723,200,0.293874,0.01,0.000711661,,11494.7282416,680.564203461,10506.6411826,0.00640412,0.01,1.60244e+14,1.0,3.99648e-17,1.60244e+12,1.00000062819,144.054315723,80.9442,100,0.8,15.74
162.386292368,322.926,2253.03,162.386292368,200,9.71649,0.005,457.377,1,14412.5925219,20.5835590212,14412.5925219,2.36169e-06,0.00262126,670.677,0.72341,2.54738e-09,4.63552,1.89886252321,162.386292368,402.468,100,0.8,17.71
236.789368613,200.734,,236.789368613,200,1.0,0.01,156.237,2,24656.4091114,200.0,24656.4091114,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,236.789368613,236.789,100,0.8,25.67
207.807663939,-inf,1.19931e+09,162.386292368,300,nan,0.005,412.135,,16966.7982707,nan,14412.5925219,0.00149103,0.00132259,423426.0,0.444656,1.56579e-09,4761.27,3.72863202736,162.386292368,172.251,100,0.8,17.71
158.561763076,321.661,851.412,158.561763076,300,11.965,0.00333333,532.967,1,13079.8857591,25.073109658,13079.8857591,1.53906e-26,0.00108143,502.335,0.566137,1.73454e-29,2.95767,3.06110437248,158.561763076,393.73,100,0.8,17.29
264.258033311,223.002,,264.258033311,300,1.0,0.01,127.822,2,16503.5961829,300.0,16503.5961829,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,264.258033311,264.258,100,0.8,28.57
252.232494919,229.073,,252.232494919,300,1.0,0.005,129.963,2,17545.3624369,300.0,17545.3624369,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,252.232494919,258.245,100,0.8,27.32
260.460816446,-inf,inf,158.561763076,400,nan,0.00333333,0.133537,,33254.5269129,nan,13079.8857591,0.0019907,0.00333318,6.49746e+25,0.999977,3.06375e-29,2.16587e+23,,158.561763076,408.396,100,0.8,17.29
148.232830047,307.447,666.894,148.232830047,400,10.7478,0.0025,830.391,1,7955.70837616,37.2168664126,7955.70837616,2.91839e-19,0.000661067,514.258,0.512006,2.90561e-22,2.51099,3.7556492438,148.232830047,366.601,100,0.8,16.18
265.473653304,222.983,,265.473653304,400,1.0,0.01,136.996,2,18957.5571911,400.0,18957.5571911,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,265.473653304,265.474,100,0.8,28.74
243.663037987,224.523,,243.663037987,400,1.0,0.005,122.698,2,11216.0250299,400.0,11216.0250299,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,243.663037987,254.568,100,0.8,26.39
245.41821533,220.74,,245.41821533,400,1.0,0.00333333,130.995,2,21529.1659574,400.0,21529.1659574,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,245.41821533,251.518,100,0.8,26.6
231.337900408,-inf,2.93529e+34,148.232830047,500,nan,0.0025,1.87396,,13022.8423904,nan,7955.70837616,0.00194455,0.00248386,3.42655e+18,0.99677,5.65662e-22,8.59413e+15,1.0064834038,148.232830047,390.366,100,0.8,16.18
157.462430041,291.266,123.472,157.462430041,500,13.2932,0.002,628.773,1,13135.0067285,37.6131091465,13135.0067285,1.25673e-08,0.000151129,228.408,0.252699,1.39038e-11,1.80775,12.9176396787,157.462430041,353.418,100,0.8,17.16
261.624211237,221.136,,261.624211237,500,1.0,0.01,150.917,2,23006.0373505,500.0,23006.0373505,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,261.624211237,261.624,100,0.8,28.31
275.052445133,223.047,,275.052445133,500,1.0,0.005,161.986,2,29911.666446,500.0,29911.666446,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,275.052445133,268.338,100,0.8,29.77
