VarVanillaIw,MaxVanillaIw,VarJ,AvgRet,eRenyi2,VarDiscRet,J,EpsThisIter,AvgEpLen,AvgNormIw,ESSRenyi,MaxNormIw,BatchSize,MinNormIw,VanillaAvgRet,Bound,AvgDiscRet,IterType,VarRet,Delta,MinVanillaIw,ESSClassic,AvgVanillaIw,VarNormIw
6.6498847,15.846131,882.9195,108.8423725164873,5.5396147,27085.56038992746,390.22284,100,11.89,0.01,18.0517970694683,0.14021665,100,1.0112294e-06,108.8423725164873,114.43411,108.8423725164873,1,27085.56038992746,0.35,0.00011428082,16.24779278578828,1.1301177,0.000520675
2.8856413,8.812335,2823.3872,307.2623679502824,3.0741858,230322.5735127268,887.3934,100,31.74,0.009999999,32.528937720983365,0.084403105,100,7.3705764e-06,307.2623679502824,-97.02301,307.2623679502824,1,230322.5735127268,0.35,0.000769545,27.619194969726063,1.044077,0.0002647142
19.231014,28.71972,4401.9478,811.0774413000061,9.729196,1279254.713415907,3880.4392,100,82.08,0.009999999,10.278342030000388,0.23041168,100,1.5060749e-21,811.0774413000061,1755.0872,811.0774413000061,1,1279254.713415907,0.35,1.8772507e-19,7.5447629182377325,1.2464525,0.0012378008
2.6289597,8.288066,1539.6693,2704.0637546124317,4.2929473,3102332.5240254276,4427.0513,100,271.16,0.01,23.29401997986663,0.0930774,100,1.7745849e-09,2704.0637546124317,3015.2605,2704.0637546124317,1,3102332.5240254276,0.35,1.5801771e-07,23.350992371063246,0.8904488,0.00033156291
0.3963826,2.2256432,271.76636,4498.487003849709,1.3496617,1406772.9627702741,4905.5205,100,450.08,0.009999999,74.09264070862336,0.020554794,100,0.00024272515,4498.487003849709,4113.922,4498.487003849709,1,1406772.9627702741,0.35,0.026281925,74.92281070835963,1.0827854,3.3808803e-05
0.097387865,1.5259748,308.819,4845.856960285749,1.095204,503543.8110850537,4929.7324,100,484.68,0.01,91.30719061672187,0.015295837,100,0.0024509402,4845.856960285749,4216.6494,4845.856960285749,1,503543.8110850537,0.35,0.24451573,91.16845299262839,0.99764055,9.784906e-06
0.08296264,1.5263937,291.78757,4861.367238295862,1.0888704,533545.8956499117,4943.484,100,486.21,0.01,91.83829355184913,0.015533695,100,0.0021176257,4861.367238295862,4232.466,4861.367238295862,1,533545.8956499117,0.35,0.20808509,92.16064113729519,0.98263395,8.592095e-06
0.09386921,1.4332135,156.28363,4876.683434859593,1.0841649,333877.5057286278,4968.6606,100,487.74,0.01,92.23689485470223,0.014987104,100,0.001782838,4876.683434859593,4259.18,4876.683434859593,1,333877.5057286278,0.35,0.17049241,90.7755628377013,0.9562978,1.0264476e-05
0.0499115,1.2859915,121.94382,4923.11780440996,1.0380795,231148.53415627728,4979.7407,100,492.36,0.010000002,96.33173565308941,0.013253959,100,0.0009582213,4923.11780440996,4285.5034,4923.11780440996,1,231148.53415627728,0.35,0.09297332,95.0130553861094,0.9702698,5.3017047e-06
,1.0,0.19992632,4999.847587855107,1.0,0.04037891594692544,4999.848,100,500.0,0.009999998,100.0,0.01,100,0.01,4999.847587855107,4318.463,4999.847587855107,1,0.04037891594692544,0.35,1.0,100.0,1.0,3.5044917e-18
7.176892e-07,1.0011941,0.15861185,4999.877447356986,1.0000004,0.025445852547398087,4999.8784,100,500.0,0.01,99.99996423722592,0.010011634,100,0.009971056,4999.877447356986,4318.493,4999.877447356986,1,0.025445852547398087,0.35,0.9971362,99.99993515216691,1.0000306,7.176334e-11
0.013130996,1.089502,69.80203,4984.697690669915,1.008068,19958.231032224867,4991.837,100,498.51,0.01,99.19966056024352,0.011094313,100,0.004893764,4984.697690669915,4307.7085,4984.697690669915,1,19958.231032224867,0.35,0.48058546,98.66993954525044,0.9820364,1.3615777e-06
0.027790315,1.2323943,150.4419,4953.918985395361,1.0265348,133743.24543321162,4979.325,100,495.43,0.01,97.41510995334215,0.0120919645,100,0.0037172919,4953.918985395361,4288.959,4953.918985395361,1,133743.24543321162,0.35,0.37886065,97.41970175263593,1.0191846,2.6753944e-06
0.008934883,1.4902738,442.9265,4949.845041164324,1.0074251,249984.38900010946,4955.376,100,495.01,0.01,99.26296555133693,0.014877259,100,0.008893118,4949.845041164324,4271.466,4949.845041164324,1,249984.38900010946,0.35,0.89083487,99.12618304021721,1.0017127,8.904355e-07
0.01910127,1.1221876,62.176445,4972.153750753847,1.0161283,76735.38334802071,4993.657,100,497.24,0.01,98.41276917543163,0.011222876,100,0.0022381402,4972.153750753847,4306.7993,4972.153750753847,1,76735.38334802071,0.35,0.2237941,98.14374568590073,0.99991095,1.910467e-06
7.537539e-08,1.0003575,0.23509584,4999.815416347663,1.0,0.05588814184641787,4999.816,100,500.0,0.009999999,100.0,0.01000407,100,0.009991077,4999.815416347663,4318.4307,4999.815416347663,1,0.05588814184641787,0.35,0.99905825,100.00001144465858,0.9999506,7.538285e-12
,1.0,0.42776102,4999.820641360701,1.0,0.1848202863821489,4999.8203,100,500.0,0.009999998,100.0,0.01,100,0.01,4999.820641360701,4318.435,4999.820641360701,1,0.1848202863821489,0.35,1.0,100.0,1.0,3.5044917e-18
0.030282509,1.2095965,122.20178,4966.750579946973,1.0212059,109626.62357369676,4987.662,100,496.7,0.01,97.9234450118228,0.0122414585,100,0.0022785848,4966.750579946973,4299.0903,4966.750579946973,1,109626.62357369676,0.35,0.2251503,97.02095709868495,0.9881147,3.101538e-06
