eRenyi2,ESSClassic,AvgDiscRet,MaxNormIw,VarVanillaIw,VarJ,VarNormIw,ESSRenyi,VanillaAvgRet,BatchSize,AvgRet,AvgVanillaIw,MaxVanillaIw,AvgNormIw,J,Bound,VarRet,MinVanillaIw,VarDiscRet,MinNormIw,AvgEpLen
2.542207,40.869155353605066,-2030.520983444016,0.03313836,1.6853654,192.91147,0.00014614477,39.33589982883465,-2030.520983444016,100,-2030.520983444016,1.0738791,3.5586596,0.01,-71.38484,-843.53107,5332771.9844875205,1.0726696e-11,5332771.9844875205,9.988736e-14,200.0
1.0809133,91.15663919567778,-21.4998803501775,0.013306434,0.08928176,32.943455,9.799274e-06,92.51435754494308,-21.4998803501775,100,-21.4998803501775,0.9545187,1.270124,0.01,-13.144233,-101.44872,10218.777915357978,0.25718766,10218.777915357978,0.0026944226,200.0
1.3836262,78.07486057954793,-9.836492195163135,0.01635259,0.34459063,8.736642,2.8365872e-05,72.27385428655074,-9.836492195163135,100,-9.836492195163135,1.1021829,1.8023546,0.010000002,-8.328318,-12.449167,82.59290078153845,0.012518312,82.59290078153845,0.000113577444,200.0
1.9171838,56.91583439578538,-9.108738449680851,0.02388825,0.92611176,9.51617,7.646267e-05,52.15984103966901,-9.108738449680851,100,-9.108738449680851,1.1005429,2.6290045,0.01,-7.9145837,-10.928721,64.05589538646255,1.1684734e-05,64.05589538646255,1.0617245e-07,200.0
1.6822423,59.28831102528515,-7.7285206285281784,0.022210702,0.7165951,8.220367,6.936092e-05,59.444469758400686,-7.7285206285281784,100,-7.7285206285281784,1.0164347,2.257573,0.01,-6.486271,-9.182299,56.96221383564013,5.7101045e-07,56.96221383564013,5.617778e-09,200.0
1.0678171,92.90089771270036,-7.298220929243867,0.012934421,0.07136314,6.910784,7.718776e-06,93.6489973373148,-7.298220929243867,100,-7.298220929243867,0.9615298,1.2436831,0.01,-7.078023,-9.060837,46.41010227289541,0.10111705,46.41010227289541,0.0010516269,200.0
11.455051,8.525857433286673,-8.535075812374684,0.17276804,9.638219,6.5992327,0.00108374,8.729773120608165,-8.535075812374684,100,-8.535075812374684,0.9430525,16.292933,0.01,-2.8837967,-9.402221,51.718712532626505,,51.718712532626505,,200.0
1.2551194,82.20347767766505,-7.644675687649556,0.037657026,0.2328563,7.2167125,2.1868047e-05,79.67369206374383,-7.644675687649556,100,-7.644675687649556,1.0319033,3.885841,0.01,-7.1774235,-9.35211,44.27609533129353,0.70450103,44.27609533129353,0.0068272003,200.0
1.0873395,95.31466019764518,-7.009703858083449,0.023945028,0.046675075,6.5619955,4.965296e-06,91.96759440713541,-7.009703858083449,100,-7.009703858083449,0.9695494,2.3215888,0.01,-6.82118,-8.775819,46.094156104158024,0.8446218,46.094156104158024,0.008711488,200.0
1.1157576,93.51575932135061,-6.1620419230449635,0.025663892,0.068515174,6.1229672,7.0038795e-06,89.6252029856235,-6.1620419230449635,100,-6.1620419230449635,0.9890632,2.538321,0.01,-5.925409,-7.874234,39.335110552884636,0.81264734,39.335110552884636,0.008216334,200.0
