delta,BatchSize,MinNormIw,MaxVanillaIw,MinVanillaIw,ESSRenyi,AvgDiscRet,AvgNormIw,EpsThisIter,VarJ,AvgVanillaIw,SamplesThisIter,VarDiscRet,VarRet,VarNormIw,Bound,renyi2,IterType,VarVanillaIw,AvgEpLen,AvgRet,VanillaAvgRet,ESSClassic,MaxNormIw,J
0.7,100,,5.5941e+18,,nan,44.7819042874,6.08895e-07,9124,3054.33,7.76841e+13,50000,2459.0183759,2459.0183759,2.57745e-08,395.668,nan,1,inf,5.48005260851,44.7819042874,44.7819042874,21.9822900568,0.043847,57932.9
0.7,100,,1.06517e+23,,nan,58.0373267966,7.56064e-07,7348,67121.4,1.77565e+18,50000,6565.35612482,6565.35612482,3.4215e-08,409.713,nan,1,inf,6.80457267284,58.0373267966,58.0373267966,21.9999195711,0.0453545,69587.4
0.7,100,,1.00964e+16,,nan,68.7698462987,8.75718e-07,6344,18976.2,1.06185e+11,50000,9080.32354186,9080.32354186,7.28584e-08,692.367,nan,1,1.07122e+27,7.8814627995,68.7698462987,68.7698462987,12.0000010718,0.0832662,114633.0
0.7,100,,6.35453e+09,,nan,66.5612567413,8.50773e-07,6530,11904.5,73692.3,50000,8511.72416388,8511.72416388,4.82241e-08,658.025,nan,1,3.61808e+14,7.65696784074,66.5612567413,66.5612567413,9.49759993314,0.0733627,43079.3
0.7,100,,1.73805e+19,,nan,88.1060398683,1.09018e-06,5096,42322.1,2.28163e+14,50000,28393.7157339,28393.7157339,9.02205e-08,2002.44,nan,1,inf,9.81161695447,88.1060398683,88.1060398683,11.9999633313,0.0830453,353674.0
0.7,100,,3.22098e+09,,nan,54.9623013748,7.21875e-07,7696,nan,57700.0,50000,9443.50954673,9443.50954673,1.58579e-08,nan,nan,1,1.01315e+14,6.49688149688,54.9623013748,54.9623013748,11.4632479656,0.0402972,nan
0.7,100,,4.97796e+11,,nan,72.4716753023,9.16456e-07,6062,17116.2,7.38608e+06,50000,14090.2011072,14090.2011072,4.5649e-08,874.19,nan,1,2.96508e+18,8.24810293632,72.4716753023,72.4716753023,7.67537651681,0.061766,77814.3
0.7,100,,8.13051e+10,,nan,268.068692211,3.08985e-06,1798,13344.6,3.10427e+06,50000,125951.050282,125951.050282,2.04426e-07,1666.16,nan,1,2.06339e+17,27.808676307,268.068692211,268.068692211,9.99954070682,0.0809275,242568.0
0.7,100,,2.35126e+13,,nan,545.835208889,6.17284e-06,900,34166.9,3.06929e+09,50000,776641.891563,776641.891563,1.88172e-07,4301.6,nan,1,4.65223e+22,55.5555555556,545.835208889,545.835208889,10.5617878111,0.0472878,607974.0
0.7,100,,843354.0,,nan,1097.62257722,1.22911e-05,452,nan,931.014,50000,2932235.6976,2932235.6976,5.53731e-08,nan,nan,1,3.17712e+08,110.619469027,1097.62257722,1097.62257722,11.158903497,0.0111338,nan
0.7,100,,1707.85,,nan,2681.8211917,2.98686e-05,186,5243.8,9.76557,50000,3723878.28802,3723878.28802,2.68833e-08,4551.73,nan,1,2873.75,268.817204301,2681.8211917,2681.8211917,7.65559356127,0.00522357,885375.0
0.7,100,,1450.03,,nan,2936.59513069,3.26797e-05,170,5089.14,4.58132,50000,4241669.31643,4241669.31643,4.00074e-08,4627.22,nan,1,786.257,294.117647059,2936.59513069,2936.59513069,9.96420741796,0.0103434,887773.0
0.7,100,,167.767,,nan,3241.31727106,3.6075e-05,154,4864.28,4.34882,50000,3539627.52251,3539627.52251,6.571e-09,4565.2,nan,1,95.4908,324.675324675,3241.31727106,3241.31727106,4.51980751831,0.00139169,883816.0
0.7,100,9.23467e-35,13.3212,3.16836e-30,nan,4163.52672564,4.62963e-05,120,2813.83,1.5884,50000,2535468.20742,2535468.20742,2.82608e-09,4641.72,nan,1,3.32668,416.666666667,4163.52672564,4163.52672564,2.83606387342,0.000388266,892722.0
0.7,100,,6.08892,,nan,4095.93024232,4.55373e-05,122,4251.91,1.20965,50000,3721378.79748,3721378.79748,1.92732e-09,4669.57,nan,1,1.36,409.836065574,4095.93024232,4095.93024232,3.10399157211,0.000229218,893021.0
0.7,100,,155.359,,nan,3468.55878182,3.85802e-05,144,2578.27,2.59801,50000,4249609.3414,4249609.3414,6.44425e-09,4627.65,nan,1,29.2229,347.222222222,3468.55878182,3468.55878182,5.77861627668,0.00230707,893962.0
0.7,100,,151.307,,nan,3044.35550697,3.38753e-05,164,5366.74,3.27221,50000,4871307.57904,4871307.57904,5.08895e-09,4629.5,nan,1,47.4837,304.87804878,3044.35550697,3044.35550697,6.62638627082,0.00156639,885412.0
0.7,100,,3716.86,,nan,3420.95778907,3.80518e-05,146,3393.2,4.83147,50000,3321120.79331,3321120.79331,3.92653e-07,4627.99,nan,1,6330.2,342.465753425,3420.95778907,3420.95778907,11.9942564842,0.0292733,893422.0
0.7,100,,58.5663,,nan,3728.16379943,4.14594e-05,134,3592.19,2.60167,50000,2894105.17654,2894105.17654,6.02723e-09,4627.68,nan,1,23.7342,373.134328358,3728.16379943,3728.16379943,25.0914672889,0.000933295,891701.0
0.7,100,5.51546e-05,1.00803,0.992793,3.01232743568e-16,4999.24912144,5.55556e-05,100,1.5367,1.00001,50000,0.0132675502341,0.0132675502341,1.4982e-15,4671.97,40.3438,1,4.85429e-07,500.0,4999.24912144,4999.24912144,0.556626840207,5.6001e-05,899865.0
0.7,100,5.43784e-39,46.3158,3.35847e-34,nan,3728.11632409,4.14594e-05,134,4407.42,2.56058,50000,3228019.47053,3228019.47053,4.5634e-09,4627.53,nan,1,17.4068,373.134328358,3728.11632409,3728.11632409,6.88799189343,0.000749919,889221.0
