EmpiricalD2,EpRewMean,InitialReturnMax,J_sample_variance,InitialReturnMin,Bound,EpLenMean,EpisodesSoFar,InitialReturnMean,Weights,TimestepsSoFar,ReturnMeanIW,EpThisIter,InitialBound,TimeElapsed,Iteration,InitialReturnStd
1.1593099,-140.63526784482684,6.7091827,650.82965,-2.0475311,-189.01791,44.24,100,-1.1291504e-05,[ 0.579 -0.554  0.227  0.402  0.   ],4424,-90.28914,100,-192.9144,2.5950005054473877,1,1.6523936
1.0107067,-139.31966497982964,4.908409,62.37695,-2.1265106,-195.6167,43.14,200,-4.9591063e-06,[ 0.562 -0.571  0.228  0.418 -0.017],8738,-96.853966,100,-195.95396,6.58401346206665,2,1.706399
1.1119679,-138.256377079048,5.02684,529.79376,-2.071373,-192.45395,42.05,300,4.5776366e-07,[ 0.568 -0.569  0.229  0.413 -0.022],12943,-93.63947,100,-194.43047,10.402766704559326,3,1.735112
1.037745,-139.51928974873823,4.975357,161.72177,-2.2395782,-194.06924,43.67,400,5.569458e-06,[ 0.581 -0.55   0.229  0.405 -0.022],17310,-93.9432,100,-195.7388,14.370338439941406,4,1.7211711
1.0926843,-136.8179959339565,4.1456757,504.18274,-2.2359009,-191.87228,40.78,500,4.196167e-06,[ 0.571 -0.548  0.227  0.396 -0.006],21388,-93.605064,100,-193.92516,18.04332947731018,5,1.7163419
1.0849906,-138.16940525434808,6.495735,404.03854,-2.1323624,-190.79703,42.02,600,-6.4849855e-06,[ 0.558 -0.556  0.221  0.396 -0.019],25590,-92.27732,100,-193.30383,21.86034846305847,6,1.8926901
1.0356889,-139.14272172559868,5.236534,176.19592,-1.9319458,-194.34634,42.84,700,-1.2359619e-05,[ 0.551 -0.536  0.223  0.417 -0.026],29874,-93.768364,100,-196.2862,25.794212818145752,7,1.5465419
1.0331539,-141.09571320457934,4.9634323,282.5589,-1.9653091,-193.14972,44.8,800,-7.095337e-06,[ 0.556 -0.532  0.22   0.418 -0.045],34354,-93.70025,100,-195.51282,29.363657236099243,8,1.6101282
1.02633,-139.71256294475035,6.831154,141.9269,-2.0577164,-192.8757,43.33,900,-4.577637e-06,[ 0.564 -0.544  0.224  0.435 -0.056],38687,-97.01787,100,-193.18222,33.10678505897522,9,1.8198346
1.0312965,-140.42791396152376,6.0223083,157.44153,-2.2921753,-194.47205,44.35,1000,-7.2479247e-06,[ 0.553 -0.547  0.223  0.434 -0.056],43122,-96.36423,100,-194.89804,37.17583608627319,10,1.7961633
1.2413791,-145.37442243138892,6.448456,772.80634,-2.3508759,-194.33081,49.19,1100,-4.4250487e-06,[ 0.556 -0.539  0.224  0.443 -0.057],48041,-91.722,100,-196.77045,40.7278037071228,11,1.9616959
1.1246932,-140.01675322627997,5.7511673,737.12555,-2.0784912,-191.224,43.65,1200,-6.1035155e-07,[ 0.57  -0.519  0.23   0.459 -0.053],52406,-93.067856,100,-193.88629,44.71218204498291,12,1.6755127
1.0220771,-135.97343504560703,6.6230927,175.89455,-2.1730423,-189.4656,39.71,1300,-7.476807e-06,[ 0.583 -0.503  0.233  0.453 -0.062],56377,-95.68567,100,-190.47308,48.17910885810852,13,1.5940479
1.0595044,-135.96779173738733,3.529831,323.0119,-1.8855515,-193.98666,39.52,1400,-7.171631e-06,[ 0.581 -0.508  0.234  0.439 -0.062],60329,-94.86644,100,-195.6348,51.53163552284241,14,1.3683873
1.0068557,-138.65102210361758,4.0594406,45.4626,-2.0832748,-196.57147,42.38,1500,2.9754638e-06,[ 0.559 -0.507  0.23   0.435 -0.053],64567,-96.67607,100,-197.09793,55.30389213562012,15,1.5832378
1.0085995,-138.5697503438284,5.7613373,59.410378,-2.4057999,-194.83536,42.66,1600,-4.4250487e-06,[ 0.562 -0.514  0.232  0.435 -0.047],68833,-95.91987,100,-195.60178,59.133326053619385,16,1.8522186
1.0351841,-140.02699317009214,5.6174774,247.11357,-1.9872131,-190.44476,43.73,1700,1.0986329e-05,[ 0.557 -0.504  0.226  0.434 -0.046],73206,-93.80615,100,-192.4971,62.99723148345947,17,1.7435061
1.1002942,-137.38814138819393,5.1156616,540.7631,-2.0211105,-191.91623,41.07,1800,4.577637e-06,[ 0.558 -0.512  0.23   0.415 -0.045],77313,-93.62571,100,-194.05649,66.65592098236084,18,1.742896
1.3657553,-136.3662353164197,5.2174454,1385.9341,-2.1905823,-190.86307,40.3,1900,8.69751e-06,[ 0.569 -0.498  0.233  0.406 -0.054],81343,-87.71551,100,-195.72794,70.37824201583862,19,1.6449434
1.1278291,-140.03621597588244,6.5058365,558.87427,-2.2301483,-191.24924,44.01,2000,1.5258789e-07,[ 0.532 -0.501  0.218  0.385 -0.053],85744,-93.17657,100,-193.29816,73.8565354347229,20,1.8246449
1.4267124,-141.17139620852845,8.411247,883.5458,-2.0829163,-184.10289,45.0,2100,-3.8146973e-06,[ 0.539 -0.481  0.22   0.377 -0.044],90244,-81.816345,100,-192.43579,77.80806279182434,21,1.8614663
1.1388654,-134.56296225272118,4.792282,769.36664,-2.2780228,-191.40517,38.38,2200,2.9754638e-06,[ 0.555 -0.465  0.234  0.399 -0.027],94082,-91.895584,100,-194.69365,81.46440172195435,22,1.7288092
1.0458162,-141.6848208517875,9.094597,248.66202,-2.2425919,-195.0647,45.76,2300,1.04522705e-05,[ 0.531 -0.474  0.23   0.39  -0.031],98658,-95.506134,100,-196.03755,85.4767119884491,23,1.9026554
1.0026813,-139.31367745509283,5.1917114,20.50818,-2.0897064,-193.69504,43.21,2400,-5.340576e-07,[ 0.523 -0.485  0.23   0.39  -0.024],102979,-97.18977,100,-193.83313,88.76940059661865,24,1.7498361
1.0891005,-141.38931908446727,4.658333,299.47302,-2.0150604,-193.1987,45.19,2500,7.095337e-06,[ 0.523 -0.489  0.231  0.394 -0.021],107498,-95.35889,100,-194.07074,92.05179643630981,25,1.5651932
1.0229994,-139.041906691179,6.652336,177.2823,-2.5343704,-192.33282,43.1,2600,4.653931e-06,[ 0.542 -0.483  0.236  0.394 -0.012],111808,-94.75438,100,-193.96417,95.94801211357117,26,1.8364004
1.0302988,-137.12470019513702,5.0554733,185.19283,-2.6650085,-191.67311,41.56,2700,-5.340576e-07,[ 0.537 -0.467  0.231  0.382 -0.009],115964,-94.71677,100,-192.86917,99.56312298774719,27,2.0158992
1.2023623,-135.37149982388397,5.499069,616.1087,-2.2836685,-187.4144,39.48,2800,8.239746e-06,[ 0.534 -0.478  0.234  0.39  -0.018],119912,-89.10988,100,-192.25949,103.07461214065552,28,1.8320122
1.2810988,-139.24029118091778,6.325218,1005.99536,-2.1438599,-189.24158,43.1,2900,-1.6784668e-06,[ 0.496 -0.479  0.226  0.388 -0.002],124222,-90.569176,100,-192.25722,106.74424171447754,29,1.7917439
1.1814831,-140.0027592865316,6.2392426,803.4537,-2.086525,-193.50125,44.0,3000,-8.010864e-06,[ 0.513 -0.452  0.231  0.393 -0.011],128622,-91.43855,100,-196.54474,109.84047532081604,30,1.8334394
1.0090227,-136.40229596527627,4.191345,65.71297,-1.7447433,-196.11063,40.02,3100,1.9836425e-06,[ 0.531 -0.438  0.236  0.397  0.003],132624,-96.85463,100,-196.61932,113.42174625396729,31,1.449438
1.1696905,-135.4396750090774,5.6505127,659.37305,-1.6989822,-192.10007,38.95,3200,4.5013426e-06,[ 0.535 -0.447  0.236  0.391  0.003],136519,-92.61316,100,-194.71298,117.04495644569397,32,1.3555441
1.0511498,-135.05857462504267,5.9449463,342.20538,-2.2686005,-190.61673,39.05,3300,6.866455e-06,[ 0.521 -0.465  0.232  0.396  0.013],140424,-90.931656,100,-194.64392,120.43063879013062,33,1.6743808
1.0648332,-136.69989730341283,5.624855,336.59338,-1.8945694,-191.38693,40.49,3400,5.1879883e-06,[ 0.504 -0.444  0.219  0.378  0.002],144473,-93.59661,100,-193.68149,124.1027991771698,34,1.512032
1.049612,-137.13580347699354,5.378372,259.82388,-1.5626068,-192.07733,40.39,3500,-6.790161e-06,[ 0.528 -0.45   0.224  0.388  0.015],148512,-95.544334,100,-193.41792,127.56046509742737,35,1.4041461
1.0410362,-139.4334784453086,4.33403,218.18054,-2.2104645,-190.67352,43.49,3600,-5.4931643e-06,[ 0.54  -0.442  0.225  0.379  0.025],152861,-93.187065,100,-193.1607,131.42051315307617,36,1.6168509
1.021816,-139.7342956675351,4.977417,101.03663,-2.0798798,-192.2207,43.87,3700,-3.6621093e-06,[ 0.573 -0.471  0.239  0.379  0.027],157248,-96.210625,100,-192.76787,135.080251455307,37,1.731155
1.0232453,-136.3422915181576,5.6369247,147.74742,-2.0827942,-192.9313,40.2,3800,5.340576e-07,[ 0.56  -0.469  0.235  0.37   0.032],161268,-94.56708,100,-194.52112,138.9199733734131,38,1.5980498
1.04582,-138.9853815145839,4.623352,295.50772,-2.4076233,-192.48587,43.02,3900,-9.841919e-06,[ 0.545 -0.456  0.235  0.387  0.03 ],165570,-95.0652,100,-193.77931,142.50483465194702,39,1.7316452
1.0184699,-138.45066766289324,5.404991,112.43091,-2.2148895,-191.90982,42.34,4000,-1.4038086e-05,[ 0.535 -0.461  0.23   0.39   0.02 ],169804,-95.85223,100,-192.7612,146.24819684028625,40,1.7517401
1.2246387,-136.99471312361476,5.601692,774.05066,-2.4034958,-190.20776,41.04,4100,3.6621093e-06,[ 0.527 -0.463  0.232  0.394  0.009],173908,-91.57632,100,-193.12468,149.97376489639282,41,1.5916492
1.0542942,-142.24849063520233,5.0491104,298.3689,-2.0542374,-190.44412,45.93,4200,7.6293944e-08,[ 0.5   -0.479  0.227  0.393  0.012],178501,-94.86952,100,-192.01068,153.71256613731384,42,1.6119859
1.0102606,-140.1930222507386,6.1920853,59.504837,-2.138855,-196.37946,43.97,4300,9.689331e-06,[ 0.518 -0.48   0.231  0.387 -0.001],182898,-96.47792,100,-196.91171,157.44346237182617,43,1.8386965
1.0514281,-138.09703762558695,6.21241,255.14635,-2.3927155,-195.07935,42.21,4400,-1.2359619e-05,[ 0.52  -0.482  0.231  0.383  0.009],187119,-96.02222,100,-195.58337,161.03398299217224,44,1.714755
