Iteration,EpThisIter,MaxIWNorm,InitialBound,MinIW,TimeElapsed,EmpiricalD2,ReturnMeanIW,StdIWNorm,EpRewMean,InitialReturnStd,Bound,ESSClassic,StdIW,MinIWNorm,InitialReturnMax,MaxIW,ESSRenyi,MeanIW,EpisodesSoFar,EpLenMean,Weights,MeanIWNorm,TimestepsSoFar,InitialReturnMean,J_sample_variance,InitialReturnMin
1,100,0.25942653,-0.22365074,0.014575418,2.46295166015625,9.565856,1.9994386,0.03494785,-140.63526784482684,1.6523933,1.3077506,13.082856,3.494785,0.00014575418,6.7091827,25.942654,10.453848,1.3558732,100,44.24,[ 0.579 -0.554  0.227  0.402  0.   ],0.013558732,4424,-1.1291504e-05,336.8684,-2.0475311
2,100,0.01,-0.19791457,1.0,8.123882293701172,1.0,-1.4603138e-06,9.313226e-10,-140.96870796338368,1.864279,-0.19791457,100.0,,0.01,5.937393,1.0,100.0,1.0,200,45.02,[ 0.521 -0.591  0.224  0.291  0.01 ],0.009999999,8926,-1.4495849e-06,3.5106425,-2.3133469
3,100,0.010000138,-0.23246014,0.99998856,11.713836908340454,1.0,-3.9301813e-06,3.630558e-08,-140.12609510368785,2.0110874,-0.23245887,99.99998,3.634432e-06,0.009999885,6.973648,1.0000138,100.0,0.9999997,300,44.41,[ 0.521 -0.591  0.224  0.291  0.01 ],0.009999998,13367,-5.1879883e-06,4.085325,-2.4508667
4,100,0.01,-0.18454354,1.0,15.104008436203003,1.0,-9.392388e-07,9.313226e-10,-138.50724604578633,1.7899615,-0.18454354,100.0,,0.01,5.536278,1.0,100.0,1.0,400,42.37,[ 0.521 -0.591  0.224  0.291  0.01 ],0.009999999,17604,-9.155273e-07,3.2363253,-2.292366
5,100,0.01,-0.19962685,1.0,18.13775610923767,1.0,-2.2053719e-06,9.313226e-10,-142.2459927054547,1.8656875,-0.19962685,100.0,,0.01,5.988739,1.0,100.0,1.0,500,46.02,[ 0.521 -0.591  0.224  0.291  0.01 ],0.009999999,22206,-2.2125244e-06,3.5159492,-2.0958557
6,100,0.5246143,-0.21067251,0.00044992272,21.459978580474854,19.175995,2.9920247,0.053940408,-140.1918270445387,1.790995,2.069508,5.3985276,5.394041,4.499227e-06,6.319992,52.46143,5.2148533,1.2885548,600,43.96,[ 0.521 -0.591  0.224  0.291  0.01 ],0.012885546,26602,-6.1035157e-06,811.532,-2.0877228
7,100,1.512162,-0.21698298,0.015120984,26.136902332305908,72.356834,3.6054688,0.1527238,-138.1413422940475,2.2343168,1.7597476,2.760797,15.272381,0.00015120984,6.5094986,151.2162,1.3820394,2.5733764,700,42.8,[ 0.487 -0.613  0.224  0.181 -0.113],0.025733763,30882,3.0517577e-07,1664.5063,-2.6800613
8,100,1.0511901,-0.27218476,0.005352328,31.178582668304443,164.17476,10.561775,0.11628834,-140.48368616765126,2.3578413,7.074305,3.6643693,11.628834,5.352328e-05,8.165421,105.11902,0.609107,2.267996,800,45.23,[ 0.447 -0.66   0.201  0.107 -0.037],0.022679958,35405,-4.043579e-06,6561.705,-2.7045135
9,100,0.029838452,-0.3438845,0.44481993,36.71113157272339,1.217083,0.21702594,0.0047341385,-149.3985833796708,3.0890899,-0.16234979,82.36114,0.47341388,0.004448199,10.31646,2.9838452,82.163666,1.0229794,900,55.57,[ 0.377 -0.713  0.179  0.076  0.066],0.010229795,40962,-2.5177003e-06,14.415838,-3.7038193
10,100,0.0633365,-0.48643905,0.09800591,41.22521448135376,1.9514366,0.51268184,0.008491682,-151.71451630481192,3.3965147,-0.16684455,53.682655,0.8491682,0.0009800592,14.593193,6.33365,51.244297,0.91419494,1000,58.67,[ 0.363 -0.719  0.174  0.048  0.071],0.00914195,46829,7.6293946e-07,19.323713,-4.411125
11,100,0.2677046,-0.6824134,0.027867375,46.19967293739319,13.432452,5.9660807,0.030555107,-158.5009442221424,3.6635907,3.465057,16.14653,3.0555108,0.00027867375,20.472054,26.770462,7.444657,1.3407967,1100,66.0,[ 0.351 -0.729  0.148  0.039  0.035],0.013407967,53429,-1.1520386e-05,3023.2996,-4.6542816
12,100,0.05713461,-0.65396714,0.0760725,53.78587865829468,2.132913,1.0491135,0.01093927,-172.90074903635102,4.619756,0.0940395,46.052128,1.093927,0.000760725,19.618767,5.713461,46.884235,1.0107088,1200,83.24,[ 0.328 -0.728  0.101 -0.001  0.042],0.010107086,61753,-8.163453e-06,61.639263,-6.0006027
13,100,1.1134433,-0.508507,0.019582825,61.95704627037048,45.497993,12.036734,0.11089422,-191.43682534651035,5.1788373,8.606774,2.7289283,11.089421,0.00019582824,15.255066,111.34432,2.197899,1.8574328,1300,103.53,[ 3.176e-01 -7.367e-01  7.432e-02 -7.176e-05  2.677e-02],0.018574331,72106,-4.7302246e-06,13415.701,-5.8974075
14,100,0.4235461,-0.694895,0.018146124,69.43749690055847,11.249975,4.4556866,0.042500146,-180.86647078629431,6.323202,2.124951,6.551674,4.2500143,0.00018146123,20.846756,42.35461,8.888908,1.1253322,1400,96.59,[ 0.321 -0.695  0.048 -0.056  0.047],0.011253322,81765,-3.2043456e-06,1472.6364,-7.9925003
15,100,3.1985052,-0.7509061,0.00048868073,78.14743494987488,655.2813,72.66676,0.3282604,-194.35756242008418,9.021264,53.44478,1.7820429,32.826046,4.8868073e-06,22.527119,319.85052,0.15260622,4.4216275,1500,123.29,[ 0.279 -0.726  0.042 -0.104  0.084],0.044216275,94094,-2.1362305e-06,519142.62,-13.257202
16,100,0.38750377,-0.61784005,0.021442216,88.78052067756653,16.417421,9.2396965,0.04188616,-221.68539548981855,7.3737216,6.736308,7.3478603,4.1886163,0.00021442215,18.535187,38.750378,6.0910907,1.1795688,1600,155.12,[ 0.162 -0.798  0.054 -0.113  0.093],0.011795688,109606,-5.340576e-07,5270.1377,-11.730995
17,100,0.083091535,-0.6019653,0.043960594,102.59983134269714,6.005077,4.0454326,0.015023556,-259.2720036965439,8.468462,2.5702896,30.585253,1.5023557,0.00043960594,18.059101,8.309154,16.652576,0.9972474,1700,221.03,[ 0.116 -0.801  0.03  -0.125  0.12 ],0.009972474,131709,4.7683716e-06,493.74445,-16.55719
18,100,1.1245093,-0.86916864,0.0018017525,118.66992712020874,123.77681,20.393282,0.15630358,-289.54134683123596,9.290512,10.723361,2.774781,15.630359,1.8017525e-05,26.075012,112.450935,0.8079058,2.6405468,1800,275.63,[ 0.103 -0.793  0.006 -0.111  0.108],0.026405472,159272,-1.4495849e-06,21403.207,-18.183311
19,100,2.0629969,-0.8400146,0.0006043544,138.50467038154602,217.03224,42.62948,0.20514026,-304.67131228464046,10.848499,30.254318,1.6860642,20.514025,6.043544e-06,25.200546,206.2997,0.46076104,2.6864603,1900,350.61,[ 0.062 -0.791 -0.012 -0.14   0.128],0.026864603,194333,3.7765503e-06,161410.39,-21.434502
20,100,19.542917,-0.9677292,1.6730859e-05,158.3551630973816,12345.8,297.60526,1.9440707,-283.4890925661775,10.554243,190.07889,1.0503887,194.40707,1.6730858e-07,29.031975,1954.2917,0.008099921,20.029959,2000,388.55,[ 0.04  -0.79  -0.003 -0.173  0.161],0.20029955,233188,3.4332274e-06,8691792.0,-25.480324
21,100,1.2724618,-0.7887777,0.0011427794,178.4095013141632,143.96371,19.885597,0.12715453,-264.2939322477653,9.447384,10.421431,2.299162,12.715454,1.1427794e-05,17.215729,127.246185,0.6946195,1.9505968,2100,332.12,[ 0.051 -0.799  0.024 -0.214  0.186],0.019505968,266400,2.2506713e-06,39787.344,-23.663399
22,100,0.071156465,-0.79140764,0.023032945,197.37055087089539,4.671651,4.1736584,0.013273686,-232.59192520574135,10.082491,2.4631138,35.561848,1.3273687,0.00023032945,23.497204,7.115647,21.405708,0.98608017,2200,318.08,[ 0.066 -0.768  0.005 -0.237  0.209],0.009860801,298208,-1.9454956e-06,501.34567,-23.742172
23,100,0.5826044,-1.1413412,0.0004034287,215.46012449264526,49.478584,18.836086,0.08543051,-215.02493713719693,11.420545,10.807816,7.924021,8.543051,4.034287e-06,27.804176,58.26044,2.0210764,2.5061822,2300,313.51,[ 0.055 -0.779  0.013 -0.26   0.219],0.02506182,329559,-5.607605e-06,13342.626,-34.240067
24,100,0.89852583,-1.329955,0.020229384,234.1128854751587,12.104856,14.954602,0.092763714,-204.99136653320684,11.992844,10.327415,4.989416,9.276373,0.00020229384,23.47544,89.852585,8.2611475,2.1257734,2400,322.22,[ 0.06  -0.743 -0.018 -0.263  0.2  ],0.021257734,361781,9.536743e-07,7785.0664,-39.898674
25,100,0.2593998,-0.9742664,0.02736838,253.93509554862976,8.689247,6.4901304,0.027261853,-197.17429878173908,11.385183,3.6182232,11.757437,2.7261853,0.00027368378,27.989195,25.939981,11.508477,0.9951136,2500,368.69,[ 0.01  -0.708 -0.005 -0.266  0.179],0.009951135,398650,3.852844e-06,1614.9229,-29.2281
26,100,0.07678399,-0.8628411,0.044346005,277.32652759552,4.077805,3.5225024,0.01313693,-188.28042723155104,10.041124,1.7801073,40.606712,1.3136929,0.00044346004,24.152828,7.6783996,24.522997,1.0862359,2600,430.75,[-0.017 -0.686  0.007 -0.273  0.203],0.010862358,441725,5.1116945e-06,239.30737,-25.885387
27,100,0.408845,-1.4818397,0.0055484707,299.70604372024536,10.475124,7.1507344,0.046451893,-170.1542742919909,10.738401,2.3547215,7.702456,4.64519,5.5484707e-05,21.060858,40.884502,9.546426,1.3419089,2700,422.4,[-0.016 -0.674  0.007 -0.29   0.203],0.013419088,483965,-1.4877319e-06,1500.6351,-44.45514
28,100,0.05078492,-0.82136995,0.04052438,322.6745808124542,2.8255723,2.8447125,0.010174922,-156.49538514262866,9.407031,1.4640329,44.047062,1.0174923,0.00040524377,22.171324,5.078492,35.39106,0.90277207,2800,466.96,[-0.046 -0.676  0.007 -0.301  0.161],0.00902772,530661,1.6403199e-06,143.29272,-24.641148
29,100,0.20215808,-1.171588,0.029580938,347.89912581443787,5.5453215,5.0086813,0.022858705,-138.93519431680227,11.149425,2.249763,19.440443,2.2858706,0.00029580938,35.147686,20.215809,18.03322,1.1229131,2900,484.04,[-0.072 -0.661  0.004 -0.306  0.144],0.01122913,579065,1.5258789e-06,702.86395,-27.890495
30,100,8.959255,-1.3416705,1.3581832e-05,370.9106013774872,2361.9229,146.35727,0.89114994,-126.16144345826959,11.571978,81.152534,1.0801831,89.11499,1.3581831e-07,22.874454,895.92554,0.042338386,9.312319,3000,457.53,[-0.067 -0.646 -0.011 -0.311  0.135],0.093123205,624818,1.1444092e-06,2082088.6,-40.25015
31,100,0.1281365,-0.9177412,0.024104785,396.26587891578674,4.5285196,3.7224855,0.02181773,-138.43857057539074,9.226795,1.7695051,21.57641,2.1817732,0.00024104785,27.532204,12.813651,22.082272,1.1443946,3100,473.94,[-0.089 -0.652  0.016 -0.309  0.075],0.011443946,672212,-7.4386594e-07,539.08344,-20.644981
32,100,0.21772064,-0.9918623,0.006153716,419.6288962364197,12.811629,6.1300173,0.023959931,-133.77807672828536,11.089218,2.5798135,14.197252,2.3959932,6.1537154e-05,29.75585,21.772064,7.8054085,0.9746241,3200,436.82,[-0.075 -0.631  0.022 -0.317  0.081],0.009746242,715894,-5.531311e-07,2148.179,-29.200558
33,100,43.006844,-1.1008282,1.630611e-05,443.5370855331421,30274.578,801.1652,4.2788167,-132.40592682557957,10.810394,609.6257,1.0153165,427.88177,1.630611e-07,26.966862,4300.6846,0.0033031013,43.33516,3300,480.07,[-0.096 -0.651  0.008 -0.31   0.099],0.43335167,763901,-3.2424927e-07,64636596.0,-33.024834
