Iteration,EpThisIter,InitialReturnStd,EpRewMean,InitialReturnMean,InitialBound,TimestepsSoFar,EpLenMean,EmpiricalD2,Weights,ReturnMeanIW,InitialReturnMax,EpisodesSoFar,InitialReturnMin,Bound,J_sample_variance,TimeElapsed
1,100,1.6523935,-140.63526784482684,-1.1291504e-05,-97.69706,4424,44.24,inf,[ 0.579 -0.554  0.227  0.402  0.   ],-4.090083,6.7091827,100,-2.0475311,-4.090083,86.301445,2.5798723697662354
2,100,2.0831878,-205.19558940866824,-3.2043456e-06,-97.29799,15367,109.43,nan,[ 0.237 -0.809  0.037  0.711 -0.851],-5.215698e-13,5.330986,200,-2.5706558,-5.215698e-13,1.983691e-23,9.735763788223267
3,100,6.362958,-109.42390642580112,5.1116945e-06,-90.715385,17464,20.97,inf,[-1.335 -1.097  3.607  0.514 -0.104],,26.180885,300,-7.080185,,,11.735661745071411
4,100,7.9813547,20.874975715427553,6.198883e-07,-9.342437,67464,500.0,9.982243,[-2.34  -1.808 -0.194 -1.465 -4.032],-9.126696,26.755465,400,-14.183487,-9.126696,63.66652,31.73018455505371
5,100,8.23027,18.607794122238726,4.196167e-07,-9.71109,117464,500.0,2.4491713,[-2.34  -1.808 -0.194 -1.465 -4.032],-9.5042,23.922588,500,-15.959159,-9.5042,88.992355,51.67596173286438
6,100,6.8136163,17.90856897518684,8.010864e-07,-10.570562,167464,500.0,1783345900000000.0,[-2.34  -1.808 -0.194 -1.465 -4.032],-2.8445885,22.634731,600,-17.06853,-2.8445885,2193.7815,70.60694861412048
7,100,7.309797,17.78283966420323,-4.7683717e-08,-10.125724,217464,500.0,inf,[-2.34  -1.807 -0.195 -1.465 -4.032],,19.102215,700,-14.743058,,,90.44389939308167
8,100,2.4231007,-107.52133743871387,6.2561035e-06,-93.34895,219042,15.78,inf,[-4.094  1.525 12.349 -3.961 -4.338],-2.3714085e-15,7.3525696,800,-3.836792,-2.3714085e-15,5.6235753e-28,92.4529058933258
9,100,2.6366146,-107.9507273273878,4.8828124e-06,-93.45523,220652,16.1,inf,[-4.082  1.49  12.218 -4.041 -4.339],,6.9416504,900,-4.072098,,,94.62952518463135
10,100,3.4683514,-107.74172103218187,1.8310546e-06,-92.66861,222337,16.85,inf,[-3.772  3.286  9.485 -5.89  -4.39 ],-1.1059689e-37,20.306602,1000,-4.938774,-1.1059689e-37,,96.36111903190613
11,100,2.7392988,-107.94946013507439,3.8146973e-07,-93.44332,223950,16.13,inf,[-3.75   4.064 10.223 -6.077 -4.422],-2.4163664e-09,7.321213,1100,-4.1304016,-2.4163664e-09,5.832983e-16,98.38084769248962
12,100,3.556278,-108.36749449846755,5.41687e-06,-93.3048,225622,16.72,inf,[-3.749  4.067 10.264 -6.074 -4.422],-0.24358052,19.946236,1200,-4.3885727,-0.24358052,0.3065448,99.87761211395264
13,100,2.236151,-107.8009728132141,-4.4250487e-06,-93.543915,227207,15.85,inf,[-3.748  4.085 10.264 -6.102 -4.422],,6.250473,1300,-4.2188416,,,101.54237246513367
14,100,2.7170722,-107.66208449201348,-4.577637e-06,-93.335106,228801,15.94,inf,[-7.064  5.045 -3.874  1.121 -4.564],,8.746277,1400,-3.832901,,,103.47506070137024
15,100,2.3374102,-107.6637857413214,-3.6621093e-06,-93.40892,230385,15.84,inf,[-6.995  5.131 -4.065  1.136 -4.569],-1.9153394e-09,7.2632294,1500,-4.5011673,-1.9153394e-09,1.4573729e-16,105.43780732154846
16,100,2.4820805,-108.69369931575869,-2.2125244e-06,-93.75532,232038,16.53,inf,[-7.006  5.151 -3.983  1.184 -4.569],-7.0160615e-13,6.395096,1600,-3.858429,-7.0160615e-13,4.9223122e-23,107.76022124290466
17,100,2.5954204,-108.06276498064464,-2.2125244e-06,-93.61449,233639,16.01,inf,[-6.995  5.346 -3.815  1.101 -4.571],,7.183426,1700,-3.8150787,,,110.31982684135437
18,100,2.6997383,-108.34248508054034,-2.5939942e-06,-93.61824,235271,16.32,inf,[ -8.513 -18.094 106.371 -40.788  -6.537],-2.5089145e-31,8.35614,1800,-3.9481735,-2.5089145e-31,,112.12917709350586
19,100,2.9449,-107.72656138540769,-1.0604858e-05,-93.09595,236900,16.29,inf,[ -8.511 -18.087 106.387 -40.79   -6.537],-0.16186456,9.138069,1900,-4.3690567,-0.16186456,0.65352637,113.90515065193176
20,100,2.6495137,-107.64904708576971,-1.4724731e-05,-93.15427,238514,16.14,inf,[ -8.513 -18.084 106.384 -40.787  -6.537],-4.1540586e-21,6.9995804,2000,-4.390106,-4.1540586e-21,,116.0557632446289
21,100,2.7870917,-107.79767307840677,3.2043456e-06,-93.29694,240127,16.13,inf,[ -8.474 -17.65  107.168 -41.629  -6.538],-1.6218463e-28,9.263741,2100,-4.2977066,-1.6218463e-28,,118.01013040542603
22,100,2.5080342,-108.05376899585352,8.239746e-06,-93.123726,241789,16.62,inf,[ -8.478 -17.651 107.185 -41.636  -6.538],,6.9747314,2200,-3.919838,,,120.19365859031677
23,100,2.7430897,-107.92956683104447,1.4572143e-05,-93.57361,243382,15.93,inf,[ -8.479 -17.655 107.172 -41.636  -6.538],-2.2991185e-26,9.557014,2300,-3.6302795,-2.2991185e-26,,121.85299849510193
24,100,2.7924418,-108.23110692300212,-6.1035155e-07,-93.442856,245024,16.42,inf,[ -8.406 -17.854 106.744 -42.195  -6.539],,10.198341,2400,-3.9924927,,,123.7455084323883
25,100,2.7312841,-107.41111530974273,3.8146973e-07,-93.181274,246609,15.85,824.339,[ -8.407 -17.84  106.722 -42.197  -6.539],-80.6492,8.556519,2500,-4.5662994,-80.6492,44249.023,126.1712999343872
26,100,2.8223872,-107.82698370933952,-4.272461e-06,-93.25449,248230,16.21,inf,[ -8.407 -17.84  106.721 -42.197  -6.539],,7.8663177,2600,-4.1890717,,,127.76119756698608
27,100,2.4420688,-107.91583903694682,1.1444092e-06,-93.58106,249822,15.92,inf,[ -8.333 -17.92  107.299 -42.339  -6.54 ],-1.6313774e-23,7.0623703,2700,-3.8359375,-1.6313774e-23,,129.9408233165741
28,100,2.6775126,-108.2572223400889,6.1798096e-06,-93.66672,251440,16.18,inf,[ -8.335 -17.915 107.287 -42.342  -6.54 ],,7.1426773,2800,-3.9079666,,,131.8693790435791
29,100,2.9282968,-107.78808595326605,-1.1138916e-05,-93.09934,253074,16.34,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.09934,7.522339,2900,-4.1222305,-93.09934,8.661583,133.49863243103027
30,100,2.8965845,-107.64792546457997,3.967285e-06,-93.046715,254700,16.26,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.046715,7.3303223,3000,-4.49559,-93.046715,8.474919,134.81124687194824
31,100,3.0468507,-107.7771806189134,-7.476807e-06,-92.98026,256349,16.49,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.98026,8.056923,3100,-4.8168488,-92.98026,9.377034,136.10173058509827
32,100,2.5959718,-108.33736560663641,-6.1798096e-06,-93.52408,257993,16.44,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.52408,6.795906,3200,-3.981987,-93.52408,6.8071337,137.3405909538269
33,100,2.8772404,-107.60498073764445,-2.2125244e-06,-92.79769,259646,16.53,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.79769,7.3455124,3300,-4.6167984,-92.79769,8.362162,138.5321958065033
34,100,2.5171168,-107.74017536159049,3.4332274e-06,-93.292336,261254,16.08,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.292336,7.2031097,3400,-3.9407425,-93.292336,6.399874,139.77890539169312
35,100,2.505357,-107.9756923582953,3.3569336e-06,-93.37904,262876,16.22,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.37904,7.137459,3500,-3.8659363,-93.37904,6.340253,141.21312808990479
36,100,2.7438748,-108.05923569451015,-6.790161e-06,-93.22256,264525,16.49,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.22256,7.4559326,3600,-4.201538,-93.22256,7.60488,142.5043065547943
37,100,2.7265575,-108.48589894669503,-4.8828124e-06,-93.69782,266164,16.39,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.69782,8.04612,3700,-3.948326,-93.69782,7.509178,143.80988597869873
38,100,2.658613,-107.9484165588002,-1.6784668e-06,-93.5066,267769,16.05,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.5066,7.3189926,3800,-3.9599838,-93.5066,7.1396194,145.0496015548706
39,100,3.054822,-107.89794515175669,5.340576e-07,-92.92332,269437,16.68,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.92332,7.7985764,3900,-4.4560013,-92.92332,9.426193,146.389714717865
40,100,2.5113425,-107.88302685699934,-8.392334e-06,-93.53662,271030,15.93,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.53662,6.395317,4000,-4.089157,-93.53662,6.370517,147.72263407707214
41,100,2.4591844,-107.84901807071013,7.6293944e-08,-93.32544,272645,16.15,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.32544,7.836693,4100,-4.0955048,-93.32544,6.1086807,148.9649682044983
42,100,2.4115896,-108.02835552312678,-7.6293944e-08,-93.51979,274255,16.1,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.51979,8.323212,4200,-3.8977966,-93.51979,5.874506,150.24995398521423
43,100,2.708374,-108.05046411792347,5.722046e-06,-93.24764,275901,16.46,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.24764,6.9457855,4300,-4.1369934,-93.24764,7.409379,151.56197381019592
44,100,2.3818538,-108.44859050750709,-2.670288e-06,-93.75304,277529,16.28,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.75304,7.3921204,4400,-3.5774918,-93.75304,5.7305403,152.8019778728485
45,100,2.7277877,-107.98616915537535,-8.621216e-06,-93.33887,279158,16.29,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.33887,7.8384247,4500,-4.0923157,-93.33887,7.515985,154.05892252922058
46,100,2.6202586,-108.24944688818927,4.119873e-06,-93.482765,280796,16.38,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.482765,8.046074,4600,-3.7219315,-93.482765,6.935105,155.22248148918152
