InitialReturnMax,InitialReturnMin,EpThisIter,EpLenMean,InitialReturnStd,ReturnMeanIW,Bound,EmpiricalD2,J_sample_variance,TimestepsSoFar,EpRewMean,Weights,Iteration,InitialBound,EpisodesSoFar,TimeElapsed,InitialReturnMean
6.7091827,-2.0475311,100,44.24,1.6523936,-95.23629,-412.24728,1.0170451,89.79388,4424,-140.63526784482684,[ 0.579 -0.554  0.227  0.402  0.   ],1,-413.49725,100,2.5456933975219727,-1.1291504e-05
6.0821304,-2.2041473,100,42.89,1.8593082,-96.18256,-419.6729,1.0127211,78.0569,8713,-139.20733559768473,[ 0.572 -0.559  0.228  0.407 -0.005],2,-420.41583,200,6.862417697906494,-2.3651123e-06
5.483078,-2.206398,100,43.27,1.6602091,-97.12437,-410.26404,1.0017608,12.603011,13040,-139.51602149226656,[ 0.569 -0.566  0.227  0.409 -0.008],3,-410.5317,300,10.990944385528564,4.119873e-06
7.3043823,-2.1033096,100,41.1,1.9237543,-96.695244,-417.6575,1.0020816,15.853882,17150,-137.24995596721223,[ 0.568 -0.56   0.226  0.407 -0.008],4,-418.08298,400,14.5721116065979,7.6293946e-07
4.0532913,-2.1181488,100,45.93,1.6185557,-97.13408,-417.44348,1.0009633,11.022877,21743,-142.02948580307418,[ 0.572 -0.565  0.227  0.407 -0.004],5,-417.6621,500,18.37059259414673,3.1280517e-06
5.10701,-2.0774155,100,44.3,1.5653343,-97.0297,-423.408,1.001608,15.434866,26173,-140.59974306018637,[ 0.577 -0.57   0.228  0.409 -0.005],6,-423.71146,600,22.130589723587036,4.119873e-06
5.4541626,-1.9329224,100,46.76,1.6671461,-95.31195,-410.93396,1.0111424,72.13081,30849,-143.11507681709253,[ 0.576 -0.57   0.227  0.414 -0.004],7,-412.1501,700,26.016067266464233,7.6293945e-06
4.7874985,-2.1549988,100,45.27,1.8179227,-96.102585,-417.39136,1.0043654,37.799103,35376,-141.44091261820154,[ 0.578 -0.567  0.227  0.413 -0.014],8,-418.1148,800,28.983856678009033,-3.5858154e-06
4.55793,-1.9313736,100,42.16,1.6029286,-96.48605,-421.20312,1.0088922,59.040745,39592,-138.392592150382,[ 0.579 -0.57   0.229  0.418 -0.019],9,-421.7698,900,32.8359375,-1.6021728e-06
6.82901,-1.8791428,100,41.82,1.7140167,-97.150955,-421.20197,1.003427,22.058811,43774,-138.2328598195648,[ 0.576 -0.573  0.227  0.419 -0.019],10,-421.45776,1000,36.54688310623169,9.07898e-06
3.5957794,-1.9531403,100,44.06,1.453407,-97.23036,-411.5553,1.0026355,19.376057,48180,-140.5199488978367,[ 0.574 -0.566  0.226  0.42  -0.018],11,-411.8271,1100,40.19620084762573,-7.781982e-06
4.628433,-1.8744965,100,42.77,1.4622797,-97.12975,-422.2693,1.0028819,14.044746,52457,-139.39384513512132,[ 0.571 -0.569  0.227  0.422 -0.017],12,-422.67,1200,44.05649375915527,-3.5095215e-06
6.129158,-2.0203247,100,42.21,1.6404835,-97.15419,-418.85083,1.001444,9.267696,56678,-138.53438560617033,[ 0.574 -0.569  0.227  0.416 -0.017],13,-419.075,1300,47.845226526260376,3.0517577e-07
5.879158,-2.114914,100,43.5,1.8336638,-95.475586,-414.3268,1.0177243,111.61429,61028,-139.698910141109,[ 0.567 -0.566  0.227  0.415 -0.017],14,-415.419,1400,51.64655828475952,2.5177003e-06
6.073059,-2.1427689,100,42.92,1.8894763,-96.22765,-416.94202,1.0049636,38.306393,65320,-139.13218222313847,[ 0.559 -0.57   0.226  0.413 -0.014],15,-417.71228,1500,55.46473479270935,-3.1280517e-06
5.5358963,-1.8898468,100,49.7,1.7540766,-97.0272,-423.8257,1.0022186,13.641049,70290,-146.1967543966118,[ 0.554 -0.567  0.223  0.407 -0.013],16,-424.23,1600,59.758246183395386,-1.5258789e-06
6.4821396,-1.9171066,100,42.64,1.5779717,-97.21516,-418.9915,1.0056552,30.800169,74554,-139.15841182974526,[ 0.558 -0.57   0.224  0.402 -0.011],17,-419.27264,1700,63.21920919418335,7.095337e-06
3.405243,-2.0054474,100,46.13,1.413565,-97.244225,-418.72736,1.0022007,14.988943,79167,-142.49216609070726,[ 0.56  -0.566  0.224  0.404 -0.01 ],18,-418.95,1800,67.15679883956909,-5.569458e-06
5.8888397,-2.1631165,100,43.35,1.6514187,-96.02642,-417.98254,1.0092862,52.738766,83502,-139.51747259270687,[ 0.559 -0.569  0.225  0.404 -0.012],19,-418.73492,1900,71.00113487243652,-3.890991e-06
6.396332,-2.025032,100,43.15,1.8228358,-96.98692,-419.7182,1.0018752,12.940277,87817,-139.4193385444421,[ 0.564 -0.565  0.224  0.403 -0.008],20,-420.01862,2000,74.0021493434906,-2.7465821e-06
6.249893,-1.848938,100,42.32,1.7307153,-96.01066,-414.64645,1.0079156,50.999893,92049,-138.65191553086808,[ 0.564 -0.564  0.225  0.401 -0.005],21,-415.52322,2100,77.65553689002991,2.5177003e-06
6.585449,-2.234703,100,45.38,1.8582814,-96.953545,-417.745,1.0012897,15.166149,96587,-141.54648653943823,[ 0.571 -0.568  0.229  0.4   -0.004],22,-418.1311,2200,81.58302402496338,-9.918213e-07
5.8733063,-2.2378693,100,45.02,1.778495,-96.9004,-420.58115,1.0018504,15.138237,101089,-141.11199863873847,[ 0.575 -0.571  0.231  0.403 -0.003],23,-420.8835,2300,85.52035665512085,7.476807e-06
4.8552322,-2.2517471,100,43.83,1.9423077,-96.28171,-424.52274,1.007305,50.300304,105472,-139.735278683314,[ 0.578 -0.574  0.234  0.406 -0.003],24,-425.0084,2400,89.09190917015076,1.5411377e-05
5.5199966,-1.939354,100,47.84,1.6235088,-97.210434,-426.21222,1.004653,31.426142,110256,-144.1522211443214,[ 0.574 -0.575  0.231  0.404 -0.001],25,-426.44153,2500,93.19218349456787,9.689331e-06
