EmpiricalD2,MeanIW,MaxIW,ReturnMeanIW,J_sample_variance,InitialBound,StdIWNorm,MinIWNorm,MinIW,ESSClassic,TimeElapsed,InitialReturnMin,StdIW,EpLenMean,MaxIWNorm,EpRewMean,Iteration,InitialReturnMean,Weights,MeanIWNorm,EpisodesSoFar,ESSRenyi,Bound,EpThisIter,InitialReturnMax,TimestepsSoFar,InitialReturnStd
64528.824,0.84910744,43.05704,2.9674275,842.96173,3.984198e-06,0.04488737,1.4467426e-07,1.4467426e-05,3.4546824,1.8920929431915283,-2.0475159,4.488737,44.24,0.4305704,-140.63526784482684,1,3.967285e-06,[ 0.579 -0.554  0.227  0.402  0.   ],0.008491074,100,0.001549695,2.9674275,100,6.709198,4424,1.6523935
1124665440000000.0,3.9824648,271.99377,13.638477,20777.44,-4.261732e-06,0.2880397,2.3268492e-09,2.3268493e-07,1.8757523,5.013586759567261,-2.539711,28.803972,52.21,2.7199378,-147.86886651845862,2,-4.272461e-06,[ 0.468 -0.646  0.169  0.269  0.017],0.039824653,200,8.891533e-14,13.638477,100,6.379654,9645,2.2067235
10339.655,0.8680314,25.290918,2.158047,388.3291,-4.5970082e-06,0.030165832,1.3798734e-06,0.00013798734,7.6470027,8.244393348693848,-3.352745,3.0165832,64.57,0.25290918,-158.9942160669414,3,-4.577637e-06,[ 0.582 -0.828  0.073  0.162  0.081],0.008680313,300,0.009671503,2.158047,100,7.6650543,16102,2.5458705
68046.875,3.5577185,337.21387,26.481691,67734.09,2.6226044e-06,0.3353978,1.4509152e-09,1.4509152e-07,1.1126622,11.404232501983643,-2.7750168,33.539783,56.08,3.3721385,-150.9543109657053,4,2.5939942e-06,[ 0.638 -0.737  0.138  0.161  0.14 ],0.03557718,400,0.0014695752,26.481691,100,12.493858,21710,3.023136
431204100000.0,119.6361,11949.707,1667.7101,277827070.0,4.61936e-06,11.889671,4.1554413e-09,4.1554415e-07,1.0023278,15.301971197128296,-4.8874893,1188.9672,81.95,119.49707,-172.91227613478182,5,4.653931e-06,[ 0.46  -0.821  0.085  0.028  0.109],1.1963611,500,2.3190874e-10,1667.7101,100,14.541267,29905,4.1325645
6.170871e+20,12.613716,1237.3256,45.29582,209219.02,7.852912e-06,1.2309191,1.0662715e-15,1.0662716e-13,1.0391793,21.775948524475098,-8.961128,123.091896,148.05,12.373256,-224.582650402736,6,7.781982e-06,[ 0.263 -0.934  0.024 -0.044  0.205],0.12613718,600,1.6205167e-19,45.29582,100,20.905037,44710,6.0998425
4766.5312,5.0478153,374.0758,58.498405,371913.12,-1.0535121e-05,0.37449718,2.0385332e-06,0.00020385333,1.7843919,26.394116163253784,-6.396805,37.44972,93.22,3.740758,-180.88824278238025,7,-1.0528564e-05,[ 0.482 -0.934 -0.016  0.009  0.266],0.050478145,700,0.020979617,58.498405,100,16.284058,54032,4.823449
704.733,1.2233388,22.700867,5.1028314,1323.5718,7.2568655e-06,0.032943584,2.6952093e-06,0.00026952094,12.118511,30.811466217041016,-8.812302,3.2943585,105.6,0.22700866,-187.4600958400718,8,7.3242186e-06,[ 0.384 -0.95  -0.074 -0.029  0.225],0.012233389,800,0.14189772,5.1028314,100,22.366493,64592,6.829094
8.676147,0.85298204,9.225132,2.210752,239.59235,6.940216e-06,0.015016299,0.00036771264,0.036771264,24.395157,35.62055563926697,-10.49305,1.50163,116.9,0.092251316,-194.10531772638402,9,6.866455e-06,[ 0.268 -0.959 -0.099 -0.068  0.233],0.0085298205,900,11.525853,2.210752,100,32.99698,76282,7.863107
1608.7577,1.3234262,60.759304,11.933192,15539.813,7.1525574e-07,0.060635813,7.173413e-06,0.0007173413,4.5470557,40.978317975997925,-14.534042,6.063582,133.99,0.607593,-199.94956798191114,10,7.2479247e-07,[ 0.185 -0.911 -0.085 -0.103  0.25 ],0.0132342605,1000,0.062159766,11.933192,100,24.953041,89681,9.744014
