InitialReturnStd,InitialReturnMin,EmpiricalD2,EpThisIter,InitialBound,J_sample_variance,TimestepsSoFar,Weights,EpRewMean,InitialReturnMean,InitialReturnMax,EpisodesSoFar,TimeElapsed,ReturnMeanIW,Bound,EpLenMean,Iteration
1.6523936,-2.0475311,1.0045656,100,-717.9164,27.620481,4424,[ 0.579 -0.554  0.227  0.402  0.   ],-140.63526784482684,-1.1291504e-05,6.7091827,100,2.653700351715088,-96.42032,-717.2705,44.24,1
1.5342052,-2.0325623,1.0005723,100,-727.49133,6.9075065,8473,[ 0.576 -0.557  0.228  0.405 -0.002],-137.0117950723188,-1.2969971e-06,4.90728,200,6.755466938018799,-97.51998,-727.35156,40.49,2
1.7315398,-2.0991974,1.000398,100,-743.14,6.884459,12950,[ 0.574 -0.557  0.228  0.404 -0.004],-140.95436121519253,8.621216e-06,6.2776184,300,10.716655731201172,-97.233055,-742.95807,44.77,3
1.6400999,-2.01046,1.000911,100,-745.2791,7.0273466,17356,[ 0.573 -0.555  0.227  0.405 -0.004],-140.24941228428398,5.4931643e-06,4.033043,400,14.585716962814331,-96.90366,-744.97095,44.06,4
1.4482043,-1.8852463,1.0007391,100,-732.03906,6.5700774,21741,[ 0.576 -0.559  0.228  0.406 -0.002],-140.2800412896816,8.621216e-06,4.982506,500,18.10601019859314,-97.54728,-731.938,43.85,5
1.6068748,-2.2913437,1.0007821,100,-736.6422,6.902497,26383,[ 0.576 -0.56   0.228  0.407 -0.002],-142.34207433480674,-6.1798096e-06,4.08902,600,21.87631106376648,-97.005936,-736.5007,46.42,6
1.9596852,-2.1866608,1.0021122,100,-738.8063,21.911797,31144,[ 0.576 -0.562  0.227  0.408 -0.003],-143.59879431408845,9.536743e-06,6.547798,700,25.836103677749634,-96.763336,-738.47205,47.61,7
1.593625,-1.971756,1.0048782,100,-735.49866,29.718782,35215,[ 0.579 -0.561  0.228  0.409 -0.004],-137.0671971396761,1.2588501e-05,5.7248,800,29.328532934188843,-96.4955,-734.9304,40.71,8
1.8730527,-2.0340881,1.002038,100,-739.4323,15.650512,39742,[ 0.585 -0.561  0.229  0.411 -0.006],-141.40514257544473,2.7465821e-06,5.9983063,900,32.71029567718506,-96.642204,-738.9783,45.27,9
1.6661079,-2.0066986,1.0011951,100,-743.124,9.632426,44468,[ 0.583 -0.561  0.228  0.408 -0.007],-143.28402176047268,-2.8991699e-06,4.945633,1000,36.629745960235596,-97.08126,-742.96545,47.26,10
1.6969173,-1.8888702,1.0050862,100,-708.30304,24.82421,48672,[ 0.586 -0.562  0.229  0.407 -0.007],-138.34123070911792,7.6293944e-08,5.455887,1100,40.27296590805054,-96.46971,-707.7414,42.04,11
1.7659979,-1.9969482,1.0109047,100,-742.3212,68.16304,52902,[ 0.589 -0.559  0.23   0.407 -0.005],-138.5875179974475,3.7384034e-06,5.8037643,1200,43.30960273742676,-95.497505,-741.1563,42.3,12
1.8214777,-2.1361542,1.0017064,100,-705.6144,12.582439,56885,[ 0.594 -0.556  0.232  0.409 -0.005],-136.04161429963412,-2.1362305e-06,5.2262726,1300,46.49748945236206,-96.902176,-705.2637,39.83,13
1.8762258,-2.2725067,1.0013707,100,-737.1611,17.292566,61154,[ 0.591 -0.555  0.23   0.406 -0.004],-138.72406467313596,-4.196167e-06,5.5392914,1400,50.12296175956726,-96.34333,-736.6311,42.69,14
1.4905428,-2.0614777,1.0012949,100,-726.3929,11.420735,65184,[ 0.59  -0.554  0.23   0.41  -0.003],-136.6017478408296,-1.0604858e-05,4.26548,1500,53.80388259887695,-96.94857,-726.0483,40.3,15
1.7233864,-2.1591492,1.0087377,100,-733.38007,39.43748,69342,[ 0.587 -0.553  0.23   0.407 -0.004],-137.75465382963145,6.027222e-06,4.995682,1600,57.238102197647095,-95.812744,-732.4445,41.58,16
