InitialReturnMax,EpLenMean,TimeElapsed,ReturnMeanIW,J_sample_variance,InitialReturnStd,EpThisIter,EpisodesSoFar,EmpiricalD2,InitialReturnMin,InitialBound,Weights,EpRewMean,TimestepsSoFar,Bound,InitialReturnMean,Iteration
5.2901917,48.44,96.74292826652527,0.25406542,4.452297,1.8199757,100,2300,1.0030001,-2.0127869,-327.9033,[ 5.935e-01 -5.492e-01  2.288e-01  3.970e-01 -4.712e-04],-144.60667023156307,97940,-327.7669,1.0681152e-06,23
5.785309,44.48,100.95119452476501,0.03644997,3.8615701,1.9213785,100,2400,1.0001663,-2.2375412,-325.1751,[ 0.591 -0.552  0.228  0.397 -0.001],-140.3635087423816,102388,-325.15457,-2.822876e-06,24
5.128067,41.62,105.321129322052,0.3051181,3.0282278,1.3179226,100,2500,1.0036064,-1.5315781,-328.16638,[ 0.591 -0.551  0.228  0.397 -0.001],-138.3335174515091,106550,-328.01443,-1.2207031e-06,25
5.2360764,41.54,110.48169493675232,0.020934287,3.5988235,1.8250479,100,2600,1.0001254,-2.0955658,-315.1404,[ 0.595 -0.549  0.229  0.398 -0.002],-137.72459364798695,110704,-315.1287,2.2888185e-06,26
5.4232864,44.91,115.42639660835266,0.088831194,3.4193523,1.6843816,100,2700,1.0006181,-2.0478897,-325.0484,[ 0.593 -0.549  0.229  0.398 -0.002],-141.16825982553635,115195,-325.00354,-6.1035155e-07,27
5.4749985,46.19,119.92588019371033,0.17001745,3.910274,1.67522,100,2800,1.0017424,-2.2404175,-320.62952,[ 0.593 -0.548  0.23   0.398 -0.003],-142.2952890564303,119814,-320.54144,-2.2888185e-06,28
4.6802597,45.42,124.18783688545227,0.04205867,2.9471035,1.6289625,100,2900,1.0002854,-2.189888,-327.46527,[ 0.592 -0.55   0.229  0.399 -0.002],-141.28709518088255,124356,-327.44223,-1.1520386e-05,29
5.031601,46.94,128.44463849067688,0.08078962,2.8871624,1.5825827,100,3000,1.0008389,-2.182129,-323.46643,[ 0.592 -0.549  0.229  0.398 -0.002],-142.98702409522537,129050,-323.42188,9.155273e-07,30
5.039589,43.87,132.56338477134705,0.05501196,2.4064796,1.5277859,100,3100,1.000254,-1.9466858,-321.676,[ 0.59  -0.549  0.229  0.398 -0.002],-140.19126151922478,133437,-321.64395,4.9591063e-06,31
5.952278,43.01,137.43235158920288,0.0759419,3.9509907,1.8748637,100,3200,1.0005566,-2.2968216,-323.13782,[ 0.588 -0.548  0.228  0.398 -0.003],-138.96535671194658,137738,-323.09866,1.9073486e-06,32
5.5188065,45.5,141.22609663009644,0.40633652,3.8836777,1.7591879,100,3300,1.0050244,-2.0552216,-323.78177,[ 0.587 -0.55   0.228  0.398 -0.004],-141.74305068395861,142288,-323.57785,8.392334e-07,33
3.918991,42.36,145.81510972976685,0.071088225,2.4892921,1.4927216,100,3400,1.0004576,-2.0473633,-321.67603,[ 0.591 -0.547  0.229  0.399 -0.004],-138.55120934159135,146524,-321.63943,3.3569336e-06,34
6.031372,45.4,150.89373517036438,0.0048851585,3.0480957,1.736035,100,3500,1.0000118,-2.035675,-328.63113,[ 0.589 -0.547  0.229  0.398 -0.003],-141.58184792182237,151064,-328.62894,1.0681152e-06,35
