TimeElapsed,EpThisIter,EpLenMean,Iteration,EpisodesSoFar,InitialReturnMin,TimestepsSoFar,J_sample_variance,EpRewMean,ReturnMeanIW,EmpiricalD2,InitialBound,InitialReturnMean,InitialReturnStd,Bound,InitialReturnMax,Weights
1.351813554763794,100,16.62,1,100,-4.1431427,1662,8.59086e-23,-108.13413965200267,-5.4256647e-12,nan,-93.1729,5.569458e-06,2.8568103,-5.4256647e-12,9.3641205,[-0.689  0.919 -0.673  0.288  0.   ]
4.859097003936768,100,52.36,2,200,-8.935448,6898,1.6709462e-09,-136.86695230723797,-2.0770194e-05,nan,-89.72619,-3.2424928e-06,7.2903957,-2.0770194e-05,34.279102,[-2.007 -0.197 -1.425 -1.657 26.254]
7.750417232513428,100,51.28,3,300,-7.2139206,12026,,-138.09022516966743,,inf,-91.55542,4.4250487e-06,6.855153,,23.42421,[-2.007 -0.197 -1.425 -1.657 37.594]
11.26863956451416,100,58.13,4,400,-8.147461,17839,6.9508524e-06,-143.48979925526203,-0.0006736043,nan,-90.67989,7.3623655e-06,6.8998117,-0.0006736043,28.058025,[-2.007 -0.197 -1.425 -1.657 27.184]
14.376927614212036,100,47.01,5,500,-6.607704,22540,8.9516226e-07,-135.75328748620606,-0.0008723771,nan,-92.454155,-9.689331e-06,5.4465756,-0.0008723771,18.153633,[-2.007 -0.197 -1.425 -1.657 35.503]
17.700594663619995,100,58.4,6,600,-9.897079,28380,,-140.92535629367086,,inf,-89.31546,4.0817263e-06,10.074814,,39.30763,[-2.007 -0.197 -1.425 -1.657 42.861]
21.111425638198853,100,55.19,7,700,-8.052208,33899,1.6176682e-10,-141.98949780496994,-7.675534e-06,nan,-91.63633,7.858276e-06,6.536077,-7.675534e-06,21.07611,[-2.007 -0.197 -1.425 -1.657 32.682]
24.375328540802002,100,50.01,8,800,-8.333435,38900,6.8759207e-09,-136.44229095454068,-3.0140916e-05,nan,-90.79353,-2.0599366e-06,7.3273296,-3.0140916e-05,27.340057,[-2.007 -0.197 -1.425 -1.657 45.135]
27.607369899749756,100,52.09,9,900,-8.585342,44109,2.9510868e-05,-138.21546994845284,-0.0054846616,nan,-90.78747,2.2125244e-06,7.184507,-0.0054846616,24.2975,[-2.007 -0.197 -1.425 -1.657 56.333]
30.62269926071167,100,58.53,10,1000,-9.076599,49962,3.8016283e-09,-143.39949860383496,-6.411e-05,nan,-90.13024,-5.1116945e-06,6.929493,-6.411e-05,25.145203,[-2.007 -0.197 -1.425 -1.657 61.855]
34.20769667625427,100,50.74,11,1100,-7.853531,55036,0.021340532,-136.53681700168704,-0.021335572,nan,-91.04664,-5.7983398e-06,7.530443,-0.021335572,27.81681,[-2.007 -0.197 -1.425 -1.657 71.726]
37.21002721786499,100,53.26,12,1200,-8.505455,60362,4.087716e-06,-138.7198068234576,-0.0013273482,nan,-90.6797,8.544922e-06,7.511155,-0.0013273482,27.945328,[-2.007 -0.197 -1.425 -1.657 77.266]
