ESSRenyi,ReturnMeanIW,StdIW,MeanIW,InitialReturnStd,MinIW,InitialReturnMin,InitialReturnMean,Iteration,MeanIWNorm,EpisodesSoFar,Weights,MinIWNorm,EmpiricalD2,StdIWNorm,Bound,TimestepsSoFar,MaxIWNorm,InitialBound,EpRewMean,EpLenMean,TimeElapsed,ESSClassic,EpThisIter,MaxIW,J_sample_variance,InitialReturnMax
0.70424217,4.049326,8.366151,1.9971744,2.8568103,5.483057e-06,-4.1431427,5.569458e-06,1,0.019971743,100,[-0.689  0.919 -0.673  0.288  0.   ],5.483057e-08,141.99661,0.08366151,4.049326,1662,0.6217265,5.558133e-06,-108.13413965200269,16.62,1.5547688007354736,5.391514,100,62.172653,879.7054,9.3641205
2.975651,2.1353874,2.7013378,1.3443638,2.8264809,0.015858257,-4.0934296,1.0681152e-06,2,0.013443638,200,[-0.588  1.029 -0.526  0.139 -0.128],0.00015858257,33.60609,0.02701338,2.1353874,3317,0.22818759,1.0728836e-06,-108.28244682307894,16.55,4.236269950866699,19.850689,100,22.81876,607.75037,10.607544
47.441044,0.30550683,0.69445974,0.9430067,2.6770167,0.045132253,-3.8405685,-2.8991699e-06,3,0.009430066,300,[-0.617  1.019 -0.529  0.037 -0.046],0.00045132253,2.1078794,0.0069445977,0.30550683,5004,0.042991042,-2.8964132e-06,-108.48411821965112,16.87,6.451981782913208,64.83692,100,4.299104,8.5940075,8.6875305
0.05544414,1.2942502,2.1782792,1.0013804,2.8372498,1.5835292e-05,-4.1179504,1.3732911e-06,4,0.010013805,400,[-0.629  1.03  -0.476 -0.014 -0.055],1.5835292e-07,1803.6171,0.02178279,1.2942502,6647,0.15807073,1.3634562e-06,-108.07881367045663,16.43,8.021633386611938,17.446444,100,15.807074,65.32877,10.237419
0.5510711,0.58871627,1.1534353,0.79094124,3.4040225,0.00077317015,-4.2749863,6.027222e-06,5,0.007909412,500,[-0.587  0.959 -0.557  0.09  -0.141],7.731701e-06,181.46478,0.011534353,0.58871627,8350,0.05636621,6.0154125e-06,-108.09933707949875,17.03,10.296919345855713,31.983015,100,5.636621,24.43457,9.821854
28.306484,0.48930338,0.8698592,1.0418942,2.7237885,0.10011071,-4.501541,3.1280517e-06,6,0.01041894,600,[-0.638  0.901 -0.503  0.013 -0.114],0.001001107,3.5327594,0.008698592,0.48930338,10067,0.04935042,3.106892e-06,-108.62155048508508,17.17,12.8401939868927,58.926525,100,4.935042,21.079048,8.580193
100.0,7.8603625e-06,,1.0,3.2827153,1.0,-4.169815,7.858276e-06,7,0.009999999,700,[-0.622  0.946 -0.461 -0.029 -0.083],0.01,1.0,9.313226e-10,7.8603625e-06,11716,0.01,7.8603625e-06,-107.92839812138126,16.49,14.433892965316772,100.0,100,1.0,10.88507,11.771103
2.1957827e-10,158.53455,231.39545,23.435732,3.0161436,5.1698636e-09,-4.1213837,2.2888183e-07,8,0.2343573,800,[-0.622  0.946 -0.461 -0.029 -0.083],5.1698635e-11,455418480000.0,2.3139546,158.53455,13387,23.257807,2.4866313e-07,-108.40740072951414,16.71,15.68350601196289,1.0153489,100,2325.7808,2519700.8,12.382042
3.8316853,0.86983156,1.3530955,1.0886322,2.4780118,0.001839512,-3.9666824,6.027222e-06,9,0.010886323,900,[-0.532  1.092 -0.554  0.066 -0.157],1.839512e-05,26.098177,0.013530955,0.86983156,14998,0.06863383,6.031245e-06,-107.97561244176353,16.11,18.288625478744507,39.2946,100,6.8633833,88.6501,13.174591
72.448975,0.090575404,0.5539791,0.9748584,3.4461336,0.1394385,-4.81192,3.2043456e-06,10,0.009748585,1000,[-0.552  1.068 -0.649  0.145 -0.238],0.0013943849,1.3802818,0.0055397917,0.090575404,16677,0.032220583,3.1888485e-06,-107.71643470409079,16.79,20.770626544952393,75.58998,100,3.2220583,13.389852,12.067596
0.80243796,13.399424,19.69909,4.063906,3.4100804,2.732178e-06,-4.2318726,-1.1444092e-06,11,0.04063906,1100,[-0.552  1.081 -0.661  0.135 -0.234],2.732178e-08,124.620224,0.19699086,13.399424,18380,1.765823,-1.1622906e-06,-108.25605126210317,17.03,22.17676281929016,4.082201,100,176.5823,18698.254,12.470802
100.0,-5.722046e-06,,1.0,2.8254924,1.0,-4.006691,-5.645752e-06,12,0.009999999,1200,[-0.608  0.994 -0.655  0.083 -0.469],0.01,1.0,9.313226e-10,-5.722046e-06,20018,0.01,-5.722046e-06,-107.63242019160636,16.38,24.286276817321777,100.0,100,1.0,8.064048,9.430809
79.82562,0.2766928,0.55824,1.1106439,2.5544708,0.1729268,-3.4936829,-3.0517577e-07,13,0.011106437,1300,[-0.608  0.994 -0.655  0.083 -0.469],0.001729268,1.2527306,0.0055823997,0.2766928,21635,0.03402638,-3.1292439e-07,-108.43029099045069,16.17,25.579107999801636,79.83177,100,3.402638,11.667513,11.678711
