InitialReturnMax,EpRewMean,InitialReturnMean,Weights,EmpiricalD2,InitialReturnMin,EpLenMean,Iteration,ReturnMeanIW,TimestepsSoFar,EpThisIter,J_sample_variance,InitialBound,Bound,TimeElapsed,InitialReturnStd,EpisodesSoFar
-91.01006,-140.63526784482687,-97.719246,[ 0.579 -0.554  0.227  0.402  0.   ],1.1592627,-99.76678,44.24,1,-90.31236,4424,100,651.08765,-192.93658,-189.03815,3.4934756755828857,1.6523936,100
-92.62306,-139.31961829989746,-97.531494,[ 0.562 -0.571  0.228  0.418 -0.017],1.0109069,-99.65803,43.14,2,-96.8622,8738,100,62.81728,-195.9766,-195.636,8.208930492401123,1.7064266,200
-92.4037,-138.82335214334108,-97.57097,[ 0.568 -0.569  0.229  0.413 -0.022],1.061964,-99.59713,42.57,3,-95.751785,12995,100,287.95282,-194.5599,-193.77698,13.070645570755005,1.7462479,300
-92.93985,-136.55139817363732,-97.72261,[ 0.571 -0.548  0.227  0.409 -0.024],1.1007304,-99.78984,40.12,4,-92.644966,17007,100,554.2502,-192.84155,-189.96841,18.057655334472656,1.4238355,400
-91.85354,-137.16053082962765,-97.98322,[ 0.59  -0.543  0.229  0.419 -0.008],1.0890775,-99.622086,40.46,5,-93.862686,21053,100,635.7303,-194.84993,-192.31396,23.006916522979736,1.4237056,500
-93.2911,-139.7966245707893,-97.700066,[ 0.585 -0.558  0.225  0.41  -0.016],1.0629495,-99.731316,43.4,6,-92.270134,25393,100,311.55518,-192.06804,-189.1287,28.23302412033081,1.6112833,600
-91.92145,-139.07043909060178,-97.396164,[ 0.598 -0.573  0.223  0.388 -0.027],1.1511774,-99.531425,43.03,7,-92.316315,29696,100,641.55475,-195.32315,-193.0596,33.57173156738281,1.8162577,700
-89.17796,-140.17077732412446,-97.34211,[ 0.577 -0.583  0.22   0.371 -0.036],1.0429044,-99.69536,44.24,8,-94.947266,34120,100,250.10863,-195.05716,-193.70117,38.23329520225525,2.1405556,800
-91.30694,-138.07650703298944,-97.818016,[ 0.578 -0.599  0.221  0.373 -0.046],1.0459247,-99.72514,41.56,9,-95.37183,38276,100,226.75676,-194.55725,-193.155,42.891595125198364,1.6407136,900
-90.27658,-147.20005079626458,-97.32953,[ 0.579 -0.58   0.217  0.373 -0.053],1.1049573,-99.52076,51.29,10,-93.20942,43405,100,364.90143,-195.37347,-193.19705,48.379637241363525,1.7987508,1000
-91.882835,-143.33868878566392,-97.265495,[ 0.564 -0.588  0.214  0.358 -0.045],1.0200794,-99.5393,47.46,11,-95.07866,48151,100,95.93153,-195.48883,-194.30815,53.4637553691864,1.8170209,1100
-92.14804,-140.64190509110247,-97.65303,[ 0.574 -0.593  0.213  0.346 -0.044],1.149746,-99.65987,44.34,12,-91.70823,52585,100,692.0545,-191.78485,-188.24115,58.99067687988281,1.7739483,1200
-89.67032,-140.60451199779658,-97.54587,[ 0.595 -0.59   0.224  0.347 -0.049],1.0133255,-99.6146,44.43,13,-96.235535,57028,100,77.96411,-195.39072,-194.74686,64.4347836971283,2.1444764,1300
-91.08346,-144.12816617458782,-97.310555,[ 0.596 -0.587  0.221  0.335 -0.052],1.0115476,-99.63436,48.23,14,-95.86667,61851,100,66.56297,-196.42815,-195.5186,70.09607577323914,2.1599271,1400
-90.9636,-143.67148422801836,-97.32756,[ 0.589 -0.576  0.218  0.333 -0.043],1.0117028,-99.63321,47.76,15,-95.98599,66627,100,79.11099,-195.93866,-194.9867,75.20807909965515,1.9578934,1500
-91.72458,-141.3662344101285,-97.34208,[ 0.6   -0.584  0.223  0.337 -0.037],1.0585667,-99.69577,45.42,16,-94.736084,71169,100,283.00635,-193.19244,-191.89426,80.228679895401,1.9948071,1600
-92.2014,-139.14305095013088,-97.59708,[ 0.592 -0.588  0.217  0.327 -0.028],1.0501044,-99.602234,42.91,17,-95.08273,75460,100,258.35855,-194.97562,-193.77933,85.5682098865509,1.7197703,1700
-91.246216,-140.3004701642356,-97.29601,[ 0.596 -0.582  0.223  0.328 -0.04 ],1.0086795,-99.62309,44.4,18,-96.30636,79900,100,60.45563,-192.88657,-192.27,91.09543466567993,1.8328604,1800
-90.580124,-141.81450287308678,-97.27665,[ 0.589 -0.572  0.22   0.325 -0.032],1.0244725,-99.60383,45.95,19,-95.85241,84495,100,107.49194,-194.9917,-194.33063,96.2872667312622,1.9463198,1900
-93.32981,-144.46684234734462,-97.641525,[ 0.594 -0.567  0.22   0.315 -0.026],1.6505338,-99.41885,48.23,20,-83.93018,89318,100,1169.2972,-196.78937,-190.20996,102.00782823562622,1.5019943,2000
-93.63499,-142.62473071272598,-97.752754,[ 0.622 -0.542  0.233  0.32  -0.019],1.0065805,-99.57384,46.24,21,-96.95698,93942,100,37.63962,-196.25551,-195.76425,107.1141414642334,1.5624598,2100
-90.65852,-137.03508652843408,-97.27224,[ 0.628 -0.548  0.235  0.313 -0.014],1.0398259,-99.51317,41.15,22,-95.654884,98057,100,176.88692,-195.59459,-194.78294,111.97212028503418,2.04702,2200
-90.756645,-137.45379069275262,-97.09933,[ 0.622 -0.56   0.236  0.319 -0.009],1.0240799,-99.56247,41.77,23,-95.016815,102234,100,109.85199,-192.77834,-191.64209,117.20237874984741,2.0252,2300
-89.18142,-139.35056468133556,-97.29501,[ 0.63  -0.574  0.238  0.317  0.005],1.0493429,-99.61673,43.46,24,-95.40636,106580,100,273.09088,-194.82382,-193.8892,122.46276926994324,1.8592613,2400
-91.42098,-138.188943936725,-97.363594,[ 0.635 -0.561  0.238  0.329  0.003],1.247235,-99.661316,42.2,25,-89.200584,110800,100,952.13257,-191.61478,-187.51633,127.87817692756653,1.8193979,2500
-91.13821,-137.69580839068965,-97.37913,[ 0.611 -0.574  0.232  0.304  0.008],1.2078881,-99.72475,41.69,26,-89.650055,114969,100,875.07764,-192.87933,-188.2408,132.73031544685364,1.8558598,2600
