IterType,AvgNormIw,AvgEpLen,VarJ,EpsThisIter,AvgVanillaIw,J,ESSRenyi,AvgRet,VarVanillaIw,MaxNormIw,VarRet,ESSClassic,VarDiscRet,Delta,BatchSize,VarNormIw,AvgDiscRet,MinVanillaIw,Bound,MaxVanillaIw,VanillaAvgRet,eRenyi2,MinNormIw
1,0.01,500.0,431.529,100,0.98796,-1106.67,38.9072583679,-1485.85436731,2.03323,0.0826427,153715.045746,32.6557018493,153715.045746,0.4,100,0.000208308,-1485.85436731,1.92814e-09,-1498.88,8.16477,-1485.85436731,2.57021,1.95164e-11
1,0.01,500.0,264.852,100,1.04093,-1097.39,79.9541812253,-1155.25537786,0.323533,0.0298445,48399.3565194,77.1841659019,48399.3565194,0.4,100,2.98588e-05,-1155.25537786,0.0101543,-1365.86,3.10662,-1155.25537786,1.25072,9.75503e-05
1,0.01,500.0,116.991,100,1.02666,-1128.12,96.4762610039,-1139.93249189,0.031261,0.0149344,24620.7050822,97.1475668334,24620.7050822,0.4,100,2.96584e-06,-1139.93249189,0.455277,-1372.36,1.53326,-1139.93249189,1.03652,0.00443454
1,0.01,500.0,171.554,100,0.968194,-1102.48,89.5679481885,-1118.16512142,0.115836,0.0220995,9416.67436435,89.0999128264,9416.67436435,0.4,100,1.23572e-05,-1118.16512142,0.254344,-1283.09,2.13966,-1118.16512142,1.11647,0.002627
1,0.01,500.0,143.636,100,0.97727,-1125.42,96.1461792801,-1137.88829677,0.0492704,0.0132325,48757.1222483,95.1408829627,48757.1222483,0.4,100,5.1589e-06,-1137.88829677,0.296207,-1370.42,1.29317,-1137.88829677,1.04008,0.00303096
1,0.01,500.0,651.468,100,1.02975,-1016.98,58.0568732023,-1120.5532065,1.86758,0.122725,25679.8652313,36.4484176208,25679.8652313,0.4,100,0.000176122,-1120.5532065,0.118829,-1331.83,12.6377,-1120.5532065,1.72245,0.00115396
1,0.01,500.0,279.371,100,1.07019,-1049.59,82.4347178702,-1088.63405059,0.227591,0.0259641,50923.1148359,83.5610085013,50923.1148359,0.4,100,1.98717e-05,-1088.63405059,0.154733,-1314.2,2.77864,-1088.63405059,1.21308,0.00144585
1,0.01,500.0,454.036,100,1.15133,-915.409,54.8396468447,-1069.11189019,2.68237,0.0996705,39548.7007979,33.2961633921,39548.7007979,0.4,100,0.000202359,-1069.11189019,0.0722811,-1239.43,11.4753,-1069.11189019,1.8235,0.000627807
1,0.01,500.0,347.225,100,0.984535,-889.977,51.7525047372,-1038.73104239,1.16342,0.060889,70587.1908982,45.6984557116,70587.1908982,0.4,100,0.000120026,-1038.73104239,0.00822182,-1223.68,5.99473,-1038.73104239,1.93227,8.35097e-05
1,0.01,500.0,219.293,100,0.984961,-725.755,56.2101931955,-896.161268225,0.857692,0.0401634,88108.1702146,53.3264249829,88108.1702146,0.4,100,8.84084e-05,-896.161268225,1.84223e-05,-1045.93,3.95594,-896.161268225,1.77904,1.87036e-07
1,0.01,500.0,167.89,100,1.05269,-694.974,78.8138344144,-758.42510187,0.44789,0.035834,40402.2036246,71.4215520427,40402.2036246,0.4,100,4.0418e-05,-758.42510187,0.0135368,-965.405,3.77219,-758.42510187,1.26881,0.000128593
1,0.01,500.0,113.289,100,0.926694,-658.984,81.8280233839,-720.130120006,0.238098,0.0230324,36866.8580815,78.463068249,36866.8580815,0.4,100,2.77257e-05,-720.130120006,0.0641548,-924.282,2.13439,-720.130120006,1.22208,0.000692298
1,0.01,500.0,78.2492,100,0.958081,-650.82,85.6487746058,-685.894808935,0.216818,0.0202947,15327.9211688,81.0475346789,15327.9211688,0.4,100,2.36206e-05,-685.894808935,0.0569107,-818.605,1.9444,-685.894808935,1.16756,0.000594008
1,0.01,500.0,112.473,100,0.980937,-632.686,91.6616557629,-659.455910084,0.105107,0.0181633,42907.7548592,90.2413308608,42907.7548592,0.4,100,1.09232e-05,-659.455910084,0.153099,-883.324,1.7817,-659.455910084,1.09097,0.00156074
1,0.01,500.0,79.8151,100,1.01959,-606.676,89.5844195066,-640.893046281,0.143991,0.0166482,29422.8105335,87.9409978865,29422.8105335,0.4,100,1.38511e-05,-640.893046281,0.197467,-860.38,1.69743,-640.893046281,1.11627,0.00193673
1,0.01,500.0,61.0854,100,1.0107,-610.975,90.0599701389,-623.152666065,0.113823,0.0164898,4343.06920922,90.0647856821,4343.06920922,0.4,100,1.11426e-05,-623.152666065,0.131735,-722.074,1.66662,-623.152666065,1.11037,0.0013034
1,0.01,500.0,100.651,100,0.990221,-604.736,89.8722263416,-634.935133111,0.147781,0.019264,40924.564473,87.0165601214,40924.564473,0.4,100,1.50714e-05,-634.935133111,0.297389,-858.18,1.90756,-634.935133111,1.11269,0.00300326
1,0.01,500.0,93.9572,100,1.01293,-597.876,91.8920760441,-619.822011454,0.160815,0.026704,22416.9743302,86.5673613836,22416.9743302,0.4,100,1.56737e-05,-619.822011454,0.347687,-848.364,2.70492,-619.822011454,1.08823,0.0034325
1,0.01,500.0,72.0076,100,0.970494,-594.756,90.4915173588,-609.871699148,0.123488,0.0249923,8323.74414189,88.5112558947,8323.74414189,0.4,100,1.31111e-05,-609.871699148,0.252863,-738.832,2.42549,-609.871699148,1.10508,0.00260551
1,0.01,500.0,79.6881,100,0.920907,-567.072,77.3462745872,-589.329709382,0.332129,0.0355981,3819.67683625,72.0610241583,3819.67683625,0.4,100,3.91629e-05,-589.329709382,0.0493435,-676.732,3.27825,-589.329709382,1.29289,0.000535814
1,0.01,500.0,56.7778,100,0.985677,-570.697,92.4798332397,-581.954199322,0.0933478,0.0148747,5502.19148993,91.3142695533,5502.19148993,0.4,100,9.60804e-06,-581.954199322,0.189905,-713.484,1.46616,-581.954199322,1.08132,0.00192664
1,0.01,500.0,54.1685,100,0.948149,-570.987,88.7216775939,-583.646368671,0.140588,0.0189378,3369.07975614,86.5935368937,3369.07975614,0.4,100,1.56385e-05,-583.646368671,0.0898467,-668.384,1.79559,-583.646368671,1.12712,0.0009476
1,0.01,500.0,65.4003,100,1.08196,-542.712,86.6846416447,-554.411236635,0.207855,0.0242219,3128.51257594,85.0499356266,3128.51257594,0.4,100,1.77555e-05,-554.411236635,0.387578,-634.654,2.62073,-554.411236635,1.15361,0.00358217
1,0.01,500.0,83.043,100,1.05256,-548.099,93.0559635364,-558.429520981,0.110173,0.0272831,7814.39788401,91.0373114648,7814.39788401,0.4,100,9.94449e-06,-558.429520981,0.391052,-700.402,2.87171,-558.429520981,1.07462,0.00371525
1,0.01,500.0,54.861,100,0.998517,-531.971,93.7914829239,-539.855779369,0.0809697,0.0152549,4242.12813932,92.5584471304,4242.12813932,0.4,100,8.12103e-06,-539.855779369,0.309125,-651.722,1.52323,-539.855779369,1.06619,0.00309584
1,0.01,500.0,52.816,100,1.03048,-528.3,86.8726847151,-541.477334129,0.191926,0.0233624,2930.51240234,84.8224888694,2930.51240234,0.4,100,1.8074e-05,-541.477334129,0.227689,-622.366,2.40745,-541.477334129,1.15111,0.00220954
1,0.01,500.0,51.1761,100,0.965488,-531.637,91.9712949317,-539.431057386,0.0944015,0.0161891,2764.43049456,90.8877622838,2764.43049456,0.4,100,1.01271e-05,-539.431057386,0.148074,-627.017,1.56304,-539.431057386,1.0873,0.00153367
1,0.01,500.0,53.2741,100,0.981888,-526.313,88.9769401173,-535.721794377,0.122024,0.0179038,2615.27573539,88.8650398464,2615.27573539,0.4,100,1.26568e-05,-535.721794377,0.238779,-615.994,1.75795,-535.721794377,1.12389,0.00243184
1,0.01,500.0,47.7337,100,0.981495,-524.779,91.4723882562,-532.69860991,0.094259,0.0169693,2663.57287283,91.1686410481,2663.57287283,0.4,100,9.78467e-06,-532.69860991,0.349046,-614.467,1.66553,-532.69860991,1.09323,0.00355627
