AvgNormIw,VarRet,Delta,ESSClassic,VarDiscRet,VarJ,AvgEpLen,MaxNormIw,J,AvgVanillaIw,MinVanillaIw,EpsThisIter,VanillaAvgRet,AvgRet,MinNormIw,Bound,ESSRenyi,IterType,BatchSize,AvgDiscRet,VarNormIw,eRenyi2,MaxVanillaIw,VarVanillaIw
0.010000002,27085.56038992746,0.85,1.1456168621912373,27085.56038992746,405.64676,11.89,0.9338085,809.73016,1.3929003,,100,108.8423725164873,108.8423725164873,,568.5951,2.243777280727913,1,100,108.8423725164873,0.008716083,44.567703,130.07022,169.10693
0.01,786182.4421780825,0.85,1.222295620502009,786182.4421780825,2999.2734,67.68,0.9035512,4700.6255,1.147566,,100,666.8015867474215,666.8015867474215,,3507.4438,3.0987808503608627,1,100,666.8015867474215,0.008162957,32.270756,103.68846,107.49859
nan,786182.4421780825,0.85,nan,3353967.829575802,nan,67.68,nan,nan,inf,0.0096442755,100,666.8015867474215,666.8015867474215,nan,nan,169.98394003252116,,200,1847.4866023320915,nan,1.1765817,inf,nan
0.005,571101.1618194936,0.85,1.4175673627148015,571101.1618194936,4824.4697,54.85,0.83798337,4616.6865,1.3104844,,100,538.5410049445364,538.5410049445364,,3489.5637,3.472654225673775,1,200,538.5410049445364,0.0035197674,57.592834,219.63284,241.7897
0.009999998,4352646.21220754,0.85,100.0,4352646.21220754,2075.8418,291.82,0.01,2912.047,1.0,1.0,100,2912.0474427497265,2912.0474427497265,0.01,2702.0051,200.0,2,200,2912.0474427497265,3.5044917e-18,1.0,1.0,
nan,571101.1618194936,0.85,nan,3882559.776031358,nan,54.85,nan,nan,inf,0.004553053,100,538.5410049445364,538.5410049445364,nan,nan,nan,,300,2412.388880470291,nan,nan,inf,nan
0.0033333332,884877.2717193776,0.85,1.8428342935958302,884877.2717193776,2073.1975,63.36,0.68266547,4850.859,1.1072315,,100,623.7050363491185,623.7050363491185,,3698.8118,3.3240190759822767,1,300,623.7050363491185,0.0018037091,90.25219,226.7606,199.015
0.009999998,2014358.7562388214,0.85,100.0,2014358.7562388214,1412.1667,189.71,0.01,1887.7625,1.0,1.0,100,1887.7625279024317,1887.7625279024317,0.01,1677.7205,300.0,2,300,1887.7625279024317,3.5044917e-18,1.0,1.0,
0.0049999994,2103258.405680703,0.85,200.00000010221265,2103258.405680703,1430.3173,172.28,0.005,1800.6602,1.0,1.0,100,1713.5577575131204,1713.5577575131204,0.005,1652.1381,300.0,2,300,1713.5577575131204,2.179301e-19,1.0,1.0,
nan,884877.2717193776,0.85,nan,2306825.150635535,nan,63.36,nan,nan,inf,0.004409937,100,623.7050363491185,623.7050363491185,nan,nan,36404080.616753764,,400,2100.133078949845,nan,1.0987779e-05,inf,nan
0.0025,524465.6016902972,0.85,2.20025694545676,524465.6016902972,3550.0867,60.57,0.57167035,4773.0137,1.7048025,,100,595.5291060288141,595.5291060288141,,3597.3577,3.1918572961786875,1,400,595.5291060288141,0.001132813,125.318886,389.83405,526.77637
0.009999998,3214037.381535606,0.85,100.0,3214037.381535606,1783.7874,304.78,0.01,3040.9485,1.0,1.0,100,3040.9485898817006,3040.9485898817006,0.01,2830.9065,400.0,2,400,3040.9485898817006,3.5044917e-18,1.0,1.0,
0.0049999994,3135628.503361198,0.85,200.00000010221265,3135628.503361198,1773.9901,317.37,0.005,3103.8494,1.0,1.0,100,3166.7502165605174,3166.7502165605174,0.005,2955.3271,400.0,2,400,3166.7502165605174,2.179301e-19,1.0,1.0,
0.0033333336,3044972.0927020092,0.85,299.999969473632,3044972.0927020092,1761.6987,316.74,0.0033333334,3122.7424,1.0,1.0,100,3160.529610165367,3160.529610165367,0.0033333334,3001.4746,400.0,2,400,3160.529610165367,5.4391416e-20,1.0,1.0,
nan,524465.6016902972,0.85,nan,3423250.5750705684,nan,60.57,nan,nan,inf,0.002565194,100,595.5291060288141,595.5291060288141,nan,nan,145531081.9437876,,500,3081.893423417577,nan,3.4356922e-06,inf,nan
0.002,1098415.823255978,0.85,2.2506001030984493,1098415.823255978,5706.784,74.5,0.63594925,4639.7036,1.0867616,,100,735.1219703689245,735.1219703689245,,3586.7925,3.9794266749830465,1,500,735.1219703689245,0.0008864248,125.64624,345.56262,261.72815
0.009999998,3911771.2454633075,0.85,100.0,3911771.2454633075,1967.9059,295.21,0.01,2945.7578,1.0,1.0,100,2945.757737075075,2945.757737075075,0.01,2735.7158,500.0,2,500,2945.757737075075,3.5044917e-18,1.0,1.0,
0.0049999994,3890480.7085783407,0.85,200.00000010221265,3890480.7085783407,1965.2365,293.95,0.005,2939.4624,1.0,1.0,100,2933.167512258084,2933.167512258084,0.005,2790.9402,500.0,2,500,2933.167512258084,2.179301e-19,1.0,1.0,
0.0033333336,3953063.3121719975,0.85,299.999969473632,3953063.3121719975,1969.8268,301.07,0.0033333334,2961.1116,1.0,1.0,100,3004.4091733556434,3004.4091733556434,0.0033333334,2839.8438,500.0,2,500,3004.4091733556434,5.4391416e-20,1.0,1.0,
0.0024999997,3513154.1162502947,0.85,400.0,3513154.1162502947,1953.3427,340.41,0.0025,3070.4714,1.0,1.0,100,3398.5522621052282,3398.5522621052282,0.0025,2965.4504,500.0,2,500,3398.5522621052282,5.434597e-20,1.0,1.0,
0.002,3634540.7247473346,0.85,64.1096427195186,3634540.7247473346,301.7443,335.23,0.044973504,4933.6255,0.9190753,3.063689e-18,100,3346.9737813465617,3346.9737813465617,6.6668944e-21,4671.122,64.02391127399204,1,500,3346.9737813465617,2.7251059e-05,7.809582,20.667019,5.754739
0.009999998,296991.5647128812,0.85,100.0,296991.5647128812,542.2376,491.36,0.01,4912.886,1.0,1.0,100,4912.886561996775,4912.886561996775,0.01,4702.844,500.0,2,500,4912.886561996775,3.5044917e-18,1.0,1.0,
0.0049999994,218495.14659239893,0.85,200.00000010221265,218495.14659239893,505.1892,492.78,0.005,4919.9736,1.0,1.0,100,4927.060806203626,4927.060806203626,0.005,4771.4517,500.0,2,500,4927.060806203626,2.179301e-19,1.0,1.0,
0.0033333336,333337.8164439209,0.85,299.999969473632,333337.8164439209,529.28845,491.87,0.0033333334,4919.369,1.0,1.0,100,4918.159257798291,4918.159257798291,0.0033333334,4798.1016,500.0,2,500,4918.159257798291,5.4391416e-20,1.0,1.0,
0.0024999997,147192.28591130415,0.85,400.0,147192.28591130415,496.65372,494.57,0.0025,4925.8267,1.0,1.0,100,4945.199718250671,4945.199718250671,0.0025,4820.8057,500.0,2,500,4945.199718250671,5.434597e-20,1.0,1.0,
0.0019999999,344209.9594456459,0.85,381.2830679980185,344209.9594456459,70.71974,490.31,0.0045934846,4990.6143,0.9904928,0.00023811149,100,4902.281717646564,4902.281717646564,4.80794e-07,4883.605,385.27255874176933,1,500,4902.281717646564,1.2479424e-06,1.2977825,2.2749066,0.3060816
0.009999998,20519.80021127393,0.85,100.0,20519.80021127393,142.52931,498.58,0.01,4985.319,1.0,1.0,100,4985.319001548559,4985.319001548559,0.01,4775.277,500.0,2,500,4985.319001548559,3.5044917e-18,1.0,1.0,
0.0049999994,84960.42353998306,0.85,200.00000010221265,84960.42353998306,228.70146,496.67,0.005,4975.745,1.0,1.0,100,4966.1720224088085,4966.1720224088085,0.005,4827.223,500.0,2,500,4966.1720224088085,2.179301e-19,1.0,1.0,
0.0033333336,0.10245602178929752,0.85,299.999969473632,0.10245602178929752,187.07632,500.0,0.0033333334,4983.744,1.0,1.0,100,4999.740224131678,4999.740224131678,0.0033333334,4862.4766,500.0,2,500,4999.740224131678,5.4391416e-20,1.0,1.0,
0.0024999997,183225.49765026776,0.85,400.0,183225.49765026776,268.40552,493.57,0.0025,4971.5635,1.0,1.0,100,4935.024027206691,4935.024027206691,0.0025,4866.5425,500.0,2,500,4935.024027206691,5.434597e-20,1.0,1.0,
0.0019999999,4235.444031506773,0.85,443.6275215050002,4235.444031506773,67.21542,499.36,0.0033027253,4993.475,1.000447,0.10218815,100,4993.196082890633,4993.196082890633,0.00020428498,4894.44,449.81403350238924,1,500,4993.196082890633,5.0930606e-07,1.1115705,1.6521008,0.12744038
0.009999998,32036.574410877292,0.85,100.0,32036.574410877292,178.09044,498.22,0.01,4981.823,1.0,1.0,100,4981.823324612947,4981.823324612947,0.01,4771.7812,500.0,2,500,4981.823324612947,3.5044917e-18,1.0,1.0,
0.0049999994,3512.2392931105132,0.85,200.00000010221265,3512.2392931105132,132.78802,499.42,0.005,4987.8228,1.0,1.0,100,4993.8225293360665,4993.8225293360665,0.005,4839.301,500.0,2,500,4993.8225293360665,2.179301e-19,1.0,1.0,
0.0033333336,0.07606315572407629,0.85,299.999969473632,0.07606315572407629,108.56639,500.0,0.0033333334,4991.7935,1.0,1.0,100,4999.734728256896,4999.734728256896,0.0033333334,4870.526,500.0,2,500,4999.734728256896,5.4391416e-20,1.0,1.0,
0.0024999997,0.09974352148145739,0.85,400.0,0.09974352148145739,94.08363,500.0,0.0025,4993.7695,1.0,1.0,100,4999.6963433304545,4999.6963433304545,0.0025,4888.7485,500.0,2,500,4999.6963433304545,5.434597e-20,1.0,1.0,
0.002,47588.09150570056,0.85,478.49040140563426,47588.09150570056,54.326275,497.83,0.0026435258,4996.2476,0.9906848,0.18120402,100,4977.834794944779,4977.834794944779,0.00036581568,4900.381,480.0374846165089,1,500,4977.834794944779,1.801725e-07,1.0415853,1.3094505,0.044207864
0.009999998,0.05812907672209969,0.85,100.0,0.05812907672209969,0.2398734,500.0,0.01,4999.75,1.0,1.0,100,4999.749645142962,4999.749645142962,0.01,4789.708,500.0,2,500,4999.749645142962,3.5044917e-18,1.0,1.0,
0.0049999994,0.1254350753311331,0.85,200.00000010221265,0.1254350753311331,0.30188376,500.0,0.005,4999.7334,1.0,1.0,100,4999.716572804351,4999.716572804351,0.005,4851.2114,500.0,2,500,4999.716572804351,2.179301e-19,1.0,1.0,
0.0033333336,400.0682884420977,0.85,299.999969473632,400.0682884420977,11.531143,499.81,0.0033333334,4999.069,1.0,1.0,100,4997.7385977326985,4997.7385977326985,0.0033333334,4877.8013,500.0,2,500,4997.7385977326985,5.4391416e-20,1.0,1.0,
0.0024999997,0.06311091514303903,0.85,400.0,0.06311091514303903,9.991158,500.0,0.0025,4999.2334,1.0,1.0,100,4999.730255927995,4999.730255927995,0.0025,4894.2124,500.0,2,500,4999.730255927995,5.434597e-20,1.0,1.0,
0.002,0.06994960143551998,0.85,499.63501775048655,0.06994960143551998,7.427415,500.0,0.0020829584,4999.4097,1.000357,0.80364877,100,4999.765518437334,4999.765518437334,0.001606724,4905.445,499.6660795162001,1,500,4999.765518437334,2.9284954e-09,1.0006683,1.0418509,0.0007326468
0.009999998,2313.146794460674,0.85,100.0,2313.146794460674,47.854122,499.53,0.01,4994.9565,1.0,1.0,100,4994.956182388119,4994.956182388119,0.01,4784.9146,500.0,2,500,4994.956182388119,3.5044917e-18,1.0,1.0,
0.0049999994,0.06310489488751422,0.85,200.00000010221265,0.06310489488751422,33.92433,500.0,0.005,4997.3687,1.0,1.0,100,4999.781292482727,4999.781292482727,0.005,4848.8467,500.0,2,500,4999.781292482727,2.179301e-19,1.0,1.0,
0.0033333336,0.13392829488081504,0.85,299.999969473632,0.13392829488081504,27.72224,500.0,0.0033333334,4998.156,1.0,1.0,100,4999.729182122773,4999.729182122773,0.0033333334,4876.888,500.0,2,500,4999.729182122773,5.4391416e-20,1.0,1.0,
0.0024999997,0.05346394870057492,0.85,400.0,0.05346394870057492,24.01843,500.0,0.0025,4998.5557,1.0,1.0,100,4999.755521993612,4999.755521993612,0.0025,4893.5347,500.0,2,500,4999.755521993612,5.434597e-20,1.0,1.0,
0.002,249976.1091241484,0.85,473.0312336667675,249976.1091241484,75.34409,495.01,0.0025908586,4996.0674,1.0152445,0.13169825,100,4949.762613801163,4949.762613801163,0.00025944144,4899.3584,471.7115601780588,1,500,4949.762613801163,2.285077e-07,1.0599698,1.3151774,0.058881946
0.009999998,0.10174456948734144,0.85,100.0,0.10174456948734144,0.31737855,500.0,0.01,4999.7163,1.0,1.0,100,4999.716699316238,4999.716699316238,0.01,4789.6743,500.0,2,500,4999.716699316238,3.5044917e-18,1.0,1.0,
0.0049999994,0.05413562056581286,0.85,200.00000010221265,0.05413562056581286,0.2793564,500.0,0.005,4999.746,1.0,1.0,100,4999.775767334841,4999.775767334841,0.005,4851.224,500.0,2,500,4999.775767334841,2.179301e-19,1.0,1.0,
0.0033333336,0.13274698162230802,0.85,299.999969473632,0.13274698162230802,0.3097671,500.0,0.0033333334,4999.754,1.0,1.0,100,4999.768833891278,4999.768833891278,0.0033333334,4878.4863,500.0,2,500,4999.768833891278,5.4391416e-20,1.0,1.0,
0.0024999997,0.0720950406802227,0.85,400.0,0.0720950406802227,0.30031222,500.0,0.0025,4999.7427,1.0,1.0,100,4999.708889790534,4999.708889790534,0.0025,4894.7217,500.0,2,500,4999.708889790534,5.434597e-20,1.0,1.0,
0.002,457.20919029169045,0.85,499.4046403878251,457.20919029169045,7.5690174,499.8,0.0020820124,4999.415,0.9994359,0.79117024,100,4997.649946026922,4997.649946026922,0.0015832336,4905.4385,499.54568933678263,1,500,4997.649946026922,4.777653e-09,1.0009094,1.040419,0.001193066
0.009999998,784.9073132764856,0.85,100.0,784.9073132764856,27.875742,499.73,0.01,4996.9775,1.0,1.0,100,4996.977427349205,4996.977427349205,0.01,4786.9355,500.0,2,500,4996.977427349205,3.5044917e-18,1.0,1.0,
0.0049999994,0.10010139784107183,0.85,200.00000010221265,0.10010139784107183,19.760796,500.0,0.005,4998.36,1.0,1.0,100,4999.742282440237,4999.742282440237,0.005,4849.838,500.0,2,500,4999.742282440237,2.179301e-19,1.0,1.0,
0.0033333336,0.06660502072978337,0.85,299.999969473632,0.06660502072978337,16.149046,500.0,0.0033333334,4998.831,1.0,1.0,100,4999.772683163092,4999.772683163092,0.0033333334,4877.5635,500.0,2,500,4999.772683163092,5.4391416e-20,1.0,1.0,
0.0024999997,0.1031884270504209,0.85,400.0,0.1031884270504209,13.991539,500.0,0.0025,4999.05,1.0,1.0,100,4999.706821729191,4999.706821729191,0.0025,4894.029,500.0,2,500,4999.706821729191,5.434597e-20,1.0,1.0,
0.002,0.0699656773176302,0.85,499.45934489693025,0.0699656773176302,10.484049,500.0,0.0020922772,4999.281,0.9988066,0.8150842,100,4999.741345248742,4999.741345248742,0.0016321163,4905.3027,499.5278410611422,1,500,4999.741345248742,4.3384714e-09,1.0009452,1.04489,0.0010820307
0.009999998,0.059965742937016286,0.85,100.0,0.059965742937016286,0.24363965,500.0,0.01,4999.7407,1.0,1.0,100,4999.740966642413,4999.740966642413,0.01,4789.6987,500.0,2,500,4999.740966642413,3.5044917e-18,1.0,1.0,
0.0049999994,0.06397317822573502,0.85,200.00000010221265,0.06397317822573502,0.24917549,500.0,0.005,4999.7686,1.0,1.0,100,4999.795395671981,4999.795395671981,0.005,4851.2466,500.0,2,500,4999.795395671981,2.179301e-19,1.0,1.0,
0.0033333336,0.06192104989117713,0.85,299.999969473632,0.06192104989117713,0.249482,500.0,0.0033333334,4999.7534,1.0,1.0,100,4999.724776898812,4999.724776898812,0.0033333334,4878.486,500.0,2,500,4999.724776898812,5.4391416e-20,1.0,1.0,
0.0024999997,0.09246651287440054,0.85,400.0,0.09246651287440054,0.26530752,500.0,0.0025,4999.7373,1.0,1.0,100,4999.687502309342,4999.687502309342,0.0025,4894.7163,500.0,2,500,4999.687502309342,5.434597e-20,1.0,1.0,
0.0019999999,249971.4802988395,0.85,477.43964195571243,249971.4802988395,125.81493,495.01,0.0031755562,4994.1157,0.9941371,0.13978225,100,4949.716763713487,4949.716763713487,0.00028121323,4898.158,479.12895779641326,1,500,4949.716763713487,1.8939052e-07,1.0435604,1.578469,0.04679406
0.009999998,0.10551868511455134,0.85,100.0,0.10551868511455134,0.32319885,500.0,0.01,4999.724,1.0,1.0,100,4999.724144665897,4999.724144665897,0.01,4789.682,500.0,2,500,4999.724144665897,3.5044917e-18,1.0,1.0,
0.0049999994,4.03850252437188,0.85,200.00000010221265,4.03850252437188,1.4350034,499.99,0.005,4999.635,1.0,1.0,100,4999.545885051127,4999.545885051127,0.005,4851.113,500.0,2,500,4999.545885051127,2.179301e-19,1.0,1.0,
0.0033333336,0.05982375658052306,0.85,299.999969473632,0.05982375658052306,1.1812141,500.0,0.0033333334,4999.672,1.0,1.0,100,4999.745307736317,4999.745307736317,0.0033333334,4878.4043,500.0,2,500,4999.745307736317,5.4391416e-20,1.0,1.0,
0.0024999997,0.05024552807277873,0.85,400.0,0.05024552807277873,1.0300648,500.0,0.0025,4999.698,1.0,1.0,100,4999.778792277796,4999.778792277796,0.0025,4894.6772,500.0,2,500,4999.778792277796,5.434597e-20,1.0,1.0,
0.0020000003,0.09139491399438075,0.85,500.00000664260017,0.09139491399438075,0.9311946,500.0,0.002,4999.7065,1.0,1.0,100,4999.734087285308,4999.734087285308,0.002,4905.773,500.0,1,500,4999.734087285308,5.431875e-20,1.0,1.0,
0.009999998,0.06027027776500902,0.85,100.0,0.06027027776500902,0.2442728,500.0,0.01,4999.7676,1.0,1.0,100,4999.767402798621,4999.767402798621,0.01,4789.7256,500.0,2,500,4999.767402798621,3.5044917e-18,1.0,1.0,
0.0049999994,0.052047498320564725,0.85,200.00000010221265,0.052047498320564725,0.2360423,500.0,0.005,4999.7783,1.0,1.0,100,4999.789309052173,4999.789309052173,0.005,4851.2563,500.0,2,500,4999.789309052173,2.179301e-19,1.0,1.0,
