MaxVanillaIw,eRenyi2,VarNormIw,AvgNormIw,AvgRet,EpsThisIter,MinNormIw,VarRet,Bound,Delta,AvgEpLen,MinVanillaIw,BatchSize,ESSClassic,VarDiscRet,ESSRenyi,VarVanillaIw,IterType,VanillaAvgRet,J,VarJ,MaxNormIw,AvgVanillaIw,AvgDiscRet
49.6888,1.77325,0.000346316,0.01,-5.14520982434,100,1.33154e-05,85.479104066,6.66978,0.8,500.0,0.0147471,100,22.5808412262,85.479104066,56.3935787509,424.794,1,-5.14520982434,8.0822,0.465979,0.0448648,11.0752,-5.14520982434
67.8101,2.3628,0.000341113,0.01,-5.14520982434,100,1.76552e-05,85.479104066,-3.15525,0.8,500.0,0.0201253,200,22.8466101264,61.9817569025,84.6452804494,443.235,,-5.14520982434,-1.87736,6.62467,0.0594876,11.399,-0.883163765588
1369.24,2.13506,0.000469986,0.005,-6.82180592305,100,1.32838e-06,148.453307245,16.4211,0.8,500.0,0.0183242,200,10.1494794564,148.453307245,93.6743885113,89431.5,1,-6.82180592305,17.7567,0.691886,0.0992607,68.972,-6.82180592305
1.0,1.0,3.50449e-18,0.01,-1.56042206621,100,0.01,422.635598568,-4.4174,0.8,500.0,1.0,200,100.0,422.635598568,200.0,,2,-1.56042206621,-1.56042,20.4551,0.01,1.0,-1.56042206621
54.5726,2.0031,0.000108387,0.005,-6.82180592305,100,5.83046e-07,148.453307245,-16.7881,0.8,500.0,0.000730331,300,37.6378656775,203.746181369,149.768079834,170.063,,-6.82180592305,-13.9289,13.0337,0.043567,6.26307,-6.34751816935
456.651,2.50584,0.000289402,0.00333333,1.09962608198,100,3.22278e-07,363.60068486,15.9445,0.8,500.0,0.00155296,300,11.1278773887,363.60068486,119.720432804,6719.85,1,1.09962608198,17.7203,1.21592,0.0947665,16.0623,1.09962608198
1.0,1.0,3.50449e-18,0.01,2.65756780408,100,0.01,179.017222904,1.56879,0.8,500.0,1.0,300,100.0,179.017222904,300.0,,2,2.65756780408,2.65757,13.3127,0.01,1.0,2.65756780408
1.0,1.0,2.1793e-19,0.005,-0.474774840414,100,0.005,291.760123969,-0.289023,0.8,500.0,1.0,300,200.000000102,291.760123969,300.0,,2,-0.474774840414,1.0914,15.3456,0.005,1.0,-0.474774840414
643.932,4.67669,0.000173839,0.00333333,1.09962608198,100,2.30124e-07,363.60068486,-9.03703,0.8,500.0,0.00218986,400,18.0794738502,110.402425305,85.530619996,15741.9,,1.09962608198,-6.59959,18.8112,0.0676684,31.72,-2.73802908133
2157.49,2.88281,0.000239215,0.0025,-2.56319410037,100,1.25278e-07,51.7204381988,16.123,0.8,500.0,0.00273105,400,10.2096569453,51.7204381988,138.75342196,113684.0,1,-2.56319410037,17.7725,0.87034,0.0989677,54.5,-2.56319410037
1.0,1.0,3.50449e-18,0.01,2.29451402813,100,0.01,260.315824255,0.293408,0.8,500.0,1.0,400,100.0,260.315824255,400.0,,2,2.29451402813,2.29451,16.0534,0.01,1.0,2.29451402813
1.0,1.0,2.1793e-19,0.005,1.66374245706,100,0.005,110.831534008,0.564133,0.8,500.0,1.0,400,200.000000102,110.831534008,400.0,,2,1.66374245706,1.97913,13.5579,0.005,1.0,1.66374245706
