VarNormIw,ESSClassic,AvgRet,MinVanillaIw,VarJ,eRenyi2,BatchSize,AvgDiscRet,AvgEpLen,AvgNormIw,VanillaAvgRet,VarRet,VarDiscRet,Bound,J,MaxVanillaIw,MaxNormIw,ESSRenyi,MinNormIw,VarVanillaIw,AvgVanillaIw
0.00016218708,38.37810871957618,-1.0913936421275138e-13,1.2892014e-18,55.37794,2.981058,100,-1.0913936421275138e-13,200.0,0.01,-1704.5819581729843,4553425.762000742,4553425.762000742,1386.4974,1676.191,4.178848,0.037841365,33.54513865478708,1.16743045e-20,1.977861,1.1043068
0.0032938202,2.975410115744857,3.019806626980426e-16,,4.893663,22.16134,100,3.019806626980426e-16,200.0,0.01,-11.682387903397593,135.76380600485734,135.76380600485734,4.4240727,10.105143,7.988823,0.4372264,4.512362374316041,,1.0996454,0.18271594
0.0027602739,3.5302366393947704,5.151434834260726e-16,,7.091559,39.859753,100,5.151434834260726e-16,200.0,0.01,-8.395805026031931,53.5243383946016,53.5243383946016,3.4669385,6.741742,52.71966,0.37937796,2.5087963005054554,,53.3032,1.3896343
0.0029254989,3.3375119358263055,-7.105427357601002e-17,,7.2311635,39.133686,100,-7.105427357601002e-17,200.0,0.01,-7.266822688611834,43.093784683124774,43.093784683124774,1.6689126,4.691003,54.45889,0.37306812,2.555343236315149,,62.339184,1.4597572
0.010000002,1.0,-1.1191048088221578e-15,,2.789993e-09,123.72411,100,-1.1191048088221578e-15,200.0,0.01,-8.47533339110211,50.26565044146888,50.26565044146888,2.4451275,8.407886,19.81091,1.0,0.8082498811261208,,3.9247217,0.19810909
0.003265993,3.000000211032589,-1.2434497875801754e-16,,16.256681,53.894188,100,-1.2434497875801754e-16,200.0,0.01,-8.56549791779192,52.76836525586321,52.76836525586321,1.7837124,5.310974,0.12084196,0.3333333,1.8554876480371867,,0.0004292333,0.0036252588
5.745552e-07,99.43444771583891,-2.042810365310288e-16,0.6808075,7.254581,1.0018442,100,-2.042810365310288e-16,200.0,0.009999998,-7.9273580425976435,52.797036664897384,52.797036664897384,-0.60934967,0.0034914613,1.0317808,0.010173022,99.81592269848043,0.006712539,0.0059102634,1.0142324
0.010000003,1.0,-1.7763568394002505e-15,,,4140.308,100,-1.7763568394002505e-15,200.0,0.01,-9.136498824272856,55.89286507900904,55.89286507900904,-0.045211315,6.2424583,5161.284,1.0,0.024152791882303258,,266388.56,51.612843
3.5044917e-18,100.0,1.056932319443149e-15,1.0,7.1085463,1.0,100,1.056932319443149e-15,200.0,0.009999998,-7.6295248662554345,51.041848457912494,51.041848457912494,-0.60086197,-1.4901161e-08,1.0,0.01,100.0,0.01,,1.0
3.5044917e-18,100.0,3.019806626980426e-16,1.0,6.9974484,1.0,100,3.019806626980426e-16,200.0,0.009999998,-7.964266966788208,49.458873745393724,49.458873745393724,-0.5914713,-1.4156103e-07,1.0,0.01,100.0,0.01,,1.0
