MaxVanillaIw,MaxNormIw,AvgEpLen,MinNormIw,J,EpsThisIter,VarRet,eRenyi2,AvgDiscRet,VarJ,AvgNormIw,Delta,VarDiscRet,IterType,ESSRenyi,VarVanillaIw,VanillaAvgRet,Bound,MinVanillaIw,VarNormIw,AvgRet,ESSClassic,AvgVanillaIw,BatchSize
3.56204,0.0364501,500.0,1.30699e-05,-1214.26,100,156831.227873,1.78522,-1486.51658804,201.05,0.01,0.3,156831.227873,1,56.0155715742,0.888419,-1486.51658804,-1617.26,0.00127724,9.30286e-05,-1486.51658804,52.0566660875,0.977238,100
1.91809,0.0188159,500.0,0.00115448,-1169.16,100,59544.2026432,1.19224,-1238.43925063,100.369,0.01,0.3,59544.2026432,1,83.8757716677,0.232122,-1238.43925063,-1501.74,0.117688,2.23371e-05,-1238.43925063,81.8908841433,1.0194,100
4.41104,0.0468899,500.0,0.000422096,-1116.52,100,47968.4349052,1.24155,-1190.79987473,268.036,0.01,0.3,47968.4349052,1,80.5444904524,0.377381,-1190.79987473,-1455.65,0.0397075,4.26439e-05,-1190.79987473,70.314855828,0.940723,100
69.3378,0.492149,500.0,0.000129508,-890.093,100,16838.3925611,2.13321,-1145.07508953,1232.05,0.01,0.3,16838.3925611,1,46.8777951821,47.2702,-1145.07508953,-1327.9,0.0182462,0.00238144,-1145.07508953,4.06896277542,1.40888,100
1.7777,0.0181272,500.0,0.00433584,-1110.89,100,12802.9988371,1.06579,-1124.85307947,155.774,0.01,0.3,12802.9988371,1,93.8269622009,0.0656027,-1124.85307947,-1378.14,0.425207,6.82131e-06,-1124.85307947,93.6741236966,0.980679,100
36.2795,0.253636,500.0,0.00156569,-1055.53,100,24069.5256807,1.43394,-1140.13412318,566.168,0.01,0.3,24069.5256807,1,69.7376903982,12.8126,-1140.13412318,-1414.25,0.223952,0.000626237,-1140.13412318,13.8893807109,1.43037,100
1.29473,0.0131325,500.0,0.00371304,-1116.88,100,30817.36257,1.01659,-1121.42818477,181.404,0.01,0.3,30817.36257,1,98.3677046162,0.0219784,-1121.42818477,-1418.69,0.366068,2.26117e-06,-1121.42818477,97.8104903892,0.985898,100
16.4709,0.147763,500.0,0.00180554,-1029.44,100,22127.2323286,1.42837,-1116.01482592,576.393,0.01,0.3,22127.2323286,1,70.0099357162,2.74451,-1116.01482592,-1387.38,0.201261,0.000220882,-1116.01482592,31.3800752088,1.11468,100
2.59612,0.0258675,500.0,0.00573822,-1113.05,100,28224.6946419,1.04744,-1125.2071372,185.807,0.01,0.3,28224.6946419,1,95.4712921742,0.0708124,-1125.2071372,-1419.69,0.575902,7.0302e-06,-1125.2071372,93.492985031,1.00362,100
2.36264,0.0233288,500.0,0.000489014,-1069.94,100,30806.493714,1.15221,-1106.66251365,217.977,0.01,0.3,30806.493714,1,86.790075941,0.173438,-1106.66251365,-1391.21,0.0495253,1.69096e-05,-1106.66251365,85.660055176,1.01276,100
1.71887,0.0178936,500.0,0.00297977,-1102.55,100,49506.1405759,1.06994,-1121.36420258,227.148,0.01,0.3,49506.1405759,1,93.463416482,0.0822129,-1121.36420258,-1412.61,0.286239,8.90941e-06,-1121.36420258,91.8946301676,0.960606,100
6.71883,0.0631429,500.0,3.38211e-05,-902.021,100,29032.5508689,1.9943,-1058.25866603,350.981,0.01,0.3,29032.5508689,1,50.1429340648,1.60364,-1058.25866603,-1231.86,0.00359879,0.000141634,-1058.25866603,41.6288711945,1.06407,100
5.23721,0.0466389,500.0,8.42032e-05,-889.993,100,123394.86276,1.5626,-1037.34880547,351.025,0.01,0.3,123394.86276,1,63.9958938182,0.924078,-1037.34880547,-1264.86,0.0094554,7.32834e-05,-1037.34880547,57.9539996787,1.12293,100
2.81655,0.0255773,500.0,0.000122124,-771.255,100,81002.5599815,1.4947,-902.542962047,217.755,0.01,0.3,81002.5599815,1,66.9031608655,0.591137,-902.542962047,-1137.32,0.0134483,4.87484e-05,-902.542962047,67.448636145,1.10119,100
2.30206,0.0223007,500.0,0.000599874,-735.518,100,38583.2485531,1.25535,-789.628347619,160.912,0.01,0.3,38583.2485531,1,79.6589991099,0.314242,-789.628347619,-965.075,0.0619239,2.94895e-05,-789.628347619,77.4026142862,1.03228,100
2.14608,0.0203192,500.0,0.00236019,-723.838,100,50456.9952261,1.15783,-770.072080071,156.191,0.01,0.3,50456.9952261,1,86.3684829366,0.185438,-770.072080071,-1046.17,0.249279,1.66235e-05,-770.072080071,85.8684486597,1.05618,100
1.72444,0.0163174,500.0,0.00191394,-688.6,100,30877.4226128,1.11186,-726.723248896,104.499,0.01,0.3,30877.4226128,1,89.9394453772,0.15981,-726.723248896,-1004.48,0.202267,1.4309e-05,-726.723248896,87.5918294653,1.05681,100
1.88034,0.0201034,500.0,0.000946754,-678.501,100,45643.3191472,1.12863,-724.011453211,101.217,0.01,0.3,45643.3191472,1,88.6027592879,0.151848,-724.011453211,-996.559,0.0885532,1.7357e-05,-724.011453211,85.336288326,0.935335,100
1.53352,0.0153623,500.0,0.00409927,-679.033,100,29386.9243041,1.04759,-694.020253053,164.503,0.01,0.3,29386.9243041,1,95.4569408086,0.0653004,-694.020253053,-985.545,0.409203,6.55318e-06,-694.020253053,93.9075638183,0.998233,100
1.97963,0.0200973,500.0,0.00257128,-667.171,100,29435.7601923,1.07092,-691.470924873,114.871,0.01,0.3,29435.7601923,1,93.378000433,0.0898524,-691.470924873,-977.048,0.253276,9.26058e-06,-691.470924873,91.6019579466,0.985021,100
1.76064,0.0171502,500.0,0.00608186,-657.837,100,23095.7272878,1.03517,-668.65174567,123.004,0.01,0.3,23095.7272878,1,96.602115995,0.048943,-668.65174567,-962.54,0.624365,4.64394e-06,-668.65174567,95.6046193336,1.0266,100
2.80397,0.0271676,500.0,0.00224981,-640.695,100,8487.42966535,1.11903,-659.037204881,81.6144,0.01,0.3,8487.42966535,1,89.3629664224,0.18334,-659.037204881,-809.628,0.232203,1.72112e-05,-659.037204881,85.4415457157,1.0321,100
1.39291,0.0135568,500.0,0.00407736,-642.147,100,23815.004096,1.0313,-652.63853183,105.76,0.01,0.3,23815.004096,1,96.964585755,0.0342583,-652.63853183,-946.153,0.418934,3.24514e-06,-652.63853183,96.8872713874,1.02746,100
2.81671,0.0283127,500.0,0.00293141,-628.079,100,7118.36412567,1.08397,-640.620382406,76.2439,0.01,0.3,7118.36412567,1,92.2537943607,0.122785,-640.620382406,-782.888,0.291634,1.24058e-05,-640.620382406,89.0617129163,0.994858,100
