eRenyi2,Bound,VarJ,VarDiscRet,AvgRet,VarVanillaIw,VarRet,AvgVanillaIw,J,VarNormIw,MinVanillaIw,AvgEpLen,BatchSize,ESSClassic,MaxNormIw,MaxVanillaIw,AvgDiscRet,MinNormIw,AvgNormIw,ESSRenyi
6.850373,3017.6616,414.65897,4392402.075036766,-4066.23450637783,4.838327,4392402.075036766,0.8348155,3977.8848,0.00069424725,,200.0,100,12.701562544962876,0.11774204,9.8292885,9.094947017729283e-14,,0.01,14.59774570621065
1.0777285,-83.79975,33.010498,11711.368397260077,-21.36303693435246,0.069901936,11711.368397260077,0.99771357,8.85694,7.022269e-06,0.29259437,200.0,100,93.49986641142921,0.012693434,1.2664411,2.1316282072803005e-16,0.002932649,0.009999999,92.78774671090837
1.0723933,-176.24548,30.768538,90627.87311125455,-55.504268383880714,0.088335365,90627.87311125455,0.9868114,41.713543,9.071232e-06,0.07843882,200.0,100,91.75951020518588,0.01269438,1.2526959,1.2079226507921704e-15,0.0007948715,0.01,93.24937051788223
1.1245563,-2.1401055,7.431633,62.91906886306487,-8.080713273674636,0.157489,62.91906886306487,0.94035906,0.6608841,1.7809956e-05,0.046320397,200.0,100,85.01098255954736,0.01451055,1.3645127,1.4566126083082053e-15,0.00049258204,0.009999999,88.92396025976466
33.6276,-1.1115419,10.029616,51.96818232826297,-7.961725061808718,1.2665101,51.96818232826296,0.98142326,1.1546437,0.000131491,0.58557606,200.0,100,43.44500020532966,0.09278134,9.105777,-1.616484723854228e-15,0.0059666005,0.01,2.9737476112483856
1.4109739,-1.1749325,7.857015,58.43910462850275,-7.025179096052707,0.3685643,58.43910462850275,1.0293474,0.6165985,3.478478e-05,0.0010186714,200.0,100,74.38432147273835,0.017901462,1.8426825,-1.438849039914203e-15,9.896284e-06,0.01,70.87303283081168
1.2257156,-1.2409105,7.0516896,45.54274660782943,-7.0788383739695915,0.20222558,45.542746607829436,1.0686792,0.19692276,1.7706852e-05,0.01735238,200.0,100,85.084819749049,0.014421018,1.5411441,5.417888360170764e-16,0.0001623722,0.01,81.584991628127
2.4743783,-0.38780534,8.15511,49.71658845103928,-7.0066266806245485,1.456924,49.71658845103928,1.0508295,1.7890514,0.00013193875,2.2721482e-20,200.0,100,43.36149462678741,0.032556858,3.4211707,3.1974423109204507e-16,2.1622425e-22,0.009999999,40.414191348386225
1.084241,-1.2645328,6.9430947,46.32991802491387,-8.009245214564814,0.07965914,46.32991802491387,0.966071,0.120286345,8.535275e-06,0.09677217,200.0,100,92.20846857572901,0.013450517,1.2994155,-3.8191672047105384e-16,0.0010017087,0.01,92.23041463406321
nan,-0.87261426,10.671856,53.552088510168915,-8.221620632580004,1.6771884,53.552088510168915,1.0413461,1.1845032,0.00015466489,0.60165393,200.0,100,39.507226012357414,0.11532312,12.009128,2.140509991477302e-15,0.005777656,0.01,nan
1.5055178,-0.9312599,7.547682,44.02625571365407,-7.685060725409161,0.50516003,44.02625571365407,0.9982599,0.6652385,5.0692273e-05,0.0041982727,200.0,100,66.58437806212066,0.021656591,2.1618907,1.270095140171179e-15,4.2055908e-05,0.01,66.42232813023217
1.2542882,-0.9367024,8.669849,57.30880202286194,-8.150304353713668,0.29015997,57.308802022861926,0.96598184,0.54982173,3.1095646e-05,0.013703671,200.0,100,76.46154350457978,0.016445754,1.58863,-5.861977570020827e-16,0.00014186262,0.01,79.72649369894614
37.609875,0.24397373,4.805757,56.912166835865285,-9.150360209707557,3.5280385,56.912166835865285,0.33061916,7.2330017,0.003227582,,200.0,100,3.034619467531208,0.41625682,13.762248,-4.973799150320702e-16,,0.01,2.6588761789365734
1.8854632,-0.8167696,9.518353,55.4557734488112,-8.690027306250308,0.8332857,55.4557734488112,0.98764646,0.8388357,8.5426145e-05,1.5665929e-13,200.0,100,54.17942220341265,0.025946878,2.5626342,-2.3092638912203257e-16,1.5861879e-15,0.01,53.037363973573775
1.2860163,-1.0359616,7.3320017,42.74943868231545,-7.05584862474289,0.33680868,42.74943868231546,1.0294988,0.3755373,3.1778363e-05,0.02779964,200.0,100,76.06843375247603,0.016905205,1.7403889,-1.4122036873231992e-15,0.0002700308,0.01,77.75950934599148
34.058933,0.89451456,7.477461,59.66787804531975,-8.730063164584038,37.803925,59.66787804531975,1.1211711,7.5686235,0.003007413,,200.0,100,3.2495611022627475,0.41980165,47.066948,-2.842170943040401e-16,,0.01,2.9360872591728926
6.275721,0.6943879,11.832648,56.63213465763463,-8.552564120972756,6.0885024,56.63213465763463,1.1792127,3.619885,0.00043785092,,200.0,100,18.745115221070034,0.07387171,8.711045,-1.6875389974302379e-15,,0.01,15.934423922667495
nan,-0.888011,8.593556,54.11899787194743,-8.90289234248544,0.07563895,54.11899787194743,0.29808682,0.7229948,8.512554e-05,0.1627189,200.0,100,54.26692357823653,0.06357411,1.8950605,8.348877145181177e-16,0.005458776,0.01,nan
