Bound,MaxIWNorm,TimeElapsed,OptimizationReturnMin,OptimizationReturnMean,EmpiricalD2,EpLenMean,VarianceInit,ReturnStepMaxmin,InitialReturnMin,J_sample_variance,EpRewMean,OptimizationReturnMax,MinIWNorm,LearnableVariance,ESSClassic,MinIW,MeanIW,ReturnStepMax,ESSRenyi,TimestepsSoFar,StdIW,InitialReturnStd,EpThisIter,MaxIW,MeanIWNorm,MeanEntropy,InitialReturnMax,ReturnMeanIW,Iteration,InitialReturnMean,EpisodesSoFar,Weights,InitialBound,StdIWNorm
74.503555,0.01691212,0.7645282745361328,,75.993454,1.0094136,18.15,-1.0,9.359563,90.58838,11186.216,166.58183771195544,225.13412,0.008159495,,98.822,0.81594956,1.0110674,9.359563,99.06742,1815,0.11038933,46.651413,100,1.6912119,0.010110673,0.4189424,315.7225,169.66507,1,166.58183,100,[-0.  0.  0.  0. -0. -0.  0. -0.  0. -0. -0.],71.865074,0.0011038933
91.05004,0.022289874,2.1436092853546143,,89.862335,1.1856738,17.71,-1.0,9.359855,72.48268,11397.576,162.34501945168492,204.45601,0.0033117784,,88.44255,0.33117786,1.0719913,9.359855,84.340225,3586,0.38751775,44.03555,100,2.2289875,0.010719912,0.4189424,276.9387,181.51648,2,162.34502,200,[ 0.003 -0.008 -0.001 -0.001 -0.    -0.005 -0.014 -0.011  0.     0.  0.   ],79.26341,0.0038751774
71.64208,0.016330617,3.1285078525543213,,97.21167,1.0209557,18.47,-1.0,9.359941,72.3313,9470.613,169.54297541942793,268.1187,0.0053430027,,97.601395,0.53430027,1.0228319,9.359941,97.94744,5433,0.1603452,53.09603,100,1.6330616,0.010228318,0.4189424,340.45,174.84169,3,169.54297,300,[ 0.002 -0.006 -0.001  0.005  0.008 -0.007 -0.008 -0.016  0.     0.  0.   ],67.407974,0.001603452
69.79242,0.016869131,4.0844199657440186,,85.66329,1.036995,19.2,-1.0,9.359909,90.72416,12596.849,176.38744559028447,271.9617,0.0071033835,,95.77914,0.71033835,1.0169262,9.359909,96.43247,7353,0.21347839,52.42446,100,1.6869133,0.010169262,0.4189424,362.68585,180.59253,4,176.38747,400,[ 0.002 -0.012 -0.001  0.005  0.005 -0.009 -0.023 -0.028  0.     0.  0.   ],67.5817,0.0021347837
78.795135,0.016359983,5.033546209335327,,84.693596,1.0222163,18.11,-1.0,9.359851,81.398895,11033.789,166.0924950269134,223.36142,0.0074386178,,97.576965,0.7438618,1.0055833,9.359851,97.82665,9164,0.1584622,51.295483,100,1.6359984,0.010055832,0.4189424,304.7603,171.23325,5,166.0925,500,[ 0.006 -0.011  0.004 -0.004 -0.003 -0.004 -0.021 -0.028  0.     0.  0.   ],74.66441,0.001584622
134.56113,0.2589715,6.0012054443359375,,96.50938,2.5186777,20.37,-1.0,9.359857,90.67001,230813.02,187.17937560329582,234.00702,0.0009776945,,20.048138,0.097769454,1.4441321,9.359857,39.703373,11201,2.8839266,48.70393,100,25.897152,0.01444132,0.4189424,324.67703,289.1432,6,187.1794,600,[ 0.031 -0.025  0.024  0.    -0.006  0.009 -0.007 -0.028  0.     0.  0.   ],89.776276,0.028839262
95.23811,0.015160848,7.107900619506836,,108.00132,1.0899521,21.62,-1.0,9.359775,90.799934,14965.263,198.8012612045452,280.71692,0.0032936512,,94.114655,0.32936513,1.0349545,9.359775,91.74715,13363,0.2588084,56.72266,100,1.5160849,0.010349545,0.4189424,371.51685,211.59805,7,198.80127,700,[ 0.037 -0.007  0.028 -0.007 -0.013  0.039  0.006 -0.046  0.     0.  0.   ],87.34622,0.002588084
107.44808,0.023468675,8.14335584640503,,109.33659,1.126923,22.77,-1.0,9.359984,100.222626,20534.877,209.55921973887249,269.8953,0.0021420699,,85.4015,0.214207,1.0296757,9.359984,88.73721,15640,0.42571807,58.77848,100,2.3468676,0.010296757,0.4189424,370.11792,225.31949,8,209.55922,800,[ 0.039 -0.008  0.036 -0.014 -0.015  0.029  0.016 -0.047  0.     0.  0.   ],98.523834,0.0042571803
92.4962,0.014884166,9.046379089355469,,117.489746,1.0503296,22.63,-1.0,9.35983,90.79701,13273.318,208.28675792138364,318.211,0.004830894,,97.13171,0.48308942,1.0399228,9.35983,95.20821,17903,0.17870298,55.39154,100,1.4884167,0.010399228,0.4189424,409.008,218.24847,9,208.28676,900,[ 0.028  0.003  0.032 -0.019 -0.012  0.026  0.004 -0.06   0.     0.  0.   ],85.584366,0.0017870298
57.548935,0.014745794,10.129323720932007,,117.9917,1.0319704,21.67,-1.0,9.35991,81.37625,12458.274,199.36793957869614,401.46692,0.006492084,,96.97468,0.6492084,1.0060924,9.35991,96.90201,20070,0.17770275,61.816597,100,1.4745795,0.010060924,0.4189424,482.84317,204.69917,10,199.36794,1000,[ 0.021  0.012  0.034 -0.03  -0.018  0.023  0.008 -0.06   0.     0.  0.   ],54.515,0.0017770275
