Iteration,MinIW,ReturnStepMax,MaxIW,MeanIW,EpLenMean,OptimizationReturnMin,Bound,OptimizationReturnMean,InitialReturnMax,InitialReturnMean,VarianceInit,ReturnStepMaxmin,InitialReturnMin,Weights,EpRewMean,StdIWNorm,EpThisIter,MinIWNorm,MeanEntropy,StdIW,ESSRenyi,EpisodesSoFar,OptimizationReturnMax,ReturnMeanIW,MeanIWNorm,InitialReturnStd,TimeElapsed,MaxIWNorm,InitialBound,J_sample_variance,EmpiricalD2,TimestepsSoFar,ESSClassic,LearnableVariance
1,0.68234086,9.359872,1.3018818,0.9985193,18.4,,70.33668,105.84214,333.89188,168.95697,-1.0,9.359872,63.114845,[ 0.  0. -0.  0.  0. -0.  0. -0.  0. -0.  0.],168.9569693938446,0.0013402791,100,0.0068234084,0.4189424,0.13402791,98.09246,100,270.77704,171.4735,0.009985194,54.591278,1.6430444717407227,0.013018818,68.7894,7961.69,1.0194464,1840,98.230194,
2,0.7065916,9.3593855,2.3962483,1.0662361,18.45,,79.38896,88.18355,312.84637,169.37119,-1.0,9.3593855,81.18764,[-3.335e-03  1.628e-03 -8.995e-05  1.804e-03 -2.427e-03 -6.335e-03  3.331e-03  6.029e-04  0.000e+00  0.000e+00  0.000e+00],169.37118105687844,0.0033150057,100,0.007065916,0.4189424,0.3315006,93.86376,200,231.65874,176.2621,0.010662363,52.15029,4.161150217056274,0.023962483,75.517265,10764.266,1.0653739,3685,91.18569,
3,0.42583948,9.359842,1.4938703,1.0148503,18.18,,71.03897,85.22029,333.17978,166.84059,-1.0,9.359842,81.620285,[ 0.001  0.009  0.003  0.002 -0.008  0.009  0.001  0.002  0.     0.  0.   ],166.84057998485042,0.001799064,100,0.0042583947,0.4189424,0.17990641,95.983734,300,251.5595,173.06267,0.010148501,48.05209,6.02024507522583,0.014938702,66.88665,10618.611,1.0418432,5503,96.95315,
4,0.57975304,9.359448,1.471244,1.0333683,18.45,,60.38064,87.68878,378.7948,169.3397,-1.0,9.359448,81.65094,[ 0.     0.008  0.011 -0.    -0.009 -0.003  0.012  0.007  0.     0.  0.   ],169.33971201907818,0.0021605715,100,0.00579753,0.4189424,0.21605717,95.818405,400,297.14386,176.47224,0.010333682,51.95837,8.405412912368774,0.01471244,55.70127,11163.97,1.0436409,7348,95.81162,
5,0.43689296,9.359978,1.4585992,1.0292594,18.03,,14.978531,92.957855,520.95935,165.44177,-1.0,9.359978,72.483925,[ 0.001  0.011  0.014 -0.01  -0.018 -0.006  0.019  0.012  0.     0.  0.   ],165.44177481641174,0.0022169517,100,0.0043689297,0.4189424,0.22169517,94.489586,500,448.47543,175.75893,0.010292594,59.94657,10.985823631286621,0.014585991,9.153961,12517.384,1.0583177,9151,95.5663,
6,0.22763853,9.359929,2.2741716,1.0646237,18.98,,82.69611,92.50433,333.89377,174.15009,-1.0,9.359929,81.64575,[ 0.002  0.015  0.015 -0.01  -0.018 -0.009  0.03   0.015  0.     0.  0.   ],174.15008666788594,0.0037122455,100,0.0022763852,0.4189424,0.37122458,87.253914,600,252.24802,189.93124,0.010646236,48.88631,14.02486252784729,0.022741714,73.981964,13380.177,1.1460804,11049,89.1595,
7,0.61520565,9.359994,1.2597686,1.0095322,19.34,,79.4312,77.64905,333.6429,177.57906,-1.0,9.359994,99.93003,[ 0.005  0.015  0.019 -0.017 -0.023 -0.012  0.035  0.009  0.     0.  0.   ],177.57907298016792,0.0010732965,100,0.006152056,0.4189424,0.10732966,98.65012,700,233.71289,180.20656,0.0100953225,46.89357,16.664875268936157,0.012597686,77.486206,12798.949,1.0136834,12983,98.88233,
8,0.66547465,9.359977,1.3096544,1.0244926,19.32,,78.03241,86.78471,339.7168,177.37846,-1.0,9.359977,90.59375,[ 0.006  0.016  0.02  -0.022 -0.028 -0.016  0.043  0.014  0.     0.  0.   ],177.37845568868877,0.0011185938,100,0.0066547464,0.4189424,0.111859396,98.23927,800,249.12305,180.85669,0.010244926,53.443073,18.961443424224854,0.013096543,75.46342,11581.117,1.0179229,14915,98.821915,
9,0.5219586,9.359819,2.6896057,1.0180343,19.63,,97.10753,89.648834,287.6681,180.33943,-1.0,9.359819,90.69059,[ 0.007  0.016  0.023 -0.029 -0.033 -0.024  0.037  0.009  0.     0.  0.   ],180.33941918107746,0.002570937,100,0.0052195857,0.4189424,0.2570937,94.9556,900,196.97751,185.6706,0.010180343,44.760002,20.776529788970947,0.026896056,94.038994,12770.381,1.0531238,16878,94.00474,
10,0.49420735,9.359448,8.454299,1.1131401,18.72,,96.29173,72.07368,277.86993,171.79631,-1.0,9.359448,99.72264,[ 0.013  0.014  0.025 -0.041 -0.037 -0.021  0.033  0.001  0.     0.  0.   ],171.7963179032714,0.0090405485,100,0.0049420735,0.4189424,0.9040549,82.01779,1000,178.1473,188.33855,0.011131398,47.566105,23.463379383087158,0.08454299,88.43535,17377.111,1.2192477,18750,60.254982,
