MinIWNorm,InitialReturnMean,VarianceInit,OptimizationReturnMean,EpRewMean,TimeElapsed,ReturnStepMaxmin,MaxIW,InitialBound,EpLenMean,MinIW,LearnableVariance,MaxIWNorm,InitialReturnMax,Weights,EmpiricalD2,InitialReturnMin,TimestepsSoFar,StdIWNorm,ESSRenyi,MeanEntropy,ReturnStepMax,EpisodesSoFar,OptimizationReturnMax,Bound,StdIW,ReturnMeanIW,OptimizationReturnMin,MeanIW,MeanIWNorm,Iteration,J_sample_variance,InitialReturnStd,ESSClassic,EpThisIter
0.005445217,170.73645,-1.0,89.00555,170.73643294044447,1.2212834358215332,9.359732,2.9443698,65.20539,18.59,0.5445217,,0.029443698,351.77017,[-0. -0.  0.  0.  0.  0.  0.  0. -0. -0. -0.],1.0699934,81.73089,1859,0.003460703,93.45852,0.4189424,9.359732,100,270.03928,70.09547,0.34607026,179.2573,,1.0488831,0.01048883,1,10817.779,45.74766,90.1826,100
0.0051681176,174.42361,-1.0,83.856865,174.42360097442509,2.8615612983703613,9.359945,1.8220218,71.39292,18.99,0.5168118,,0.018220218,343.43567,[-0.    -0.001  0.004 -0.014 -0.006 -0.004 -0.017 -0.011  0.     0.  0.   ],1.0509571,90.56674,3758,0.0020892222,95.15137,0.4189424,9.359945,200,252.86893,77.19612,0.20892224,182.81927,,1.0299239,0.01029924,2,12938.069,47.22395,96.04772,100
0.0035421597,173.67285,-1.0,83.004196,173.67286455525343,4.370306968688965,9.359947,1.886665,29.54512,18.92,0.35421598,,0.018866649,480.42584,[-0.002  0.01   0.011 -0.016 -0.02   0.001 -0.009 -0.01   0.     0.  0.   ],1.0574979,90.66866,5650,0.0023287607,94.562836,0.4189424,9.359947,300,389.75717,38.21582,0.23287609,186.4292,,1.0421644,0.010421646,3,16459.328,54.80736,95.24428,100
0.0055462765,171.45332,-1.0,71.79929,171.45331911368186,5.568637847900391,9.359998,1.5848153,68.94682,18.68,0.55462766,,0.015848152,341.68835,[-0.002  0.013  0.017 -0.011 -0.01  -0.004  0.004 -0.003  0.     0.  0.   ],1.0265961,99.65402,7518,0.0015862203,97.409294,0.4189424,9.359998,400,242.03433,73.1803,0.15862204,177.04099,,1.0153788,0.010153788,4,13225.142,43.299328,97.61769,100
0.00482522,173.93834,-1.0,92.36621,173.93832105554912,6.5227978229522705,9.359678,1.2697873,73.79898,18.94,0.482522,,0.012697873,333.7978,[ 0.001  0.023  0.018 -0.019 -0.011 -0.002  0.019  0.005  0.     0.  0.   ],1.0274938,81.5721,9412,0.0015905618,97.32419,0.4189424,9.359678,500,252.2257,78.088715,0.15905617,179.59532,,1.0121319,0.01012132,5,10792.116,52.303387,97.5899,100
0.0042968034,176.37935,-1.0,76.59385,176.3793422118807,8.251630306243896,9.359202,1.7246039,81.82598,19.22,0.42968035,,0.017246038,315.17792,[ 0.001  0.019  0.021 -0.02  -0.012 -0.017  0.028  0.012  0.     0.  0.   ],1.0504476,99.78549,11334,0.002223541,95.19752,0.4189424,9.359202,600,215.39243,86.41466,0.22235413,183.32368,,1.0160289,0.010160288,6,13580.686,45.058475,95.42951,100
0.0058134603,192.4569,-1.0,101.70657,192.45687436235366,9.914843320846558,9.359907,1.5457292,81.550095,20.94,0.58134604,,0.015457291,369.6893,[ 0.008  0.02   0.033 -0.024 -0.017 -0.013  0.04   0.012  0.     0.  0.   ],1.0218828,90.750305,13428,0.0015291186,97.85858,0.4189424,9.359907,700,278.939,84.46539,0.15291187,196.57909,,1.006836,0.01006836,7,12305.932,52.332195,97.74545,100
0.0021687,183.41641,-1.0,83.09678,183.41642111346778,10.840194702148438,9.359963,7.5018263,84.12251,19.97,0.21687001,,0.075018264,330.97974,[ 0.003  0.025  0.034 -0.017 -0.012 -0.02   0.035  0.009  0.     0.  0.   ],1.299158,100.31964,15425,0.008341912,76.97293,0.4189424,9.359963,800,230.6601,103.42657,0.83419114,216.60239,,1.1340828,0.011340828,8,44105.066,42.816906,64.89059,100
0.00058714853,190.36804,-1.0,90.374504,190.3680532431482,12.471893787384033,9.359504,1.8630097,84.77788,20.72,0.058714855,,0.018630097,351.9673,[ 0.011  0.035  0.042 -0.027 -0.024  0.007  0.057  0.008  0.     0.  0.   ],1.1005901,99.993546,17497,0.0027823213,90.860344,0.4189424,9.359504,900,251.97374,94.760376,0.27823213,205.534,,1.055902,0.0105590215,9,16566.982,51.637627,93.50748,100
0.0029978747,188.37164,-1.0,88.51642,188.371645427405,14.053333520889282,9.359994,1.5285096,29.769455,20.52,0.2997875,,0.015285096,528.674,[ 0.01   0.043  0.047 -0.018 -0.014 -0.     0.071  0.015  0.     0.  0.   ],1.0521669,99.855225,19549,0.002253519,95.041954,0.4189424,9.359994,1000,428.8188,35.73349,0.2253519,198.42001,,1.0306058,0.0103060575,10,17114.088,61.677437,95.436966,100
