TimestepsSoFar,EmpiricalD2,Weights,EpLenMean,ReturnStepMax,LearnableVariance,InitialReturnMean,J_sample_variance,Iteration,ESSRenyi,EpRewMean,MaxIWNorm,StdIW,ReturnStepMaxmin,ReturnMeanIW,MinIWNorm,MeanEntropy,MinIW,EpisodesSoFar,MeanIWNorm,OptimizationReturnMin,InitialReturnMin,VarianceInit,ESSClassic,InitialBound,InitialReturnStd,TimeElapsed,EpThisIter,InitialReturnMax,Bound,MaxIW,OptimizationReturnMax,StdIWNorm,OptimizationReturnMean,MeanIW
29207,1.081142,[ 0.025  0.027  0.026  0.032  0.039 -0.021  0.113 -0.011  0.     0.  0.   ],23.71,9.359925,,218.16534,19045.195,14,92.49479,218.1653564023493,0.02135375,0.32803947,9.359925,233.61676,0.0034810095,0.4189424,0.34810096,1400,0.010480063,,99.59271,-1.0,91.076584,79.82564,61.75369,132.09909749031067,100,461.13245,89.773895,2.135375,361.53973,0.0032803945,118.57264,1.0480063
31702,1.1217178,[ 0.021  0.022  0.022  0.034  0.038 -0.032  0.099 -0.025  0.     0.  0.   ],24.95,9.359936,,229.8144,23984.572,15,89.14898,229.8144119346854,0.019957503,0.3297539,9.359936,249.0765,0.0042815865,0.4189424,0.42815864,1500,0.010478509,,109.139206,-1.0,90.98905,91.02548,63.46576,142.01711988449097,100,462.62985,102.083496,1.9957503,353.49066,0.0032975392,120.6752,1.0478508
34064,1.2675589,[ 0.019  0.025  0.024  0.027  0.028 -0.033  0.096 -0.031  0.     0.  0.   ],23.62,9.359809,,217.3307,26252.795,16,78.89179,217.33070200577043,0.031176418,0.60674876,9.359809,252.33792,0.0036991185,0.4189424,0.36991185,1600,0.01134708,,117.99535,-1.0,77.76514,100.883415,49.063557,151.8091425895691,100,388.1576,121.23468,3.117642,270.16223,0.006067487,99.33535,1.1347079
36595,68.005936,[ 0.018  0.015  0.028  0.012  0.013 -0.056  0.098 -0.031  0.     0.  0.   ],25.31,9.3599415,,233.0716,116148690.0,17,1.4704599,233.0716062011545,8.881411,88.3488,9.3599415,2127.4988,0.00015041907,0.4189424,0.015041907,1700,0.0993923,,99.84327,-1.0,1.2498046,121.78879,62.89327,161.82234168052673,100,370.94275,1209.7971,888.1411,271.0995,0.883488,133.22833,9.93923
38701,1.0788257,[ 0.041  0.03   0.039  0.05   0.048 -0.012  0.103  0.003  0.     0.  0.   ],21.06,9.359887,,193.49644,17609.76,18,92.693375,193.49644179861752,0.021075243,0.31654248,9.359887,204.50148,0.004500715,0.4189424,0.4500715,1800,0.010260464,,99.6238,-1.0,91.30948,68.32823,55.243614,172.83958840370178,100,417.22736,74.49359,2.1075244,317.60355,0.0031654248,93.872635,1.0260464
40923,1.1085495,[ 0.038  0.03   0.039  0.037  0.038 -0.018  0.102  0.005  0.     0.  0.   ],22.22,9.359944,,204.28189,24980.695,19,90.20797,204.2819093608575,0.01802782,0.30859366,9.359944,220.66037,0.003443982,0.4189424,0.3443982,1900,0.010494688,,127.173706,-1.0,92.04174,79.08167,58.46852,181.66776394844055,100,417.33414,88.839935,1.802782,290.16043,0.0030859364,77.10821,1.049469
43251,1.0643078,[ 0.035  0.038  0.049  0.04   0.043 -0.03   0.123  0.01   0.     0.  0.   ],23.28,9.359956,,214.17299,29877.715,20,93.95778,214.17300061098555,0.02970461,0.32825637,9.359956,232.49187,0.005761896,0.4189424,0.5761896,2000,0.010645675,,118.35751,-1.0,91.31769,77.92151,65.39667,190.6566686630249,100,454.17163,91.92761,2.9704611,335.81412,0.0032825638,95.81549,1.0645674
45507,1.0530602,[ 0.049  0.041  0.058  0.05   0.049 -0.021  0.141  0.016  0.     0.  0.   ],22.56,9.359948,,207.30296,12890.844,21,94.961334,207.30295243418172,0.018457456,0.21083821,9.359948,216.02199,0.0050886064,0.4189424,0.50886065,2100,0.010388609,,90.46831,-1.0,96.04401,101.7267,51.04093,199.62441420555115,100,351.92084,107.681,1.8457457,261.4525,0.002108382,116.83465,1.0388608
47777,1.0540373,[ 0.048  0.044  0.06   0.051  0.05  -0.037  0.154  0.022  0.     0.  0.   ],22.7,9.359737,,208.7492,20023.781,22,94.8733,208.749184379666,0.016276162,0.19385706,9.359737,222.40517,0.004913172,0.4189424,0.4913172,2200,0.010608757,,117.926926,-1.0,96.768776,94.66489,55.969032,208.47484469413757,100,380.28098,105.27902,1.6276162,262.35406,0.0019385704,90.822266,1.0608757
50014,1.0103822,[ 0.046  0.037  0.064  0.062  0.056 -0.059  0.161  0.02   0.     0.  0.   ],22.37,9.359986,,205.65892,10097.385,23,98.97245,205.6589152625039,0.014041451,0.12247531,9.359986,207.29776,0.008486848,0.4189424,0.84868485,2300,0.010065427,,81.47798,-1.0,98.54101,89.305374,54.46832,217.5551323890686,100,387.84512,90.34179,1.4041451,306.36713,0.0012247531,124.18093,1.0065426
52263,1.030403,[ 0.049  0.034  0.065  0.06   0.051 -0.054  0.154  0.016  0.     0.  0.   ],22.49,9.359702,,206.6817,18147.312,24,97.04941,206.6816770988251,0.017867705,0.18827625,9.359702,213.12987,0.0033443198,0.4189424,0.33443198,2400,0.010333584,,118.36942,-1.0,96.787025,106.47905,46.825314,226.4769570827484,100,334.00876,111.41541,1.7867706,215.63934,0.0018827622,88.312256,1.0333582
54504,1.0458825,[ 0.054  0.044  0.069  0.067  0.053 -0.044  0.167  0.021  0.     0.  0.   ],22.41,9.3597975,,206.04881,18328.027,25,95.61304,206.04880203287482,0.018603891,0.21176748,9.3597975,214.29187,0.0049502254,0.4189424,0.49502257,2500,0.010267125,,117.62432,-1.0,95.91938,100.375984,45.960037,235.03729152679443,100,352.24268,106.222,1.8603891,234.61835,0.0021176748,88.424484,1.0267127
56824,1.2505931,[ 0.037  0.055  0.054  0.068  0.05  -0.051  0.158  0.016  0.     0.  0.   ],23.2,9.359755,,213.36064,65029.125,26,79.96206,213.36064906548782,0.052844256,0.60533226,9.359755,256.22595,0.002506864,0.4189424,0.2506864,2600,0.011075911,,90.63626,-1.0,77.00035,57.889786,68.07643,244.0353536605835,100,518.2362,82.36302,5.2844257,427.59995,0.0060533225,122.72439,1.1075913
59190,1.0050747,[ 0.03   0.051  0.052  0.057  0.036 -0.067  0.15   0.007  0.     0.  0.   ],23.66,9.359988,,217.72356,21754.723,27,99.49509,217.7235598178287,0.012526633,0.06071827,9.359988,220.61833,0.008002868,0.4189424,0.80028677,2700,0.010148526,,136.90033,-1.0,99.64333,115.99721,47.47939,254.01713347434998,100,339.08786,118.634186,1.2526634,202.18753,0.0006071827,80.823235,1.0148526
61474,1.0353234,[ 0.026  0.051  0.051  0.056  0.037 -0.075  0.141  0.003  0.     0.  0.   ],22.84,9.35975,,209.9505,16141.99,28,96.58818,209.9504818271458,0.014268918,0.18657626,9.35975,214.43445,0.0060166377,0.4189424,0.60166377,2800,0.010071129,,109.066414,-1.0,96.6818,95.75467,52.070118,262.86837124824524,100,380.65268,98.23926,1.4268918,271.58627,0.0018657625,100.88406,1.0071129
63919,1.0972098,[ 0.027  0.05   0.053  0.05   0.028 -0.079  0.14   0.003  0.     0.  0.   ],24.45,9.359952,,224.9822,24612.775,29,91.140274,224.98218352821328,0.030122105,0.35085067,9.359952,238.50961,0.0045485813,0.4189424,0.45485815,2900,0.0105910245,,118.18172,-1.0,90.11112,105.31097,60.2266,272.2151725292206,100,398.90405,113.15668,3.0122106,280.72235,0.0035085066,106.80047,1.0591025
66273,1.0548161,[ 0.031  0.053  0.051  0.055  0.036 -0.068  0.132 -0.005  0.     0.  0.   ],23.54,9.359925,,216.55023,18815.082,30,94.80325,216.55023293536718,0.016587485,0.23838949,9.359925,226.16307,0.0051585524,0.4189424,0.51585525,3000,0.010287434,,117.95743,-1.0,94.903824,101.07489,50.71394,281.15965390205383,100,384.9178,107.56501,1.6587485,266.96036,0.002383895,98.59281,1.0287434
68671,1.0693637,[ 0.032  0.057  0.053  0.049  0.031 -0.073  0.145  0.003  0.     0.  0.   ],23.98,9.359806,,220.70766,26881.645,31,93.51355,220.70765307078523,0.016665937,0.26676688,9.359806,230.70163,0.0044814,0.4189424,0.44814,3100,0.010636262,,145.4139,-1.0,94.08177,98.71307,52.839504,291.09690403938293,100,406.6486,104.547,1.6665938,261.23468,0.0026676685,75.29376,1.063626
71011,1.035958,[ 0.03   0.065  0.053  0.059  0.041 -0.075  0.154  0.008  0.     0.  0.   ],23.4,9.359955,,215.31873,16050.012,32,96.52901,215.31872548786419,0.014468317,0.1779813,9.359955,221.75829,0.005034777,0.4189424,0.5034777,3200,0.010335517,,109.444016,-1.0,97.12,87.556816,51.10527,299.9839234352112,100,425.87302,91.719635,1.4468317,316.42902,0.0017798129,105.87471,1.0335518
73395,1.2464745,[ 0.028  0.066  0.057  0.063  0.043 -0.091  0.155  0.01   0.     0.  0.   ],23.84,9.359912,,219.28006,32760.268,33,80.22627,219.2800514693762,0.049050625,0.70858437,9.359912,239.32211,0.003946138,0.4189424,0.3946138,3300,0.01043713,,118.00999,-1.0,68.45023,108.09069,56.27242,308.67934799194336,100,370.6312,115.18407,4.9050627,252.62122,0.0070858425,101.270065,1.043713
75755,1.0166564,[ 0.031  0.067  0.058  0.051  0.04  -0.074  0.142 -0.004  0.     0.  0.   ],23.6,9.359954,,217.23724,17533.305,34,98.36165,217.23724173660875,0.013702631,0.1380002,9.359954,219.96204,0.007035513,0.4189424,0.7035513,3400,0.010069792,,118.15306,-1.0,98.15654,108.74787,51.868736,317.77954936027527,100,361.63126,110.572876,1.3702631,243.4782,0.001380002,99.08418,1.0069793
78162,1.0600702,[ 0.035  0.061  0.062  0.054  0.039 -0.086  0.147 -0.003  0.     0.  0.   ],24.07,9.359822,,221.50713,25249.62,35,94.33338,221.5071305740544,0.0202336,0.23229887,9.359822,236.96434,0.0048613693,0.4189424,0.48613694,3500,0.010524363,,117.67856,-1.0,95.35439,79.48161,65.56881,326.5518834590912,100,473.41843,90.735275,2.02336,355.73987,0.0023229886,103.828575,1.0524364
