MaxIWNorm,InitialReturnMin,TimeElapsed,OptimizationReturnMin,EpLenMean,MeanIWNorm,OptimizationReturnMean,MeanIW,StdIW,ESSClassic,Bound,J_sample_variance,ReturnMeanIW,MinIWNorm,EpThisIter,ESSRenyi,InitialBound,Iteration,MaxIW,InitialReturnStd,EpRewMean,EpisodesSoFar,TimestepsSoFar,LearnableVariance,MinIW,MeanEntropy,InitialReturnMax,VarianceInit,ReturnStepMax,OptimizationReturnMax,EmpiricalD2,Weights,StdIWNorm,ReturnStepMaxmin,InitialReturnMean
0.026288783,81.60857,2.173882007598877,,17.69,0.010233348,80.6363,1.0233349,0.2472134,94.485886,63.45337,10141.925,168.41284,0.0060448623,100,95.75214,59.53885,1,2.6288784,43.450333,162.244870204399,100,1769,,0.6044862,0.4189424,342.3534,-1.0,9.359042,260.7448,1.0443631,[ 0.  0.  0.  0.  0. -0.  0.  0. -0. -0. -0.],0.002472134,9.359042,162.24489
0.033825926,90.84232,5.28066086769104,,18.15,0.011041068,75.65711,1.1041068,0.48883083,83.61082,89.96972,15012.535,182.6632,0.0014547346,100,85.83659,80.62074,2,3.3825927,40.875206,166.4994343311005,200,3584,,0.14547347,0.4189424,286.26227,-1.0,9.359878,195.41995,1.1650043,[-0.004  0.003 -0.006 -0.004 -0.002  0.001 -0.011 -0.011  0.     0.  0.   ],0.0048883082,9.359878,166.49944
0.017456058,72.478,7.76190447807312,,18.34,0.010187762,95.84213,1.0187762,0.32364666,90.83298,79.46562,11360.863,179.08092,0.0017457914,100,89.07812,74.30202,3,1.745606,50.35402,168.32012792992526,300,5418,,0.17457914,0.4189424,313.39374,-1.0,9.359741,240.91574,1.1226102,[-0.004  0.013 -0.001 -0.015 -0.014 -0.001  0.002  0.005  0.     0.  0.   ],0.0032364666,9.359741,168.32013
0.015657231,90.98987,10.198322057723999,,18.93,0.010256051,82.78787,1.025605,0.17403245,97.201195,69.30568,11871.937,179.2062,0.0071369633,100,97.37277,65.33049,4,1.5657232,48.633835,173.7777399313459,400,7311,,0.71369636,0.4189424,361.49084,-1.0,9.359606,270.50098,1.0269811,[-0.003  0.014  0.006 -0.015 -0.008 -0.008  0.006 -0.001  0.     0.  0.   ],0.0017403245,9.359606,173.77776
0.020761797,81.448654,12.65648889541626,,18.24,0.010238486,85.88987,1.0238488,0.20470929,96.156044,69.733986,10681.161,173.94714,0.0070031923,100,96.38688,65.02536,5,2.0761797,45.489384,167.3385198666618,500,9135,,0.70031923,0.4189424,341.04388,-1.0,9.3598995,259.5952,1.0374856,[-0.006  0.017  0.006 -0.009 -0.002 -0.013 -0.006 -0.006  0.     0.  0.   ],0.0020470927,9.3598995,167.33853
0.04657499,62.971504,15.448325872421265,,19.07,0.010872402,112.21702,1.0872403,0.5676851,78.57782,90.75734,22038.008,193.29181,0.0054608304,100,89.231125,78.332184,6,4.6574993,52.00193,175.1885206162955,600,11042,,0.54608303,0.4189424,322.8545,-1.0,9.359934,259.883,1.1206852,[-0.005  0.026  0.007 -0.008  0.007  0.001 -0.003 -0.008  0.     0.  0.   ],0.005676851,9.359934,175.18854
0.05050292,72.438934,18.6291081905365,,18.66,0.010498725,98.73745,1.0498726,0.56851137,77.32589,69.974464,20843.033,187.31552,0.004062331,100,89.254364,60.318985,7,5.050292,52.7888,171.17638712933186,700,12908,,0.40623307,0.4189424,369.52472,-1.0,9.359516,297.0858,1.1203934,[-0.003  0.046  0.01   0.002  0.023  0.026  0.012 -0.002  0.     0.  0.   ],0.0056851134,9.359516,171.17639
0.014256937,90.8272,22.542457342147827,,19.46,0.00998215,87.82844,0.998215,0.23173806,94.88613,77.106346,13317.238,184.40201,0.0037753822,100,95.13052,74.004944,8,1.4256938,55.305073,178.65564305602118,800,14854,,0.37753823,0.4189424,348.83566,-1.0,9.359911,258.00845,1.0511873,[ 0.009  0.064  0.023 -0.01   0.013  0.049  0.037  0.011  0.     0.  0.   ],0.0023173806,9.359911,178.65564
0.038422335,100.12845,26.255221128463745,,19.73,0.010759652,81.20929,1.0759653,0.60956603,75.702774,94.069435,24788.623,211.46214,0.002184734,100,76.96355,78.35044,9,3.8422334,54.44402,181.33773456030696,900,16827,,0.2184734,0.4189424,343.29102,-1.0,9.359617,243.16257,1.2993164,[ 0.004  0.071  0.029 -0.008  0.016  0.04   0.041  0.011  0.     0.  0.   ],0.0060956604,9.359617,181.33774
0.017325915,108.90384,31.053932189941406,,21.25,0.010115646,86.45801,1.0115645,0.22482973,95.29262,60.97377,19378.031,202.86778,0.0057960027,100,96.33677,56.09102,10,1.7325916,65.66807,195.36184444744376,1000,18952,,0.5796003,0.4189424,464.23605,-1.0,9.359495,355.3322,1.0380253,[ 0.008  0.069  0.033 -0.009  0.021  0.043  0.04  -0.004  0.     0.  0.   ],0.0022482972,9.359495,195.36186
