MinIWNorm,MeanIWNorm,Weights,InitialReturnMax,EpisodesSoFar,TimestepsSoFar,InitialReturnMin,StdIW,MaxIW,Bound,InitialReturnStd,ReturnStepMaxmin,LearnableVariance,VarianceInit,Iteration,StdIWNorm,MinIW,MeanEntropy,J_sample_variance,ReturnMeanIW,OptimizationReturnMin,MaxIWNorm,EpRewMean,EmpiricalD2,OptimizationReturnMax,EpLenMean,EpThisIter,ESSRenyi,InitialReturnMean,ESSClassic,ReturnStepMax,OptimizationReturnMean,InitialBound,TimeElapsed,MeanIW
0.0052628345,0.010256628,[-0. -0.  0.  0.  0. -0. -0.  0. -0. -0. -0.],313.7964,100,1759,81.5766,0.14617488,1.6734445,71.72414,43.8422,9.359807,,-1.0,1,0.0014617487,0.52628344,0.4189424,9665.027,166.6369,,0.016734445,161.3020937451902,1.0165081,232.21979,17.59,100,98.376,161.3021,98.00932,9.359807,79.725494,67.163185,1.744002103805542,1.0256628
0.0043656845,0.010872878,[-0.004  0.024  0.007  0.002 -0.003  0.008  0.014  0.011  0.     0.  0.   ],360.88425,200,3709,81.35541,0.45445955,3.6249747,84.78846,55.18448,9.3599615,,-1.0,2,0.0045445953,0.43656844,0.4189424,21722.572,199.96028,,0.036249746,179.15439208414483,1.1316552,279.52884,19.5,100,88.366135,179.15439,85.12786,9.3599615,97.798996,70.88912,3.8312816619873047,1.0872878
0.0059205624,0.010272164,[ 0.     0.028  0.01  -0.014 -0.017  0.018  0.021  0.01   0.     0.  0.   ],259.16357,300,5427,81.44533,0.18069503,1.3558624,83.97824,40.85662,9.359801,,-1.0,3,0.0018069503,0.5920563,0.4189424,9343.988,163.40155,,0.013558623,157.5111055947692,1.0435314,177.71825,17.18,100,95.82845,157.51111,96.99853,9.359801,76.06577,79.762024,5.562127113342285,1.0272163
0.0041017756,0.011240392,[ 0.002  0.026  0.013 -0.008 -0.009  0.011  0.03   0.016  0.     0.  0.   ],351.49353,400,7262,90.79442,0.91421753,5.9769773,77.52494,48.72349,9.359803,,-1.0,4,0.009142174,0.41017756,0.4189424,24587.316,198.54828,,0.059769772,168.2961344114461,1.3172284,260.6991,18.35,100,75.91698,168.29613,60.18623,9.359803,77.50172,62.848076,7.7501561641693115,1.1240392
0.0058918586,0.010063798,[ 0.001  0.028  0.01  -0.011 -0.006  0.022  0.017 -0.007  0.     0.  0.   ],380.47778,500,9125,100.12894,0.14512803,1.3452685,58.912773,45.140793,9.359634,,-1.0,5,0.0014512803,0.5891859,0.4189424,13285.871,174.56473,,0.0134526845,170.89979218365647,1.0266085,280.34885,18.63,100,97.40812,170.89978,97.96275,9.359634,70.77085,56.75647,9.778028011322021,1.0063798
0.004632633,0.010248473,[-0.002  0.028  0.011 -0.008 -0.001  0.015  0.021 -0.006  0.     0.  0.   ],501.17896,600,11167,90.81272,0.17686751,1.3386209,42.050797,57.985077,9.359872,,-1.0,6,0.001768675,0.46326333,0.4189424,13717.342,195.37177,,0.013386209,187.6250431916743,1.0398601,410.36624,20.42,100,96.16678,187.62506,97.10777,9.359872,96.812325,37.271347,12.08734941482544,1.0248471
0.0030801862,0.010513339,[-0.001  0.031  0.014 -0.004  0.003  0.011  0.031 -0.003  0.     0.  0.   ],370.7033,700,13098,81.53401,0.27131972,1.655465,72.952896,49.39222,9.359707,,-1.0,7,0.0027131971,0.30801862,0.4189424,11663.688,188.96136,,0.01655465,177.26719126869244,1.088138,289.1693,19.31,100,91.90011,177.26721,93.75578,9.359707,95.73318,66.0562,14.119405031204224,1.0513341
0.0027299123,0.0105722975,[-0.002  0.035  0.015  0.009  0.013  0.008  0.037 -0.003  0.     0.  0.   ],380.40665,800,15075,99.71506,0.34297752,2.375114,75.7998,51.722027,9.359748,,-1.0,8,0.0034297756,0.27299124,0.4189424,16969.574,195.2328,,0.02375114,181.5427773532855,1.0952419,280.6916,19.77,100,91.30403,181.54277,90.47787,9.359748,81.82771,67.420784,16.559227466583252,1.0572298
0.0048207142,0.010151681,[-0.005  0.04   0.019 -0.001  0.005 -0.002  0.048  0.009  0.     0.  0.   ],352.1975,900,17078,81.37648,0.18381913,1.6110916,83.29628,55.571392,9.359874,,-1.0,9,0.0018381913,0.48207143,0.4189424,12195.649,190.51247,,0.016110916,183.97603501070253,1.029688,270.82104,20.03,100,97.1168,183.97606,96.82537,9.359874,102.59955,78.316765,18.584450006484985,1.0151682
0.003342415,0.010273236,[-0.003  0.042  0.026  0.     0.005 -0.01   0.061  0.017  0.     0.  0.   ],315.4018,1000,19100,81.67436,0.20694177,1.475967,96.77811,44.42583,9.359923,,-1.0,10,0.0020694176,0.3342415,0.4189424,10491.233,193.6554,,0.01475967,185.6786949806836,1.04827,233.72743,20.22,100,95.39527,185.67871,96.1005,9.359923,104.004326,91.05817,20.870526552200317,1.0273236
0.00063597,0.010857386,[-0.008  0.047  0.028  0.002  0.005 -0.028  0.075  0.026  0.     0.  0.   ],361.0737,1100,21140,81.32918,0.64850557,3.2630026,92.63245,53.089836,9.359589,,-1.0,11,0.0064850557,0.063597,0.4189424,21734.445,217.31053,,0.032630026,187.3858068709878,1.3247871,279.7445,20.4,100,75.483826,187.38579,73.70497,9.359589,106.05663,79.0637,23.316410064697266,1.0857387
0.0059801615,0.01017234,[-0.007  0.047  0.029  0.011  0.009 -0.029  0.076  0.013  0.     0.  0.   ],471.61255,1200,23247,108.971664,0.13080372,1.3022532,55.832184,52.10455,9.359724,,-1.0,12,0.0013080372,0.59801614,0.4189424,15863.439,199.0916,,0.013022532,193.519728703763,1.0252578,362.64087,21.07,100,97.53644,193.51971,98.37343,9.359724,84.548065,52.035965,25.55183982849121,1.0172341
