ReturnStepMaxmin,OptimizationReturnMean,Iteration,Bound,Weights,MinIW,StdIWNorm,ReturnMeanIW,TimeElapsed,ESSRenyi,MaxIW,OptimizationReturnMin,InitialReturnMax,VarianceInit,InitialReturnMean,MeanIW,MeanEntropy,ESSClassic,InitialBound,MaxIWNorm,StdIW,LearnableVariance,EpisodesSoFar,OptimizationReturnMax,TimestepsSoFar,EpLenMean,EpRewMean,ReturnStepMax,J_sample_variance,InitialReturnMin,EpThisIter,EmpiricalD2,InitialReturnStd,MinIWNorm,MeanIWNorm
9.358977,81.93789,1,72.08877,[ 0.  0. -0. -0.  0.  0. -0.  0. -0.  0. -0.],0.81220603,0.0020980174,176.26921,10.859111309051514,97.39189,2.619602,,342.70966,-1.0,172.70642,1.0049262,0.4189424,95.8234,69.89353,0.02619602,0.20980175,,100,251.94112,1881,18.81,172.70642786202802,9.358977,12393.928,90.76854,100,1.0267795,50.116177,0.00812206,0.010049261
9.359873,80.81925,2,46.35875,[-0.002  0.014  0.014 -0.003  0.006  0.011 -0.006 -0.009  0.     0.  0.   ],0.41440287,0.002098491,180.10905,23.670955181121826,95.059586,1.5642905,,434.68182,-1.0,171.5213,1.0057198,0.4189424,95.82793,41.116745,0.015642906,0.20984909,,200,343.97977,3749,18.68,171.5213122492751,9.359873,15944.137,90.70206,100,1.0519718,64.359314,0.0041440288,0.010057198
9.359805,105.08659,3,82.289444,[-0.     0.017  0.018  0.003  0.012  0.01   0.006 -0.005  0.     0.  0.   ],0.5648526,0.0013157874,180.77533,36.566354751586914,98.09274,1.3709619,,325.1406,-1.0,177.4394,1.0098749,0.4189424,98.33074,79.89725,0.013709619,0.13157876,,300,252.78775,5681,19.32,177.43944241620517,9.359805,7730.7183,72.35284,100,1.0194434,41.91683,0.005648526,0.01009875
9.35986,83.38564,4,73.575,[ 6.219e-04  2.058e-02  2.812e-02  7.093e-03  1.053e-02 -1.108e-02  6.479e-05 -7.389e-03  0.000e+00  0.000e+00  0.000e+00],0.5718751,0.0012491898,176.63509,46.533276319503784,98.50151,1.2651354,,340.95,-1.0,174.1443,1.0076236,0.4189424,98.48633,71.85932,0.012651354,0.12491898,,400,250.19135,7578,18.97,174.1443143535827,9.35986,11346.086,90.758675,100,1.0152129,47.969254,0.005718751,0.010076236
9.359741,81.456635,5,62.46292,[ 0.001  0.023  0.032  0.013  0.013 -0.015  0.005 -0.005  0.     0.  0.   ],0.5075951,0.0025901766,195.01498,56.95764875411987,93.29655,1.7758812,,426.77408,-1.0,181.48062,1.0318618,0.4189424,94.07239,53.448425,0.01775881,0.25901768,,500,326.7501,9554,19.76,181.48063138836872,9.359741,17355.19,100.023994,100,1.071851,57.155624,0.005075951,0.010318618
9.359949,91.39273,6,103.41496,[ 0.     0.035  0.038  0.014  0.019 -0.008  0.018 -0.004  0.     0.  0.   ],0.2091251,0.0069936495,216.04292,65.98716711997986,74.92553,4.680029,,324.96747,-1.0,181.91093,1.1095144,0.4189424,71.565506,84.4207,0.04680029,0.69936496,,600,234.44925,11535,19.81,181.9109457454477,9.359949,26903.3,90.51822,100,1.3346586,54.10819,0.002091251,0.011095144
9.359919,78.255295,7,78.73692,[ 4.988e-03  3.973e-02  3.976e-02 -1.988e-03  1.542e-03 -1.825e-05  2.027e-02 -1.257e-02  0.000e+00  0.000e+00  0.000e+00],0.3743577,0.0016243401,182.55614,74.75142645835876,97.14345,1.3048036,,341.08548,-1.0,178.04567,1.0199662,0.4189424,97.52654,75.72003,0.013048036,0.16243401,,700,241.2951,13474,19.39,178.04567163767481,9.359919,13617.641,99.79038,100,1.0294055,50.648335,0.0037435768,0.010199662
9.359903,80.55789,8,98.45412,[ 0.005  0.039  0.043  0.001  0.008 -0.011  0.027 -0.008  0.     0.  0.   ],0.17110018,0.0031390502,220.2243,83.8094129562378,87.8479,2.0051434,,380.43933,-1.0,198.55,1.0916504,0.4189424,92.36292,84.41821,0.020051433,0.313905,,800,262.4472,15634,21.6,198.55000041821023,9.359903,22986.172,117.99211,100,1.1383312,58.455048,0.0017110019,0.010916504
9.3599615,82.787834,9,97.23716,[ 0.005  0.049  0.049  0.004  0.011 -0.028  0.052  0.007  0.     0.  0.   ],0.20857517,0.0035489295,196.96762,92.01336622238159,89.75616,2.2249687,,314.94788,-1.0,182.52997,1.0409142,0.4189424,89.58627,88.04558,0.022249686,0.35489297,,900,215.20575,17622,19.88,182.5299553278495,9.3599615,17080.209,99.74213,100,1.1141297,53.861835,0.0020857516,0.010409141
9.35998,85.68307,10,56.357468,[ 0.002  0.046  0.045  0.007  0.019 -0.036  0.044 -0.005  0.     0.  0.   ],0.3975717,0.0024432277,205.06042,100.54956293106079,94.694,2.149902,,482.34705,-1.0,194.92552,1.0361171,0.4189424,94.732414,50.22142,0.021499021,0.24432279,,1000,373.10458,19743,21.21,194.92551923195785,9.35998,17698.584,109.242455,100,1.0560331,55.11108,0.003975717,0.010361172
