OptimizationReturnMean,MeanEntropy,MeanIW,EpisodesSoFar,ESSClassic,ESSRenyi,StdIWNorm,J_sample_variance,MinIWNorm,Weights,EpRewMean,InitialBound,InitialReturnMin,OptimizationReturnMax,StdIW,EpLenMean,LearnableVariance,MeanIWNorm,EmpiricalD2,ReturnMeanIW,ReturnStepMaxmin,InitialReturnMax,MaxIWNorm,EpThisIter,Bound,MaxIW,VarianceInit,TimeElapsed,OptimizationReturnMin,MinIW,InitialReturnMean,Iteration,ReturnStepMax,TimestepsSoFar,InitialReturnStd
76.260056,0.4189424,1.0768865,100,86.108604,89.7694,0.0043253303,13467.004,0.0044347495,[ 0.  0. -0. -0.  0. -0.  0.  0.  0. -0. -0.],166.99421448709742,75.127426,90.73416,215.48843,0.432533,18.21,,0.010768865,1.1139653,181.11816,9.359959,306.2226,0.03214574,100,84.157776,3.2145739,-1.0,1.0408825874328613,,0.44347495,166.99422,1,9.359959,1821,43.383354
82.82364,0.4189424,2.2759836,200,2.858907,18.611603,0.13266934,1595638.8,0.00028614872,[-7.977e-05  1.852e-02 -2.111e-03 -8.992e-03 -6.168e-03  1.781e-02  1.015e-03 -7.562e-03  0.000e+00  0.000e+00  0.000e+00],173.84252680826503,54.10057,91.01889,308.121,13.266935,18.94,,0.022759838,5.3729925,421.34045,9.359422,399.1399,1.3355961,100,143.78198,133.55962,-1.0,2.6923482418060303,,0.028614871,173.84251,2,9.359422,3715,51.200176
104.545685,0.4189424,1.0294232,300,96.76791,95.88748,0.0018813565,10281.369,0.0045284694,[-0.01   0.037  0.001  0.015 -0.012  0.048 -0.017 -0.049  0.     0.  0.   ],185.89857672483643,85.77638,81.35289,252.38777,0.18813565,20.23,,0.0102942325,1.042889,191.48947,9.359793,333.74066,0.016941905,100,89.242744,1.6941905,-1.0,3.735529899597168,,0.45284694,185.89857,3,9.359793,5738,52.468445
88.97287,0.4189424,1.0745461,400,88.637115,86.57844,0.0038473504,18811.238,0.0033064643,[-0.009  0.034  0.003  0.018 -0.011  0.034 -0.013 -0.044  0.     0.  0.   ],188.69413121630285,79.95039,99.72125,262.7578,0.38473508,20.54,,0.01074546,1.155022,208.4106,9.3599615,362.47906,0.021476587,100,91.54161,2.1476588,-1.0,4.691294193267822,,0.33064643,188.69412,4,9.3599615,7792,55.440445
104.49024,0.4189424,1.0399046,500,88.95075,91.704666,0.003665093,35574.895,0.003375147,[-0.01   0.048  0.006  0.033 -0.002  0.03   0.008 -0.031  0.     0.  0.   ],194.85519320664307,30.666016,90.364944,456.9323,0.36650935,21.21,,0.010399046,1.0904571,217.83466,9.359731,547.29724,0.033418,100,46.380188,3.3418,-1.0,5.927621603012085,,0.3375147,194.85521,5,9.359731,9913,65.10798
119.79531,0.4189424,1.0489367,600,80.3757,80.99291,0.00518303,20777.822,0.0025772408,[-0.001  0.055  0.011  0.026 -0.011  0.041  0.027 -0.026  0.     0.  0.   ],201.3925278910882,98.55397,81.59721,261.198,0.51830304,21.91,,0.010489367,1.2346759,224.83824,9.359923,342.79523,0.03251021,100,110.56818,3.2510211,-1.0,7.333521842956543,,0.25772408,201.39252,6,9.359923,12104,58.41951
121.69323,0.4189424,1.0558615,700,93.81845,92.729935,0.002710263,11378.234,0.0049615405,[ 0.002  0.058  0.012  0.02  -0.02   0.04   0.022 -0.039  0.     0.  0.   ],203.0618495892178,100.39257,81.368614,260.8623,0.2710263,22.08,,0.0105586145,1.0784004,212.12082,9.359914,342.23093,0.019116653,100,105.50282,1.9116654,-1.0,8.525877952575684,,0.49615404,203.06186,7,9.359914,14312,53.00895
108.980515,0.4189424,1.0420022,800,95.09479,94.12501,0.0023665754,19386.463,0.005152416,[ 0.005  0.058  0.014  0.008 -0.03   0.042  0.021 -0.043  0.     0.  0.   ],199.6652299528969,35.514465,90.68471,456.4845,0.23665754,21.72,,0.010420022,1.0624169,213.93663,9.359569,547.1692,0.01947358,100,44.740524,1.9473581,-1.0,9.767119884490967,,0.5152416,199.66524,8,9.359569,16484,63.155243
126.91289,0.4189424,1.034514,900,94.80975,93.31851,0.0024204946,11540.693,0.0031313954,[-0.006  0.063  0.014  0.013 -0.024  0.031  0.027 -0.041  0.     0.  0.   ],208.23468357994543,92.9231,81.32179,303.05017,0.24204947,22.64,,0.01034514,1.0715988,218.87784,9.359858,384.37195,0.01664001,100,99.50954,1.664001,-1.0,10.994942665100098,,0.31313956,208.23471,9,9.359858,18748,51.15848
110.73744,0.4189424,1.0200114,1000,96.76472,96.01506,0.0018651041,14794.3955,0.0056742714,[-0.004  0.065  0.016  0.019 -0.019  0.024  0.039 -0.037  0.     0.  0.   ],210.74421424291177,107.855316,100.006775,242.95624,0.1865104,22.91,,0.010200113,1.0415033,216.98273,9.359974,342.963,0.015819527,100,111.980415,1.5819527,-1.0,12.188462018966675,,0.56742716,210.74422,10,9.359974,21039,54.7834
