AvgEpLen,EpsThisIter,Bound,ESSRenyi,J,ESSClassic,MaxNormIw,MinVanillaIw,AvgRet,Delta,MaxVanillaIw,eRenyi2,VarVanillaIw,VarNormIw,AvgNormIw,BatchSize,AvgVanillaIw,VarDiscRet,VarJ,AvgDiscRet,VanillaAvgRet,VarRet,IterType,MinNormIw
500.0,100,-1367.0,39.7315237886,-1161.92,37.4222763922,0.0535033,7.84025e-07,-1486.51658804,0.7,5.0226,2.51689,1.48851,0.00016891,0.01,100,0.938746,156831.227873,118.822,-1486.51658804,-1486.51658804,156831.227873,1,8.35183e-09
500.0,100,-1272.86,92.4074109162,-1139.24,92.0364181911,0.0159863,0.283168,-1152.54425861,0.7,1.61907,1.08216,0.0896504,8.74004e-06,0.01,100,1.01279,21723.8276589,83.2909,-1152.54425861,-1152.54425861,21723.8276589,1,0.00279592
500.0,100,-1237.52,51.9490762553,-1058.24,26.8458875321,0.13237,0.0256697,-1148.59110399,0.7,14.5083,1.92496,3.30661,0.000275249,0.01,100,1.09604,19364.1959975,422.04,-1148.59110399,-1148.59110399,19364.1959975,1,0.000234203
500.0,100,-1060.26,26.6173838645,-842.017,1.93954363061,0.716925,0.00158772,-1136.96509715,0.7,147.304,3.75694,215.595,0.00510692,0.01,100,2.05466,12103.9172648,770.154,-1136.96509715,-1136.96509715,12103.9172648,1,7.72741e-06
500.0,100,-inf,nan,-1124.7,4.29329812594,0.38564,0.0067887,-1136.96509715,0.7,629.834,nan,6006.26,0.00225173,0.01,200,16.3322,27900.8875822,176.793,-1142.17278085,-1136.96509715,12103.9172648,,4.15664e-06
500.0,100,-1062.57,52.7500278886,-907.541,4.17826529858,0.485116,0.00275637,-1117.06681119,0.7,143.551,3.79147,103.11,0.00117756,0.005,200,1.47955,10681.4434454,1190.16,-1117.06681119,-1117.06681119,10681.4434454,1,9.3149e-06
500.0,100,-1238.85,200.0,-1110.62,100.0,0.01,1.0,-1110.61823979,0.7,1.0,1.0,,3.50449e-18,0.01,200,1.0,31930.7500657,177.796,-1110.61823979,-1110.61823979,31930.7500657,2,0.01
500.0,100,-inf,nan,-1102.28,10.7947419291,0.257801,0.00696618,-1117.06681119,0.7,362.796,nan,872.156,0.000440391,0.005,300,7.03636,25692.7762515,356.517,-1107.95706344,-1117.06681119,10681.4434454,,4.95013e-06
500.0,100,-1069.06,52.4866402776,-892.169,3.33819929933,0.544826,9.39218e-05,-1140.21940441,0.7,263.239,5.71574,231.282,0.000990735,0.00333333,300,1.61054,15659.562461,1485.56,-1140.21940441,-1140.21940441,15659.562461,1,1.9439e-07
500.0,100,-1211.38,300.0,-1110.44,100.0,0.01,1.0,-1110.4404395,0.7,1.0,1.0,,3.50449e-18,0.01,300,1.0,12561.2853657,111.515,-1110.4404395,-1110.4404395,12561.2853657,2,0.01
500.0,100,-1200.7,300.0,-1109.96,200.000000102,0.005,1.0,-1109.47723233,0.7,1.0,1.0,,2.1793e-19,0.005,300,1.0,30005.5387112,145.158,-1109.47723233,-1109.47723233,30005.5387112,2,0.005
500.0,100,-inf,nan,-1112.9,3.82140487445,0.457194,0.00379883,-1140.21940441,0.7,10647.2,nan,468602.0,0.00086405,0.00333333,400,77.6268,19528.6645727,538.883,-1090.73029129,-1140.21940441,15659.562461,,1.63124e-07
500.0,100,-1075.03,51.5667933674,-896.569,3.42338563493,0.538196,0.000203765,-1136.04840891,0.7,351.377,7.75693,309.388,0.000725836,0.0025,400,1.6322,8830.5541169,1741.17,-1136.04840891,-1136.04840891,8830.5541169,1,3.12102e-07
500.0,100,-1185.18,400.0,-1099.38,100.0,0.01,1.0,-1099.37943286,0.7,1.0,1.0,,3.50449e-18,0.01,400,1.0,17750.175708,132.562,-1099.37943286,-1099.37943286,17750.175708,2,0.01
500.0,100,-1203.43,400.0,-1112.66,200.000000102,0.005,1.0,-1125.94488925,0.7,1.0,1.0,,2.1793e-19,0.005,400,1.0,31042.6635886,155.977,-1125.94488925,-1125.94488925,31042.6635886,2,0.005
500.0,100,-1175.19,400.0,-1101.08,299.999969474,0.00333333,1.0,-1077.91659067,0.7,1.0,1.0,,5.43914e-20,0.00333333,400,1.0,20205.024696,152.168,-1077.91659067,-1077.91659067,20205.024696,2,0.00333333
500.0,100,-inf,nan,-1176.75,9.77249880763,0.229853,0.00284595,-1136.04840891,0.7,4907.61,nan,114057.0,0.000250196,0.0025,500,53.3777,28025.6043747,1097.36,-1090.90756943,-1136.04840891,8830.5541169,,1.33293e-07
