#{"t_start": 1523283095.9666014, "env_id": "ContCartPole-v0"}
r,l,t
299.762733,31,1.912666
329.892811,34,1.953164
149.896534,16,1.965963
109.900684,12,1.976074
149.915557,16,1.996998
189.830297,20,2.013722
119.912144,13,2.024235
239.913589,25,2.045509
119.930485,13,2.056049
349.875556,36,2.09637
429.889181,44,2.137492
119.915017,13,2.148048
189.889563,20,2.1696
149.930754,16,2.181669
129.911587,14,2.191963
179.888954,19,2.207942
259.876407,27,2.230177
229.93305,24,2.253684
269.860961,28,2.277383
399.869096,41,2.311255
179.903297,19,2.33129
189.935658,20,2.346637
109.897846,12,2.35643
199.897251,21,2.373925
199.925537,21,2.392244
149.917381,16,2.410716
189.890737,20,2.427889
569.745094,58,2.474694
199.912269,21,2.510546
199.890092,21,2.538475
359.913091,37,2.568091
259.856317,27,2.60478
459.754095,47,2.642866
199.861392,21,2.660159
159.906168,17,2.678475
209.821079,22,2.703315
129.926814,14,2.714242
439.851204,45,2.746615
239.883021,25,2.768494
299.85897,31,2.792042
209.915993,22,2.807939
229.915023,24,2.846919
179.885747,19,2.862275
159.864283,17,2.876563
189.907299,20,2.89362
119.894538,13,2.921935
169.928616,18,2.93687
489.858283,50,2.978151
109.906978,12,3.004951
169.879889,18,3.01953
169.897909,18,3.034314
139.888318,15,3.047792
359.918285,37,3.077289
269.874102,28,3.097646
99.909104,11,3.106454
309.869635,32,3.135624
219.873029,23,3.153898
289.822965,30,3.183825
169.899965,18,3.199541
439.728257,45,3.233766
169.925824,18,3.254927
159.892797,17,3.273294
389.864247,40,3.303188
149.919854,16,3.31545
209.835517,22,3.339605
139.907983,15,3.351035
459.819781,47,3.38551
219.843793,23,3.416509
179.927972,19,3.432144
289.90268,30,3.457361
119.882764,13,3.470092
139.909039,15,3.482554
189.919121,20,3.498234
159.904741,17,3.511071
239.825146,25,3.532127
199.907704,21,3.548967
529.610982,54,5.371848
519.742063,53,5.469845
299.652533,31,5.501247
539.787502,55,5.576936
219.844242,23,5.609948
159.89708,17,5.643147
129.890913,14,5.654126
289.86314,30,5.679256
259.879288,27,5.731789
159.896452,17,5.74392
269.831037,28,5.765322
229.906804,24,5.808599
719.773719,73,5.930929
189.844407,20,5.967854
179.844929,19,5.984316
109.896814,12,5.994873
119.915086,13,6.005731
139.852661,15,6.043775
309.865959,32,6.069876
199.855188,21,6.086189
299.869077,31,6.140302
149.883456,16,6.153441
249.837162,26,6.174671
209.840687,22,6.193591
189.915879,20,6.214261
599.622462,61,6.262596
179.85733,19,6.279377
159.894373,17,6.292763
229.898832,24,6.310676
99.918646,11,6.318425
419.870755,43,6.356332
629.840914,64,6.414185
329.899105,34,6.440805
449.855835,46,6.477435
399.736232,41,6.512293
189.861399,20,6.540251
209.85925,22,6.563416
489.832222,50,6.604451
629.875826,64,6.665781
219.871235,23,6.687151
259.901264,27,6.71707
509.824325,52,6.755467
219.904554,23,6.792256
179.84391,19,6.807664
549.823272,56,6.854445
249.796386,26,6.876481
639.792426,65,6.928604
359.751718,37,6.965234
219.894633,23,6.985255
179.874716,19,8.777276
319.662036,33,8.886516
119.923465,13,8.954316
169.908112,18,9.150481
469.73611,48,9.189956
379.862788,39,9.255118
229.895648,24,9.276201
879.780594,89,9.46924
529.831645,54,9.52424
329.7094,34,9.551522
479.605602,49,9.60239
449.810415,46,9.639992
439.709846,45,9.679077
539.870944,55,9.856618
109.916949,12,9.90479
629.796779,64,9.957207
559.766223,57,10.028295
309.786552,32,10.054639
349.869007,36,10.091427
209.784235,22,10.159856
259.902642,27,10.184827
489.816275,50,10.226326
239.86049,25,10.248219
619.778417,63,10.300114
379.838579,39,10.343927
839.786637,85,10.458347
479.846391,49,12.242171
559.802895,57,12.550602
909.733211,92,12.655724
589.862442,60,12.705984
349.857806,36,13.106567
639.75782,65,13.375237
939.568778,95,13.480898
579.853033,59,13.534401
679.742831,69,13.706562
439.842138,45,13.766642
929.696617,94,16.272959
929.673057,94,16.440194
289.889078,30,16.580057
519.821796,53,16.677622
449.843291,46,17.006321
169.821878,18,17.316648
889.811541,90,17.542203
569.635584,58,24.64943
669.795328,68,25.064018
289.891156,30,35.819374
579.728651,59,53.46598
879.402365,89,53.858016
759.534674,77,53.934192
879.550808,89,54.610509
899.330035,91,59.566327
