BatchSize,MinVanillaIw,AvgVanillaIw,VarNormIw,ESSRenyi,AvgDiscRet,IterType,VarVanillaIw,ESSClassic,MinNormIw,AvgEpLen,VarRet,VarDiscRet,VarJ,Bound,MaxNormIw,AvgRet,VanillaAvgRet,MaxVanillaIw,EpsThisIter,AvgNormIw,Delta,J,eRenyi2
100,2.13907e-08,0.97431,0.000166482,43.6720969271,-1485.85436731,1,1.58038,37.761955214,2.19547e-10,500.0,153715.045746,153715.045746,353.404,-1592.38,0.0607366,-1485.85436731,-1485.85436731,5.91763,100,0.01,0.3,-1130.67,2.28979
100,0.0328531,1.03578,1.9131e-05,85.7316860171,-1169.72716978,1,0.205245,84.0762711918,0.000317182,500.0,52979.4845502,52979.4845502,214.737,-1440.45,0.0241188,-1169.72716978,-1169.72716978,2.49818,100,0.01,0.3,-1117.02,1.16643
100,0.372035,1.02239,3.07293e-06,97.1409196267,-1150.44046551,1,0.032121,97.0476022122,0.00363886,500.0,23604.6139195,23604.6139195,94.5687,-1441.44,0.0138136,-1150.44046551,-1150.44046551,1.41229,100,0.01,0.3,-1137.61,1.02943
100,0.228776,0.951936,1.13509e-05,89.9570761694,-1120.07458288,1,0.10286,89.8978132826,0.00240327,500.0,11720.0032996,11720.0032996,200.607,-1337.27,0.0254461,-1120.07458288,-1120.07458288,2.42231,100,0.01,0.3,-1100.69,1.11164
100,0.373477,0.998746,6.77912e-06,93.7168773449,-1152.10279418,1,0.0676212,93.7107423768,0.00373946,500.0,33410.3576703,33410.3576703,130.877,-1438.62,0.0144419,-1152.10279418,-1152.10279418,1.44238,100,0.01,0.3,-1129.49,1.06704
100,0.394259,0.99759,3.37945e-06,97.0764493379,-1147.05370786,1,0.0336318,96.7626357911,0.00395212,500.0,31707.5071011,31707.5071011,142.057,-1442.31,0.0141186,-1147.05370786,-1147.05370786,1.40846,100,0.01,0.3,-1137.46,1.03012
100,0.563294,1.00797,4.86408e-06,95.1658179356,-1112.86545533,1,0.0494189,95.4057834903,0.00558841,500.0,21990.4706246,21990.4706246,181.192,-1406.1,0.017661,-1112.86545533,-1112.86545533,1.78017,100,0.01,0.3,-1098.96,1.0508
100,0.179101,1.11553,7.57602e-05,73.7319126876,-1132.59181198,1,0.942764,57.1419992594,0.00160552,500.0,47142.8243207,47142.8243207,410.916,-1403.28,0.0642974,-1132.59181198,-1132.59181198,7.17257,100,0.01,0.3,-1052.95,1.35626
100,0.212453,1.03702,3.54608e-05,81.2928542093,-1099.92881673,1,0.381347,74.0158673295,0.00204869,500.0,36124.559253,36124.559253,285.759,-1378.35,0.0414974,-1099.92881673,-1099.92881673,4.30335,100,0.01,0.3,-1046.37,1.23012
100,0.0367536,1.10066,3.31724e-05,76.9978238768,-1056.33839008,1,0.401868,75.2781636547,0.000333923,500.0,45985.3453032,45985.3453032,310.762,-1333.09,0.044988,-1056.33839008,-1056.33839008,4.95165,100,0.01,0.3,-992.08,1.29874
100,1.98345e-07,1.06966,0.000118105,53.2254350664,-1064.37714707,1,1.35131,46.0991849512,1.85429e-09,500.0,72838.788808,72838.788808,420.267,-1299.29,0.0560639,-1064.37714707,-1064.37714707,5.99691,100,0.01,0.3,-888.511,1.8788
100,0.00677396,0.869281,0.000116021,56.5841832768,-942.637606341,1,0.876709,46.5418374903,7.7926e-05,500.0,99290.987008,99290.987008,318.163,-1191.86,0.0404299,-942.637606341,-942.637606341,3.51449,100,0.01,0.3,-792.656,1.76728
