VarRet,ESSRenyi,MaxNormIw,AvgRet,VarVanillaIw,Bound,EpsThisIter,AvgDiscRet,AvgEpLen,MinVanillaIw,J,IterType,MaxVanillaIw,BatchSize,Delta,VarNormIw,AvgVanillaIw,VarDiscRet,VarJ,AvgNormIw,MinNormIw,eRenyi2,ESSClassic,VanillaAvgRet
3142.97720497,113.569056435,0.0584401,-519.86681576,1.28103,-531.21,100,-519.86681576,500.0,0.000662251,-497.657,1,11.7577,200,0.8,3.16473e-05,1.00596,3142.97720497,68.4798,0.005,3.29164e-06,1.76104,88.5126657351,-519.86681576
2456.08529178,200.0,0.01,-505.702650424,,-536.532,100,-505.702650424,500.0,1.0,-505.703,2,1.0,200,0.8,3.50449e-18,1.0,2456.08529178,49.3105,0.01,0.01,1.0,100.0,-505.702650424
3141.71696365,78.0642656479,0.0585836,-520.942463677,3.15276,-526.28,100,-520.942463677,500.0,0.000621033,-488.092,1,14.2768,200,0.8,5.30861e-05,1.2185,3141.71696365,76.4764,0.005,2.54835e-06,2.56199,64.250286444,-520.942463677
1874.5317356,200.0,0.01,-484.634193614,,-514.06,100,-484.634193614,500.0,1.0,-484.634,2,1.0,200,0.8,3.50449e-18,1.0,1874.5317356,43.0788,0.01,0.01,1.0,100.0,-484.634193614
2152.58420578,81.4465205156,0.0549104,-490.698716201,2.33848,-500.746,100,-490.698716201,500.0,0.00127657,-467.082,1,12.1702,200,0.8,4.76041e-05,1.10819,2152.58420578,77.2198,0.005,5.75972e-06,2.4556,69.0931553986,-490.698716201
2203.00282408,200.0,0.01,-482.71686068,,-514.201,100,-482.71686068,500.0,1.0,-482.717,2,1.0,200,0.8,3.50449e-18,1.0,2203.00282408,46.7009,0.01,0.01,1.0,100.0,-482.71686068
2182.55067877,123.250530936,0.0221225,-488.742428547,0.725355,-502.072,100,-488.742428547,500.0,0.0207449,-473.713,1,4.64725,200,0.8,1.64372e-05,1.05034,2182.55067877,50.938,0.005,9.87527e-05,1.62271,120.904328193,-488.742428547
1820.66133307,200.0,0.01,-480.078443395,,-509.445,100,-480.078443395,500.0,1.0,-480.078,2,1.0,200,0.8,3.50449e-18,1.0,1820.66133307,42.4553,0.01,0.01,1.0,100.0,-480.078443395
2606.49206937,112.039567349,0.0260761,-483.133674959,0.821174,-497.684,100,-483.133674959,500.0,0.0161444,-467.489,1,5.26722,200,0.8,2.0126e-05,1.00997,2606.49206937,60.7758,0.005,7.99249e-05,1.78508,111.048453658,-483.133674959
2073.626386,200.0,0.01,-477.278907776,,-507.313,100,-477.278907776,500.0,1.0,-477.279,2,1.0,200,0.8,3.50449e-18,1.0,2073.626386,45.3088,0.01,0.01,1.0,100.0,-477.278907776
2028.11709322,67.6644268364,0.0402748,-457.152047816,2.1667,-480.378,100,-457.152047816,500.0,5.70582e-05,-442.459,1,7.53255,200,0.8,6.19416e-05,0.935145,2028.11709322,70.8172,0.005,3.05077e-07,2.95576,57.7155000534,-457.152047816
2242.6888422,200.0,0.01,-469.928634154,,-499.883,100,-469.928634154,500.0,1.0,-469.929,2,1.0,200,0.8,3.50449e-18,1.0,2242.6888422,47.1197,0.01,0.01,1.0,100.0,-469.928634154
2279.60141333,59.2857322066,0.0712467,-459.35200398,3.57706,-473.223,100,-459.35200398,500.0,8.75245e-08,-433.932,1,14.8608,200,0.8,8.22188e-05,1.04291,2279.60141333,105.411,0.005,4.19617e-10,3.37349,46.8131041552,-459.35200398
2846.8173214,200.0,0.01,-462.44058688,,-494.045,100,-462.44058688,500.0,1.0,-462.441,2,1.0,200,0.8,3.50449e-18,1.0,2846.8173214,53.0881,0.01,0.01,1.0,100.0,-462.44058688
2072.11551808,114.526820277,0.0407837,-454.649030048,0.917524,-475.959,100,-454.649030048,500.0,0.00741247,-446.427,1,7.96481,200,0.8,2.40569e-05,0.976471,2072.11551808,69.5302,0.005,3.79554e-05,1.74632,102.17305791,-454.649030048
1587.93785372,200.0,0.01,-436.924840133,,-464.701,100,-436.924840133,500.0,1.0,-436.925,2,1.0,200,0.8,3.50449e-18,1.0,1587.93785372,39.6492,0.01,0.01,1.0,100.0,-436.924840133
2283.92319123,96.7160992156,0.136778,-449.163968277,4.15751,-455.986,100,-449.163968277,500.0,0.00175409,-425.583,1,27.4552,200,0.8,0.000103184,1.00364,2283.92319123,88.9863,0.005,8.73859e-06,2.06791,39.1639697919,-449.163968277
2445.31033661,200.0,0.01,-450.040167121,,-483.255,100,-450.040167121,500.0,1.0,-450.04,2,1.0,200,0.8,3.50449e-18,1.0,2445.31033661,49.2022,0.01,0.01,1.0,100.0,-450.040167121
2260.23844555,104.400859291,0.0455874,-446.504626086,1.47796,-463.695,100,-446.504626086,500.0,0.0026954,-431.188,1,9.21264,200,0.8,3.61896e-05,1.01044,2260.23844555,48.5838,0.005,1.33378e-05,1.91569,81.9556292367,-446.504626086
2577.21389429,200.0,0.01,-437.770720443,,-467.554,100,-437.770720443,500.0,1.0,-437.771,2,1.0,200,0.8,3.50449e-18,1.0,2577.21389429,50.5118,0.01,0.01,1.0,100.0,-437.770720443
2013.61057633,85.7897371085,0.0347251,-444.527592778,2.32315,-456.12,100,-444.527592778,500.0,7.04747e-09,-422.181,1,8.04286,200,0.8,4.33055e-05,1.15808,2013.61057633,54.3051,0.005,3.04275e-11,2.33128,73.4333591206,-444.527592778
1751.78602033,200.0,0.01,-440.500404346,,-467.891,100,-440.500404346,500.0,1.0,-440.5,2,1.0,200,0.8,3.50449e-18,1.0,1751.78602033,41.6445,0.01,0.01,1.0,100.0,-440.500404346
2026.45908673,164.321120688,0.0126463,-453.042401133,0.208118,-464.792,100,-453.042401133,500.0,0.173661,-442.324,1,2.51365,200,0.8,5.26773e-06,0.993831,2026.45908673,48.1151,0.005,0.000873697,1.21713,165.336268367,-453.042401133
2969.9154664,200.0,0.01,-443.079947132,,-475.231,100,-443.079947132,500.0,1.0,-443.08,2,1.0,200,0.8,3.50449e-18,1.0,2969.9154664,54.2238,0.01,0.01,1.0,100.0,-443.079947132
1891.5368093,137.633923089,0.019413,-431.153706645,0.471165,-455.118,100,-431.153706645,500.0,0.00657374,-427.712,1,3.79982,200,0.8,1.22979e-05,0.97868,1891.5368093,52.2897,0.005,3.35847e-05,1.45313,134.277057842,-431.153706645
1858.17020083,200.0,0.01,-440.734718433,,-471.78,100,-440.734718433,500.0,1.0,-440.735,2,1.0,200,0.8,3.50449e-18,1.0,1858.17020083,42.8904,0.01,0.01,1.0,100.0,-440.734718433
1455.13098224,155.331216849,0.0228975,-433.660664707,0.329509,-456.539,100,-433.660664707,500.0,0.106574,-431.63,1,4.50334,200,0.8,8.51871e-06,0.98337,1455.13098224,42.839,0.005,0.000541879,1.28757,149.360229353,-433.660664707
3057.9962765,200.0,0.01,-449.493247386,,-482.912,100,-449.493247386,500.0,1.0,-449.493,2,1.0,200,0.8,3.50449e-18,1.0,3057.9962765,55.022,0.01,0.01,1.0,100.0,-449.493247386
2108.05685639,141.946306965,0.0198693,-446.060172313,0.425519,-468.237,100,-446.060172313,500.0,0.00940616,-440.187,1,3.76268,200,0.8,1.18656e-05,0.946857,2108.05685639,63.4764,0.005,4.96704e-05,1.40898,135.846398345,-446.060172313
1836.79853466,200.0,0.01,-442.468297752,,-471.726,100,-442.468297752,500.0,1.0,-442.468,2,1.0,200,0.8,3.50449e-18,1.0,1836.79853466,42.6431,0.01,0.01,1.0,100.0,-442.468297752
2096.2792642,154.581176278,0.022493,-443.385464228,0.355924,-460.901,100,-443.385464228,500.0,0.0230524,-436.706,1,4.57378,200,0.8,8.60799e-06,1.01671,2096.2792642,49.4737,0.005,0.000113368,1.29382,148.964897116,-443.385464228
1959.95209038,200.0,0.01,-436.501636828,,-465.517,100,-436.501636828,500.0,1.0,-436.502,2,1.0,200,0.8,3.50449e-18,1.0,1959.95209038,44.0494,0.01,0.01,1.0,100.0,-436.501636828
1924.22201179,137.910360653,0.048629,-439.559420132,0.705833,-455.508,100,-439.559420132,500.0,0.0951558,-430.8,1,9.7728,200,0.8,1.74765e-05,1.00483,1924.22201179,64.6878,0.005,0.000473491,1.45022,117.95482571,-439.559420132
2195.50611905,200.0,0.01,-436.747963615,,-465.952,100,-436.747963615,500.0,1.0,-436.748,2,1.0,200,0.8,3.50449e-18,1.0,2195.50611905,46.6214,0.01,0.01,1.0,100.0,-436.747963615
2644.81530541,100.921005862,0.0501745,-442.51742916,1.48481,-456.557,100,-442.51742916,500.0,0.000455383,-424.846,1,9.85864,200,0.8,3.84593e-05,0.982436,2644.81530541,73.6288,0.005,2.31762e-06,1.98175,79.030145621,-442.51742916
1637.90525158,200.0,0.01,-436.488840709,,-463.937,100,-436.488840709,500.0,1.0,-436.489,2,1.0,200,0.8,3.50449e-18,1.0,1637.90525158,40.2682,0.01,0.01,1.0,100.0,-436.488840709
2288.11682075,144.329772035,0.0158688,-438.228913851,0.38618,-456.485,100,-438.228913851,500.0,0.0818749,-430.974,1,3.18673,200,0.8,9.57611e-06,1.00408,2288.11682075,46.9835,0.005,0.000407709,1.38572,144.809102837,-438.228913851
1959.37072311,200.0,0.01,-441.47327435,,-469.857,100,-441.47327435,500.0,1.0,-441.473,2,1.0,200,0.8,3.50449e-18,1.0,1959.37072311,44.0429,0.01,0.01,1.0,100.0,-441.47327435
3295.14297032,95.8197494772,0.0330482,-442.903038796,1.49849,-460.048,100,-442.903038796,500.0,2.60762e-06,-426.663,1,6.81355,200,0.8,3.52534e-05,1.03085,3295.14297032,72.0178,0.005,1.26479e-08,2.08725,83.2263567592,-442.903038796
2796.46590343,200.0,0.01,-439.116542942,,-468.276,100,-439.116542942,500.0,1.0,-439.117,2,1.0,200,0.8,3.50449e-18,1.0,2796.46590343,52.6166,0.01,0.01,1.0,100.0,-439.116542942
2274.49768587,153.811462597,0.024139,-437.264476107,0.329106,-455.318,100,-437.264476107,500.0,0.33306,-431.696,1,4.72783,200,0.8,8.57927e-06,0.979293,2274.49768587,54.7637,0.005,0.00170051,1.30029,149.091840901,-437.264476107
2231.44867741,200.0,0.01,-442.720455964,,-470.99,100,-442.720455964,500.0,1.0,-442.72,2,1.0,200,0.8,3.50449e-18,1.0,2231.44867741,47.0014,0.01,0.01,1.0,100.0,-442.720455964
