ESSRenyi,VarVanillaIw,Delta,AvgDiscRet,BatchSize,VarDiscRet,MinVanillaIw,AvgVanillaIw,eRenyi2,VanillaAvgRet,AvgRet,AvgNormIw,VarRet,VarJ,J,ESSClassic,EpsThisIter,MaxVanillaIw,MaxNormIw,IterType,MinNormIw,VarNormIw,AvgEpLen,Bound
0.00750657906939,7.7573e-30,1.0,-340.284219307,100,17593.4355084,,3.07542e-16,13321.6,-340.284219307,-340.284219307,0.01,17593.4355084,25.0683,-53.9118,1.21659602946,100,2.77618e-14,0.902701,1,,0.00820167,416.7,-53.9118
415513638586.0,nan,1.0,-69.381525082,200,2567.60610691,3.60207e+13,inf,4.81332e-10,-340.284219307,-340.284219307,nan,17593.4355084,nan,nan,nan,100,inf,nan,,nan,nan,416.7,nan
,52.3603,1.0,-329.902462237,200,20956.0915416,1.51972e-06,0.906538,inf,-329.902462237,-329.902462237,0.005,20956.0915416,122.803,-86.2377,3.10584765706,100,100.302,0.553215,1,8.38202e-09,0.00159283,402.49,-86.2377
200.0,,1.0,-88.5420655541,200,7082.78832611,1.0,1.0,1.0,-88.5420655541,-88.5420655541,0.01,7082.78832611,83.7374,-88.5421,100.0,100,1.0,0.01,2,0.01,3.50449e-18,123.15,-88.5421
0.18390418574,0.0325123,1.0,-75.5517534842,200,2663.14885061,,0.01275,1087.52,-75.5517534842,-75.5517534842,0.005,2663.14885061,0.000156935,-52.6081,1.00000168296,100,2.54999,0.999999,1,,0.00499999,107.94,-52.6081
200.0,,1.0,-59.9458494829,200,94.9834276595,1.0,1.0,1.0,-59.9458494829,-59.9458494829,0.01,94.9834276595,9.69709,-59.9459,100.0,100,1.0,0.01,2,0.01,3.50449e-18,87.5,-59.9459
1417489902.5,nan,1.0,-67.8302339321,300,2605.18647812,0.392158,inf,2.11642e-07,-75.5517534842,-75.5517534842,nan,2663.14885061,nan,nan,nan,100,inf,nan,,nan,nan,107.94,nan
0.0151126214987,8.38693e-05,1.0,-95.0718702701,300,9124.44423801,,0.000528738,19851.0,-95.0718702701,-95.0718702701,0.00333333,9124.44423801,,-51.1185,1.0,100,0.158622,1.0,1,,0.00333333,130.37,-51.1185
300.0,,1.0,-66.6593116653,300,1360.41371811,1.0,1.0,1.0,-66.6593116653,-66.6593116653,0.01,1360.41371811,36.6989,-66.6593,100.0,100,1.0,0.01,2,0.01,3.50449e-18,96.13,-66.6593
300.0,,1.0,-81.8922372098,300,6089.67174762,1.0,1.0,1.0,-81.8922372098,-81.8922372098,0.005,6089.67174762,61.203,-74.2758,200.000000102,100,1.0,0.005,2,0.005,2.1793e-19,114.31,-74.2758
630400050024.0,nan,1.0,-82.9579004446,400,7278.07182053,6.30431,inf,6.34518e-10,-95.0718702701,-95.0718702701,nan,9124.44423801,nan,nan,nan,100,inf,nan,,nan,nan,130.37,nan
0.0536528050488,3.81723e-08,1.0,-91.3476104507,400,7718.53993271,,9.76887e-06,7455.34,-91.3476104507,-91.3476104507,0.0025,7718.53993271,,-52.0449,1.0,100,0.00390755,1.0,1,,0.0025,127.2,-52.0449
400.0,,1.0,-73.3779399811,400,3796.3827569,1.0,1.0,1.0,-73.3779399811,-73.3779399811,0.01,3796.3827569,61.3059,-73.3779,100.0,100,1.0,0.01,2,0.01,3.50449e-18,103.96,-73.3779
400.0,,1.0,-73.7306018062,400,3764.21266909,1.0,1.0,1.0,-73.7306018062,-73.7306018062,0.005,3764.21266909,61.1762,-73.5543,200.000000102,100,1.0,0.005,2,0.005,2.1793e-19,104.85,-73.5543
400.0,,1.0,-71.0185427184,400,2568.98980167,1.0,1.0,1.0,-71.0185427184,-71.0185427184,0.00333333,2568.98980167,57.8292,-72.709,299.999969474,100,1.0,0.00333333,2,0.00333333,5.43914e-20,101.78,-72.709
111099480060.0,nan,1.0,-92.0282366392,500,9374.16379119,255.915,inf,4.50047e-09,-91.3476104507,-91.3476104507,nan,7718.53993271,nan,nan,nan,100,inf,nan,,nan,nan,127.2,nan
0.0352084225148,2.85908,1.0,-96.3476240525,500,8763.93382351,,0.0756185,14201.1,-96.3476240525,-96.3476240525,0.002,8763.93382351,6.2197e-05,-49.9369,1.00000020179,100,37.8093,1.0,1,,0.002,132.49,-49.9369
500.0,,1.0,-67.3365581255,500,2583.56013858,1.0,1.0,1.0,-67.3365581255,-67.3365581255,0.01,2583.56013858,50.574,-67.3366,100.0,100,1.0,0.01,2,0.01,3.50449e-18,96.27,-67.3366
