AvgVanillaIw,IterType,VarRet,AvgEpLen,AvgDiscRet,AvgNormIw,MaxVanillaIw,Delta,MaxNormIw,EpsThisIter,VarJ,eRenyi2,ESSRenyi,MinNormIw,ESSClassic,Bound,VarVanillaIw,BatchSize,MinVanillaIw,J,VarNormIw,VarDiscRet,VanillaAvgRet,AvgRet
1.0002809,1,5627599.829885766,200.0,-2380.1889555037224,0.009999999,3.9582875,0.8,0.03957176,100,128.55289,2.820364,35.45641628394998,2.326059e-16,33.26668595436344,-527.7138,2.0274122,100,2.3267123e-14,-44.097874,0.00020262736,5627599.829885766,-2380.1889555037224,-2380.1889555037224
1.1096146,1,72.96493151390897,200.0,-9.552663985909037,0.01,2.53718,0.8,0.022865415,100,6.752817,1.8308626,54.6190619341651,4.021431e-07,57.848549027236025,-8.908535,0.9062107,100,4.4622386e-05,-6.9765944,7.360119e-05,72.96493151390897,-9.552663985909037,-9.552663985909037
582.29694,,72.96493151390897,200.0,-9.830263721197912,0.010000002,22410.275,0.8,0.38485992,100,25.005615,nan,nan,6.7686838e-06,3.1083964199609495,-inf,10675877.0,200,0.3941384,-3.463269,0.003148579,182.2798429081571,-9.552663985909037,-9.552663985909037
0.9872858,1,82996.13661527786,200.0,-39.72765917471696,0.005,1.2354892,0.8,0.006256999,100,36.294006,1.0652641,187.7468685105096,0.00086168834,187.69487906550006,-117.850334,0.06422382,200,0.17014652,-12.385607,1.6472154e-06,82996.13661527786,-39.72765917471696,-39.72765917471696
1.0,2,56.222262344688026,200.0,-8.100046308758833,0.009999998,1.0,0.8,0.01,100,7.4605656,1.0,200.0,0.01,100.0,-9.435621,,200,1.0,-8.100046,3.5044917e-18,56.222262344688026,-8.100046308758833,-8.100046308758833
0.9950931,1,157.67800264642113,200.0,-10.462763055995856,0.005,1.2746658,0.8,0.0064047566,100,7.9246287,1.0831434,184.64776556187965,0.00025557366,185.97300493294736,-12.614928,0.075061806,200,0.050863918,-8.794359,1.8950975e-06,157.67800264642113,-10.462763055995856,-10.462763055995856
1.0,2,74.26319380054277,200.0,-8.552287631454345,0.009999998,1.0,0.8,0.01,100,8.574413,1.0,200.0,0.01,100.0,-11.101011,,200,1.0,-8.552288,3.5044917e-18,74.26319380054277,-8.552287631454345,-8.552287631454345
1.0786922,1,63.95561737561942,200.0,-9.396609420032497,0.005,2.6912317,0.8,0.012474512,100,9.124296,1.944751,102.84092796789751,2.4237863e-11,107.93696818769196,-9.9213,0.9974405,200,5.2290385e-09,-7.4080267,2.1430484e-05,63.95561737561942,-9.396609420032497,-9.396609420032497
1.0,2,50.593808715108786,200.0,-8.508418012109061,0.009999998,1.0,0.8,0.01,100,7.077278,1.0,200.0,0.01,100.0,-9.726036,,200,1.0,-8.508418,3.5044917e-18,50.593808715108786,-8.508418012109061,-8.508418012109061
0.89812624,1,44.6250237781548,200.0,-7.488635658008117,0.005000001,54.359222,0.8,0.30262575,100,15.618749,22.103054,9.048523320716656,8.1184095e-16,5.32156722254607,-6.7547903,29.65719,200,1.4582713e-13,-2.70696,0.0009191687,44.6250237781548,-7.488635658008117,-7.488635658008117
