optimgain,EpRewMean,meankl,DiscEpRewMean,EpThisIter,ev_tdlam_before,surrgain,SampleRenyi2,TimeElapsed,EpisodesSoFar,Step_size,TimestepsSoFar,EpLenMean,Var_J,entropy,entloss,J_hat
0.0276165,-1333.00273339,0.00951758,-847.061102618,100,-0.000362396240234,0.0276165,37.0014,22.62076687812805,100,1.0,20000,200.0,458.79803466796875,1.39666,,-702.1319580078125
0.0289956,-1055.9532856,0.00969206,-665.252213679,100,-0.000197649002075,0.0289956,21.2029,52.016074657440186,200,1.0,40000,200.0,218.04849243164062,1.36107,,-518.4542846679688
0.0315814,-810.666704199,0.00991022,-518.609503193,100,0.000916421413422,0.0315814,14.5067,82.07785511016846,300,1.0,60000,200.0,149.1778106689453,1.30876,,-403.04547119140625
0.0308953,-581.583305627,0.00984109,-371.326081738,100,-0.000509023666382,0.0308953,14.5081,111.40890431404114,400,1.0,80000,200.0,38.835227966308594,1.24837,,-296.0971984863281
0.0316225,-439.549977028,0.00992108,-281.92615186,100,-0.000105381011963,0.0316225,27.1823,142.00504612922668,500,1.0,100000,200.0,31.88434410095215,1.17132,,-228.8041229248047
0.0311596,-341.312741286,0.00995079,-219.389316881,100,-0.00182676315308,0.0311596,25.0992,172.73357105255127,600,1.0,120000,200.0,12.510092735290527,1.08822,,-189.87908935546875
0.0307445,-272.276453659,0.00998686,-175.923444715,100,-0.00434577465057,0.0307445,22.5253,203.00516963005066,700,1.0,140000,200.0,43.921546936035156,0.99943,,-138.30950927734375
0.0292652,-215.413868613,0.0101015,-138.78492024,100,-0.00661039352417,0.0292652,23.9264,229.27210903167725,800,1.0,160000,200.0,1.4374972581863403,0.904407,,-124.15980529785156
0.0276806,-177.424434801,0.0101044,-114.499351383,100,-0.00143706798553,0.0276806,23.9455,244.8675093650818,900,1.0,180000,200.0,10.46451473236084,0.809229,,-92.01895141601562
0.0269184,-148.816201215,0.0101347,-96.8844545661,100,-0.00454890727997,0.0269184,24.3556,260.4190912246704,1000,1.0,200000,200.0,21.31287956237793,0.71268,,-73.16974639892578
0.0235758,-124.504761869,0.0101745,-81.9518029419,100,-0.00521659851074,0.0235758,24.3968,277.09164214134216,1100,1.0,220000,200.0,3.8919694423675537,0.615112,,-70.9914321899414
0.0231084,-102.119071861,0.010134,-67.0764131308,100,-0.00373327732086,0.0231084,24.0601,293.3891053199768,1200,1.0,240000,200.0,2.4375174045562744,0.518394,,-58.6933708190918
0.0202094,-83.1217094295,0.0101396,-55.3484425409,100,-0.00163352489471,0.0202094,24.0436,309.55448842048645,1300,1.0,260000,200.0,7.905173301696777,0.421398,,-42.841793060302734
0.018853,-72.4836033302,0.0101744,-48.7377868364,100,8.40425491333e-05,0.018853,24.3955,325.74921107292175,1400,1.0,280000,200.0,3.582474946975708,0.32381,,-39.6508674621582
0.0166561,-62.4446025175,0.0101744,-42.3600276284,100,-0.000328302383423,0.0166561,24.3948,342.05964064598083,1500,1.0,300000,200.0,3.511708974838257,0.226231,,-35.70819091796875
0.013026,-51.3673026038,0.0100186,-35.2985676626,100,7.59959220886e-05,0.013026,23.917,358.3332107067108,1600,1.0,320000,200.0,2.18595290184021,0.130566,,-25.689077377319336
0.01053,-43.5351947463,0.0101653,-30.3645915769,100,0.000211834907532,0.01053,24.3064,374.93202090263367,1700,1.0,340000,200.0,2.3788139820098877,0.0330811,,-25.54159164428711
0.00746482,-38.2866164903,0.00966807,-27.3796813205,100,0.000808537006378,0.00746482,21.1619,391.6445150375366,1800,1.0,360000,200.0,7.849057674407959,-0.0595142,,-25.237886428833008
0.00953772,-34.9584853868,0.00951394,-25.5165749618,100,0.00132828950882,0.00953772,20.2901,408.663467168808,1900,1.0,380000,200.0,2.3814406394958496,-0.151162,,-19.769346237182617
0.0071397,-29.1886104424,0.00976097,-21.2111815493,100,0.000426590442657,0.0071397,21.2734,425.99002742767334,2000,1.0,400000,200.0,2.2782604694366455,-0.245036,,-16.538196563720703
