ESSRenyi,MaxNormIw,VarVanillaIw,AvgNormIw,BatchSize,ESSClassic,VanillaAvgRet,VarDiscRet,J,AvgEpLen,VarRet,MinVanillaIw,AvgDiscRet,VarNormIw,MaxVanillaIw,AvgRet,Bound,AvgVanillaIw,MinNormIw,eRenyi2,VarJ
100.0,0.01,,0.009999998,100,100.0,3111.875333104247,2678500.4474253394,,312.0,2678500.4474253394,1.0,-7.344169716816395e-13,3.5044917e-18,1.0,-7.344169716816395e-13,-137.64403,1.0,0.01,1.0,1628.4088
100.0,0.01,,0.009999998,100,100.0,3483.389689533811,2466066.436397703,1.9073486e-06,349.07,2466066.436397703,1.0,4.911271389573813e-13,3.5044917e-18,1.0,4.911271389573813e-13,-132.07295,1.0,0.01,1.0,1562.4999
100.0,0.01,,0.009999998,100,100.0,3566.2050143866386,2447691.125807514,-3.8146973e-06,357.34,2447691.125807514,1.0,4.5474735088646414e-14,3.5044917e-18,1.0,4.5474735088646414e-14,-131.57997,1.0,0.01,1.0,1556.6676
100.0,0.01,,0.009999998,100,100.0,3440.227925118766,2616269.4784947988,-9.536743e-06,344.71,2616269.4784947988,1.0,-9.094947017729283e-14,3.5044917e-18,1.0,-9.094947017729283e-14,-136.03569,1.0,0.01,1.0,1609.3809
100.0,0.01,,0.009999998,100,100.0,3045.6696627867004,2689164.9335126616,7.6293945e-06,305.4,2689164.9335126616,1.0,6.048139766789973e-13,3.5044917e-18,1.0,6.048139766789973e-13,-137.91776,1.0,0.01,1.0,1631.6475
100.0,0.01,,0.009999998,100,100.0,3469.501710478088,2363269.5060819886,-1.9073486e-06,347.67,2363269.5060819886,1.0,-5.0022208597511053e-14,3.5044917e-18,1.0,-5.0022208597511053e-14,-129.29095,1.0,0.01,1.0,1529.5872
100.0,0.01,,0.009999998,100,100.0,3267.105676653662,2300410.9360251795,-1.9073486e-06,327.54,2300410.9360251795,1.0,5.093170329928399e-13,3.5044917e-18,1.0,5.093170329928399e-13,-127.55992,1.0,0.01,1.0,1509.1079
100.0,0.01,,0.009999998,100,100.0,3133.7500350366436,2847394.217120457,-9.536743e-06,314.18,2847394.217120457,1.0,4.0472514228895307e-13,3.5044917e-18,1.0,4.0472514228895307e-13,-141.91728,1.0,0.01,1.0,1678.964
100.0,0.01,,0.009999998,100,100.0,3308.1958437788458,2794088.4122786955,-1.1444092e-05,331.58,2794088.4122786955,1.0,-7.73070496506989e-14,3.5044917e-18,1.0,-7.73070496506989e-14,-140.58261,1.0,0.01,1.0,1663.174
100.0,0.01,,0.009999998,100,100.0,3170.1603686125513,2682192.894262276,-2.193451e-05,317.78,2682192.894262276,1.0,3.183231456205249e-14,3.5044917e-18,1.0,3.183231456205249e-14,-137.73886,1.0,0.01,1.0,1629.5309
