J,EpsThisIter,MaxVanillaIw,IterType,VarRet,VarJ,MinVanillaIw,MaxNormIw,eRenyi2,Bound,VarVanillaIw,AvgNormIw,AvgDiscRet,AvgRet,VarNormIw,AvgVanillaIw,MinNormIw,ESSRenyi,BatchSize,ESSClassic,VarDiscRet,VanillaAvgRet,AvgEpLen
362.54453,100,85.578354,1,8461.533767404411,663.64825,3.4635614e-09,0.542459,13.5773535,213.73431,76.62942,0.01,97.23881347052911,97.23881347052911,0.003078942,1.5776004,2.1954619e-11,7.3652056099061545,100,3.1764663157595274,8461.533767404411,97.23881347052911,10.73
4197.613,100,99.335365,1,636703.1752693742,4949.59,1.0673109e-10,0.47016582,22.858559,2185.6953,143.91678,0.01,507.32929646082454,507.32929646082454,0.0032240797,2.112773,5.0517067e-13,4.374729024267077,100,3.037816439926673,636703.1752693742,507.32929646082454,51.73
4668.519,100,14.210457,1,3464160.866994447,1211.9589,4.3142204e-10,0.1222111,5.6704006,3666.4595,6.3188663,0.01,2302.664779741035,2302.664779741035,0.0004673524,1.1627796,3.710265e-12,17.63543825386665,100,17.77212864289394,3464160.866994447,2302.664779741035,231.04
4925.126,100,3.055963,1,1766602.7137575469,253.31465,4.0154577e-05,0.031968433,1.6091462,4391.319,0.7208888,0.01,4346.434595728201,4346.434595728201,7.88887e-05,0.9559315,4.2005706e-07,62.144755819851646,100,56.148291064249314,1766602.7137575469,4346.434595728201,434.92
4986.111,100,1.4545343,1,328886.09100741235,81.24873,0.11873244,0.014936229,1.0783212,4549.132,0.08717842,0.01,4909.294521064977,4909.294521064977,9.192699e-06,0.9738296,0.0012192321,92.73674512310608,100,91.65838128688482,328886.09100741235,4909.294521064977,490.97
4979.6284,100,1.3118194,1,114472.4603410399,156.99458,0.3019094,0.013238644,1.0495638,4548.5156,0.05457296,0.01,4952.8756724984405,4952.8756724984405,5.5579712e-06,0.99090165,0.0030468148,95.2776794365622,100,94.78460231080211,114472.4603410399,4952.8756724984405,495.32
4999.902,100,1.0,1,0.014226406267496581,0.11865277,1.0,0.01,1.0,4579.0913,,0.009999998,4999.901358853705,4999.901358853705,3.5044917e-18,1.0,0.01,100.0,100,100.0,0.014226406267496581,4999.901358853705,500.0
4934.0225,100,1.0,,0.014226406267496581,493.98065,1.0,0.01,1.0,4513.212,,0.009999998,4934.022431149259,4999.901358853705,3.5044917e-18,1.0,0.01,200.0,200,100.0,246481.69884083615,4999.901358853705,500.0
4994.4985,100,1.2680261,1,72995.40859185926,76.56852,0.2848738,0.006300129,1.0292577,4692.619,0.025869628,0.005,4980.801187444503,4980.801187444503,6.3860546e-07,1.0063493,0.0014153824,194.3148044617357,200,195.04268383418463,72995.40859185926,4980.801187444503,498.095
4999.897,100,1.0,2,0.009464299552493418,0.09679736,1.0,0.01,1.0,4579.0864,,0.009999998,4999.8969996374435,4999.8969996374435,3.5044917e-18,1.0,0.01,200.0,200,100.0,0.009464299552493418,4999.8969996374435,500.0
4995.2295,100,1.1991729,1,40645.1676233981,66.226456,0.3260767,0.0060347705,1.019822,4694.737,0.022592653,0.0049999994,4985.650184229573,4985.650184229573,5.721701e-07,0.993553,0.0016409627,196.11265467328792,200,195.54695728898398,40645.1676233981,4985.650184229573,498.58
4960.0874,100,1.0,2,93071.53269494792,303.5471,1.0,0.01,1.0,4539.277,,0.009999998,4960.08746032739,4960.08746032739,3.5044917e-18,1.0,0.01,200.0,200,100.0,93071.53269494792,4960.08746032739,496.04
4963.2217,100,3.066763,,40645.1676233981,330.24246,0.83390814,0.014705984,1.0266558,4661.724,0.06840805,0.005,4959.15323882161,4985.650184229573,1.5730226e-06,1.0426922,0.003998822,292.21088702752706,300,188.21645829267328,132825.1886249252,4985.650184229573,498.58
