eRenyi2,AvgRet,EpsThisIter,AvgDiscRet,AvgVanillaIw,Bound,VarDiscRet,AvgEpLen,J,Delta,IterType,ESSClassic,MinVanillaIw,VanillaAvgRet,MaxVanillaIw,VarNormIw,MaxNormIw,ESSRenyi,VarRet,AvgNormIw,MinNormIw,VarVanillaIw,BatchSize,VarJ
2.5392022,-1743.3246030328082,100,-1743.3246030328082,1.1264112,-821.7592,4510235.975432037,200.0,-72.46748,0.6,1,44.64189564419897,3.8091276e-08,-1743.3246030328082,3.5565507,0.00012525737,0.03157418,39.38244834409465,4510235.975432037,0.01,3.381649e-10,1.5892682,100,173.86499
1.1961961,-177.27178687876858,100,-177.27178687876858,0.89260584,-284.98392,434509.35710623424,200.0,-17.280804,0.6,1,76.77013701940787,0.016979389,-177.27178687876858,1.4899058,3.0564646e-05,0.016691644,83.598334532539,434509.35710623424,0.010000002,0.0001902227,0.24352232,100,37.823498
1.0914179,-10.202216124059941,100,-10.202216124059941,1.0523674,-17.15175,135.77307660364488,200.0,-9.103143,0.6,1,93.21937559641906,0.17493047,-10.202216124059941,1.2922157,7.3472897e-06,0.01227913,91.6239317732981,135.77307660364488,0.01,0.0016622565,0.08136956,100,7.7541966
1.3305908,-9.25443678510793,100,-9.25443678510793,1.0154014,-10.891718,69.85771094423447,200.0,-8.190575,0.6,1,76.1031577951906,0.001066492,-9.25443678510793,1.722067,3.171777e-05,0.01695947,75.15458297291522,69.85771094423447,0.01,1.0503158e-05,0.32702285,100,8.397373
1.1536655,-8.790289019285765,100,-8.790289019285765,0.98864627,-10.77221,60.257847075721585,200.0,-8.492963,0.6,1,87.75504160544381,0.7284085,-8.790289019285765,2.98214,1.4094502e-05,0.030163875,86.68023470165478,60.257847075721585,0.01,0.0073677367,0.13776267,100,8.027384
1.1878281,-7.364758124656467,100,-7.364758124656467,1.025385,-9.2148,50.82290603193241,200.0,-7.007731,0.6,1,85.56561598715537,0.07341387,-7.364758124656467,1.4733052,1.7039782e-05,0.0143683115,84.18726837132526,50.82290603193241,0.01,0.00071596395,0.1791587,100,7.1048083
1.0080067,-7.1928117539854926,100,-7.1928117539854926,0.98227346,-9.15388,43.36851956132724,200.0,-7.174312,0.6,1,99.749130369267,0.94195265,-7.1928117539854926,1.2044686,2.5404813e-07,0.012262049,99.20569059741788,43.36851956132724,0.01,0.009589515,0.002451212,100,6.545625
1.4736091,-9.041918963579269,100,-9.041918963579269,0.979665,-10.963121,66.89452224705964,200.0,-8.148217,0.6,1,67.06982336470865,0.0010989142,-9.041918963579269,2.0272593,4.9594302e-05,0.020693393,67.86060203393933,66.89452224705964,0.009999999,1.1217245e-05,0.47597805,100,8.894161
1.08542,-9.204923361741486,100,-9.204923361741486,0.9534798,-11.261049,56.555947391491614,200.0,-8.976302,0.6,1,92.29239323620446,0.31055826,-9.204923361741486,1.5086117,8.435663e-06,0.015822167,92.13023424182522,56.555947391491614,0.010000002,0.0032571035,0.07669063,100,7.290527
1.0863702,-7.287820440304676,100,-7.287820440304676,0.9888125,-9.201966,53.48862833686333,200.0,-7.091963,0.6,1,95.13351906827161,0.8121063,-7.287820440304676,2.0493684,5.1671013e-06,0.020725552,92.04965053734533,53.48862833686333,0.01,0.008212945,0.050521336,100,7.277374
1.305782,-7.951327275459732,100,-7.951327275459732,1.1133832,-9.473645,54.82318738379682,200.0,-7.277317,0.6,1,82.12907403012711,0.01862019,-7.951327275459732,1.6746609,2.1979367e-05,0.015041191,76.58246401464784,54.82318738379682,0.009999999,0.00016723972,0.2724611,100,7.7482567
1.3665748,-7.825734073811514,100,-7.825734073811514,0.9550129,-9.340145,50.013513244002624,200.0,-7.028939,0.6,1,72.5447976598013,0.06873245,-7.825734073811514,2.2259824,3.822814e-05,0.023308402,73.175652453056,50.013513244002624,0.01,0.00071970175,0.34865966,100,8.351809
1.1199116,-8.36058885137239,100,-8.36058885137239,1.0474594,-10.164499,54.276729706438154,200.0,-8.130521,0.6,1,89.30062712877361,0.6154975,-8.36058885137239,2.1512978,1.2102332e-05,0.020538246,89.29276590481302,54.276729706438154,0.01,0.0058760997,0.13278331,100,7.5119123
1.0048548,-7.446766721411045,100,-7.446766721411045,1.0061556,-9.411656,48.151194831397206,200.0,-7.439637,0.6,1,99.64717227585326,0.72592354,-7.446766721411045,1.0530357,3.576582e-07,0.010465933,99.51686568794945,48.151194831397206,0.01,0.0072148237,0.00362075,100,6.9592957
1.7733377,-8.633199841362945,100,-8.633199841362945,1.068413,-10.072464,54.45251662156431,200.0,-7.356863,0.6,1,61.032106069969714,0.0016834734,-8.633199841362945,2.6935134,6.449311e-05,0.025210414,56.390837892461164,54.45251662156431,0.01,1.5756767e-05,0.7361929,100,8.229527
6.4612722,-8.181645778358922,100,-8.181645778358922,0.5973498,-9.511936,51.36484645639365,200.0,-4.6355844,0.6,1,9.942845147879225,,-8.181645778358922,9.129484,0.0009148972,0.15283313,15.476828137003912,51.36484645639365,0.01,,3.264599,100,13.234049
1.1907631,-8.388908008225354,100,-8.388908008225354,1.0037802,-10.184445,44.99139861014558,200.0,-8.074407,0.6,1,86.08234524342457,0.6379552,-8.388908008225354,3.4089072,1.6331162e-05,0.03396069,83.97975942163484,44.99139861014558,0.01,0.0063555264,0.1645487,100,7.338282
1.0923595,-8.262847702419204,100,-8.262847702419204,1.0634334,-10.14564,60.36813280847742,200.0,-8.116638,0.6,1,93.24943117852042,0.2531342,-8.262847702419204,1.4137318,7.312379e-06,0.013294033,91.54495024541174,60.36813280847742,0.010000002,0.0023803483,0.082694985,100,7.94728
1.2752776,-7.249906535189382,100,-7.249906535189382,0.94029325,-8.857512,52.664462506909935,200.0,-6.6881027,0.6,1,77.14599680431598,0.10338709,-7.249906535189382,1.9112073,2.9923593e-05,0.020325651,78.41429885984077,52.664462506909935,0.01,0.0010995195,0.26456988,100,7.611481
