MinNormIw,VarRet,MinVanillaIw,Bound,AvgVanillaIw,AvgDiscRet,VanillaAvgRet,MaxVanillaIw,ESSClassic,AvgNormIw,AvgRet,eRenyi2,BatchSize,J,VarJ,VarNormIw,ESSRenyi,MaxNormIw,VarDiscRet,AvgEpLen,VarVanillaIw
4.64627e-40,10750.081092304059,7.624917e-38,527.45325,1.6410806,113.6349957747497,113.6349957747497,160.76376,1.041988632698871,0.01,113.6349957747497,54.960365,100,592.0993,79.92022,0.009592965,1.8194930012292183,0.97962135,10750.081092304059,12.37,258.3525
2.6361743e-33,189957.45306630988,3.53986e-31,2840.5278,1.3428019,450.41465667485375,450.41465667485375,132.38225,1.028855363504171,0.01,450.41465667485375,51.127113,100,3102.6267,373.65845,0.009716709,1.9559093690762719,0.9858658,189957.45306630988,46.06,175.20358
,769136.0420341957,,3612.3364,2.2907236,929.3923969746472,929.3923969746472,220.4523,1.0794942441714055,0.01,929.3923969746472,51.67903,100,4142.5737,1117.5574,0.009256162,1.935020787832423,0.96236974,769136.0420341957,93.96,485.70895
,2346488.8886468727,,4505.996,1.0692581,2916.3393430951983,2916.3393430951983,15.921307,9.358416762192498,0.01,2916.3393430951983,10.437819,100,4922.2188,396.14255,0.0009783403,9.580545948293835,0.1489005,2346488.8886468727,292.44,11.1854925
8.5674756e-08,879725.5876722474,8.300697e-06,4839.8013,0.96886146,4647.0652861850585,4647.0652861850585,5.50094,33.14385943537923,0.01,4647.0652861850585,2.7796786,100,4971.3184,135.68779,0.00020375251,35.975382408009324,0.05677736,879725.5876722474,465.01,1.9126097
2.6018554e-08,3412.643716927821,2.5928944e-06,4993.0747,0.99655586,4990.855318667867,4990.855318667867,2.229228,70.07896149164567,0.01,4990.855318667867,1.4375253,100,4998.9653,2.2848392,4.3127435e-05,69.56399440211311,0.022369323,3412.643716927821,499.19,0.42830873
0.00024225662,139494.38312773532,0.024028007,4961.411,0.99184114,4953.401772297142,4953.401772297142,2.0118086,75.34635474121079,0.01,4953.401772297142,1.3044606,100,4997.287,11.991989,3.305095e-05,76.66003601152157,0.020283578,139494.38312773532,495.46,0.32513836
1.5853071e-31,0.5747059754211166,1.5595085e-29,4999.724,0.9837265,4999.225752192789,4999.225752192789,40.98526,4.485160669629728,0.01,4999.225752192789,1.0026413,100,4999.788,0.75952137,0.0021510855,99.73656379651554,0.41663268,0.5747059754211166,500.0,20.816439
6.925556e-05,172.5752075335278,0.007218614,4998.216,1.0423155,4997.588177461145,4997.588177461145,2.261907,71.18850944686547,0.01,4997.588177461145,1.3946979,100,4999.5205,0.7788684,4.0880892e-05,71.70011489307217,0.021700792,172.5752075335278,499.83,0.4441388
,0.28087358810617047,,4999.7246,0.6813339,4999.484174233425,4999.484174233425,40.6969,2.5760751762763228,0.01,4999.484174233425,1.0013431,100,4999.769,1.627777,0.0038200743,99.86586705159303,0.5973121,0.28087358810617047,500.0,17.733395
1.2566609e-06,249955.48442983258,0.000115403294,4945.8896,0.9183328,4949.557560665804,4949.557560665804,2.1465082,62.10798055962517,0.009999999,4949.557560665804,1.4752885,100,4996.9614,25.597208,6.16262e-05,67.78335173106925,0.023373969,249955.48442983258,495.01,0.51971537
9.3817645e-05,50.02248403807729,0.009826167,4998.903,1.0473686,4998.901793079687,4998.901793079687,1.8420045,80.26092316871735,0.010000002,4998.901793079687,1.2705818,100,4999.573,0.5257539,2.4842044e-05,78.70409975668986,0.017586973,50.02248403807729,499.94,0.27251256
