AvgNormIw,VarNormIw,Bound,VanillaAvgRet,AvgDiscRet,J,VarVanillaIw,ESSClassic,VarJ,MinNormIw,MaxNormIw,BatchSize,ESSRenyi,eRenyi2,AvgEpLen,MinVanillaIw,MaxVanillaIw,AvgVanillaIw,VarDiscRet,VarRet,AvgRet
0.01,0.007632625,343.7944,113.33971806407222,113.33971806407222,668.2731,43.0425,1.3061143734365896,656.15344,3.1209024e-24,0.874262,100,3.683679430068421,27.14677,12.34,2.3436457e-22,65.65282,0.7509513,17647.03692024444,17647.03692024444,113.33971806407222
0.009999999,0.0008610367,383.55768,312.47734966280024,312.47734966280024,685.0853,13.698713,10.49949997704767,640.974,9.591192e-11,0.21017744,100,15.484796648851457,6.4579473,32.26,1.2097667e-08,26.51033,1.261331,64196.12733541281,64196.12733541281,312.47734966280024
0.010000002,0.005795343,931.1456,637.1864235676636,637.1864235676636,2131.7756,61.773674,1.713095120076228,2889.5962,2.1584537e-33,0.758664,100,3.046427974181876,32.82533,64.74,2.2284606e-31,78.327034,1.0324337,174386.7315912363,174386.7315912363,637.1864235676636
0.010000002,0.006179644,2730.0742,1222.5869945239497,1222.5869945239497,4212.297,323.4001,1.6082743654092235,6427.715,1.0856342e-25,0.78650826,100,8.05773422638986,12.410437,123.28,2.4835446e-23,179.9251,2.2876441,476948.1687945412,476948.1687945412,1222.5869945239497
0.01,0.0078075468,2408.2285,1378.5744743216708,1378.5744743216708,4635.56,29.355623,1.2772257726244935,3482.2234,,0.883373,100,3.569399760682029,28.015915,138.88,,54.166718,0.6131806,613764.4842026634,613764.4842026634,1378.5744743216708
0.01,0.001615018,2989.5605,2072.51866984916,2072.51866984916,4358.2266,13.265958,5.886273651155812,2225.2712,4.6883628e-35,0.2567549,100,9.453082572393555,10.57856,208.25,4.2491483e-33,23.270163,0.9063181,1866969.8271039333,1866969.8271039333,2072.51866984916
0.01,0.0006844389,3256.8296,3154.391240090091,3154.391240090091,4314.1743,9.640846,12.860173439389973,2131.69,4.1457064e-20,0.19262856,100,15.839392198127749,6.3133736,316.36,4.920269e-18,22.861828,1.1868348,2061349.4639388295,2061349.4639388295,3154.391240090091
0.01,0.0028849107,3031.31,3030.750459773264,3030.750459773264,4190.597,47.24295,3.3828800416795923,4560.583,5.345556e-10,0.5339783,100,13.176197984256936,7.5894427,304.06,6.840617e-08,68.33229,1.279683,1708354.1005380603,1708354.1005380603,3030.750459773264
0.009999998,0.00051174324,3140.7559,3271.245829673714,3271.245829673714,4019.8196,4.7859716,16.48462871809158,2407.6003,1.4675513e-12,0.19842741,100,22.91555917068953,4.3638473,328.12,1.4192286e-10,19.18937,0.96707255,1536754.2875174335,1536754.2875174335,3271.245829673714
0.01,4.546306e-05,3045.8457,3397.5466350736374,3397.5466350736374,3553.6052,0.50894624,68.96151663901341,1513.05,0.00051474903,0.03164745,100,68.68403621289198,1.4559424,340.63,0.054463074,3.3484619,1.0580511,1940175.647262226,1940175.647262226,3397.5466350736374
0.01,0.0004898651,3202.0051,3396.8415267941764,3396.8415267941764,4108.588,4.392391,17.094997694172303,2115.1733,4.3061044e-10,0.11939079,100,21.5455826589226,4.6413226,340.6,4.0775266e-08,11.3053255,0.9469177,1954553.0393490514,1954553.0393490514,3396.8415267941764
