BatchSize,VarVanillaIw,ESSClassic,VanillaAvgRet,AvgRet,AvgDiscRet,MinVanillaIw,ESSRenyi,EpsThisIter,VarRet,MaxNormIw,Bound,IterType,VarNormIw,VarDiscRet,eRenyi2,J,Delta,AvgVanillaIw,VarJ,MinNormIw,MaxVanillaIw,AvgNormIw,AvgEpLen
100,,inf,-339.957669012,-339.957669012,-339.957669012,,7.33968117893e-06,100,18775.8601524,0.964718,-57.6576,1,0.00930716,18775.8601524,1.36246e+07,-57.6576,1.0,7.06494e-30,4.22053,,6.81567e-28,0.01,414.12
200,nan,nan,-339.957669012,-339.957669012,-65.3185631952,1.46721e+27,5.80625320522e+32,100,18775.8601524,nan,nan,,nan,1381.62802638,3.44456e-31,nan,1.0,inf,nan,nan,inf,nan,414.12
200,,inf,-319.468579258,-319.468579258,-319.468579258,,0.00623985110155,100,21928.9398697,0.998737,-57.3179,1,0.00498732,21928.9398697,32052.0,-57.3179,1.0,5.63935e-27,0.139657,,1.12645e-24,0.005,391.54
200,,100.0,-62.3779763126,-62.3779763126,-62.3779763126,1.0,200.0,100,1348.00729777,0.01,-62.378,2,3.50449e-18,1348.00729777,1.0,-62.378,1.0,1.0,36.5312,0.01,1.0,0.01,89.76
300,nan,nan,-319.468579258,-319.468579258,-63.676178887,8.87748e+23,2.29043297615e+12,100,21928.9398697,nan,nan,,nan,1359.75521966,1.3098e-10,nan,1.0,inf,nan,nan,inf,nan,391.54
300,1.77806e-17,1.0,-334.984866904,-334.984866904,-334.984866904,,0.00160177596911,100,19022.7531757,1.0,-57.3099,1,0.00333333,19022.7531757,187292.0,-57.3099,1.0,2.43451e-10,,,7.30354e-08,0.00333333,409.63
300,,100.0,-70.733582074,-70.733582074,-70.733582074,1.0,300.0,100,3816.80211472,0.01,-70.7336,2,3.50449e-18,3816.80211472,1.0,-70.7336,1.0,1.0,61.4706,0.01,1.0,0.01,99.88
300,,200.000000102,-70.6516553286,-70.6516553286,-70.6516553286,1.0,300.0,100,3831.28535046,0.005,-70.6926,2,2.1793e-19,3831.28535046,1.0,-70.6926,1.0,1.0,61.5289,0.005,1.0,0.005,100.03
400,nan,nan,-334.984866904,-334.984866904,-63.3233845583,1.3692e+07,1.69469928282e+14,100,19022.7531757,nan,nan,,nan,1350.18591631,2.3603e-12,nan,1.0,inf,nan,nan,inf,nan,409.63
400,3.98266e-10,1.0,-312.950046531,-312.950046531,-312.950046531,,0.00144829146866,100,24218.7599553,1.0,-57.3099,1,0.0025,24218.7599553,276188.0,-57.3099,1.0,9.9783e-07,5.48904e-08,,0.000399132,0.0025,382.91
