eRenyi2,VarVanillaIw,VarNormIw,AvgNormIw,AvgVanillaIw,BatchSize,MinVanillaIw,J,EpsThisIter,VarJ,AvgEpLen,ESSClassic,IterType,VarDiscRet,Delta,AvgRet,MaxVanillaIw,Bound,VarRet,AvgDiscRet,VanillaAvgRet,MinNormIw,MaxNormIw,ESSRenyi
2.08712,1466.93,0.00657315,0.01,4.72409,100,0.116304,4185.71,100,4031.23,217.85,1.51345171016,1,603845.262506,0.1,1998.20021822,383.855,2158.24,603845.262506,1998.20021822,1998.20021822,0.000246193,0.812548,47.9129669319
1.78337,1.84538,6.17681e-05,0.01,1.72847,200,0.00260515,2118.61,100,923.242,217.85,62.0538024626,,696606.522661,0.1,1998.20021822,8.59817,247.691,603845.262506,2088.04120779,1998.20021822,1.5072e-05,0.0497445,112.147060825
2.95225,1765.46,0.0028814,0.005,3.91379,200,0.0441421,4087.78,100,6375.44,217.74,1.72891068589,1,620853.806536,0.1,1995.13978301,595.036,2382.71,620853.806536,1995.13978301,1995.13978301,5.63931e-05,0.76018,67.7450058639
1.0,,3.50449e-18,0.01,1.0,200,1.0,2109.18,100,819.403,229.79,100.0,2,678203.305761,0.1,2109.17743656,1.0,710.139,678203.305761,2109.17743656,2109.17743656,0.01,0.01,200.0
2.14102,7.45049,3.51548e-05,0.005,2.30181,300,0.00168057,2115.66,100,1164.21,217.74,83.3624856554,,879084.494705,0.1,1995.13978301,22.6541,668.142,620853.806536,2155.73298231,1995.13978301,3.65053e-06,0.0492092,140.119860501
3.58113,1831.34,0.00177157,0.00333333,3.38909,300,0.00612022,3992.01,100,8702.53,199.54,1.87605185945,1,531288.754864,0.1,1829.06528151,741.954,2458.7,531288.754864,1829.06528151,1829.06528151,6.01953e-06,0.729747,83.7724677792
1.0,,3.50449e-18,0.01,1.0,300,1.0,2242.13,100,1064.98,243.87,100.0,2,1145642.94437,0.1,2242.13097569,1.0,840.119,1145642.94437,2242.13097569,2242.13097569,0.01,0.01,300.0
1.0,,2.1793e-19,0.005,1.0,300,1.0,2125.95,100,958.823,219.03,200.000000102,2,684344.873136,0.1,2009.76546478,1.0,1134.58,684344.873136,2009.76546478,2009.76546478,0.005,0.005,300.0
2.54873,96.0547,0.000116679,0.00333333,3.02442,400,0.00134779,2270.26,100,1945.54,199.54,26.1640905015,,825005.170297,0.1,1829.06528151,163.393,977.994,531288.754864,2143.68413486,1829.06528151,1.48546e-06,0.180082,156.940914195
4.46861,2218.81,0.00129044,0.0025,3.27818,400,0.000982295,3983.01,100,10022.2,210.19,1.93280251292,1,550527.416008,0.1,1927.72852041,942.782,2499.69,550527.416008,1927.72852041,1927.72852041,7.49116e-07,0.718983,89.5132880997
1.0,,3.50449e-18,0.01,1.0,400,1.0,2214.94,100,990.278,240.93,100.0,2,990555.245865,0.1,2214.93521688,1.0,817.421,990555.245865,2214.93521688,2214.93521688,0.01,0.01,400.0
1.0,,2.1793e-19,0.005,1.0,400,1.0,2332.43,100,1022.24,266.78,200.000000102,2,1092599.14083,0.1,2449.93090485,1.0,1341.0,1092599.14083,2449.93090485,2449.93090485,0.005,0.005,400.0
1.0,,5.43914e-20,0.00333333,1.0,400,1.0,2286.84,100,987.469,239.19,299.999969474,2,831192.288873,0.1,2195.66905903,1.0,1477.34,831192.288873,2195.66905903,2195.66905903,0.00333333,0.00333333,400.0
4.49132,2644.5,0.000390665,0.0025,6.50444,500,0.00106069,1884.03,100,6127.15,210.19,6.31410938654,,1033693.58745,0.1,1927.72852041,1018.02,397.092,550527.416008,2477.11101573,1927.72852041,4.0768e-07,0.391281,111.32596119
5.21282,2533.76,0.00100235,0.002,3.17983,500,0.000491592,3972.5,100,11201.1,209.76,1.99135591834,1,546469.77198,0.1,1924.93065558,1126.21,2539.54,546469.77198,1924.93065558,1924.93065558,3.09194e-07,0.708349,95.9173193176
1.0,,3.50449e-18,0.01,1.0,500,1.0,2279.01,100,918.358,247.88,100.0,2,851900.699667,0.1,2279.01438161,1.0,877.98,851900.699667,2279.01438161,2279.01438161,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,2273.33,100,961.4,246.93,200.000000102,2,1015287.81715,0.1,2267.64860465,1.0,1281.36,1015287.81715,2267.64860465,2267.64860465,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,2291.08,100,1007.63,253.44,299.999969474,2,1207579.97415,0.1,2326.58309625,1.0,1481.14,1207579.97415,2326.58309625,2326.58309625,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,2285.22,100,983.212,246.85,400.0,2,828721.903301,0.1,2267.62494586,1.0,1583.79,828721.903301,2267.62494586,2267.62494586,0.0025,0.0025,500.0
4.5308,87.456,0.000168281,0.002,1.44181,500,5.10316e-06,3448.49,100,7193.98,242.82,11.6316480162,1,1040942.19387,0.1,2231.61460929,205.042,2113.08,1040942.19387,2231.61460929,2231.61460929,7.07885e-09,0.284424,110.355732257
1.0,,3.50449e-18,0.01,1.0,500,1.0,2903.61,100,1107.89,315.78,100.0,2,1239808.15029,0.1,2903.61041972,1.0,1500.77,1239808.15029,2903.61041972,2903.61041972,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,3015.2,100,1078.4,338.82,200.000000102,2,1084441.61674,0.1,3126.78633947,1.0,2023.24,1084441.61674,3126.78633947,3126.78633947,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,2907.6,100,1097.45,292.92,299.999969474,2,1230108.48504,0.1,2692.41071159,1.0,2097.67,1230108.48504,2692.41071159,2692.41071159,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,2867.96,100,1084.06,298.69,400.0,2,1079460.42514,0.1,2749.02986381,1.0,2166.41,1079460.42514,2749.02986381,2749.02986381,0.0025,0.0025,500.0
2.4811,2.01348,6.99151e-06,0.002,1.07329,500,0.000119113,3596.09,100,1704.93,328.06,182.190351467,1,1120618.20634,0.1,3021.98638739,10.6622,2607.71,1120618.20634,3021.98638739,3021.98638739,2.21958e-07,0.0198683,201.523627293
1.0,,3.50449e-18,0.01,1.0,500,1.0,3629.85,100,990.957,394.04,100.0,2,991914.998108,0.1,3629.85154949,1.0,2226.03,991914.998108,3629.85154949,3629.85154949,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,3626.44,100,1050.8,393.12,200.000000102,2,1238723.63978,0.1,3623.01894118,1.0,2633.78,1238723.63978,3623.01894118,3623.01894118,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,3556.66,100,1096.68,371.14,299.999969474,2,1384427.85714,0.1,3417.12041102,1.0,2746.14,1384427.85714,3417.12041102,3417.12041102,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,3576.22,100,1091.98,394.53,400.0,2,1168668.11715,0.1,3634.88355535,1.0,2874.28,1168668.11715,3634.88355535,3634.88355535,0.0025,0.0025,500.0
1.96217,1.1757,4.23131e-06,0.002,1.05424,500,0.00203637,4176.0,100,884.01,385.91,243.224577124,1,1287906.18189,0.1,3555.58533031,5.48204,3296.56,1287906.18189,3555.58533031,3555.58533031,3.86318e-06,0.0103999,254.820258723
1.0,,3.50449e-18,0.01,1.0,500,1.0,4184.13,100,845.909,453.7,100.0,2,722789.073522,0.1,4184.13236324,1.0,2780.25,722789.073522,4184.13236324,4184.13236324,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,4161.77,100,821.621,448.42,200.000000102,2,639959.673814,0.1,4139.40848301,1.0,3169.08,639959.673814,4139.40848301,4139.40848301,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,4133.56,100,840.607,442.13,299.999969474,2,772691.61409,0.1,4077.14101427,1.0,3323.03,772691.61409,4077.14101427,4077.14101427,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,4135.49,100,841.161,448.95,400.0,2,717478.388235,0.1,4141.27637472,1.0,3433.55,717478.388235,4141.27637472,4141.27637472,0.0025,0.0025,500.0
1.32737,0.339294,1.36771e-06,0.002,0.996142,500,0.0124371,4370.67,100,553.694,446.89,372.788529087,1,797736.764223,0.1,4131.25208171,3.09834,3647.33,797736.764223,4131.25208171,4131.25208171,2.49705e-05,0.00622067,376.68416765
1.0,,3.50449e-18,0.01,1.0,500,1.0,4275.16,100,743.75,462.01,100.0,2,558751.934451,0.1,4275.16116075,1.0,2871.76,558751.934451,4275.16116075,4275.16116075,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,4352.01,100,664.531,478.52,200.000000102,2,321441.972688,0.1,4428.86280962,1.0,3359.65,321441.972688,4428.86280962,4428.86280962,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,4358.32,100,689.893,472.97,299.999969474,2,549913.405511,0.1,4370.938668,1.0,3547.85,549913.405511,4370.938668,4370.938668,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,4366.87,100,688.023,474.24,400.0,2,469462.823162,0.1,4392.4995015,1.0,3664.97,469462.823162,4392.4995015,4392.4995015,0.0025,0.0025,500.0
1.17473,0.175975,6.80815e-07,0.002,1.01681,500,0.112424,4481.55,100,434.697,466.74,427.400338865,1,527710.398691,0.1,4314.55755131,1.99689,3801.12,527710.398691,4314.55755131,4314.55755131,0.00022113,0.00392774,425.628746307
1.0,,3.50449e-18,0.01,1.0,500,1.0,4499.24,100,462.154,485.97,100.0,2,215743.35089,0.1,4499.24362317,1.0,3096.9,215743.35089,4499.24362317,4499.24362317,0.01,0.01,500.0
