J,MaxVanillaIw,AvgNormIw,MinVanillaIw,MinNormIw,AvgRet,ESSClassic,BatchSize,AvgEpLen,AvgVanillaIw,MaxNormIw,ESSRenyi,VarJ,VarDiscRet,AvgDiscRet,VarRet,VarVanillaIw,eRenyi2,VanillaAvgRet,VarNormIw,Bound
393.69345,523692.6,0.01,,,-2.9416469260468145e-14,1.0,100,12.62,5236.926,1.0,0.0005812676157010919,,5068.28010698178,-2.9416469260468145e-14,5068.28010698178,2742539300.0,172037.8,116.11656713830943,0.010000002,2061412.1
879.15106,259519.23,0.01,,,-2.2737367544323207e-14,1.0,100,51.07,2595.1924,1.0,0.0003517878297241368,,73026.08789121184,-2.2737367544323207e-14,73026.08789121184,673502340.0,284262.25,500.5047393464753,0.010000001,2280691.2
1234.6791,195512.4,0.01,,,-1.284661266254261e-13,1.0,100,73.5,1955.124,1.0,0.0013269651446687464,2.2174113e-14,170995.61519655364,-1.284661266254261e-13,170995.61519655364,382250980.0,75359.93,724.7429549759024,0.010000002,2412911.5
1135.9004,171125.88,0.01,,,-3.865352482534945e-14,1.0,100,126.42,1711.2588,1.0,0.0010507043659393166,4.0443686e-07,674763.014627652,-3.865352482534945e-14,674763.014627652,292840640.0,95174.25,1253.9065888330097,0.010000002,1941769.6
1829.0085,15489.546,0.01,,,1.6143530956469475e-13,1.0052941800867496,100,137.32,155.30548,0.9973599,0.0012714736250179918,37.237713,1214948.8934353695,1.6143530956469475e-13,1214948.8934353695,2399148.0,78648.9,1363.1910367760593,0.009946807,281002.44
1965.8751,30852.74,0.01,,,-1.887201506178826e-13,1.0,100,132.38,308.5274,1.0,nan,0.00028469274,1471062.6131273757,-1.887201506178826e-13,1471062.6131273757,9518913.0,nan,1313.9024651848888,0.0100000035,603424.06
3710.5466,182907.78,0.01,,,1.546140993013978e-13,1.0,100,129.92,1829.0778,1.0,nan,,1164587.704050654,1.546140993013978e-13,1164587.704050654,334552640.0,nan,1289.1002815956622,0.010000002,6783755.5
1877.6844,205034.81,0.01,,,3.410605131648481e-14,1.0,100,142.22,2050.3481,1.0,nan,7.3764556e-07,1017519.4608071703,3.410605131648481e-14,1017519.4608071703,420392700.0,nan,1412.0953039169372,0.010000002,3846887.5
1823.2511,60194.07,0.01,,,8.640199666842818e-14,1.8866424542388247,100,136.88,912.5458,0.659628,nan,7481.618,1427308.383430851,8.640199666842818e-14,1427308.383430851,43743410.0,nan,1359.0046515709269,0.005252951,1661569.1
1142.2092,25273.803,0.01,,,-3.183231456205249e-14,3.2103896303429917,100,142.29,737.8798,0.34251922,nan,11089.003,1500443.9689507445,-3.183231456205249e-14,1500443.9689507445,16580867.0,nan,1413.0058275134354,0.0030453403,841128.4
