EpsThisIter,VarNormIw,AvgVanillaIw,renyi2,VarJ,MaxVanillaIw,SamplesThisIter,Bound,MaxNormIw,AvgDiscRet,ESSRenyi,VarDiscRet,VarRet,IterType,delta,AvgEpLen,MinVanillaIw,VanillaAvgRet,ESSClassic,BatchSize,AvgRet,VarVanillaIw,AvgNormIw,J,MinNormIw
150,3.90202e-09,1.44799,nan,9220.58,31.3942,50000,4552.63,0.000803007,3329.02912778,nan,4362507.19438,4362507.19438,1,0.6,333.333333333,,3329.02912778,2.78220581645,100,3329.02912778,5.96418,3.7037e-05,878880.0,
140,3.62434e-09,1.35102,nan,7187.13,16.9784,50000,4544.1,0.000498694,3567.33550331,nan,4063374.17438,4063374.17438,1,0.6,357.142857143,,3567.33550331,2.54496114708,100,3567.33550331,4.20103,3.96825e-05,881897.0,
119,1.96465e-09,0.924837,nan,4387.59,8.72976,50000,4575.54,0.000440674,4199.48905509,nan,2985389.22213,2985389.22213,1,0.6,420.168067227,7.18222e-20,4199.48905509,2.29188531244,100,4199.48905509,0.770999,4.66853e-05,888492.0,3.62555e-24
116,1.77661e-09,0.957119,nan,4081.1,5.93007,50000,4576.67,0.000296731,4308.38596138,nan,2789442.34018,2789442.34018,1,0.6,431.034482759,6.48861e-30,4308.38596138,2.08827964273,100,4308.38596138,0.709554,4.78927e-05,889270.0,3.2468e-34
125,2.64675e-09,1.05295,nan,5034.19,10.9819,50000,4560.98,0.00046354,3997.06362303,nan,3304057.2166,3304057.2166,1,0.6,400.0,3.56162e-36,3997.06362303,2.61998028986,100,3997.06362303,1.48558,4.44444e-05,886287.0,1.50334e-40
116,1.92725e-09,1.05783,nan,4750.73,7.48111,50000,4563.2,0.000338703,4307.95182035,nan,2177601.47029,2177601.47029,1,0.6,431.034482759,9.17689e-26,4307.95182035,1.43047015957,100,4307.95182035,0.940229,4.78927e-05,886578.0,4.15478e-30
121,2.62295e-09,1.05204,nan,4696.23,7.1555,50000,4556.62,0.000312283,4129.36046308,nan,2182703.60327,2182703.60327,1,0.6,413.223140496,9.98062e-35,4129.36046308,2.67053296582,100,4129.36046308,1.37712,4.59137e-05,886275.0,4.35579e-39
131,3.67577e-09,1.09972,nan,5936.65,11.7985,50000,4524.32,0.00045499,3812.63218082,nan,2845666.66094,2845666.66094,1,0.6,381.679389313,,3812.63218082,2.27900747517,100,3812.63218082,2.47171,4.24088e-05,882174.0,
118,2.42165e-09,1.02544,nan,5531.63,7.65656,50000,4548.9,0.000351536,4234.36139083,nan,2218117.05358,2218117.05358,1,0.6,423.728813559,5.47436e-33,4234.36139083,2.07581286679,100,4234.36139083,1.14878,4.7081e-05,882830.0,2.51345e-37
137,2.61713e-09,0.940384,nan,6760.0,10.8359,50000,4565.38,0.000467269,3645.95228486,nan,4230560.74223,4230560.74223,1,0.6,364.96350365,,3645.95228486,2.98103646729,100,3645.95228486,1.40741,4.05515e-05,882483.0,
138,3.803e-09,1.09543,nan,7004.43,20.1352,50000,4540.11,0.000739979,3619.09423234,nan,3484748.74039,3484748.74039,1,0.6,362.31884058,,3619.09423234,3.42006109971,100,3619.09423234,2.81578,4.02576e-05,881351.0,
124,2.68563e-09,1.12647,nan,6007.79,7.67094,50000,4533.8,0.000305096,4028.48637368,nan,2510143.43389,2510143.43389,1,0.6,403.225806452,4.77449e-33,4028.48637368,2.12852822374,100,4028.48637368,1.69774,4.48029e-05,879637.0,1.89895e-37
123,2.37472e-09,0.998045,nan,5440.74,11.8665,50000,4562.12,0.000537023,4062.22462738,nan,2848685.49194,2848685.49194,1,0.6,406.504065041,,4062.22462738,1.97681587837,100,4062.22462738,1.15949,4.51671e-05,885167.0,
117,2.10411e-09,1.09593,nan,5082.54,8.78531,50000,4571.87,0.000380641,4271.29820047,nan,2338299.63417,2338299.63417,1,0.6,427.35042735,1.0929e-19,4271.29820047,1.88717035704,100,4271.29820047,1.12085,4.74834e-05,886864.0,4.73523e-24
121,2.4473e-09,1.0435,nan,4686.45,5.01706,50000,4555.71,0.00022075,4129.34855571,nan,2435560.72823,2435560.72823,1,0.6,413.223140496,1.01891e-35,4129.34855571,2.09382398526,100,4129.34855571,1.26411,4.59137e-05,886320.0,4.48317e-40
