ESSRenyi,VarRet,AvgEpLen,MinVanillaIw,Delta,AvgVanillaIw,AvgRet,Bound,J,eRenyi2,BatchSize,VarNormIw,MinNormIw,VarJ,ESSClassic,MaxNormIw,EpsThisIter,VarDiscRet,AvgDiscRet,IterType,AvgNormIw,VanillaAvgRet,MaxVanillaIw,VarVanillaIw
6.83085990743,22510.512621,388.34,,0.9,1.11613,-317.008742276,-175.262,-122.061,14.6394,100,0.00124415,,130.497,7.50916103945,0.205846,100,22510.512621,-317.008742276,1,0.01,-317.008742276,22.9752,15.499
23.2439509148,12526.3737115,214.8,2.41509e-06,0.9,1.02346,-160.784170979,-151.116,-122.276,4.30219,100,0.000349109,2.35973e-08,128.898,22.4407605761,0.0990701,100,12526.3737115,-160.784170979,1,0.01,-160.784170979,10.1394,3.65681
17.0645252687,12833.702632,191.67,,0.9,0.773536,-143.539789416,-120.243,-86.5828,5.86011,100,0.000655234,,33.9091,13.3568031666,0.121662,100,12833.702632,-143.539789416,1,0.01,-143.539789416,9.41099,3.92064
nan,12833.702632,191.67,0.106259,0.9,inf,-143.539789416,nan,nan,nan,200,nan,nan,nan,nan,nan,100,10851.439616,-131.334266019,,nan,-143.539789416,inf,nan
27.3941531764,13480.7136319,199.9,,0.9,0.965066,-150.932608048,-125.444,-98.8781,7.30083,200,0.000181698,,76.3863,24.2966393935,0.0710875,100,13480.7136319,-150.932608048,1,0.005,-150.932608048,13.7208,6.769
200.0,10737.9427741,175.16,1.0,0.9,1.0,-131.603429591,-145.508,-131.603,1.0,200,3.50449e-18,0.01,103.105,100.0,0.01,100,10737.9427741,-131.603429591,2,0.01,-131.603429591,1.0,
44325.3119721,13480.7136319,199.9,0.072882,0.9,inf,-150.932608048,nan,nan,0.00676814,300,nan,nan,nan,nan,nan,100,9043.45600143,-125.288488722,,nan,-150.932608048,inf,nan
36.1013960834,10558.1989041,179.27,,0.9,0.999294,-133.358084683,-119.094,-95.9517,8.30993,300,8.99777e-05,,75.5526,33.0724427409,0.0525472,100,10558.1989041,-133.358084683,1,0.00333333,-133.358084683,15.753,8.08656
300.0,12524.0475164,176.93,1.0,0.9,1.0,-133.478258952,-147.383,-133.478,1.0,300,3.50449e-18,0.01,111.35,100.0,0.01,100,12524.0475164,-133.478258952,2,0.01,-133.478258952,1.0,
300.0,10836.23175,173.27,1.0,0.9,1.0,-129.451191551,-141.297,-131.465,1.0,300,2.1793e-19,0.005,107.552,200.000000102,0.005,100,10836.23175,-129.451191551,2,0.005,-129.451191551,1.0,
80952.6683579,10558.1989041,179.27,0.0634799,0.9,inf,-133.358084683,nan,nan,0.00494116,400,nan,nan,nan,nan,nan,100,9970.28344982,-124.705991751,,nan,-133.358084683,inf,nan
25.2491289561,9881.02465048,175.88,,0.9,1.04476,-130.40506686,-116.859,-89.1874,15.8421,400,0.000102732,,93.36,22.9937358106,0.0739252,100,9881.02465048,-130.40506686,1,0.0025,-130.40506686,30.8937,17.9416
400.0,14614.7647688,192.18,1.0,0.9,1.0,-146.178191129,-160.084,-146.178,1.0,400,3.50449e-18,0.01,120.286,100.0,0.01,100,14614.7647688,-146.178191129,2,0.01,-146.178191129,1.0,
