MinBehavPdf,TimeElapsed,ReturnStepMaxmin,ESSRenyiArithmetic,MinIW,ReturnStepMax,StdIW,MaxIW,DivergenceHarmonic,MeanD2-0,InitialReturnMean,InitialReturnMax,MeanIW,InitialBound,MinTargetPdf,EmpiricalD2Harmonic,MeanEntropy,Epsilon,EpThisIter,VarianceInitializer,EpLenMean,Iteration,InitialReturnMin,EpRewMean,ReturnMeanIW,OptimizationReturnMin,Penalization,EmpiricalD2Arithmetic,LearnableVariance,ESSRenyiHarmonic,TimestepsSoFar,Inner Iteration,OptimizationReturnMax,StdWReturnMean,EpisodesSoFar,WReturnMean,OptimizationReturnMean,Bound,InitialReturnStd
-15.619106,0.48876380920410156,9.999984,50.0,0.2299114,9.999984,278.6699,1920.0458,4.7544824e+29,1.0,73.54651,289.81836,75.23883,-14400.087,-15.619106,1.0,0.4189424,1.0,50,-1.0,8.36,1,19.967571,73.54650794888967,3481057.5,,True,1.0,,50.0,418,1,269.8508,,50,7541.947,53.578934,-4.728874e+18,46.182873
-14.237593,1.3473899364471436,9.999997,0.6075287,3.0895055e-05,9.999997,1.7569295,11.840695,4953534000000000.0,82.300644,123.52613,319.94934,0.58058995,-1163444900000.0,-18.898615,82.300644,0.4189424,1.0,50,-1.0,13.36,1,9.984872,123.52612940707239,1976.5516,,True,82.300644,,0.6075287,1086,2,309.96448,,100,1851.2029,113.54126,-588266860000.0,71.62499
-16.809841,1.6785430908203125,9.999995,0.24801904,1.3589099e-07,9.999995,1.2094934,7.130766,4.3758483e+21,201.59743,114.92706,399.9193,0.6372493,-863833900000000.0,-24.209026,201.59741,0.4189424,1.0,50,-1.0,12.5,1,,114.9270608899916,3604.8884,,True,201.59743,,0.24801905,1711,3,399.9193,,150,3604.8884,114.92706,-863833900000000.0,80.66037
-20.488466,1.972677230834961,9.999997,0.08924415,2.6575863e-05,9.999997,75.794304,542.22345,1.4422555e+24,560.2608,117.72883,379.92676,12.341808,-1.415387e+16,-25.361452,560.2608,0.4189424,1.0,50,-1.0,12.78,1,9.982467,117.72882328428567,46712.6,,True,560.2608,,0.08924415,2350,4,369.9443,,200,46712.6,107.746346,-1.415387e+16,81.28141
-13.771287,2.2860171794891357,9.999995,0.6296799,1.0549526,9.999995,676490.9,4833599.0,2.0569695e+18,79.405426,99.92759,299.8907,99165.56,-6145868600000.0,-15.501371,79.405426,0.4189424,1.0,50,-1.0,11.0,1,19.972197,99.92758453823211,5193065000.0,,True,79.405426,,0.6296799,2900,5,279.9185,,250,35156.85,79.95538,-10536790000000.0,64.819275
-9.275858,2.570439577102661,9.999961,,,9.999961,557.45557,3983.0137,inf,inf,47.16875,169.79608,81.51786,-inf,-56.0587,inf,0.4189424,1.0,50,-1.0,5.72,1,9.983698,47.168748951489505,650777.7,,True,inf,,,3186,6,159.81238,,300,650777.7,37.185055,-inf,29.718008
-14.886108,2.839482069015503,9.999984,3.3488116e-18,7.087351e-25,9.999984,1.3948268,7.8421245,inf,1.493067e+19,56.167965,139.93828,0.5359978,-inf,-32.475243,1.493067e+19,0.4189424,1.0,50,-1.0,6.62,1,,56.16796688404601,2610.2537,,True,1.493067e+19,,3.3488116e-18,3517,7,139.93828,,350,2610.2537,56.167965,-inf,29.105555
-6.214683,3.0890049934387207,9.999867,8.18223e-17,5.2609263e-26,9.999867,13.153052,92.85926,inf,6.110804e+17,37.77467,79.97467,2.4663901,-inf,-34.53316,6.110804e+17,0.4189424,1.0,50,-1.0,4.78,1,9.982134,37.77467054459448,7382.6646,,True,6.110804e+17,,8.18223e-17,3756,8,69.99254,,400,7382.6646,27.792536,-inf,16.030138
-6.9897294,3.344653606414795,9.9999895,4.486915e-19,8.854777e-24,9.9999895,3.3583143,19.5163,inf,1.1143514e+20,48.572838,169.9808,1.0088826,-inf,-29.297373,1.1143514e+20,0.4189424,1.0,50,-1.0,5.86,1,9.984604,48.572836038155685,2756.7676,,True,1.1143514e+20,,4.486915e-19,4049,9,159.9962,,450,2756.7676,38.588234,-inf,33.998047
-15.536888,3.5952649116516113,9.999963,1.1682246e-19,3.5441188e-22,9.999963,4.104762,21.194132,inf,4.2799987e+20,46.772972,139.90863,1.1403977,-inf,-38.32138,4.2799987e+20,0.4189424,1.0,50,-1.0,5.68,1,9.985331,46.772971483433814,2520.307,,True,4.2799987e+20,,1.1682246e-19,4333,10,129.9233,,500,2520.307,36.787643,-inf,23.522625
