Inner Iteration,EpLenMean,ReturnStepMax,EpRewMean,ReturnStepMaxmin,InitialReturnStd,StdWReturnMean,InitialBound,EmpiricalD2Arithmetic,MinIW,OptimizationReturnMean,Iteration,ESSRenyiArithmetic,Epsilon,InitialReturnMin,ReturnMeanIW,WReturnMean,ESSRenyiHarmonic,MaxIW,EpThisIter,EmpiricalD2Harmonic,MeanIW,EpisodesSoFar,TimestepsSoFar,LearnableVariance,InitialReturnMean,StdIW,MeanD2-0,Penalization,TimeElapsed,Bound,VarianceInitializer,MinTargetPdf,OptimizationReturnMin,InitialReturnMax,DivergenceHarmonic,MeanEntropy,MinBehavPdf,OptimizationReturnMax
1,8.78,9.999998,77.75267961261945,9.999998,50.82812,,-13727.89,1.0,0.35212088,67.771935,1,50.0,1.0,9.980748,43545.324,8628.977,50.0,31.360136,50,1.0,2.6806746,50,439,,77.75268,4.72551,1.0,True,1.293426513671875,-5.4731936e+16,-1.0,-14.713025,,249.89728,1.1521971e+26,0.4189424,-14.713025,239.91653
2,6.32,9.999978,53.16334919678158,9.999978,30.479452,,-4.8291386e+17,2862.0566,2.972713e-05,43.180405,1,0.017469956,1.0,9.982942,9735.594,9735.594,0.017469956,19.179777,50,2862.0566,1.4996974,100,755,,53.163353,2.7816586,2862.0566,True,2.98905873298645,-4.8291386e+17,-1.0,-14.766296,,119.94387,1.690123e+29,0.4189424,-15.003146,109.96093
3,7.06,9.999998,60.56328642840156,9.999998,40.10192,,-inf,420188320.0,1.4955014e-16,50.583008,1,1.18994265e-07,1.0,9.980278,7869.7476,7869.7476,1.1899426e-07,15.367941,50,420188350.0,1.019095,150,1108,,60.56329,2.2849643,420188320.0,True,3.3010356426239014,-inf,-1.0,-25.074442,,199.87222,inf,0.4189424,-8.84198,189.89194
4,7.54,9.999987,65.35586700807612,9.999987,39.187313,,-9.985254e+19,19676.062,1.2248016e-13,55.375553,1,0.0025411588,1.0,9.9803095,21213.03,21213.03,0.0025411588,13.846879,50,19676.062,2.0502124,200,1485,,65.355865,3.3688922,19676.062,True,3.584242343902588,-9.985254e+19,-1.0,-22.41729,,159.94334,2.2853088e+33,0.4189424,-10.404676,149.96303
5,7.38,9.999977,63.75583692504299,9.999977,39.93044,,-inf,204824350000.0,3.0879933e-15,53.775745,1,2.441116e-10,1.0,9.980092,125005.04,125005.04,2.441116e-10,382.64413,50,204824350000.0,9.595356,250,1854,,63.75584,53.39353,204824350000.0,True,3.892001152038574,-inf,-1.0,-28.092718,,199.9743,inf,0.4189424,-14.489188,189.99422
6,6.54,9.999988,55.36156435602356,9.999988,35.43139,,-inf,866565000.0,3.8977273e-11,45.38189,1,5.7699076e-08,1.0,9.979674,7786.323,7786.323,5.7699076e-08,10.792834,50,866565000.0,1.3802078,300,2181,,55.36156,2.160686,866565000.0,True,4.192861318588257,-inf,-1.0,-16.631283,,169.94417,inf,0.4189424,-8.40635,159.9645
7,6.92,9.999992,59.163972750753494,9.999992,33.562798,,-9.958349e+16,1455.7972,1.0931923e-05,49.178566,1,0.03434544,1.0,9.985412,24535.068,24535.068,0.03434544,37.847935,50,1455.7972,1.828381,350,2527,,59.163975,5.2727604,1455.7972,True,4.493462800979614,-9.958349e+16,-1.0,-13.085712,,159.9123,2.2747753e+27,0.4189424,-9.570873,149.92688
8,6.92,9.999986,59.16123861600695,9.999986,31.218819,,-inf,92462920.0,4.4319694e-11,49.174297,1,5.407573e-07,1.0,9.986946,7839.393,7839.393,5.407573e-07,6.735516,50,92462920.0,1.4320346,400,2873,,59.16124,1.7277805,92462920.0,True,4.776188373565674,-inf,-1.0,-17.375233,,169.95493,inf,0.4189424,-11.514999,159.96799
9,6.98,9.999995,59.7674787909107,9.999995,35.68446,,-4.0293227e+16,1157.6687,3.4101762e-07,49.786304,1,0.04319025,1.0,9.98117,10136.92,10136.92,0.04319025,8.206954,50,1157.6687,1.3766898,450,3222,,59.767475,2.0205896,1157.6687,True,5.057799339294434,-4.0293227e+16,-1.0,-13.540991,,139.9253,6.352878e+26,0.4189424,-14.308056,129.94412
10,7.64,9.999979,66.35642359399998,9.999979,45.797497,,-inf,288590700000000.0,6.22584e-08,56.375362,1,1.7325576e-13,1.0,9.981058,19096.127,19096.127,1.7325576e-13,23.642769,50,288590700000000.0,2.0044596,500,3604,,66.35642,4.0775037,288590700000000.0,True,5.375732183456421,-inf,-1.0,-12.116983,,199.82285,inf,0.4189424,-9.974407,189.84178
1,8.36,9.999993,73.55484149905269,9.999993,41.873688,,-10425.028,1.0,0.051742718,53.58113,2,50.0,1.0,19.973703,41879364.0,7163.72,50.0,73664.43,50,1.0,2569.5515,550,4022,,73.55484,11995.232,1.0,True,5.82744836807251,-428973550000000.0,-1.0,-9.00081,,199.85664,1.7301264e+22,0.4189424,-9.00081,179.88293
