InitialReturnStd,ESSRenyiArithmetic,EpisodesSoFar,Inner Iteration,MaxIW,InitialReturnMean,OptimizationReturnMin,VarianceInitializer,StdIW,Iteration,MeanEntropy,TimeElapsed,StdWReturnMean,Bound,EmpiricalD2Harmonic,ReturnStepMaxmin,EpThisIter,InitialReturnMin,MinIW,OptimizationReturnMax,TimestepsSoFar,MinTargetPdf,ESSRenyiHarmonic,OptimizationReturnMean,EpRewMean,WReturnMean,LearnableVariance,DivergenceHarmonic,EmpiricalD2Arithmetic,MeanD2-0,ReturnMeanIW,MeanIW,ReturnStepMax,MinBehavPdf,Epsilon,InitialBound,Penalization,EpLenMean,InitialReturnMax
58.731506,50.0,50,1,373.31067,83.74792,,-1.0,54.501637,1,0.4189424,0.5483129024505615,,-1603468700.0,1.0,9.999991,50,19.971745,0.04893626,239.93784,469,-14.801434,50.0,63.77619,83.74793046772986,10463.106,,84502860000.0,1.0,1.0,95312.33,19.732962,9.999991,-14.801434,1.0,-15978.787,True,9.38,259.90958
85.7114,0.32437137,100,2,7.9396477,115.71966,,-1.0,1.5366572,1,0.4189424,1.4181320667266846,,-471740250000000.0,154.1443,9.99998,50,9.982202,0.0077336454,429.80795,1098,-28.114525,0.32437137,105.73744,115.71965285281092,12636.936,,8.9230854e+20,154.1443,154.1443,37468.74,1.037654,9.99998,-21.050673,1.0,-66051180000000.0,True,12.58,439.79016
42.530334,44.796993,150,3,180925.69,66.55791,,-1.0,26524.684,1,0.4189424,1.661637306213379,,-36728090000.0,1.1161463,9.999999,50,9.982982,0.20267312,229.85338,1481,-7.05242,44.796993,56.57493,66.5579087216986,7521.0703,,61015627000000.0,1.1161463,1.1161463,41699412.0,5256.431,9.999999,-7.154091,1.0,-16645.27,True,7.66,239.83636
87.06628,0.3452441,200,4,85.85497,109.73838,,-1.0,12.065695,1,0.4189424,2.011634111404419,,-168379510000000.0,144.82506,9.999988,50,9.980915,2.0675185e-07,439.95,2080,-32.601784,0.3452441,99.75746,109.73837283981493,65410.566,,1.0377346e+20,144.82506,144.82506,65410.566,2.6035364,9.999988,-24.90591,1.0,-168379510000000.0,True,11.98,449.93094
73.423935,1.6717061,250,5,7093793.0,104.53575,,-1.0,1016789.3,1,0.4189424,2.331695079803467,,-7732553300000.0,29.909563,9.99999,50,19.969284,0.8256309,369.91064,2653,-19.667706,1.6717061,84.56647,104.53575221495954,51834.234,,3.858455e+17,29.909563,29.909563,23112237000.0,194298.08,9.99999,-14.240404,1.0,-374386030000.0,True,11.46,389.87994
26.61367,3.5539062e-28,300,6,6.1196856,45.372612,,-1.0,1.1072865,1,0.4189424,2.6272501945495605,,-inf,1.4069026e+29,9.999953,50,,1.47585685e-33,149.93884,2930,-43.9494,3.5539062e-28,45.372612,45.372613572908094,568.2157,,inf,1.4069026e+29,1.4069026e+29,568.2157,0.35326797,9.999953,-6.151369,1.0,-inf,True,5.54,149.93884
18.863014,4.3059135e-18,350,7,459.07355,43.969784,,-1.0,65.24498,1,0.4189424,2.9156320095062256,,-inf,1.1611938e+19,9.99998,50,9.98296,6.5760956e-24,79.9875,3200,-29.193274,4.3059135e-18,33.986828,43.96978443664338,68516.61,,inf,1.1611938e+19,1.1611938e+19,68516.61,11.585832,9.99998,-9.372669,1.0,-inf,True,5.4,89.97046
25.08713,2.3889785e-18,400,8,100.3377,48.37352,,-1.0,14.683013,1,0.4189424,3.146697998046875,,-inf,2.0929448e+19,9.9999895,50,9.986769,3.9358168e-35,109.982346,3492,-43.261032,2.3889785e-18,38.386757,48.37352277580973,2411.7078,,inf,2.0929448e+19,2.0929448e+19,2411.7078,3.3881836,9.9999895,-6.4119425,1.0,-inf,True,5.84,119.96912
24.672403,6.298408e-16,450,9,55.37022,44.97229,,-1.0,7.784213,1,0.4189424,3.4233322143554688,,-inf,7.938514e+16,9.99998,50,9.983244,1.1971833e-19,99.999146,3767,-25.535591,6.298408e-16,34.989044,44.97228816249158,1005.6748,,inf,7.938514e+16,7.938514e+16,1005.6748,1.4424677,9.99998,-6.8925858,1.0,-inf,True,5.5,109.98239
24.131413,4.366513e-24,500,10,3359.3123,48.17137,,-1.0,470.25085,1,0.4189424,3.693773031234741,,-inf,1.1450784e+25,9.999986,50,9.981419,3.3714911e-37,109.946365,4058,-44.71496,4.366513e-24,38.189953,48.17137316011956,966899.25,,inf,1.1450784e+25,1.1450784e+25,966899.25,67.570366,9.999986,-7.988656,1.0,-inf,True,5.82,119.92778
