MeanD2-0,MeanEntropy,EpisodesSoFar,InitialReturnMean,MinTargetPdf,EpRewMean,EpThisIter,WReturnMean,MaxIW,InitialReturnStd,InitialBound,MinIW,ESSRenyiHarmonic,EmpiricalD2Arithmetic,InitialReturnMax,OptimizationReturnMin,EpLenMean,ReturnStepMax,OptimizationReturnMax,ReturnMeanIW,Iteration,TimestepsSoFar,DivergenceHarmonic,EmpiricalD2Harmonic,Penalization,VarianceInitializer,LearnableVariance,Bound,ReturnStepMaxmin,ESSRenyiArithmetic,InitialReturnMin,Inner Iteration,StdIW,TimeElapsed,Epsilon,StdWReturnMean,MeanIW,MinBehavPdf,OptimizationReturnMean
1.0,0.4189424,50,79.7525,-18.893635,79.7524968927668,50,9848.464,21.290764,59.05931,-18734.812,0.2265588,50.0,1.0,329.90155,,8.98,9.999998,319.9196,32645.996,1,449,15876481000.0,1.0,True,-1.0,,-1119728800.0,9.999998,50.0,9.981951,1,2.9016113,2.1124958992004395,1.0,,1.9657327,-18.893635,69.770546
108788070000.0,0.4189424,100,83.14538,-19.354193,83.14538036821176,50,13351.379,10.623339,49.71158,-inf,2.368208e-10,4.596092e-10,108788070000.0,209.96558,,9.32,10.0,199.98557,13351.379,1,915,inf,108788070000.0,True,-1.0,,-inf,10.0,4.596092e-10,9.980019,2,1.8758653,4.489816427230835,1.0,,1.4540437,-17.087387,73.16536
1480396000000.0,0.4189424,150,65.3545,-25.167328,65.35449563015965,50,25744.629,65.92782,44.705856,-inf,1.5973677e-15,3.3774747e-11,1480396000000.0,259.82874,,7.54,9.999998,249.84428,25744.629,1,1292,inf,1480396000000.0,True,-1.0,,-inf,9.999998,3.3774747e-11,9.984445,3,10.048161,5.127393007278442,1.0,,3.2197962,-11.910755,55.370052
8.813035,0.4189424,200,61.76042,-11.617897,61.76042132316729,50,30942.76,33.68834,37.761158,-7625429500.0,0.020349186,5.673414,8.813035,159.9063,,7.18,9.999999,159.9063,23913.379,1,1651,673610700000.0,8.813035,True,-1.0,,-1713547100.0,9.999999,5.673414,,4,4.673591,5.643977165222168,1.0,,1.7178639,-9.675976,61.76042
5487.9307,0.4189424,250,61.354427,-17.013329,61.35443140919547,50,18841.492,50.40285,45.36433,-1.0832401e+19,1.00213114e-07,0.009110902,5487.9307,239.86273,,7.14,10.0,229.88211,18841.492,1,2008,5.3172807e+30,5487.9307,True,-1.0,,-1.0832401e+19,10.0,0.009110902,9.980619,5,7.0074215,6.142164707183838,1.0,,2.095664,-12.708508,51.37381
9.898348,0.4189424,300,63.16505,-9.398165,63.165049656907186,50,6123.5996,6.3335896,36.566135,-8824837000.0,0.0017883066,5.051348,9.898348,149.91847,,7.32,9.999997,139.93625,6380.472,1,2374,6318235600000.0,9.898348,True,-1.0,,-4612784000.0,9.999997,5.051348,9.982219,6,1.2118598,6.920835733413696,1.0,,1.0539418,-8.156791,53.18283
31.830296,0.4189424,350,60.159218,-10.238619,60.15921688833312,50,6409.554,10.850039,34.367615,-391397300000.0,0.00023574736,1.5708306,31.830296,169.90497,,7.02,9.999989,159.92194,6553.941,1,2725,2.5662627e+16,31.830296,True,-1.0,,-377587040000.0,9.999989,1.5708306,9.98303,7,1.8986473,7.806964635848999,1.0,,1.4972535,-7.972809,50.17618
2.9647737,0.4189424,400,65.96426,-8.917618,65.96425698079148,50,18170.016,177817.39,42.180546,-15572844.0,0.46276787,16.864695,2.9647737,169.94658,,7.6,9.999996,169.94658,13240352.0,1,3105,63920376.0,2.9647737,True,-1.0,,-32094152.0,9.999996,16.864695,,8,24884.848,8.338812112808228,1.0,,3628.7815,-8.090328,65.96426
215.18303,0.4189424,450,131.71945,-31.960178,131.7194579722582,50,22879.43,52.194595,114.99113,-6830572000000000.0,0.000313591,0.23236033,215.18303,749.9033,,14.18,9.999999,729.93274,22879.43,1,3814,2.2130146e+22,215.18303,True,-1.0,,-6830572000000000.0,9.999999,0.23236033,19.970612,9,9.906414,9.29687237739563,1.0,,3.2393909,-28.729628,111.74885
7.1511064,0.4189424,500,91.53835,-19.875193,91.53835124066224,50,16075.931,2850396.0,57.995777,-38419140.0,2.1748009,6.9919252,7.1511064,239.92885,,10.16,9.999995,219.95781,3722692600.0,1,4322,72700340000000.0,7.1511064,True,-1.0,,-43798987000.0,9.999995,6.9919252,19.971043,10,400712.44,9.97344446182251,1.0,,72301.27,-15.802287,71.56731
1.0,0.4189424,550,47.17086,-6.760949,47.170858497927554,50,2629.0364,17175830.0,20.098421,-3444.4473,0.12496502,50.0,1.0,99.93347,,5.72,9.999994,89.94854,2223217700.0,2,4608,5.1809783e+31,1.0,True,-1.0,,-5.8692453e+18,9.999994,50.0,9.984931,1,2403912.2,10.577786445617676,1.0,,354733.6,-6.760949,37.185925
65206735000.0,0.4189424,600,52.96604,-19.403536,52.96603642774191,50,552.31274,3.6017213,28.22238,-inf,1.4304286e-13,7.667919e-10,65206735000.0,129.94458,,6.3,9.999995,119.96415,552.31274,2,4923,inf,65206740000.0,True,-1.0,,-inf,9.999995,7.6679196e-10,9.980429,2,0.74022305,11.226879596710205,1.0,,0.3309623,-10.479695,42.985607
35330300000000.0,0.4189424,650,58.763554,-29.372791,58.7635605167781,50,6359.3823,106.14887,38.645836,-inf,2.7868522e-17,1.4152158e-12,35330300000000.0,199.96025,,6.88,9.999997,189.97627,6359.3823,2,5267,inf,35330300000000.0,True,-1.0,,-inf,9.999997,1.4152158e-12,9.983981,3,16.34748,11.788365840911865,1.0,,3.7178063,-10.313275,48.77958
1.20692026e+17,0.4189424,700,62.36173,-28.44879,62.361729659673635,50,4273.1484,34.50194,40.114212,-inf,2.2756162e-14,4.1427757e-16,1.20692026e+17,179.9613,,7.24,10.0,179.9613,4273.1484,2,5629,inf,1.20692026e+17,True,-1.0,,-inf,10.0,4.1427757e-16,,4,5.1973,12.341756343841553,1.0,,1.3717362,-12.741819,62.36173
352057950000.0,0.4189424,750,58.361362,-18.04374,58.361363572660714,50,2435.9207,64.471855,26.92816,-inf,1.0208857e-10,1.4202207e-10,352057950000.0,139.94756,,6.84,9.999994,119.977646,2435.9207,2,5971,inf,352057950000.0,True,-1.0,,-inf,9.999994,1.4202207e-10,19.969906,5,9.062526,12.997904539108276,1.0,,1.7814349,-8.634901,38.391457
122501070.0,0.4189424,800,59.566578,-20.40643,59.566575732502436,50,2482.2827,23.325775,30.649889,-inf,4.1328638e-14,4.081597e-07,122501070.0,119.9654,,6.96,9.999981,109.98246,2482.2827,2,6319,inf,122501070.0,True,-1.0,,-inf,9.999981,4.081597e-07,9.982942,6,4.039221,13.737527847290039,1.0,,1.146284,-7.7779126,49.583633
15011310000.0,0.4189424,850,63.762115,-21.975636,63.76211151269246,50,26131.887,172.53818,34.042255,-inf,1.6805703e-14,3.330822e-09,15011310000.0,149.95511,,7.38,9.999999,139.97412,26131.887,2,6688,inf,15011310000.0,True,-1.0,,-inf,9.999999,3.330822e-09,9.980984,7,29.666107,14.21424388885498,1.0,,7.3409777,-12.062812,53.781128
6751424.5,0.4189424,900,52.965275,-20.65974,52.96527202171481,50,21995.05,490.94867,30.40466,-inf,5.777007e-14,7.405845e-06,6751424.5,179.92679,,6.3,9.99998,179.92679,21995.05,2,7003,inf,6751424.0,True,-1.0,,-inf,9.99998,7.4058444e-06,,8,69.52195,14.976622104644775,1.0,,12.949726,-10.846404,52.965275
8823615000.0,0.4189424,950,66.55841,-27.08764,66.55841011137562,50,578.4375,4.303858,34.31864,-inf,3.7803004e-15,5.666611e-09,8823615000.0,179.92403,,7.66,9.999997,159.958,578.4375,2,7386,inf,8823615000.0,True,-1.0,,-inf,9.999997,5.666611e-09,19.966036,9,0.74654305,15.650445938110352,1.0,,0.3038434,-11.1159525,46.592373
67223630.0,0.4189424,1000,61.359726,-25.813488,61.35972503697564,50,6027.669,238.30464,36.54342,-inf,8.810308e-15,7.437861e-07,67223630.0,169.94504,,7.14,9.999992,149.97763,6027.669,2,7743,inf,67223630.0,True,-1.0,,-inf,9.999992,7.437861e-07,19.967413,10,33.368816,16.358996391296387,1.0,,5.654035,-11.784723,41.39231
1.0,0.4189424,1050,64.967606,-8.717506,64.96760508487297,50,6005.3477,945196.06,42.24403,-8364.258,0.15263563,50.0,1.0,169.97243,,7.5,9.999998,159.99184,105180104.0,3,8118,2.2884152e+23,1.0,True,-1.0,,-1128440800000000.0,9.999998,50.0,9.980584,1,132226.77,16.884583950042725,1.0,,20416.318,-8.717506,54.987022
25097.19,0.4189424,1100,99.335724,-21.23198,99.33573268601621,50,24311.82,1103.3806,63.17972,-9.3462936e+20,5.6402655e-07,0.0019922548,25097.19,319.90588,,10.94,9.999997,309.92508,24311.82,3,8665,1.2510689e+34,25097.191,True,-1.0,,-9.3462936e+20,9.999997,0.001992255,9.980805,2,154.40277,17.740450620651245,1.0,,22.608994,-15.143413,89.354935
26745836.0,0.4189424,1150,119.923416,-28.053572,119.92341333667694,50,40038.027,400.52872,82.96795,-inf,4.214219e-09,1.8694499e-06,26745836.0,349.87457,,13.0,9.999994,349.87457,40038.027,3,9315,inf,26745836.0,True,-1.0,,-inf,9.999994,1.8694499e-06,,3,56.03711,18.744194984436035,1.0,,8.300125,-18.411171,119.923416
