EmpiricalD2Arithmetic,EpisodesSoFar,VarianceInitializer,TimestepsSoFar,EmpiricalD2Harmonic,DivergenceHarmonic,TimeElapsed,ReturnMeanIW,InitialReturnMean,ReturnStepMaxmin,MeanIW,StdWReturnMean,Bound,Penalization,ESSRenyiArithmetic,LearnableVariance,EpThisIter,InitialReturnStd,Iteration,StdIW,MeanD2-0,ReturnStepMax,InitialBound,Inner Iteration,EpRewMean,EpLenMean,MeanEntropy,MinBehavPdf,InitialReturnMin,OptimizationReturnMean,MaxIW,OptimizationReturnMax,MinIW,MinTargetPdf,WReturnMean,ESSRenyiHarmonic,InitialReturnMax,Epsilon,OptimizationReturnMin
4.2756807e+28,700,-1.0,7165,4.2756807e+28,inf,9.02885890007019,657.3444,89.142746,9.999999,0.5083551,,-inf,True,1.1694044e-27,,50,73.91884,2,1.0048428,4.2756807e+28,9.999999,-inf,4,89.14274295943049,9.92,0.4189424,-18.737423,9.980161,79.162575,4.3341613,339.87836,4.0019514e-33,-50.284515,657.3444,1.1694044e-27,349.85852,1.0,
3.9619843e+18,750,-1.0,7670,3.9619843e+18,inf,9.51414179801941,3175.7632,90.93949,9.999997,1.9308372,,-inf,True,1.2619939e-17,,50,67.776764,2,7.1136003,3.9619843e+18,9.999997,-inf,5,90.93948477598711,10.1,0.4189424,-15.529768,9.982278,80.9572,43.288795,319.92813,3.3634652e-28,-42.545364,3175.7632,1.2619939e-17,329.9104,1.0,
4.0072556e+16,800,-1.0,8175,4.0072556e+16,inf,9.875656366348267,3543.9468,90.943954,9.999999,0.8142022,,-inf,True,1.2477367e-15,,50,56.7311,2,3.409144,4.0072556e+16,9.999999,-inf,6,90.9439494168939,10.1,0.4189424,-13.616251,9.982985,80.96096,23.974207,239.82545,2.0389441e-24,-40.891056,3543.9468,1.2477367e-15,249.80844,1.0,
3.0132229e+29,850,-1.0,8727,3.0132229e+29,inf,10.343761920928955,3255.2285,100.33776,9.999998,1.3170661,,-inf,True,1.6593528e-28,,50,71.24357,2,5.431334,3.0132229e+29,9.999998,-inf,7,100.33775725213363,11.04,0.4189424,-16.083126,9.981003,90.35676,37.66166,299.81165,,-74.73358,3255.2285,1.6593528e-28,309.79266,1.0,
856332960000.0,900,-1.0,9251,856332960000.0,inf,10.719292640686035,6595.274,94.74248,9.999999,8.9866495,,-inf,True,5.83885e-11,,50,65.37989,2,42.662205,856332960000.0,9.999999,-inf,8,94.74248953499793,10.48,0.4189424,-12.297987,19.966278,74.776215,256.52557,269.92178,2.782522e-22,-35.16758,6595.274,5.83885e-11,289.88806,1.0,
4.0906195e+21,950,-1.0,9861,4.0906193e+21,inf,11.077923059463501,15402.866,111.93743,9.999989,2.069024,,-inf,True,1.2223087e-20,,50,83.6396,2,12.632412,4.0906195e+21,9.999989,-inf,9,111.93743316269834,12.2,0.4189424,-17.183395,,111.93743,90.30251,389.846,6.355438e-32,-49.237495,15402.866,1.2223088e-20,389.846,1.0,
1.3476891e+29,1000,-1.0,10355,1.3476891e+29,inf,11.504815578460693,17223782.0,88.74106,9.999996,2696.415,,-inf,True,3.7100546e-28,,50,67.831696,2,18843.238,1.3476891e+29,9.999996,-inf,10,88.74106302900947,9.88,0.4189424,-23.09488,9.98595,78.75511,134598.94,379.76776,2.0829962e-36,-64.17451,17223782.0,3.7100546e-28,389.75372,1.0,
1.0,1050,-1.0,10840,1.0,1586608000000.0,11.912813901901245,53296.16,86.95023,9.999989,2.3902788,,-7495463000.0,True,50.0,,50,62.215946,3,3.4487677,1.0,9.999989,-17381.768,1,86.95024006822386,9.7,0.4189424,-15.070877,,86.95023,19.281397,269.96228,0.21342276,-15.070877,11431.167,50.0,269.96228,1.0,
13712.961,1100,-1.0,11314,13712.96,1.7579228e+33,12.357362270355225,3511136.0,84.75202,9.999994,57.1448,,-2.1363919e+20,True,0.0036461856,,50,60.512802,3,392.1847,13712.961,9.999994,-2.1363919e+20,2,84.75201208377112,9.48,0.4189424,-12.3901615,9.983187,74.76882,2802.3547,239.82883,3.6971284e-07,-18.095594,3511136.0,0.0036461859,249.81201,1.0,
182.39462,1150,-1.0,11793,182.39462,4.539191e+20,12.834246397018433,17795.572,85.74999,9.999999,1.3070074,,-117517550000000.0,True,0.27413088,,50,51.871502,3,1.9775645,182.39462,9.999999,-117517550000000.0,3,85.74999155769035,9.58,0.4189424,-18.524126,9.979619,75.77036,8.13723,249.93433,2.2449196e-08,-27.330132,17795.572,0.27413088,259.91394,1.0,
65.02303,1200,-1.0,12180,65.02303,1.1855312e+18,13.325956583023071,5189.927,67.35766,9.999989,0.90465134,,-3552512600000.0,True,0.7689583,,50,42.118034,3,1.1002392,65.02303,9.999989,-3965150300000.0,4,67.35765276588285,7.74,0.4189424,-10.831717,9.988572,57.369083,6.3721404,189.91124,9.366237e-05,-10.767415,4983.8745,0.7689583,199.89981,1.0,
28.997227,1250,-1.0,12697,28.997229,1550478800000000.0,13.826146125793457,166236.48,93.35795,9.999997,3.9700952,,-329005600000.0,True,1.7243028,,50,61.29231,3,13.627856,28.997227,9.999997,-344766700000.0,5,93.35795505336753,10.34,0.4189424,-14.301041,9.981528,83.37643,89.93613,309.9138,8.758304e-07,-21.310722,166330.5,1.7243028,319.89532,1.0,
992.39935,1300,-1.0,13150,992.3993,1.4727208e+25,14.237215518951416,18188.635,80.55194,9.999998,1.3407683,,-1.803578e+16,True,0.050382942,,50,52.303387,3,2.6980305,992.39935,9.999998,-1.803578e+16,6,80.5519371486825,9.06,0.4189424,-19.20552,19.965767,60.586178,16.810045,219.95078,1.5059618e-07,-27.059853,18188.635,0.050382946,239.91653,1.0,
15.578658,1350,-1.0,13537,15.578658,9891028000000.0,14.668242454528809,375015.56,67.36277,9.999999,11.796211,,-16041093000.0,True,3.2095191,,50,49.660053,3,73.234825,15.578658,9.999999,-19614794000.0,7,67.36277023068492,7.74,0.4189424,-16.984331,9.980502,57.382267,523.4856,239.95294,0.00032841245,-19.922636,378565.56,3.2095191,249.93344,1.0,
14.290732,1400,-1.0,13950,14.290732,167166740000000.0,15.098981380462646,6718.2803,72.562355,9.999985,1.0721489,,-38070390000.0,True,3.498771,,50,39.01966,3,1.8841684,14.290732,9.999985,-38271290000.0,8,72.56235671977382,8.26,0.4189424,-15.449884,,72.562355,11.871002,189.90175,0.00027500823,-15.743497,6635.271,3.498771,189.90175,1.0,
99.18053,1450,-1.0,14364,99.18052,5.7046127e+18,15.584231615066528,11494.324,72.75137,9.999998,1.4766481,,-9431377000000.0,True,0.5041312,,50,45.413593,3,2.4362803,99.18053,9.999998,-9488457000000.0,9,72.75137843006189,8.28,0.4189424,-13.083862,9.981163,62.770214,15.615028,209.93332,2.9488983e-05,-13.113231,11414.674,0.50413126,219.91449,1.0,
38.44301,1500,-1.0,14795,38.44301,8.004925e+16,16.156826496124268,41142.453,76.157585,9.999991,1.5877267,,-1683294100000.0,True,1.3006266,,50,48.108753,3,3.3959997,38.44301,9.999991,-1695332200000.0,10,76.15759017935176,8.62,0.4189424,-13.054127,9.981679,66.17591,20.22524,259.956,0.00037241186,-11.770497,39971.652,1.3006266,269.93768,1.0,
1.0,1550,-1.0,15223,1.0,43419992000.0,16.59615397453308,63700.582,75.552376,9.999994,3.1886725,,-899214600.0,True,50.0,,50,48.323742,4,8.485525,1.0,9.999994,-12358.416,1,75.55237749563238,8.56,0.4189424,-12.957517,9.983651,65.56873,59.554516,219.90456,0.2576691,-12.957517,8043.345,50.0,229.88821,1.0,
370.79675,1600,-1.0,15620,370.79675,1.740527e+23,17.152029275894165,24989.621,69.36049,9.999999,2.1627865,,-1799762400000000.0,True,0.13484477,,50,39.193584,4,5.545078,370.79675,9.999999,-1799762400000000.0,2,69.36048843978371,7.94,0.4189424,-10.755371,9.981413,59.379078,32.76512,219.87689,0.00028900683,-13.0749,24989.621,0.13484477,229.8583,1.0,
18.619366,1650,-1.0,16021,18.619366,67267630000000.0,17.69117760658264,27557.672,70.158676,9.999987,2.0332496,,-21689205000.0,True,2.6853762,,50,43.18734,4,3.721893,18.619366,9.999987,-27923520000.0,3,70.15868113894363,8.02,0.4189424,-12.688461,9.984951,60.17373,19.580069,169.98203,3.226634e-05,-14.393997,24800.748,2.6853762,179.96698,1.0,
6.8571987,1700,-1.0,16382,6.857198,534393980000.0,18.257542610168457,128723.76,62.16526,9.999998,6.2785935,,-1527255600.0,True,7.2916074,,50,31.250708,4,33.20207,6.8571987,9.999998,-1562241800.0,4,62.16526164034515,7.22,0.4189424,-11.519262,,62.16526,236.2421,159.95395,0.0015232692,-10.176277,121367.28,7.291608,159.95395,1.0,
7.5020046,1750,-1.0,16701,7.502004,88633410000.0,18.652831315994263,387025180.0,53.765835,9.999996,26391.525,,-797253500.0,True,6.664885,,50,31.095163,4,143892.06,7.5020046,9.999996,-609661000.0,5,53.76583389761679,6.38,0.4189424,-7.7685494,9.979258,43.786575,985878.75,119.928856,0.74095726,-12.644932,4177.6753,6.6648855,129.90811,1.0,
1225612900.0,1800,-1.0,17286,1225612900.0,inf,19.2974112033844,1750.2976,106.92628,9.999999,0.5954845,,-inf,True,4.0795914e-08,,50,83.11605,4,1.011068,1225612900.0,9.999999,-inf,6,106.9262795074565,11.7,0.4189424,-19.955173,9.982145,96.94413,4.1124225,279.94437,9.578853e-11,-27.879982,1750.2976,4.0795914e-08,289.9265,1.0,
57286476000.0,1850,-1.0,17922,57286476000.0,inf,19.773147344589233,6525.2812,117.130295,9.999997,1.0646379,,-inf,True,8.728063e-10,,50,88.53354,4,2.8029065,57286476000.0,9.999997,-inf,7,117.13029251378008,12.72,0.4189424,-17.284779,9.981091,107.1492,18.88199,379.89264,2.3923096e-11,-27.380676,6525.2812,8.728063e-10,389.87372,1.0,
2683630000.0,1900,-1.0,18597,2683630000.0,inf,20.18714451789856,4235.986,124.927864,9.999999,1.1534566,,-inf,True,1.863148e-08,,50,103.19503,4,2.1134079,2683630000.0,9.999999,-inf,8,124.9278586144456,13.5,0.4189424,-17.834826,9.980345,114.94752,11.138547,389.898,2.1398712e-12,-26.507479,4235.986,1.863148e-08,399.87836,1.0,
257320.36,1950,-1.0,19291,257320.36,inf,20.841641426086426,3018.369,128.72575,9.99999,0.8854684,,-inf,True,0.00019431031,,50,95.21612,4,2.1396492,257320.36,9.99999,-inf,9,128.72575471762596,13.88,0.4189424,-16.402086,9.983637,118.74212,13.299845,459.9256,1.4596237e-13,-31.1798,3018.369,0.00019431031,469.90924,1.0,
638754900.0,2000,-1.0,19973,638754900.0,inf,21.355573654174805,5343.5703,126.3384,9.999992,1.5389117,,-inf,True,7.827729e-08,,50,120.42295,4,3.1799674,638754900.0,9.999992,-inf,10,126.33839908455151,13.64,0.4189424,-18.56023,9.981459,116.35694,19.233978,729.9237,1.4374885e-12,-27.031555,5343.5703,7.827729e-08,739.90515,1.0,
1.0,2050,-1.0,20597,1.0,3.4701828e+25,21.888477325439453,78947330.0,114.72283,10.0,1888.4086,,-3.502154e+16,True,50.0,,50,72.73948,5,9089.752,1.0,10.0,-24397.465,1,114.72283875831081,12.48,0.4189424,-14.481283,19.969086,94.75375,62771.266,249.86844,0.21137147,-14.481283,18452.361,50.0,269.83752,1.0,
2.968118e+23,2100,-1.0,22441,2.968118e+23,inf,22.85860514640808,15668.178,358.61478,10.0,5.1964808,,-inf,True,1.6845692e-22,,50,239.01035,5,22.729927,2.968118e+23,10.0,-inf,2,358.6147757758744,36.88,0.4189424,-41.124485,9.981458,348.63333,144.44054,1059.7932,6.9978535e-28,-69.420166,15668.178,1.6845692e-22,1069.7747,1.0,
6.2123686e+25,2150,-1.0,24312,6.212369e+25,inf,23.803967237472534,38578.523,364.0283,9.999996,2.0761907,,-inf,True,8.04846e-25,,50,201.54599,5,7.2038994,6.2123686e+25,9.999996,-inf,3,364.0282606982783,37.42,0.4189424,-33.918503,9.980589,354.0477,47.038097,719.787,4.2052731e-32,-67.709305,38578.523,8.0484594e-25,729.7676,1.0,
8.085785e+30,2200,-1.0,26044,8.085785e+30,inf,24.59796714782715,240301.11,336.23468,9.999998,7.5487556,,-inf,True,6.1836916e-30,,50,247.30148,5,35.081215,8.085785e+30,9.999998,-inf,4,336.23471837114,34.64,0.4189424,-39.917805,19.97128,316.26343,244.68633,909.6078,3.6769713e-38,-73.34625,240301.11,6.1836916e-30,929.57904,1.0,
1.0015288e+26,2250,-1.0,27863,1.0015288e+26,inf,25.452308654785156,83812.055,353.61234,10.0,4.543697,,-inf,True,4.992368e-25,,50,182.8422,5,21.491144,1.0015288e+26,10.0,-inf,5,353.6123168142369,36.38,0.4189424,-32.322445,29.957157,323.65515,148.57375,799.74756,1.0003749e-28,-57.82617,83812.055,4.992368e-25,829.7047,1.0,
3.5079376e+30,2300,-1.0,29638,3.5079376e+30,inf,26.41949224472046,79884.1,344.84793,9.999996,4.747918,,-inf,True,1.4253389e-29,,50,254.53775,5,17.515936,3.5079376e+30,9.999996,-inf,6,344.847921512783,35.5,0.4189424,-56.463326,9.98153,334.86636,103.403564,1099.6078,2.1008143e-37,-98.68999,79884.1,1.4253389e-29,1109.5894,1.0,
1.209215e+34,2350,-1.0,31615,1.209215e+34,inf,27.23316240310669,38437.926,385.23035,10.0,6.8218775,,-inf,True,4.1349138e-33,,50,287.98383,5,36.293728,1.209215e+34,10.0,-inf,7,385.23035075044726,39.54,0.4189424,-46.01122,9.981827,375.24857,258.43066,1049.8412,5.3084604e-34,-74.557144,38437.926,4.1349138e-33,1059.823,1.0,
6.491028e+25,2400,-1.0,33407,6.491028e+25,inf,28.46600079536438,41641.094,348.2204,9.999996,2.5974786,,-inf,True,7.7029403e-25,,50,225.72842,5,11.62011,6.491028e+25,9.999996,-inf,8,348.22037259771537,35.84,0.4189424,-38.667664,9.985135,338.23526,79.62552,929.5576,1.2813886e-29,-62.726784,41641.094,7.7029403e-25,939.5427,1.0,
1.138672e+29,2450,-1.0,35342,1.138672e+29,inf,29.696744918823242,46832.453,376.808,10.0,2.0491326,,-inf,True,4.39108e-28,,50,257.93314,5,6.86042,1.138672e+29,10.0,-inf,9,376.8080388399292,38.7,0.4189424,-41.952698,19.964794,356.84323,41.87655,1009.65485,2.0240867e-33,-70.57634,46832.453,4.39108e-28,1029.6196,1.0,
1.9636701e+29,2500,-1.0,37064,1.9636701e+29,inf,30.579569339752197,81786.516,334.22513,9.999997,9.213495,,-inf,True,2.5462525e-28,,50,266.84464,5,33.267952,1.9636701e+29,9.999997,-inf,10,334.22512483185545,34.44,0.4189424,-42.322372,9.980516,324.2446,190.67851,1169.7256,1.2432281e-32,-71.24139,81786.516,2.5462525e-28,1179.706,1.0,
1.0,2550,-1.0,39468,1.0,1212274200.0,32.07639956474304,4806494.0,470.58737,9.999999,11.149257,,-2733526300.0,True,50.0,,50,233.99573,6,24.604208,1.0,9.999999,-354578.28,1,470.5874088886661,48.08,0.4189424,-39.62763,49.937675,420.64972,129.9916,929.7826,0.056995645,-39.62763,276206.5,50.0,979.7203,1.0,
34.75806,2600,-1.0,41622,34.75806,1.2305379e+25,33.145713806152344,5066836000000.0,420.59177,10.0,21948066.0,,-5.3721427e+17,True,1.4385153,,50,290.1449,6,143617730.0,34.75806,10.0,-9689533000000.0,2,420.59176618762285,43.08,0.4189424,-47.683792,,420.59177,1026718660.0,1369.5276,0.61376166,-51.25048,1937776.1,1.4385153,1369.5276,1.0,
13701.438,2650,-1.0,43006,13701.438,1.763094e+33,34.563127756118774,22096.049,266.64032,9.999994,1.2358567,,-3.565591e+21,True,0.0036492518,,50,186.49742,6,5.295575,13701.438,9.999994,-3.565591e+21,3,266.6403106607059,27.68,0.4189424,-35.736073,,266.64032,37.997116,1019.81104,0.00038899947,-37.38601,22096.049,0.0036492518,1019.81104,1.0,
13821.219,2700,-1.0,44438,13821.218,3.7483732e+31,36.06684350967407,173191.89,276.24677,9.999999,3.6948745,,-4.0458622e+20,True,0.003617626,,50,190.33,6,17.450949,13821.219,9.999999,-4.0458622e+20,4,276.2467770607637,28.64,0.4189424,-43.221268,9.9801,266.26666,123.30195,889.65765,2.9833349e-05,-48.43121,173191.89,0.0036176261,899.63776,1.0,
51940.215,2750,-1.0,45791,51940.215,4.2393507e+36,37.17094111442566,362073.88,260.43195,9.999996,1.963376,,-1.2720448e+23,True,0.0009626452,,50,191.23378,6,6.955398,51940.215,9.999996,-1.2720448e+23,5,260.43192621957877,27.06,0.4189424,-32.341373,19.964891,240.46706,46.203583,849.8947,0.00016129417,-36.350956,362073.88,0.0009626452,869.8596,1.0,
7654.3145,2800,-1.0,47423,7654.3145,3.652068e+30,37.86931324005127,201158.98,316.2255,9.999999,0.8282493,,-9.978444e+19,True,0.0065322635,,50,178.2586,6,2.152811,7654.3145,9.999999,-9.978444e+19,6,316.22547269036477,32.64,0.4189424,-31.192049,39.923904,276.30157,13.077339,759.7621,0.0007744239,-33.30508,201158.98,0.0065322635,799.686,1.0,
43295.28,2850,-1.0,48981,43295.28,6.147995e+35,38.9376585483551,19650.213,301.43845,9.999991,0.2986598,,-3.993647e+22,True,0.0011548602,,50,166.81833,6,0.47271758,43295.28,9.999991,-3.993647e+22,7,301.43843428059483,31.16,0.4189424,-33.861027,,301.43845,2.2704473,789.813,0.00031169233,-37.897774,19650.213,0.0011548602,789.813,1.0,
8352.138,2900,-1.0,50494,8352.138,5.1361687e+31,39.57466697692871,78474.4,292.44952,9.999998,0.78443927,,-4.529773e+20,True,0.005986491,,50,187.89523,6,1.6202418,8352.138,9.999998,-4.529773e+20,8,292.44950543772944,30.26,0.4189424,-33.390617,9.983253,282.46625,7.995329,869.8517,0.00057622575,-36.585278,78474.4,0.005986491,879.83496,1.0,
2800.326,2950,-1.0,51906,2800.326,2.2657445e+28,40.65747785568237,102861.68,272.2439,10.0,0.9867402,,-4.4209515e+18,True,0.017855065,,50,158.06665,6,2.0558102,2800.326,10.0,-4.4209515e+18,9,272.24388803956975,28.24,0.4189424,-29.801489,9.984471,262.25943,10.768498,589.7761,0.00051362824,-33.27115,102861.68,0.017855065,599.7606,1.0,
6054.3394,3000,-1.0,53526,6054.3394,4.3569233e+30,41.71047115325928,87550.664,313.82687,9.999993,1.5674641,,-1.9139609e+20,True,0.008258539,,50,187.42459,6,7.8129115,6054.3394,9.999993,-1.9139609e+20,10,313.8268832524763,32.4,0.4189424,-41.058994,29.948076,283.87878,55.68339,1029.7798,0.0004091995,-43.627396,87550.664,0.008258539,1059.7279,1.0,
1.0,3050,-1.0,54765,1.0,1.4126757e+33,42.579575300216675,54857953000.0,237.65317,9.999995,502178.03,,-9.6212714e+20,True,50.0,,50,135.795,7,3074683.2,1.0,9.999995,-100517.66,1,237.6531710588948,24.78,0.4189424,-30.250774,9.981534,227.67162,21924480.0,549.94165,0.18117464,-30.250774,74919.31,50.0,559.92316,1.0,
10.80303,3100,-1.0,55918,10.80303,13042690000.0,43.534104108810425,66357.42,220.48265,9.999999,0.9024339,,-4831931000.0,True,4.628331,,50,146.86745,7,3.1533527,10.80303,9.999999,-5631924000.0,2,220.48264665490143,23.06,0.4189424,-29.426243,9.981843,210.5008,22.607601,709.8621,0.018418634,-30.281696,32545.596,4.628331,719.844,1.0,
26.346807,3150,-1.0,57109,26.346807,23235343000000.0,44.48766541481018,122578.086,228.07387,9.999994,0.6239422,,-209662570000.0,True,1.8977631,,50,132.73201,7,1.3212961,26.346807,9.999994,-211439160000.0,3,228.07386135043734,23.82,0.4189424,-29.356718,19.967892,208.10597,7.608241,709.9027,0.0022008833,-30.471384,119945.73,1.8977631,729.8706,1.0,
42.76023,3200,-1.0,58197,42.76023,7.864484e+16,45.1197075843811,19712.99,207.48077,9.999997,0.5141146,,-7177489000000.0,True,1.1693108,,50,118.285194,7,1.5839306,42.76023,9.999997,-8837620000000.0,4,207.4807771274748,21.76,0.4189424,-30.53354,9.982994,197.49779,11.266729,549.89264,0.0053962055,-30.627357,19068.84,1.1693108,559.8756,1.0,
483.58844,3250,-1.0,59266,483.5884,3.133523e+24,46.1763870716095,106138.375,203.67271,9.999997,2.1931536,,-2.6708965e+16,True,0.1033937,,50,108.91697,7,12.092833,483.58844,9.999997,-2.6708965e+16,5,203.6726997812174,21.38,0.4189424,-23.179996,9.984229,193.68848,86.74614,419.8917,0.0019075562,-26.310963,106138.375,0.10339371,429.87592,1.0,
60.995895,3300,-1.0,60401,60.995895,8512964500000000.0,47.13475513458252,113925.18,216.86627,9.999994,1.5960889,,-2709987000000.0,True,0.8197273,,50,111.912254,7,5.686211,60.995895,9.999994,-2764113000000.0,6,216.8662900423463,22.7,0.4189424,-34.57289,9.98086,206.88544,38.32707,589.7912,0.0058530476,-34.09243,114121.74,0.8197273,599.77203,1.0,
80.86003,3350,-1.0,61501,80.86003,1.9738841e+23,48.281577587127686,53992.402,209.86943,9.999999,0.82059777,,-8700547000000000.0,True,0.6183525,,50,124.13685,7,2.2803688,80.86003,9.999999,-71670260000000.0,7,209.86943520028169,22.0,0.4189424,-29.07779,9.980939,199.88852,15.172149,479.7592,0.0021247475,-28.836914,52309.953,0.6183525,489.7401,1.0,
49.978584,3400,-1.0,62595,49.978584,621240440000000.0,49.220309019088745,10740.388,208.67677,9.999996,0.37981528,,-913081570000.0,True,1.0004284,,50,129.04736,7,0.52318513,49.978584,9.999996,-1819035000000.0,8,208.67677708188185,21.88,0.4189424,-34.71652,,208.67677,2.3227677,669.827,0.0016699807,-36.783875,10404.783,1.0004284,669.827,1.0,
72.978294,3450,-1.0,63532,72.978294,6.896003e+18,50.21404409408569,55952.434,177.2793,9.999999,1.0727742,,-77159460000000.0,True,0.68513525,,50,111.11874,7,4.793221,72.978294,9.999999,-78457120000000.0,9,177.27931065725184,18.74,0.4189424,-48.93361,9.980429,167.29887,34.412067,589.90466,0.0006580328,-52.73185,55497.176,0.68513525,599.8851,1.0,
309.06503,3500,-1.0,64597,309.06503,1.862814e+23,51.2163450717926,183664.12,202.86412,9.99999,1.4131501,,-6818278300000000.0,True,0.16177826,,50,97.17396,7,5.9341674,309.06503,9.99999,-6818278300000000.0,10,202.8641319015447,21.3,0.4189424,-28.728617,39.934464,162.92967,42.26412,399.9289,0.0009653573,-27.829168,183664.12,0.16177826,439.86337,1.0,
