WReturnMean,TimestepsSoFar,InitialReturnMin,VarianceInitializer,EpThisIter,MinIW,ReturnStepMax,OptimizationReturnMean,EmpiricalD2Arithmetic,MinBehavPdf,Iteration,EmpiricalD2Harmonic,MeanD2-0,DivergenceHarmonic,ESSRenyiArithmetic,InitialBound,InitialReturnStd,TimeElapsed,EpisodesSoFar,MeanIW,InitialReturnMean,EpRewMean,StdWReturnMean,OptimizationReturnMax,Epsilon,Penalization,EpLenMean,ReturnMeanIW,Bound,ESSRenyiHarmonic,MeanEntropy,StdIW,MinTargetPdf,ReturnStepMaxmin,Inner Iteration,MaxIW,OptimizationReturnMin,InitialReturnMax,LearnableVariance
9203.264,403,9.982414,-1.0,50,0.32707942,9.99999,60.57673,1.0,-11.2939,1,1.0,1.0,633976830000000.0,50.0,-20376.863,64.997475,0.6503376960754395,50,10631.238,70.559135,70.55914059568171,,359.94733,1.0,True,8.06,238877280.0,-281577650000.0,50.0,0.4189424,74350.75,-11.2939,9.99999,1,531086.44,,369.92975,
8801.977,888,9.980913,-1.0,50,1.0643511,9.999998,76.96541,24.199823,-12.51157,1,24.199823,24.199823,4.0061858e+18,2.0661309,-73313960000.0,64.98613,1.6334552764892578,100,75996.12,86.94632,86.94631774867747,,289.94315,1.0,True,9.7,1828585100.0,-14702682000000.0,2.0661309,0.4189424,373162.53,-13.813455,9.999998,2,2598371.2,,299.92407,
7112.8335,1161,9.9819765,-1.0,50,3.9738193e-20,9.9999895,34.588745,1.781954e+17,-6.772922,1,1.781954e+17,1.781954e+17,inf,2.8059086e-16,-inf,18.016907,1.9117283821105957,150,1.8238748,44.570717,44.570719999137424,,89.99782,1.0,True,5.46,7112.8335,-inf,2.8059086e-16,0.4189424,8.087391,-26.568592,9.9999895,3,57.291924,,99.9798,
15563.675,1462,,-1.0,50,2.3426442e-30,9.999979,50.169273,8.305938e+22,-10.738213,1,8.305938e+22,8.305938e+22,inf,6.019789e-22,-inf,28.867065,2.165459632873535,200,3.4221032,50.169273,50.16926971890055,,149.92758,1.0,True,6.02,15563.675,-inf,6.019789e-22,0.4189424,15.885553,-44.55645,9.999979,4,109.84115,,149.92758,
7129.9497,1755,9.980699,-1.0,50,7.0057615e-35,9.999977,38.592503,1.1698491e+20,-6.521951,1,1.1698491e+20,1.1698491e+20,inf,4.2740557e-19,-inf,24.244736,2.473569393157959,250,1.5699315,48.573204,48.573198041503495,,109.9931,1.0,True,5.86,7129.9497,-inf,4.2740557e-19,0.4189424,7.011157,-43.091164,9.999977,5,47.962845,,119.9738,
8003.77,2072,9.981995,-1.0,50,1.860248e-20,9.999984,43.390316,7.779623e+19,-8.913765,1,7.779623e+19,7.779623e+19,inf,6.427047e-19,-inf,27.239765,2.733304738998413,300,2.5176811,53.372314,53.37231226899787,,149.96138,1.0,True,6.34,8003.77,-inf,6.427047e-19,0.4189424,7.661767,-24.521936,9.999984,6,38.218864,,159.94337,
757.8513,2336,,-1.0,50,2.5905723e-20,9.999936,42.773224,1.1254117e+17,-10.597368,1,1.1254117e+17,1.1254117e+17,inf,4.4428186e-16,-inf,21.259556,2.8984458446502686,350,0.8027515,42.773224,42.773223273857056,,99.9581,1.0,True,5.28,757.8513,-inf,4.4428186e-16,0.4189424,2.4851112,-28.510242,9.999936,7,15.2032795,,99.9581,
28107.553,2644,9.981041,-1.0,50,9.737961e-22,9.999983,41.589756,1.7285922e+21,-9.561285,1,1.7285922e+21,1.7285922e+21,inf,2.8925272e-20,-inf,28.368002,3.055840253829956,400,4.040143,51.570797,51.5707956061914,,119.92045,1.0,True,6.16,28107.553,-inf,2.8925272e-20,0.4189424,19.583033,-26.74283,9.999983,8,115.61939,,129.90149,
45928.65,2916,9.982301,-1.0,50,9.101481e-26,9.999998,34.39176,4.882586e+20,-6.9196377,1,4.882586e+20,4.882586e+20,inf,1.0240475e-19,-inf,25.932444,3.380423069000244,450,25.855965,44.37406,44.37406287798046,,120.00067,1.0,True,5.44,45928.65,-inf,1.0240475e-19,0.4189424,111.42601,-30.32336,9.999998,9,690.0152,,129.98297,
4896.8706,3200,9.983043,-1.0,50,3.3181545e-24,9.999953,36.78755,1.1705404e+30,-5.560215,1,1.1705403e+30,1.1705404e+30,inf,4.2715315e-29,-inf,23.263586,3.6755220890045166,500,1.9755234,46.77059,46.77059602319547,,109.86464,1.0,True,5.68,4896.8706,-inf,4.2715318e-29,0.4189424,8.149648,-31.477211,9.999953,10,48.409653,,119.84768,
