EpisodesSoFar,MeanIW,Inner Iteration,WReturnMean,MinTargetPdf,MeanEntropy,InitialReturnMean,ReturnStepMax,TimestepsSoFar,EpLenMean,EmpiricalD2Arithmetic,OptimizationReturnMean,ReturnMeanIW,StdWReturnMean,InitialReturnMin,Epsilon,EmpiricalD2Harmonic,OptimizationReturnMax,StdIW,LearnableVariance,MinBehavPdf,Penalization,DivergenceHarmonic,EpRewMean,Iteration,ESSRenyiArithmetic,Bound,EpThisIter,MinIW,InitialReturnStd,VarianceInitializer,OptimizationReturnMin,InitialReturnMax,ESSRenyiHarmonic,ReturnStepMaxmin,MeanD2-0,InitialBound,TimeElapsed,MaxIW
50,208604.45,1,10751.295,-12.5192585,0.4189424,86.94571,9.999997,485,9.7,1.0,76.95879,1334201000.0,,9.986927,1.0,1.0,239.96393,1457307.0,,-12.5192585,True,2.1507976e+21,86.94571918033185,1,50.0,-236573360000000.0,50,0.09499043,56.495464,-1.0,,249.95085,50.0,9.999997,1.0,-15852.3955,0.5518350601196289,10409742.0
100,324.63657,2,822002.6,-24.387505,0.4189424,131.72829,9.999993,1194,14.18,60619.1,111.76169,822002.6,,19.966599,1.0,60619.105,349.97107,2263.5361,,-20.746067,True,inf,131.7282855326613,1,0.0008248225,-inf,50,1.2930733e-06,86.63204,-1.0,,369.93768,0.00082482246,9.999993,60619.1,-inf,1.5498812198638916,16169.357
150,1.0934547,3,3148.2239,-33.945915,0.4189424,96.13172,9.999999,1725,10.62,1316.1334,86.149765,3148.2239,,9.981955,1.0,1316.1334,449.92178,2.7778652,,-24.824898,True,7.886404e+26,96.13171900018031,1,0.03799007,-4.849844e+17,50,1.1955972e-08,73.413925,-1.0,,459.90375,0.03799007,9.999999,1316.1334,-4.849844e+17,1.8474788665771484,14.226081
200,4.4607716,4,30975.865,-22.138365,0.4189424,121.12929,10.0,2381,13.12,253270.05,111.14813,30975.865,,9.981149,1.0,253270.05,439.8839,22.961483,,-20.081802,True,inf,121.1292881899756,1,0.00019741774,-inf,50,2.7234773e-07,83.665054,-1.0,,449.86505,0.00019741774,10.0,253270.05,-inf,2.1505069732666016,163.13791
250,41.176258,5,1456916.6,-24.213324,0.4189424,108.932816,9.9999895,2976,11.9,987.0174,98.94833,1456916.6,,9.984481,1.0,987.0174,289.92584,279.2914,,-18.15895,True,1.3429276e+25,108.93281523512147,1,0.050657667,-2.6913085e+16,50,5.511104e-06,70.733734,-1.0,,299.9103,0.050657667,9.9999895,987.0174,-2.6913085e+16,2.405367851257324,1996.0292
300,12.460372,6,80613.82,-33.754128,0.4189424,116.33077,9.999995,3608,12.64,35511.535,96.36415,80613.82,,19.96661,1.0,35511.535,409.90613,81.13089,,-25.121109,True,1.4650299e+34,116.33076208541512,1,0.0014079931,-1.8262382e+21,50,3.1728927e-08,83.57425,-1.0,,429.87274,0.0014079931,9.999995,35511.535,-1.8262382e+21,2.744235038757324,579.95184
350,2.6642249,7,9712.1,-23.353876,0.4189424,107.13413,9.999999,4194,11.72,876.70526,87.16647,9712.1,,19.967667,1.0,876.70526,409.93652,7.3571734,,-17.026836,True,7.463987e+25,107.13414042579235,1,0.05703171,-1.30371645e+17,50,3.1945017e-06,80.55814,-1.0,,429.90417,0.05703171,9.999999,876.70526,-1.30371645e+17,3.1001641750335693,41.894905
400,2.287934,8,33344.37,-20.050724,0.4189424,116.33214,9.999999,4826,12.64,14033.395,106.3486,33344.37,,9.983525,1.0,14033.395,379.94867,8.403746,,-17.702232,True,1.0910376e+32,116.33213625528263,1,0.0035629298,-1.2967384e+20,50,6.412801e-06,87.8468,-1.0,,389.9322,0.0035629298,9.999999,14033.395,-1.2967384e+20,3.378671884536743,57.564938
450,0.81777173,9,1749.7864,-16.652285,0.4189424,107.72793,9.999994,5415,11.78,510.52856,97.74526,1749.7864,,9.982663,1.0,510.5286,239.94797,2.0764623,,-13.382977,True,1.8999979e+24,107.72792353548141,1,0.09793771,-7030236000000000.0,50,0.00010198106,68.66076,-1.0,,249.93063,0.09793771,9.999994,510.52856,-7030236000000000.0,3.6714301109313965,11.0648775
500,0.6924603,10,3268.4124,-39.760033,0.4189424,101.730125,9.999986,5974,11.18,1614.8867,81.76289,3268.4124,,19.967236,1.0,1614.8867,269.92395,1.6791068,,-27.842281,True,4.589e+26,101.73013289668722,1,0.030961923,-1.469885e+17,50,4.4501302e-11,59.34099,-1.0,,289.89117,0.030961923,9.999986,1614.8867,-1.469885e+17,3.9102227687835693,10.167431
